time_s,steer,throttle,cte,speed,hit
0.081,0.000,0.000,1.9383,0.0000,none
0.119,0.000,0.000,1.9383,0.0000,none
0.168,0.000,0.000,1.9383,0.0000,none
0.218,0.000,0.000,1.9383,0.0000,none
0.269,0.000,0.000,1.9383,0.0000,none
0.318,0.000,0.000,1.9383,0.0000,none
0.370,0.000,0.000,1.9383,0.0000,none
0.418,0.000,0.000,1.9383,0.0000,none
0.470,0.000,0.000,1.9383,0.0000,none
0.519,0.000,0.000,1.9383,0.0000,none
0.570,0.000,0.000,1.9383,0.0000,none
0.621,0.000,0.000,1.9383,0.0000,none
0.671,0.000,0.000,1.9383,0.0000,none
0.721,0.000,0.000,1.9383,0.0000,none
0.770,0.000,0.000,1.9383,0.0000,none
0.819,0.000,0.000,1.9383,0.0000,none
0.871,0.000,0.000,1.9383,0.0000,none
0.919,0.000,0.000,1.9383,0.0000,none
0.970,0.000,0.000,1.9383,0.0000,none
1.018,0.000,0.000,1.9383,0.0000,none
1.070,0.000,0.000,1.9383,0.0000,none
1.119,0.000,0.000,1.9383,0.0000,none
1.170,0.000,0.000,1.9383,0.0000,none
1.219,0.000,0.000,1.9383,0.0000,none
1.271,0.000,0.000,1.9383,0.0000,none
1.319,0.000,0.000,1.9383,0.0000,none
1.371,0.000,0.000,1.9383,0.0000,none
1.420,0.000,0.000,1.9383,0.0000,none
1.470,0.000,0.000,1.9383,0.0000,none
1.519,0.000,0.000,1.9383,0.0000,none
1.570,0.000,0.000,1.9383,0.0000,none
1.622,0.000,0.000,1.9383,0.0000,none
1.671,0.000,0.000,1.9383,0.0000,none
1.721,0.000,0.000,1.9383,0.0000,none
1.771,0.000,0.000,1.9383,0.0000,none
1.820,0.000,0.000,1.9383,0.0000,none
1.873,0.000,0.000,1.9383,0.0000,none
1.924,0.000,0.000,1.9383,0.0000,none
1.973,0.000,0.000,1.9383,0.0000,none
2.022,0.000,0.000,1.9383,0.0000,none
2.073,0.000,0.000,1.9383,0.0000,none
2.123,0.000,0.000,1.9383,0.0000,none
2.172,0.000,0.000,1.9383,0.0000,none
2.224,0.000,0.000,1.9383,0.0000,none
2.275,0.000,0.000,1.9383,0.0000,none
2.325,0.000,0.000,1.9383,0.0000,none
2.374,0.000,0.000,1.9383,0.0000,none
2.425,0.000,0.000,1.9383,0.0000,none
2.477,0.000,0.000,1.9383,0.0000,none
2.526,0.000,0.000,1.9383,0.0000,none
2.577,0.000,0.000,1.9383,0.0000,none
2.626,0.000,0.000,1.9383,0.0000,none
2.676,0.000,0.000,1.9383,0.0000,none
2.726,0.000,0.000,1.9383,0.0000,none
2.776,0.000,0.000,1.9383,0.0000,none
2.827,0.000,0.000,1.9383,0.0000,none
2.876,0.000,0.000,1.9383,0.0000,none
2.926,0.000,0.000,1.9383,0.0000,none
2.977,0.000,0.050,1.9384,0.0048,none
3.027,0.000,0.050,1.9386,0.0106,none
3.076,0.000,0.050,1.9387,0.0179,none
3.127,0.000,0.050,1.9388,0.0259,none
3.177,0.000,0.050,1.9389,0.0290,none
3.226,0.000,0.050,1.9392,0.0345,none
3.278,0.000,0.050,1.9395,0.0442,none
3.328,0.000,0.050,1.9395,0.0514,none
3.377,0.000,0.050,1.9394,0.0531,none
3.429,0.000,0.050,1.9393,0.0632,none
3.479,0.000,0.100,1.9392,0.0680,none
3.529,0.000,0.100,1.9390,0.0808,none
3.578,0.000,0.100,1.9385,0.0932,none
3.629,0.000,0.100,1.9382,0.1051,none
3.678,0.000,0.100,1.9378,0.1175,none
3.729,0.000,0.100,1.9421,0.1289,none
3.779,0.000,0.100,1.9413,0.1405,none
3.829,0.000,0.100,1.9404,0.1520,none
3.879,0.000,0.150,1.9395,0.1656,none
3.927,0.000,0.150,1.9384,0.1833,none
3.979,0.000,0.150,1.9372,0.2007,none
4.030,0.000,0.150,1.9359,0.2180,none
4.081,0.000,0.150,1.9345,0.2351,none
4.130,0.000,0.150,1.9329,0.2521,none
4.181,0.000,0.150,1.9312,0.2688,none
4.231,0.000,0.150,1.9294,0.2854,none
4.281,0.000,0.150,1.9275,0.3019,none
4.330,0.000,0.150,1.9255,0.3181,none
4.384,0.000,0.150,1.9234,0.3342,none
4.434,0.000,0.150,1.9212,0.3501,none
4.484,0.000,0.150,1.9188,0.3659,none
4.533,0.000,0.150,1.9164,0.3815,none
4.583,0.000,0.150,1.9138,0.3969,none
4.634,0.000,0.150,1.9171,0.4122,none
4.683,0.000,0.150,1.9128,0.4274,none
4.734,0.000,0.150,1.9084,0.4423,none
4.786,0.000,0.150,1.9039,0.4572,none
4.818,0.000,0.150,1.8992,0.4718,none
4.869,0.000,0.150,1.8943,0.4864,none
4.919,0.000,0.150,1.8893,0.5007,none
4.971,0.000,0.150,1.8842,0.5150,none
5.020,0.000,0.150,1.8789,0.5291,none
5.071,0.000,0.150,1.8735,0.5430,none
5.121,0.000,0.150,1.8696,0.5568,none
5.170,0.000,0.150,1.8632,0.5705,none
5.220,0.000,0.150,1.8566,0.5840,none
5.269,0.000,0.150,1.8499,0.5974,none
5.320,0.000,0.150,1.8431,0.6106,none
5.369,0.000,0.150,1.8361,0.6237,none
5.421,0.000,0.150,1.8290,0.6365,none
5.472,0.000,0.150,1.8264,0.6497,none
5.522,0.000,0.150,1.8167,0.6624,none
5.570,0.000,0.150,1.8069,0.6749,none
5.621,0.000,0.150,1.7970,0.6874,none
5.673,0.000,0.150,1.7868,0.6997,none
5.724,0.000,0.150,1.7765,0.7119,none
5.773,0.000,0.150,1.7660,0.7240,none
5.823,0.000,0.150,1.7579,0.7359,none
5.874,0.000,0.150,1.7455,0.7477,none
5.924,0.000,0.150,1.7329,0.7594,none
5.975,0.000,0.150,1.7202,0.7710,none
6.023,0.000,0.150,1.7072,0.7825,none
6.074,0.000,0.150,1.6941,0.7938,none
6.123,0.000,0.150,1.6827,0.8051,none
6.174,0.000,0.150,1.6678,0.8162,none
6.222,0.000,0.150,1.6526,0.8272,none
6.274,0.000,0.150,1.6373,0.8381,none
6.325,0.000,0.150,1.6218,0.8489,none
6.376,0.000,0.150,1.6108,0.8596,none
6.425,0.000,0.150,1.5920,0.8701,none
6.474,0.000,0.150,1.5729,0.8806,none
6.525,0.000,0.150,1.5536,0.8910,none
6.575,0.000,0.150,1.5342,0.9012,none
6.626,0.000,0.150,1.5145,0.9113,none
6.675,0.000,0.150,1.4953,0.9214,none
6.725,0.000,0.150,1.4740,0.9313,none
6.777,0.000,0.150,1.4524,0.9412,none
6.826,0.000,0.150,1.4307,0.9509,none
6.875,0.000,0.150,1.4127,0.9605,none
6.924,0.000,0.150,1.3874,0.9701,none
6.976,0.000,0.150,1.3620,0.9795,none
7.024,0.000,0.150,1.3363,0.9889,none
7.076,0.000,0.150,1.3103,0.9981,none
7.124,0.000,0.150,1.2860,1.0073,none
7.175,0.000,0.150,1.2573,1.0163,none
7.224,0.000,0.150,1.2284,1.0253,none
7.275,0.000,0.150,1.1992,1.0342,none
7.326,0.000,0.150,1.1698,1.0430,none
7.376,0.000,0.150,1.1405,1.0517,none
7.426,0.000,0.150,1.1088,1.0603,none
7.479,0.000,0.150,1.0768,1.0688,none
7.528,0.000,0.150,1.0446,1.0773,none
7.578,0.000,0.150,1.0136,1.0856,none
7.628,0.000,0.150,0.9769,1.0939,none
7.676,0.000,0.150,0.9399,1.1021,none
7.727,0.000,0.150,0.9026,1.1101,none
7.780,0.000,0.150,0.8663,1.1182,none
7.829,0.000,0.150,0.8260,1.1261,none
7.879,0.000,0.150,0.7853,1.1339,none
7.931,0.000,0.150,0.7444,1.1417,none
7.980,0.000,0.150,0.7045,1.1494,none
8.030,0.000,0.150,0.6602,1.1570,none
8.082,0.000,0.150,0.6157,1.1646,none
8.130,0.000,0.150,0.5709,1.1720,none
8.181,0.000,0.150,0.5270,1.1794,none
8.230,0.000,0.150,0.4779,1.1867,none
8.282,0.000,0.150,0.4285,1.1939,none
8.331,0.000,0.150,0.3788,1.2011,none
8.381,0.000,0.150,0.3292,1.2082,none
8.431,0.000,0.150,0.2749,1.2152,none
8.481,0.000,0.150,0.2204,1.2221,none
8.532,0.000,0.150,0.1689,1.2290,none
8.581,0.000,0.150,0.1095,1.2358,none
8.632,0.000,0.150,0.0499,1.2425,none
8.683,0.000,0.150,-0.0100,1.2492,none
8.734,0.000,0.150,-0.0714,1.2557,none
8.784,0.000,0.150,-0.1292,1.2623,none
8.833,0.000,0.150,-0.1872,1.2687,none
8.885,0.000,0.150,-0.2455,1.2751,none
8.935,0.000,0.150,-0.3041,1.2814,none
8.983,0.000,0.150,-0.3453,1.2877,none
9.033,0.000,0.150,-0.3868,1.2939,none
9.083,0.000,0.150,-0.4352,1.3000,none
9.134,0.000,0.150,-0.4629,1.3061,none
9.185,0.000,0.150,-0.4907,1.3121,none
9.234,0.000,0.150,-0.5186,1.3180,none
9.286,0.000,0.150,-0.5458,1.3239,none
9.334,0.000,0.150,-0.5653,1.3297,none
9.385,0.000,0.150,-0.5848,1.3355,none
9.434,0.000,0.150,-0.6061,1.3412,none
9.486,0.000,0.150,-0.6193,1.3468,none
9.536,0.000,0.150,-0.6326,1.3524,none
9.571,0.000,0.150,-0.6463,1.3579,none
9.620,0.000,0.150,-0.6588,1.3634,none
9.670,0.000,0.150,-0.6713,1.3688,none
