arm,condition,beta,admitted_onroad,n_far-L,n_near-L,n_LANE,n_near-R,n_far-R,rows_empty,rows_smoothed,min_count,acc_all,acc_guarded
MC,control,0.8743559254855331,4398,181,891,2281,1008,37,0,0,30,0.84789574877163,0.8517507958162801
MC,cones,0.874024848309737,6024,248,1408,2624,1676,68,0,0,30,0.7949829668628058,0.8094289508632138
MC,light,0.8517226341037941,5604,129,1009,2675,1724,67,0,0,30,0.5657196378395254,0.6270521056388294
MC,trees,0.6217819432910191,5221,177,1085,2490,1410,59,0,0,30,0.4871859934026897,0.5866692204558513
MC,road,0.04306321595248197,70,0,1,29,18,22,1,4,30,0.05444978265843056,0.5571428571428572
MC,circuit,0.001008827238335435,4,0,0,2,1,1,2,3,30,0.08962142673190832,0.0
DE,control,0.8876337693222355,4450,310,930,2246,939,25,0,1,30,0.870326853236488,0.8804494382022472
DE,cones,0.860733891938746,5915,345,1428,2529,1552,61,0,0,30,0.8429854444100341,0.8654268808114962
DE,light,0.25134467219072537,1700,1,54,643,955,47,0,1,30,0.7269747112082423,0.7923529411764706
DE,trees,0.41226717285561754,3438,211,864,1638,709,16,0,1,30,0.5540471961431109,0.7617801047120419
DE,road,0.0016970725498515061,1,0,0,0,0,1,4,1,30,0.05284831846259437,1.0
DE,circuit,0.0015132408575031526,6,0,0,0,5,1,3,2,30,0.07494205511202678,0.0
