arm,condition,policy,frames,laps,handovers,handover_frame,handover_abs_cte,cf_handover_frame,cf_handover_abs_cte,first_offroad_frame,first_offroad_mode,model_frames,model_certified_pct,model_offroad_pct,model_mean_abs_cte,fallback_frames,fallback_offroad_pct,fallback_mean_abs_cte,log
MC,control,unguarded,1587,3,0,,,652,3.09716558456421,644,MODEL,1587,92.24952741020795,3.087586641461878,0.6414343112466855,0,,,mc_baseline_run_unguarded_m1test_20260913_005748.csv
MC,control,unguarded,1579,3,0,,,651,3.10409760475159,640,MODEL,1579,92.08359721342622,3.356554781507283,0.6239506073450234,0,,,mc_baseline_run_unguarded_m1test_20260913_021037.csv
MC,cones,M=10,500,0,1,424,0.00226925732567906,,,,,424,95.04716981132076,0.0,0.5425570184866819,76,0.0,0.5510384689734663,mc_cond1_cones_M10_20260913_001353.csv
MC,cones,unguarded,500,0,0,,,438,3.14147424697876,431,MODEL,500,87.4,5.800000000000001,0.6961132679905422,0,,,mc_cond1_cones_unguarded_20260913_002155.csv
MC,light,M=10,90,0,1,88,7.53278732299805,,,61,MODEL,88,79.54545454545455,30.681818181818183,1.6842702518809929,2,100.0,7.659854888916016,mc_cond1_light_M10_20260913_001235.csv
MC,light,M=10,93,0,0,,,,,60,MODEL,93,75.26881720430107,35.483870967741936,2.067339333154822,0,,,mc_cond1_light_M10_20260913_002920.csv
MC,light,unguarded,185,0,0,,,98,7.88414764404297,61,MODEL,185,57.2972972972973,48.10810810810811,3.024084269013759,0,,,mc_cond1_light_unguarded_20260913_001923.csv
MC,light,unguarded,183,0,0,,,88,6.95698547363281,61,MODEL,183,60.65573770491803,47.540983606557376,2.9325411857965866,0,,,mc_cond1_light_unguarded_20260913_002401.csv
MC,light,unguarded,184,0,0,,,88,6.91782760620117,61,MODEL,184,60.32608695652174,47.28260869565217,2.937822537549832,0,,,mc_cond1_light_unguarded_m1test_20260913_005944.csv
MC,light,unguarded,97,0,0,,,88,6.90812683105469,61,MODEL,97,75.25773195876289,37.11340206185567,2.220543104348724,0,,,mc_cond1_light_unguarded_m1test_20260913_021229.csv
MC,trees,M=10,500,0,1,217,1.25962734222412,,,135,MODEL,217,76.95852534562212,5.990783410138248,0.7153844650714629,283,0.0,0.46939666251168183,mc_cond1_trees_M10_20260913_001541.csv
MC,trees,unguarded,500,0,0,,,139,1.88149476051331,395,MODEL,500,65.0,8.799999999999999,0.8700294093238192,0,,,mc_cond1_trees_unguarded_20260913_002027.csv
MC,road,M=10,4193,0,1,9,0.00017437050701119,,,4178,FALLBACK,9,0.0,0.0,0.0005916940798569057,4184,0.35850860420650094,0.3190678838712251,mc_generated_road_M10_20260912_232602.csv
MC,road,M=10,4200,0,1,9,0.0034615711774677,,,4188,FALLBACK,9,0.0,0.0,0.0026226561878704376,4191,0.28632784538296346,0.30778792866522237,mc_generated_road_M10_M10_20260913_021948.csv
MC,road,unguarded,107,0,0,,,9,0.0230011902749538,47,MODEL,107,57.009345794392516,56.074766355140184,3.3327885388013705,0,,,mc_generated_road_unguarded_20260912_233227.csv
MC,road,unguarded,4200,0,0,,,9,0.0245481729507446,47,MODEL,4200,94.61904761904762,98.88095238095238,4.273849552061598,0,,,mc_generated_road_unguarded_m1test_20260913_010023.csv
MC,road,unguarded,4150,0,0,,,9,0.0195998419076204,48,MODEL,4150,95.49397590361446,98.24096385542168,4.145265855927312,0,,,mc_generated_road_unguarded_m1test_20260913_021406.csv
MC,circuit,unguarded,6000,2,0,,,9,1.9198169708252,,,6000,0.8500000000000001,0.0,1.0981798503498237,0,,,mc_mini_monaco_unguarded_m1test_20260913_022354.csv
DE,control,M=10,1662,3,1,642,3.09677338600159,,,636,MODEL,642,96.41744548286604,0.9345794392523363,0.5880020812944061,1020,2.2549019607843137,0.4189252982993482,de_baseline_run_M10_M10_20260912_185419.csv
DE,control,unguarded,1563,3,0,,,641,2.62425589561462,638,MODEL,1563,93.15419065898912,4.350607805502239,0.6469583348809229,0,,,de_baseline_run_unguarded_m1test_20260912_185159.csv
DE,cones,M=10,1000,1,1,423,1.5399158000946,,,,,423,95.27186761229315,0.0,0.6062108093870464,577,0.0,0.3971451585531312,de_cond1_cones_M10_20260913_000328.csv
DE,cones,M=10,1702,3,1,420,1.38841736316681,,,,,420,95.95238095238095,0.0,0.5985695235420108,1282,0.0,0.3686417235546802,de_cond1_cones_M10_M10_20260912_190409.csv
DE,cones,unguarded,500,0,0,,,417,0.801403343677521,436,MODEL,500,92.2,3.2,0.6828810869799927,0,,,de_cond1_cones_unguarded_20260913_001010.csv
DE,cones,unguarded,1620,3,0,,,415,0.695412337779999,432,MODEL,1620,86.97530864197532,6.296296296296296,0.7349798445145738,0,,,de_cond1_cones_unguarded_m1test_20260912_190210.csv
DE,light,M=10,737,0,1,9,0.00392913818359375,,,,,9,0.0,0.0,0.0030983818901909746,729,0.0,0.36522247718930734,de_cond1_light_M10_20260912_235640.csv
DE,light,M=10,1600,2,1,9,0.00232696533203125,,,,,9,0.0,0.0,0.0014152526855468757,1591,0.0,0.35904590816879184,de_cond1_light_M10_20260912_235743.csv
DE,light,M=10,1000,1,1,9,0.00235748291015625,,,,,9,0.0,0.0,0.0011808607313368068,991,0.0,0.3614276593887481,de_cond1_light_M10_20260913_002725.csv
DE,light,M=10,1748,3,1,9,0.00406646728515625,,,,,9,0.0,0.0,0.003170861138237851,1739,0.0,0.35997818169613005,de_cond1_light_M10_M10_rep1_20260912_030614.csv
DE,light,M=1,1753,3,1,8,0.00360107421875,,,,,8,100.0,0.0,0.0008416175842285156,1745,0.0,0.3537863675408855,de_cond1_light_M1_oracle_probe_20260912_025332.csv
DE,light,M=1,1736,3,1,0,0.00284957885742188,,,,,0,,,,1736,0.0,0.35272404950644287,de_cond1_light_M1_paired_oracle_20260912_030100.csv
DE,light,unguarded,160,0,0,,,9,0.0064239501953125,134,MODEL,160,8.125,16.25,1.199566451460123,0,,,de_cond1_light_unguarded_20260912_021843.csv
DE,light,unguarded,160,0,0,,,9,0.00628662109375,135,MODEL,160,7.5,15.625,1.169496013596654,0,,,de_cond1_light_unguarded_20260912_235425.csv
