replicate,p
0,5.497273856e-05
1,2.889242922e-05
2,0.000210684969
3,3.737343375e-06
4,0.0001080185089
5,0.0002358916282
6,0.0003055355907
7,4.862326524e-05
8,6.31427071e-05
9,9.193741842e-05
10,1.874536731e-05
11,4.970441705e-05
12,7.651041653e-05
13,1.427365296e-05
14,9.480809691e-05
15,4.793154042e-06
16,6.215009971e-05
17,6.102836259e-05
18,8.601484861e-05
19,4.242964975e-05
20,9.156113049e-06
21,7.942628941e-05
22,7.335906981e-05
23,3.528220447e-05
24,8.668926791e-05
25,0.0001049082766
26,0.0002652305464
27,8.226888095e-05
28,9.561430398e-06
29,0.000122842529
30,3.685897557e-05
31,6.679802272e-05
32,0.00035418486
33,8.071454792e-06
34,2.783660993e-05
35,0.0001226158426
36,0.0001292507051
37,3.394783991e-05
38,1.198527744e-05
39,0.0003346146227
40,0.0003124425799
41,2.65598742e-05
42,1.124416125e-05
43,6.609626269e-06
44,5.697143339e-05
45,5.887784316e-06
46,2.010468207e-05
47,8.590983977e-05
48,6.3786357e-05
49,2.732698552e-05
50,4.861357094e-06
51,9.122781802e-05
52,5.97610963e-05
53,0.0001287336401
54,4.566948522e-05
55,9.129096916e-06
56,3.374164967e-05
57,4.243503131e-05
58,6.762002097e-05
59,5.312063047e-06
60,0.0001413211124
61,0.0001017772893
62,3.23593971e-06
63,5.459757111e-05
64,2.35658296e-05
65,0.0003997269952
66,0.0002520417762
67,4.324036856e-05
68,5.290727862e-05
69,0.0004167892743
70,3.566430714e-05
71,0.000110563615
72,0.0002117660121
73,5.994152849e-05
74,1.498781235e-05
75,0.0001890964846
76,5.30235211e-05
77,0.000182494467
78,4.915244532e-06
79,9.350826664e-06
80,9.842686269e-06
81,0.0002863279228
82,7.691084209e-06
83,8.426739824e-06
84,4.661337318e-05
85,7.297645186e-05
86,6.531589352e-05
87,2.984568801e-05
88,0.0001891103465
89,8.284295947e-05
90,0.0001098038447
91,8.571769794e-05
92,0.000160798716
93,4.887767835e-05
94,1.779532887e-05
95,2.72593128e-05
96,5.392193005e-06
97,2.097775834e-05
98,0.0001456620843
99,1.049451004e-05
100,4.357874068e-05
101,1.390632723e-05
102,0.0001092303625
103,7.34781477e-05
104,0.0001649253189
105,1.565782653e-05
106,3.940318916e-05
107,0.0008776152699
108,5.414259284e-05
109,2.004990315e-05
110,0.0001253269383
111,1.089837872e-05
112,2.967364913e-05
113,6.031523582e-05
114,7.759956308e-06
115,8.090143934e-05
116,3.558615543e-05
117,5.982524313e-05
118,2.748965079e-05
119,7.556031308e-05
120,6.016946661e-05
121,0.0001205294789
122,8.351173949e-05
123,5.848295643e-05
124,7.592321681e-05
125,4.707663454e-05
126,6.590464195e-05
127,0.0001966529903
128,9.938827644e-05
129,1.441819058e-05
130,3.030870987e-05
131,0.0001011801697
132,6.365199976e-05
133,4.809387362e-05
134,6.732024667e-05
135,0.0001644191329
136,6.583364675e-05
137,8.131254318e-05
138,3.897474779e-05
139,2.35159131e-05
140,3.873450314e-05
141,5.735965803e-06
142,0.0001018187562
143,5.93309034e-05
144,0.0003564842314
145,1.758575804e-05
146,2.873303841e-05
147,5.923773851e-05
148,0.0001634791764
149,0.0002498282204
150,0.0005443094413
151,6.658643498e-05
152,2.41156013e-05
153,3.008665711e-05
154,0.0001412175796
155,5.835545198e-06
156,4.957024535e-05
157,0.0001173353442
158,0.0001219130435
159,1.079518973e-05
160,7.103179401e-05
161,2.175989818e-05
162,6.155817607e-05
163,0.0001116067434
164,4.207831601e-05
165,2.444536248e-05
166,1.169728928e-05
167,0.0001210711209
168,7.590793773e-05
169,3.080739556e-05
170,0.0002117409841
171,2.481327883e-05
172,5.920316203e-05
173,3.419620911e-05
174,0.0001269666086
175,6.336721265e-05
176,0.0006669148975
177,0.0002494306447
178,0.0001639069932
179,6.671353058e-05
180,0.0001017990552
181,2.705667381e-05
182,3.727920819e-05
183,4.23727622e-05
184,4.059847819e-05
185,9.525906486e-05
186,1.417814351e-05
187,1.097480865e-05
188,0.0003722840654
189,9.575442598e-06
190,7.014896781e-06
191,1.149601182e-05
192,5.463063188e-05
193,6.248154415e-05
194,0.0001251312664
195,7.567530807e-05
196,3.206736742e-05
197,5.786922557e-05
198,6.974266816e-05
199,1.719539444e-05
