replicate,p
0,2.930936615e-08
1,2.930972267e-08
2,2.930723165e-08
3,2.931006704e-08
4,2.930863993e-08
5,2.930689114e-08
6,2.930593559e-08
7,2.930945331e-08
8,2.930925343e-08
9,2.930886054e-08
10,2.930986165e-08
11,2.930943768e-08
12,2.930907106e-08
13,2.930992313e-08
14,2.930881995e-08
15,2.931005253e-08
16,2.930926866e-08
17,2.93092829e-08
18,2.930894294e-08
19,2.930953771e-08
20,2.930999285e-08
21,2.930903133e-08
22,2.930911341e-08
23,2.930963559e-08
24,2.930893094e-08
25,2.930868084e-08
26,2.930648918e-08
27,2.930899203e-08
28,2.930998733e-08
29,2.930843655e-08
30,2.930961383e-08
31,2.930920301e-08
32,2.930527281e-08
33,2.931000781e-08
34,2.930973734e-08
35,2.93084407e-08
36,2.930834921e-08
37,2.930965379e-08
38,2.930995415e-08
39,2.930553655e-08
40,2.930583782e-08
41,2.930975469e-08
42,2.930996435e-08
43,2.931002775e-08
44,2.93093381e-08
45,2.931003765e-08
46,2.930984342e-08
47,2.930894324e-08
48,2.930924526e-08
49,2.93097446e-08
50,2.93100517e-08
51,2.930886938e-08
52,2.930929988e-08
53,2.930835672e-08
54,2.930949255e-08
55,2.930999319e-08
56,2.930965572e-08
57,2.930953746e-08
58,2.930919222e-08
59,2.931004544e-08
60,2.930818288e-08
61,2.930872423e-08
62,2.931007392e-08
63,2.930937175e-08
64,2.930979586e-08
65,2.930465671e-08
66,2.930667107e-08
67,2.930952698e-08
68,2.930939429e-08
69,2.930441249e-08
70,2.930963122e-08
71,2.930860393e-08
72,2.930722462e-08
73,2.930929754e-08
74,2.930991308e-08
75,2.930753202e-08
76,2.930939236e-08
77,2.930762009e-08
78,2.931005102e-08
79,2.930999026e-08
80,2.930998359e-08
81,2.930619942e-08
82,2.931001294e-08
83,2.931000286e-08
84,2.930948023e-08
85,2.930911992e-08
86,2.930922423e-08
87,2.930970978e-08
88,2.930752876e-08
89,2.930898427e-08
90,2.930861751e-08
91,2.930894549e-08
92,2.930791612e-08
93,2.930944885e-08
94,2.930987464e-08
95,2.93097451e-08
96,2.931004442e-08
97,2.930983116e-08
98,2.930812401e-08
99,2.930997446e-08
100,2.930952174e-08
101,2.930992759e-08
102,2.93086232e-08
103,2.930911566e-08
104,2.930786223e-08
105,2.930990383e-08
106,2.930957911e-08
107,2.929811334e-08
108,2.930937696e-08
109,2.930984379e-08
110,2.93084038e-08
111,2.930996919e-08
112,2.930971186e-08
113,2.930929243e-08
114,2.931001193e-08
115,2.930901229e-08
116,2.930963098e-08
117,2.930930035e-08
118,2.930974235e-08
119,2.93090833e-08
120,2.930929498e-08
121,2.930846973e-08
122,2.930897624e-08
123,2.930931785e-08
124,2.930908119e-08
125,2.930947396e-08
126,2.930921533e-08
127,2.930743608e-08
128,2.930875979e-08
129,2.930992102e-08
130,2.930970337e-08
131,2.930873247e-08
132,2.930924693e-08
133,2.930945984e-08
134,2.930919639e-08
135,2.930786811e-08
136,2.930921722e-08
137,2.930900601e-08
138,2.930958502e-08
139,2.930979608e-08
140,2.930958793e-08
141,2.93100398e-08
142,2.930872406e-08
143,2.930930599e-08
144,2.93052383e-08
145,2.930987787e-08
146,2.930972479e-08
147,2.930930741e-08
148,2.930788002e-08
149,2.93066975e-08
150,2.930267247e-08
151,2.930920761e-08
152,2.930978819e-08
153,2.93097067e-08
154,2.930819029e-08
155,2.931003829e-08
156,2.930944004e-08
157,2.93085144e-08
158,2.930844892e-08
159,2.930997041e-08
160,2.930914576e-08
161,2.930982044e-08
162,2.930927499e-08
163,2.930858878e-08
164,2.930954289e-08
165,2.930978353e-08
166,2.930995799e-08
167,2.93084628e-08
168,2.930907889e-08
169,2.930969705e-08
170,2.93072199e-08
171,2.930977913e-08
172,2.930930753e-08
173,2.93096504e-08
174,2.930838103e-08
175,2.930925122e-08
176,2.930099423e-08
177,2.930670404e-08
178,2.930787273e-08
179,2.930920576e-08
180,2.930872657e-08
181,2.930974839e-08
182,2.930960797e-08
183,2.930953871e-08
184,2.930956239e-08
185,2.93088156e-08
186,2.930992406e-08
187,2.930996809e-08
188,2.930502362e-08
189,2.930998716e-08
190,2.93100222e-08
191,2.930996076e-08
192,2.93093712e-08
193,2.930926351e-08
194,2.930840562e-08
195,2.930908355e-08
196,2.930967965e-08
197,2.930932586e-08
198,2.930916359e-08
199,2.930988311e-08
