time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00074,0.04429,0.09501,1,0,0,MODEL,-0.3271,0.100,0.0000,0,none
0.049,1,0.00074,0.04704,0.16371,1,0,0,MODEL,-0.3297,0.100,0.0000,0,none
0.076,2,0.00074,0.05534,0.13083,1,0,0,MODEL,-0.3376,0.100,0.0000,0,none
0.116,3,0.00054,0.13778,0.12720,1,0,0,MODEL,-0.4159,0.100,0.0134,0,none
0.164,4,0.00027,0.10249,0.12134,1,0,0,MODEL,-0.3824,0.100,0.0286,0,none
0.215,5,-0.00031,0.04658,0.05606,1,0,0,MODEL,-0.3292,0.100,0.0351,0,none
0.263,6,-0.00099,0.04157,0.09937,1,0,0,MODEL,-0.3245,0.100,0.0501,0,none
0.316,7,-0.00185,0.06638,0.10941,1,0,0,MODEL,-0.3481,0.100,0.0648,0,none
0.368,8,-0.00324,0.06998,0.13491,1,0,0,MODEL,-0.3515,0.100,0.0743,0,none
0.416,9,-0.00501,0.02176,0.09591,1,0,0,MODEL,-0.3057,0.100,0.0855,0,none
0.465,10,-0.00661,0.04535,0.07303,1,0,0,MODEL,-0.3281,0.100,0.0991,0,none
0.515,11,-0.00830,0.05702,0.09537,1,0,0,MODEL,-0.3392,0.100,0.1111,0,none
0.566,12,-0.01047,-0.01030,0.14221,1,0,0,MODEL,-0.2752,0.100,0.1229,0,none
0.616,13,-0.01293,0.01408,0.10431,1,0,0,MODEL,-0.2984,0.100,0.1346,0,none
0.668,14,-0.01549,0.01420,0.10255,1,0,0,MODEL,-0.2985,0.100,0.1461,0,none
0.718,15,-0.01234,0.00815,0.10062,1,0,0,MODEL,-0.2927,0.100,0.1676,0,none
0.765,16,-0.02441,0.07224,0.10845,1,0,0,MODEL,-0.3536,0.100,0.1695,0,none
0.816,17,-0.02662,-0.03775,0.07977,1,0,0,MODEL,-0.2491,0.100,0.1799,0,none
0.869,18,-0.03135,-0.03199,0.13032,1,0,0,MODEL,-0.2546,0.100,0.1912,0,none
0.916,19,-0.03609,-0.04570,0.12184,1,0,0,MODEL,-0.2416,0.100,0.2020,0,none
0.966,20,-0.04136,-0.02107,0.10646,1,0,0,MODEL,-0.2650,0.100,0.2128,0,none
1.020,21,-0.04719,0.00050,0.07423,1,0,0,MODEL,-0.2855,0.100,0.2235,0,none
1.068,22,-0.05397,0.00230,0.11278,1,0,0,MODEL,-0.2872,0.100,0.2341,0,none
1.119,23,-0.06169,-0.14970,0.13646,1,0,0,MODEL,-0.1428,0.100,0.2446,0,none
1.167,24,-0.06974,-0.17774,0.10409,1,0,0,MODEL,-0.1161,0.100,0.2551,0,none
1.220,25,-0.07892,-0.04736,0.10692,1,0,0,MODEL,-0.2400,0.100,0.2652,0,none
1.269,26,-0.08546,-0.07357,0.13933,1,0,0,MODEL,-0.2151,0.100,0.2746,0,none
1.317,27,-0.09385,-0.09684,0.09766,1,0,0,MODEL,-0.1930,0.100,0.2856,0,none
1.370,28,-0.10439,-0.06593,0.10341,1,0,0,MODEL,-0.2224,0.100,0.2953,0,none
1.419,29,-0.11537,-0.09429,0.13306,1,0,0,MODEL,-0.1954,0.100,0.3051,0,none
1.469,30,-0.12757,-0.06118,0.08872,1,0,0,MODEL,-0.2269,0.100,0.3149,0,none
1.518,31,-0.13742,-0.01767,0.07602,1,0,0,MODEL,-0.2682,0.100,0.3237,0,none
1.569,32,-0.15122,0.07718,0.06812,1,0,0,MODEL,-0.3583,0.100,0.3329,0,none
1.619,33,-0.17188,0.00755,0.11133,1,0,0,MODEL,-0.2922,0.100,0.3439,0,none
1.668,34,-0.19050,-0.03863,0.08728,1,0,0,MODEL,-0.2483,0.100,0.3528,0,none
1.721,35,-0.21031,-0.32776,0.19986,1,0,0,MODEL,0.0264,0.100,0.3622,0,none
1.770,36,-0.23034,-0.21735,0.17482,1,0,0,MODEL,-0.0785,0.100,0.3712,0,none
1.820,37,-0.24906,-0.32196,0.11833,1,0,0,MODEL,0.0209,0.100,0.3843,0,none
1.872,38,-0.27170,-0.46851,0.14774,1,0,0,MODEL,0.1601,0.100,0.3890,0,none
1.922,39,-0.28291,-0.21251,0.12583,1,0,0,MODEL,-0.0831,0.100,0.3982,0,none
1.968,40,-0.29764,-0.27186,0.12586,1,0,0,MODEL,-0.0267,0.100,0.4067,0,none
2.022,41,-0.31669,-0.25112,0.16548,1,0,0,MODEL,-0.0464,0.100,0.4155,0,none
2.072,42,-0.33592,-0.35892,0.12512,1,0,0,MODEL,0.0560,0.100,0.4241,0,none
2.121,43,-0.35569,-0.29667,0.13699,1,0,0,MODEL,-0.0032,0.100,0.4327,0,none
2.171,44,-0.37412,-0.28329,0.13878,1,0,0,MODEL,-0.0159,0.100,0.4411,0,none
2.221,45,-0.39361,-0.39898,0.13653,1,0,0,MODEL,0.0940,0.100,0.4495,0,none
2.270,46,-0.41374,-0.32727,0.12004,1,0,0,MODEL,0.0259,0.100,0.4578,0,none
2.306,47,-0.43206,-0.53455,0.13682,1,0,0,MODEL,0.2228,0.100,0.4660,0,none
2.354,48,-0.44939,-0.52041,0.13692,1,0,0,MODEL,0.2094,0.100,0.4737,0,none
2.406,49,-0.46333,-0.59565,0.18867,1,0,0,MODEL,0.2809,0.100,0.4818,0,none
2.455,50,-0.47554,-0.47200,0.15544,1,0,0,MODEL,0.1634,0.100,0.4896,0,none
2.505,51,-0.48627,-0.62422,0.18603,1,0,0,MODEL,0.3080,0.100,0.4976,0,none
2.556,52,-0.49619,-0.62708,0.16392,1,0,0,MODEL,0.3107,0.100,0.5050,0,none
2.607,53,-0.50206,-0.59393,0.11258,1,0,0,MODEL,0.2792,0.100,0.5127,0,none
2.658,54,-0.50592,-0.54192,0.15434,1,0,0,MODEL,0.2298,0.100,0.5205,0,none
2.710,55,-0.50873,-0.51046,0.11434,1,0,0,MODEL,0.1999,0.100,0.5281,0,none
2.757,56,-0.51086,-0.51280,0.13175,1,0,0,MODEL,0.2022,0.100,0.5357,0,none
2.808,57,-0.51188,-0.59898,0.11717,1,0,0,MODEL,0.2840,0.100,0.5432,0,none
2.855,58,-0.51036,-0.53582,0.16749,1,0,0,MODEL,0.2240,0.100,0.5503,0,none
2.906,59,-0.50581,-0.48151,0.15262,1,0,0,MODEL,0.1724,0.100,0.5577,0,none
2.956,60,-0.50066,-0.39669,0.17244,1,0,0,MODEL,0.0919,0.100,0.5650,0,none
3.007,61,-0.49565,-0.34617,0.13630,1,0,0,MODEL,0.0439,0.100,0.5722,0,none
3.057,62,-0.49155,-0.33633,0.15541,1,0,0,MODEL,0.0345,0.100,0.5793,0,none
3.109,63,-0.48791,-0.38698,0.10855,1,0,0,MODEL,0.0826,0.100,0.5863,0,none
3.157,64,-0.48355,-0.34755,0.18212,1,0,0,MODEL,0.0452,0.100,0.5932,0,none
3.208,65,-0.47799,-0.55936,0.17566,1,0,0,MODEL,0.2464,0.100,0.6001,0,none
3.260,66,-0.47012,-0.50767,0.13993,1,0,0,MODEL,0.1973,0.100,0.6063,0,none
3.309,67,-0.45702,-0.51493,0.13195,1,0,0,MODEL,0.2042,0.100,0.6130,0,none
3.359,68,-0.44227,-0.55770,0.11364,1,0,0,MODEL,0.2448,0.100,0.6196,0,none
3.410,69,-0.42489,-0.45094,0.14595,1,0,0,MODEL,0.1434,0.100,0.6261,0,none
3.459,70,-0.40459,-0.56306,0.13331,1,0,0,MODEL,0.2499,0.100,0.6325,0,none
3.511,71,-0.38371,-0.52252,0.14908,1,0,0,MODEL,0.2114,0.100,0.6392,0,none
3.559,72,-0.35802,-0.46930,0.14398,1,0,0,MODEL,0.1608,0.100,0.6445,0,none
