cte_true,mc_mean,mc_std
0.00100,0.05503,0.10621
0.00100,0.01384,0.12048
0.00100,0.04547,0.11318
0.00084,0.08321,0.09163
0.00036,0.03307,0.10037
-0.00014,0.07796,0.09039
-0.00113,0.14855,0.13433
-0.00255,0.08052,0.08848
-0.00440,0.07850,0.09089
-0.00674,-0.09743,0.15803
-0.00966,0.01322,0.08270
-0.01003,0.04560,0.13989
-0.01815,-0.03331,0.08499
-0.02311,-0.04578,0.17840
-0.02893,0.07211,0.10983
-0.03589,0.10409,0.09074
-0.04391,-0.00322,0.11131
-0.05302,-0.01746,0.10108
-0.06335,-0.14317,0.10107
-0.07607,-0.04647,0.09543
-0.08774,-0.07462,0.14225
-0.10205,-0.11244,0.10245
-0.11779,-0.11291,0.10149
-0.13434,-0.07918,0.14786
-0.15367,-0.05761,0.09580
-0.17322,-0.06777,0.10050
-0.19429,-0.17779,0.19118
-0.21955,-0.21096,0.10435
-0.24035,-0.22276,0.13428
-0.26411,-0.25270,0.16285
-0.28893,-0.25298,0.12925
-0.31447,-0.29844,0.16264
-0.34003,-0.29865,0.11679
-0.36549,-0.44562,0.11768
-0.39080,-0.46989,0.18050
-0.41516,-0.47249,0.14233
-0.43833,-0.42789,0.11474
-0.46023,-0.49378,0.16989
-0.48033,-0.55773,0.14128
-0.49793,-0.62419,0.11770
-0.51276,-0.58382,0.12478
-0.52468,-0.55883,0.15409
-0.53323,-0.54006,0.12223
-0.53802,-0.50855,0.16474
-0.53875,-0.62207,0.13359
-0.53530,-0.45079,0.13145
-0.52750,-0.56233,0.13683
-0.51529,-0.42829,0.16584
-0.49886,-0.54490,0.15330
-0.47836,-0.54236,0.14295
-0.45375,-0.53837,0.13071
-0.42544,-0.52735,0.16042
-0.39430,-0.57740,0.14880
-0.36088,-0.38125,0.16868
-0.32534,-0.41155,0.15022
-0.28876,-0.37546,0.14110
-0.25233,-0.15441,0.15856
-0.21687,-0.03397,0.09337
-0.18279,-0.09991,0.14544
-0.15115,-0.13814,0.14734
-0.12304,-0.08316,0.09839
-0.09983,0.02486,0.15950
-0.08229,0.03493,0.16948
