replicate,p
0,0.9999936958
1,0.9999975815
2,0.9999990473
3,0.9999953187
4,0.9999514917
5,0.9999979504
6,0.9999993774
7,0.9999986527
8,0.9999982829
9,0.9999975619
10,0.9999840763
11,0.9999887415
12,0.9999945077
13,0.9999991111
14,0.999998805
15,0.9999996713
16,0.9998969273
17,0.9999989895
18,0.9999979987
19,0.999990337
20,0.9999983121
21,0.9999984276
22,0.9999995452
23,0.9999983579
24,0.999997591
25,0.9999990329
26,0.9999989084
27,0.9999932986
28,0.9999952737
29,0.9999989017
30,0.999999365
31,0.9999973773
32,0.9999990087
33,0.999922395
34,0.9999927057
35,0.9999987818
36,0.9999709987
37,0.9999995076
38,0.9999994671
39,0.999997777
40,0.9999969188
41,0.9999981289
42,0.9999979071
43,0.9999975342
44,0.9999879124
45,0.9999775585
46,0.9999804803
47,0.9999995847
48,0.9999995167
49,0.999993941
50,0.9999988318
51,0.9999992281
52,0.9999991067
53,0.999999339
54,0.999996103
55,0.9999996607
56,0.9999918565
57,0.9999964182
58,0.999921434
59,0.9999993691
60,0.999997029
61,0.999995638
62,0.9999958601
63,0.9999991901
64,0.9999979096
65,0.9999981958
66,0.999994927
67,0.9999994229
68,0.9999986738
69,0.9999984534
70,0.9999978278
71,0.9999994947
72,0.9999982311
73,0.999996107
74,0.9999987302
75,0.9999978109
76,0.9999994295
77,0.9999972853
78,0.9999978494
79,0.999999195
80,0.9999974452
81,0.9999872507
82,0.9999976958
83,0.9999939718
84,0.9999993095
85,0.999996865
86,0.9999977199
87,0.999999125
88,0.9999892843
89,0.9999968904
90,0.9999939172
91,0.9999862368
92,0.9999987269
93,0.9999976692
94,0.9999984739
95,0.9999990171
96,0.9999984147
97,0.9999978669
98,0.9999973577
99,0.9999951418
100,0.999995813
101,0.9999830772
102,0.9999975169
103,0.9999941809
104,0.9999982416
105,0.9999966499
106,0.9999988735
107,0.999999222
108,0.9999954883
109,0.999998813
110,0.9999961405
111,0.9999918452
112,0.9999972167
113,0.9999988673
114,0.9999978464
115,0.9999917491
116,0.9999890488
117,0.999997947
118,0.9999934409
119,0.9999887479
120,0.9999948732
121,0.9999991649
122,0.9999978347
123,0.9999995988
124,0.9999939337
125,0.9999992969
126,0.9999875129
127,0.9999994725
128,0.9999979295
129,0.9999990866
130,0.999996275
131,0.9999984567
132,0.9999993659
133,0.9999994644
134,0.9999976498
135,0.9999995831
136,0.9999996519
137,0.9999994298
138,0.9999882127
139,0.9999976793
140,0.9999888212
141,0.9999964485
142,0.9999984052
143,0.9999944696
144,0.9999995821
145,0.9999993253
146,0.9999984799
147,0.9999982763
148,0.9999979691
149,0.9999987543
150,0.9999948501
151,0.9999995816
152,0.9999932517
153,0.9999902012
154,0.9999992814
155,0.9999988702
156,0.9999957686
157,0.9999990736
158,0.9999992858
159,0.9999995566
160,0.9999979661
161,0.9999993168
162,0.99999944
163,0.9999995233
164,0.9999990585
165,0.9999993714
166,0.9999995901
167,0.9999987766
168,0.9999995459
169,0.9999994466
170,0.9999974677
171,0.9999882479
172,0.9999994067
173,0.9999995662
174,0.9999995321
175,0.9999983157
176,0.9999976897
177,0.9999991783
178,0.9999991944
179,0.9999988472
180,0.9999995048
181,0.9999975985
182,0.9999983778
183,0.9999982621
184,0.9999988509
185,0.9999994439
186,0.9999991862
187,0.9999981395
188,0.9999880773
189,0.999999409
190,0.9999993489
191,0.9999983215
192,0.9999986033
193,0.9999976886
194,0.9999997649
195,0.9999981111
196,0.9999991542
197,0.999997651
198,0.9999976378
199,0.9999993522
200,0.9999988265
201,0.9999974968
202,0.9999980921
203,0.9999981529
204,0.9999980581
205,0.99999396
206,0.9999669843
207,0.9999996988
208,0.9999979661
209,0.9999992404
210,0.9999994628
211,0.9999987218
212,0.999998813
213,0.9999979961
214,0.9999990684
215,0.9999732554
216,0.9999925973
217,0.9999956557
218,0.9999891009
219,0.9999985538
220,0.9999985358
221,0.9999988151
222,0.9999994244
223,0.9999840209
224,0.9999983067
225,0.9999986947
226,0.9999993429
227,0.9999990098
228,0.999998745
229,0.9999957171
230,0.9999988589
231,0.9999996265
232,0.9999971067
233,0.9999987786
234,0.9999995055
235,0.9999988876
236,0.9999931864
237,0.9999975422
238,0.9999996086
239,0.999999521
240,0.9999982428
241,0.9999989447
242,0.9999993897
243,0.9999995239
244,0.9999988341
245,0.9999983802
246,0.999998614
247,0.9999900753
248,0.9999994514
249,0.9999990195
250,0.9999993168
251,0.9999359707
252,0.9999966095
253,0.9999993146
254,0.9999995087
255,0.9999984664
256,0.9999931944
257,0.9999983803
258,0.9999987852
259,0.9999991783
260,0.9999982583
261,0.9999984987
262,0.9999802481
263,0.9999994371
264,0.9999993399
265,0.9999995699
266,0.9999978486
267,0.9999996167
268,0.9999943179
269,0.999998334
270,0.9999991934
271,0.9999990292
272,0.9999993492
273,0.9999980861
274,0.999998278
275,0.9999922812
276,0.9999985912
277,0.9999984329
278,0.9999995067
279,0.9999970771
280,0.99999935
281,0.9999990532
282,0.9999985596
283,0.9999989641
284,0.9999974949
285,0.9999994572
286,0.9999992921
287,0.9999993063
288,0.9999754005
289,0.9999988687
290,0.9999989009
291,0.9999981409
292,0.9999995924
293,0.999999004
294,0.9999995041
295,0.9999995118
296,0.9999951959
297,0.9999992218
298,0.9999991163
299,0.9999989285
