replicate,p
0,1.234274382e-05
1,6.28769005e-06
2,2.666544568e-05
3,1.975490986e-05
4,1.896773066e-05
5,2.12447603e-05
6,2.21922155e-05
7,1.957611806e-05
8,5.319791426e-06
9,3.191327145e-05
10,2.629373006e-05
11,9.647795794e-06
12,1.114862407e-05
13,7.446495775e-06
14,1.249886412e-05
15,1.703962428e-05
16,1.142750005e-05
17,1.416361612e-05
18,3.194556005e-06
19,1.782846392e-05
20,8.315013565e-06
21,5.36707596e-06
22,2.597491169e-05
23,5.709191041e-05
24,0.0002108522723
25,1.210494713e-05
26,2.348383764e-05
27,5.179099854e-06
28,2.076904743e-05
29,8.153387894e-05
30,4.140920082e-05
31,5.248495932e-06
32,2.130467449e-06
33,5.913668881e-06
34,3.098731304e-06
35,5.62942449e-05
36,6.981359224e-05
37,6.630858389e-06
38,5.196331123e-06
39,1.143543167e-05
40,1.460399224e-05
41,1.117996998e-05
42,2.104009107e-06
43,1.029562219e-05
44,1.474419216e-05
45,4.7870994e-05
46,3.836318348e-06
47,1.684275659e-05
48,7.534674347e-06
49,2.764908635e-05
50,1.303717088e-06
51,1.359750348e-05
52,1.492376799e-05
53,2.488432675e-05
54,1.447227557e-05
55,9.463023013e-06
56,7.501900258e-06
57,1.216609429e-05
58,6.479089459e-07
59,2.149094261e-05
60,4.837297754e-05
61,0
62,4.972594422e-05
63,4.903651078e-05
64,9.94812956e-05
65,1.632584597e-05
66,6.223811426e-05
67,3.496910679e-06
68,3.741894835e-05
69,1.63685683e-05
70,2.200667573e-05
71,3.886614245e-05
72,2.668260464e-05
73,2.136425646e-05
74,5.146343059e-07
75,2.249687404e-05
76,4.31956044e-05
77,2.706249451e-05
78,3.432606124e-05
79,1.473896602e-05
80,5.369769071e-07
81,0.0001701581792
82,6.24628838e-06
83,1.64340088e-05
84,4.242651474e-06
85,2.245731649e-05
86,1.458344496e-05
87,9.986964232e-07
88,7.50227176e-06
89,1.764962312e-05
90,1.497201608e-05
91,2.289692088e-05
92,3.76239309e-05
93,2.486249985e-06
94,2.764080737e-05
95,1.297252943e-05
96,1.150215856e-05
97,5.979179376e-06
98,4.216983273e-05
99,1.037240968e-05
100,3.591419143e-05
101,5.499877971e-06
102,1.051644076e-05
103,2.874060173e-05
104,9.284950184e-06
105,5.905502633e-07
106,3.76657859e-05
107,3.493381685e-05
108,1.261466719e-05
109,1.818673625e-05
110,7.621035781e-05
111,1.127041344e-06
112,2.857424626e-05
113,0
114,2.198082306e-06
115,2.795258551e-05
116,6.061006032e-05
117,2.838755281e-05
118,1.609862608e-05
119,1.303729025e-06
120,3.934618774e-05
121,3.089961467e-05
122,3.569577467e-05
123,1.380780341e-06
124,3.611105542e-06
125,1.849346093e-05
126,6.667277802e-06
127,1.597112079e-05
128,9.820139836e-07
129,6.597091286e-06
130,1.610467355e-05
131,1.312784787e-05
132,8.620661366e-05
133,2.094577657e-05
134,4.482457198e-05
135,2.51321271e-05
136,5.514698106e-05
137,9.317324904e-05
138,1.671868252e-05
139,3.21212948e-06
140,4.574208579e-05
141,2.871812127e-05
142,1.529563905e-05
143,1.279306884e-05
144,3.398356161e-05
145,3.604334218e-05
146,1.260533167e-05
147,2.546460504e-06
148,2.070900716e-05
149,7.981854541e-05
150,2.381630109e-05
151,1.916243995e-05
152,9.598216212e-05
153,2.602919036e-05
154,3.512871563e-05
155,1.283334974e-05
156,1.816462005e-05
157,6.782112782e-06
158,6.091133506e-05
159,2.90568301e-05
160,1.537274819e-05
161,0
162,2.2902462e-07
163,2.050397429e-05
164,6.354757386e-06
165,2.118233096e-06
166,1.65003242e-05
167,1.899755316e-06
168,3.388617813e-05
169,8.226773301e-06
170,6.320664067e-06
171,9.202500914e-06
172,0.0001270561543
173,4.372466806e-05
174,2.930587436e-06
175,2.660508449e-05
176,7.510808136e-05
177,6.488252713e-05
178,1.825018173e-05
179,3.625198054e-05
180,8.504169942e-06
181,2.121399113e-05
182,4.129422836e-06
183,1.161956318e-05
184,1.443375543e-06
185,5.320531705e-06
186,2.945242133e-06
187,9.405417488e-05
188,6.315848832e-06
189,7.23066061e-05
190,1.808735275e-05
191,1.460541342e-05
192,1.759292077e-05
193,2.987439967e-05
194,4.998428949e-05
195,1.278023262e-05
196,3.737940504e-05
197,1.093969672e-05
198,4.857865874e-05
199,8.842930271e-07
