replicate,p
0,3.025687804e-08
1,3.025696375e-08
2,3.025667513e-08
3,3.025677346e-08
4,3.025678436e-08
5,3.025675198e-08
6,3.025673875e-08
7,3.02567756e-08
8,3.025697752e-08
9,3.025660105e-08
10,3.025668048e-08
11,3.02569162e-08
12,3.025689496e-08
13,3.025694751e-08
14,3.025687588e-08
15,3.025681159e-08
16,3.025689095e-08
17,3.025685245e-08
18,3.025700764e-08
19,3.025680052e-08
20,3.025693502e-08
21,3.025697684e-08
22,3.025668526e-08
23,3.02562447e-08
24,3.025406844e-08
25,3.025688141e-08
26,3.025672014e-08
27,3.025697946e-08
28,3.025675892e-08
29,3.025589738e-08
30,3.025646653e-08
31,3.025697849e-08
32,3.025702267e-08
33,3.025696919e-08
34,3.025700896e-08
35,3.025625601e-08
36,3.025606452e-08
37,3.025695904e-08
38,3.025697924e-08
39,3.025689091e-08
40,3.025684625e-08
41,3.025689472e-08
42,3.025702304e-08
43,3.025690713e-08
44,3.025684413e-08
45,3.025637501e-08
46,3.025699851e-08
47,3.025681418e-08
48,3.025694618e-08
49,3.025666112e-08
50,3.025703435e-08
51,3.025686026e-08
52,3.025684145e-08
53,3.025670042e-08
54,3.025684777e-08
55,3.025691878e-08
56,3.025694647e-08
57,3.025688056e-08
58,3.025704364e-08
59,3.025674848e-08
60,3.025636853e-08
61,3.02570528e-08
62,3.025634869e-08
63,3.025635875e-08
64,3.02556445e-08
65,3.025682176e-08
66,3.02561716e-08
67,3.025700333e-08
68,3.025652285e-08
69,3.025682123e-08
70,3.025674159e-08
71,3.025650269e-08
72,3.025667504e-08
73,3.025675037e-08
74,3.025704552e-08
75,3.025673431e-08
76,3.025644151e-08
77,3.025667003e-08
78,3.025656714e-08
79,3.0256844e-08
80,3.02570452e-08
81,3.025464308e-08
82,3.02569644e-08
83,3.025682015e-08
84,3.025699277e-08
85,3.025673499e-08
86,3.025684647e-08
87,3.025703867e-08
88,3.025694657e-08
89,3.025680297e-08
90,3.025684094e-08
91,3.025672897e-08
92,3.025652002e-08
93,3.025701764e-08
94,3.025666135e-08
95,3.025686919e-08
96,3.025688992e-08
97,3.025696811e-08
98,3.025645607e-08
99,3.025690595e-08
100,3.025654445e-08
101,3.025697491e-08
102,3.025690394e-08
103,3.025664567e-08
104,3.025692146e-08
105,3.025704445e-08
106,3.025651927e-08
107,3.025655783e-08
108,3.025687428e-08
109,3.025679518e-08
110,3.025597353e-08
111,3.025703685e-08
112,3.02566481e-08
113,3.02570528e-08
114,3.025702168e-08
115,3.025665751e-08
116,3.025619449e-08
117,3.025665111e-08
118,3.025682503e-08
119,3.025703436e-08
120,3.025649573e-08
121,3.025661521e-08
122,3.025654693e-08
123,3.025703325e-08
124,3.02570017e-08
125,3.025679097e-08
126,3.025695843e-08
127,3.02568269e-08
128,3.025703891e-08
129,3.025695946e-08
130,3.025682486e-08
131,3.025686701e-08
132,3.025583323e-08
133,3.025675617e-08
134,3.025641796e-08
135,3.025669704e-08
136,3.025627268e-08
137,3.02557343e-08
138,3.025681614e-08
139,3.025700736e-08
140,3.025640546e-08
141,3.025664661e-08
142,3.025683629e-08
143,3.025687182e-08
144,3.025657149e-08
145,3.025654222e-08
146,3.025687431e-08
147,3.025701676e-08
148,3.025675971e-08
149,3.025592298e-08
150,3.025671616e-08
151,3.025678155e-08
152,3.025569332e-08
153,3.025668435e-08
154,3.025655586e-08
155,3.025687122e-08
156,3.025679575e-08
157,3.025695676e-08
158,3.025619008e-08
159,3.025664119e-08
160,3.025683546e-08
161,3.02570528e-08
162,3.025704956e-08
163,3.025676242e-08
164,3.025696288e-08
165,3.025702285e-08
166,3.025681962e-08
167,3.025702592e-08
168,3.025657332e-08
169,3.025693637e-08
170,3.025696332e-08
171,3.025692252e-08
172,3.025525345e-08
173,3.025643438e-08
174,3.025701136e-08
175,3.025667652e-08
176,3.025598875e-08
177,3.025613354e-08
178,3.025679457e-08
179,3.025653994e-08
180,3.025693257e-08
181,3.025675247e-08
182,3.025699443e-08
183,3.02568883e-08
184,3.025703236e-08
185,3.025697752e-08
186,3.025701109e-08
187,3.025572117e-08
188,3.025696338e-08
189,3.025602876e-08
190,3.025679681e-08
191,3.025684588e-08
192,3.025680411e-08
193,3.025662973e-08
194,3.025634506e-08
195,3.025687194e-08
196,3.025652352e-08
197,3.025689807e-08
198,3.025636508e-08
199,3.025704029e-08
