time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00074,0.03587,0.09660,1,0,0,MODEL,-0.3191,0.100,0.0000,0,none
0.252,1,0.00074,0.06975,0.11783,1,0,0,MODEL,-0.3513,0.100,0.0000,0,none
0.278,2,0.00070,0.05528,0.11444,1,0,0,MODEL,-0.3375,0.100,0.0057,0,none
0.329,3,0.00050,0.11372,0.12701,1,0,0,MODEL,-0.3930,0.100,0.0173,0,none
0.378,4,0.00033,0.09322,0.12526,1,0,0,MODEL,-0.3736,0.100,0.0305,0,none
0.428,5,-0.00018,0.01405,0.10902,1,0,0,MODEL,-0.2983,0.100,0.0409,0,none
0.479,6,-0.00078,0.00048,0.11270,1,0,0,MODEL,-0.2855,0.100,0.0540,0,none
0.528,7,-0.00184,0.03833,0.08511,1,0,0,MODEL,-0.3214,0.100,0.0657,0,none
0.580,8,-0.00316,0.06864,0.09322,1,0,0,MODEL,-0.3502,0.100,0.0807,0,none
0.628,9,-0.00500,0.08833,0.16752,1,0,0,MODEL,-0.3689,0.100,0.0910,0,none
0.681,10,-0.00712,0.08416,0.11853,1,0,0,MODEL,-0.3650,0.100,0.1055,0,none
0.730,11,-0.00972,-0.00279,0.11798,1,0,0,MODEL,-0.2824,0.100,0.1161,0,none
0.782,12,-0.01256,0.00042,0.12444,1,0,0,MODEL,-0.2854,0.100,0.1278,0,none
0.830,13,-0.01541,0.06254,0.12001,1,0,0,MODEL,-0.3444,0.100,0.1394,0,none
0.882,14,-0.01884,-0.02196,0.08915,1,0,0,MODEL,-0.2641,0.100,0.1508,0,none
0.928,15,-0.01707,0.04085,0.12567,1,0,0,MODEL,-0.3238,0.100,0.1747,0,none
0.981,16,-0.02988,-0.00191,0.07740,1,0,0,MODEL,-0.2832,0.100,0.1747,0,none
1.030,17,-0.03269,-0.02049,0.09878,1,0,0,MODEL,-0.2655,0.100,0.1852,0,none
1.080,18,-0.03810,-0.05138,0.12785,1,0,0,MODEL,-0.2362,0.100,0.1961,0,none
1.128,19,-0.04393,-0.05211,0.12276,1,0,0,MODEL,-0.2355,0.100,0.2069,0,none
1.180,20,-0.05012,-0.00931,0.11983,1,0,0,MODEL,-0.2762,0.100,0.2177,0,none
1.231,21,-0.05705,-0.09553,0.10831,1,0,0,MODEL,-0.1942,0.100,0.2284,0,none
1.280,22,-0.06482,-0.16641,0.14935,1,0,0,MODEL,-0.1269,0.100,0.2390,0,none
1.330,23,-0.07228,-0.17117,0.11410,1,0,0,MODEL,-0.1224,0.100,0.2495,0,none
1.381,24,-0.07959,-0.17892,0.12248,1,0,0,MODEL,-0.1150,0.100,0.2598,0,none
1.433,25,-0.09248,-0.14473,0.15163,1,0,0,MODEL,-0.1475,0.100,0.2697,0,none
1.480,26,-0.09566,-0.05039,0.10139,1,0,0,MODEL,-0.2371,0.100,0.2803,0,none
1.532,27,-0.10522,-0.12983,0.11354,1,0,0,MODEL,-0.1617,0.100,0.2901,0,none
1.581,28,-0.11660,-0.10480,0.10434,1,0,0,MODEL,-0.1854,0.100,0.3000,0,none
1.630,29,-0.12798,-0.11614,0.09939,1,0,0,MODEL,-0.1747,0.100,0.3098,0,none
1.682,30,-0.14039,-0.10042,0.10503,1,0,0,MODEL,-0.1896,0.100,0.3196,0,none
1.732,31,-0.14721,0.08986,0.09911,1,0,0,MODEL,-0.3704,0.100,0.3293,0,none
1.781,32,-0.17044,0.12557,0.13099,1,0,0,MODEL,-0.4043,0.100,0.3400,0,none
1.832,33,-0.18810,-0.00493,0.10565,1,0,0,MODEL,-0.2803,0.100,0.3481,0,none
1.883,34,-0.20920,-0.20831,0.16697,1,0,0,MODEL,-0.0871,0.100,0.3575,0,none
1.931,35,-0.23003,-0.21253,0.13160,1,0,0,MODEL,-0.0831,0.100,0.3668,0,none
1.984,36,-0.24876,-0.08505,0.10605,1,0,0,MODEL,-0.2042,0.100,0.3759,0,none
2.032,37,-0.27322,-0.32585,0.14023,1,0,0,MODEL,0.0246,0.100,0.3866,0,none
2.082,38,-0.29313,-0.24143,0.12156,1,0,0,MODEL,-0.0556,0.100,0.3969,0,none
2.131,39,-0.30980,-0.21321,0.13816,1,0,0,MODEL,-0.0824,0.100,0.4029,0,none
2.182,40,-0.33079,-0.28621,0.12981,1,0,0,MODEL,-0.0131,0.100,0.4119,0,none
2.231,41,-0.35304,-0.37981,0.15308,1,0,0,MODEL,0.0758,0.100,0.4206,0,none
2.284,42,-0.37460,-0.34057,0.14842,1,0,0,MODEL,0.0385,0.100,0.4291,0,none
2.333,43,-0.39471,-0.43643,0.14473,1,0,0,MODEL,0.1296,0.100,0.4376,0,none
2.382,44,-0.41520,-0.46819,0.15278,1,0,0,MODEL,0.1598,0.100,0.4460,0,none
2.431,45,-0.43399,-0.57485,0.13398,1,0,0,MODEL,0.2611,0.100,0.4543,0,none
2.483,46,-0.45127,-0.53239,0.12923,1,0,0,MODEL,0.2208,0.100,0.4624,0,none
2.532,47,-0.46566,-0.58530,0.14135,1,0,0,MODEL,0.2710,0.100,0.4705,0,none
2.581,48,-0.47921,-0.58500,0.14397,1,0,0,MODEL,0.2708,0.100,0.4786,0,none
2.632,49,-0.49059,-0.55521,0.13695,1,0,0,MODEL,0.2425,0.100,0.4866,0,none
2.682,50,-0.50026,-0.57681,0.14983,1,0,0,MODEL,0.2630,0.100,0.4945,0,none
2.732,51,-0.50888,-0.56556,0.15091,1,0,0,MODEL,0.2523,0.100,0.5024,0,none
2.784,52,-0.51556,-0.59760,0.15540,1,0,0,MODEL,0.2827,0.100,0.5102,0,none
2.834,53,-0.52056,-0.57564,0.15771,1,0,0,MODEL,0.2619,0.100,0.5178,0,none
2.884,54,-0.52308,-0.59030,0.17974,1,0,0,MODEL,0.2758,0.100,0.5254,0,none
2.933,55,-0.52384,-0.55615,0.14183,1,0,0,MODEL,0.2433,0.100,0.5330,0,none
2.982,56,-0.52234,-0.53189,0.15818,1,0,0,MODEL,0.2203,0.100,0.5404,0,none
3.034,57,-0.51940,-0.51742,0.14139,1,0,0,MODEL,0.2065,0.100,0.5479,0,none
3.083,58,-0.51513,-0.50280,0.16203,1,0,0,MODEL,0.1927,0.100,0.5552,0,none
3.134,59,-0.50938,-0.49236,0.14967,1,0,0,MODEL,0.1827,0.100,0.5625,0,none
3.183,60,-0.50217,-0.37821,0.13923,1,0,0,MODEL,0.0743,0.100,0.5697,0,none
3.234,61,-0.49368,-0.46752,0.10702,1,0,0,MODEL,0.1591,0.100,0.5768,0,none
3.286,62,-0.48616,-0.37437,0.14000,1,0,0,MODEL,0.0707,0.100,0.5838,0,none
3.336,63,-0.47618,-0.57921,0.16730,1,0,0,MODEL,0.2653,0.100,0.5907,0,none
3.384,64,-0.46617,-0.53874,0.14596,1,0,0,MODEL,0.2268,0.100,0.5973,0,none
3.432,65,-0.45037,-0.42954,0.15249,1,0,0,MODEL,0.1231,0.100,0.6038,0,none
3.485,66,-0.43217,-0.53879,0.15564,1,0,0,MODEL,0.2269,0.100,0.6106,0,none
3.534,67,-0.41431,-0.33910,0.14839,1,0,0,MODEL,0.0371,0.100,0.6173,0,none
3.568,68,-0.39290,-0.44420,0.16017,1,0,0,MODEL,0.1370,0.100,0.6237,0,none
3.617,69,-0.37254,-0.47863,0.16371,1,0,0,MODEL,0.1697,0.100,0.6295,0,none
3.667,70,-0.34930,-0.56916,0.12605,1,0,0,MODEL,0.2557,0.100,0.6369,0,none
3.720,71,-0.32217,-0.37266,0.15572,1,0,0,MODEL,0.0690,0.100,0.6422,0,none
3.770,72,-0.29280,-0.32830,0.15123,1,0,0,MODEL,0.0269,0.100,0.6504,0,none
3.819,73,-0.26666,-0.45570,0.18534,1,0,0,MODEL,0.1479,0.100,0.6518,0,none
3.869,74,-0.23829,-0.04887,0.07914,1,0,0,MODEL,-0.2386,0.100,0.6653,0,none
3.919,75,-0.21243,-0.28931,0.15758,1,0,0,MODEL,-0.0102,0.100,0.6673,0,none
3.969,76,-0.19115,-0.34214,0.13189,1,0,0,MODEL,0.0400,0.100,0.6733,0,none
4.020,77,-0.16691,-0.24272,0.15270,1,0,0,MODEL,-0.0544,0.100,0.6764,0,none
4.068,78,-0.14067,-0.23807,0.19557,1,0,0,MODEL,-0.0588,0.100,0.6839,0,none
4.120,79,-0.11815,-0.25348,0.16587,1,0,0,MODEL,-0.0442,0.100,0.6884,0,none
4.170,80,-0.09451,-0.21372,0.14143,1,0,0,MODEL,-0.0820,0.100,0.6956,0,none
4.221,81,-0.07291,-0.03765,0.11640,1,0,0,MODEL,-0.2492,0.100,0.7006,0,none
4.272,82,-0.05395,0.00262,0.10705,1,0,0,MODEL,-0.2875,0.100,0.7067,0,none
4.322,83,-0.04359,0.01214,0.12717,1,0,0,MODEL,-0.2965,0.100,0.7124,0,none
4.373,84,-0.03648,-0.00829,0.09091,1,0,0,MODEL,-0.2771,0.100,0.7163,0,none
4.420,85,-0.03456,-0.00037,0.09316,1,0,0,MODEL,-0.2847,0.100,0.7239,0,none
4.473,86,-0.03509,-0.05377,0.12616,1,0,0,MODEL,-0.2339,0.100,0.7272,0,none
4.519,87,-0.04023,-0.01027,0.11166,1,0,0,MODEL,-0.2752,0.100,0.7346,0,none
4.570,88,-0.04739,0.03343,0.13334,1,0,0,MODEL,-0.3168,0.100,0.7380,0,none
4.622,89,-0.06100,-0.05752,0.09465,1,0,0,MODEL,-0.2304,0.100,0.7443,0,none
4.673,90,-0.07878,0.00785,0.14216,1,0,0,MODEL,-0.2925,0.100,0.7467,0,none
4.722,91,-0.09939,-0.17106,0.12642,1,0,0,MODEL,-0.1225,0.100,0.7545,0,none
4.773,92,-0.12405,-0.24229,0.12359,1,0,0,MODEL,-0.0548,0.100,0.7567,0,none
4.822,93,-0.14670,-0.20497,0.14159,1,0,0,MODEL,-0.0903,0.100,0.7652,0,none
4.871,94,-0.16865,-0.18106,0.15454,1,0,0,MODEL,-0.1130,0.100,0.7693,0,none
4.924,95,-0.19320,-0.31677,0.15124,1,0,0,MODEL,0.0159,0.100,0.7743,0,none
4.974,96,-0.21931,-0.30148,0.13591,1,0,0,MODEL,0.0014,0.100,0.7792,0,none
5.022,97,-0.24266,-0.30150,0.17258,1,0,0,MODEL,0.0014,0.100,0.7842,0,none
5.073,98,-0.26620,-0.27668,0.16110,1,0,0,MODEL,-0.0222,0.100,0.7891,0,none
5.121,99,-0.29007,-0.38055,0.16573,1,0,0,MODEL,0.0765,0.100,0.7940,0,none
5.172,100,-0.31421,-0.37079,0.12629,1,0,0,MODEL,0.0672,0.100,0.7987,0,none
5.224,101,-0.33512,-0.33419,0.12529,1,0,0,MODEL,0.0325,0.100,0.8034,0,none
5.276,102,-0.35520,-0.39896,0.14579,1,0,0,MODEL,0.0940,0.100,0.8082,0,none
5.324,103,-0.37511,-0.32307,0.13362,1,0,0,MODEL,0.0219,0.100,0.8128,0,none
5.374,104,-0.39270,-0.33058,0.12505,1,0,0,MODEL,0.0291,0.100,0.8174,0,none
5.423,105,-0.41133,-0.31844,0.15265,1,0,0,MODEL,0.0175,0.100,0.8220,0,none
5.476,106,-0.42962,-0.32489,0.14850,1,0,0,MODEL,0.0236,0.100,0.8265,0,none
5.524,107,-0.44784,-0.27316,0.10836,1,0,0,MODEL,-0.0255,0.100,0.8310,0,none
5.574,108,-0.46597,-0.33015,0.12473,1,0,0,MODEL,0.0286,0.100,0.8354,0,none
5.625,109,-0.48529,-0.40765,0.18342,1,0,0,MODEL,0.1023,0.100,0.8398,0,none
5.676,110,-0.50255,-0.42749,0.16726,1,0,0,MODEL,0.1211,0.100,0.8440,0,none
5.725,111,-0.51601,-0.29845,0.17968,1,0,0,MODEL,-0.0015,0.100,0.8483,0,none
5.776,112,-0.52748,-0.28561,0.13646,1,0,0,MODEL,-0.0137,0.100,0.8524,0,none
5.826,113,-0.54173,-0.13222,0.09791,1,0,0,MODEL,-0.1594,0.100,0.8567,0,none
5.875,114,-0.55803,-0.25161,0.12441,1,0,0,MODEL,-0.0460,0.100,0.8605,0,none
5.927,115,-0.57999,-0.36925,0.11893,1,0,0,MODEL,0.0658,0.100,0.8646,0,none
5.976,116,-0.46634,-0.45910,0.13121,1,0,0,MODEL,0.1511,0.100,0.8686,0,none
6.026,117,-0.57412,-0.60356,0.14252,1,0,0,MODEL,0.2884,0.100,0.8724,0,none
6.076,118,-0.67620,-0.79510,0.13703,1,0,0,MODEL,0.4703,0.100,0.8757,0,none
6.124,119,-0.76807,-0.75986,0.12268,1,0,0,MODEL,0.4369,0.100,0.8780,0,none
6.174,120,-0.84635,-0.54146,0.14868,1,0,0,MODEL,0.2294,0.100,0.8814,0,none
6.225,121,-0.91790,-0.71630,0.14217,1,0,0,MODEL,0.3955,0.100,0.8855,0,none
6.278,122,-0.81271,-0.92947,0.17770,1,0,0,MODEL,0.5980,0.100,0.8888,0,none
6.328,123,-0.96149,-1.24908,0.28979,0,1,0,MODEL,0.5980,0.100,0.8902,0,none
6.376,124,-1.09369,-1.24509,0.25189,1,0,0,MODEL,0.8978,0.100,0.8929,0,none
6.426,125,-1.21097,-1.27910,0.25495,1,0,0,MODEL,0.9301,0.100,0.8918,0,none
6.477,126,-1.30187,-1.16005,0.23319,1,0,0,MODEL,0.8170,0.100,0.8926,0,none
6.527,127,-1.37282,-1.29127,0.26845,1,0,0,MODEL,0.9417,0.100,0.8956,0,none
6.578,128,-1.42815,-1.43962,0.26756,1,0,0,MODEL,1.0000,0.100,0.8970,0,none
6.627,129,-1.30752,-1.76439,0.25283,1,0,0,MODEL,1.0000,0.100,0.8975,0,none
6.677,130,-1.41086,-1.64007,0.22916,1,0,0,MODEL,1.0000,0.100,0.8987,0,none
6.727,131,-1.49308,-1.67468,0.36550,0,1,0,MODEL,1.0000,0.100,0.9003,0,none
6.779,132,-1.55391,-1.58272,0.27629,1,0,0,MODEL,1.0000,0.100,0.9018,0,none
6.828,133,-1.59299,-1.45755,0.33575,0,1,0,MODEL,1.0000,0.100,0.9033,0,none
6.879,134,-1.61006,-1.46558,0.31514,0,2,0,MODEL,1.0000,0.100,0.9048,0,none
6.929,135,-1.38102,-1.67484,0.31769,0,3,0,MODEL,1.0000,0.100,0.9063,0,none
6.981,136,-1.45114,-1.65693,0.29013,0,4,0,MODEL,1.0000,0.100,0.9077,0,none
7.029,137,-1.49930,-1.60396,0.29619,0,5,0,MODEL,1.0000,0.100,0.9091,0,none
7.081,138,-1.52525,-1.60278,0.28746,0,6,0,MODEL,1.0000,0.100,0.9105,0,none
7.130,139,-1.52876,-1.24206,0.26205,1,0,0,MODEL,0.8950,0.100,0.9119,0,none
7.180,140,-1.51062,-1.20723,0.24355,1,0,0,MODEL,0.8619,0.100,0.9145,0,none
7.230,141,-1.47506,-1.23685,0.21482,1,0,0,MODEL,0.8900,0.100,0.9173,0,none
7.283,142,-1.23715,-1.34804,0.24872,1,0,0,MODEL,0.9956,0.100,0.9193,0,none
7.332,143,-1.26068,-1.29919,0.21758,1,0,0,MODEL,0.9492,0.100,0.9198,0,none
7.380,144,-1.25858,-1.10222,0.17575,1,0,0,MODEL,0.7621,0.100,0.9206,0,none
7.430,145,-1.23562,-1.00832,0.19334,1,0,0,MODEL,0.6729,0.100,0.9238,0,none
7.482,146,-1.19986,-0.79376,0.12918,1,0,0,MODEL,0.4691,0.100,0.9278,0,none
7.532,147,-1.15166,-0.84068,0.13845,1,0,0,MODEL,0.5136,0.100,0.9318,0,none
7.582,148,-1.09695,-0.96492,0.13657,1,0,0,MODEL,0.6317,0.100,0.9355,0,none
7.631,149,-0.91749,-0.95964,0.17878,1,0,0,MODEL,0.6267,0.100,0.9375,0,none
7.680,150,-0.93299,-0.94019,0.11677,1,0,0,MODEL,0.6082,0.100,0.9393,0,none
7.734,151,-0.93290,-0.89316,0.27498,1,0,0,MODEL,0.5635,0.100,0.9420,0,none
7.781,152,-0.91856,-0.62511,0.15951,1,0,0,MODEL,0.3089,0.100,0.9450,0,none
7.832,153,-0.89196,-0.74332,0.10918,1,0,0,MODEL,0.4212,0.100,0.9486,0,none
7.882,154,-0.86298,-0.76440,0.23988,1,0,0,MODEL,0.4412,0.100,0.9518,0,none
7.932,155,-0.71720,-0.84315,0.13954,1,0,0,MODEL,0.5160,0.100,0.9542,0,none
7.982,156,-0.76733,-0.75273,0.12711,1,0,0,MODEL,0.4301,0.100,0.9565,0,none
8.033,157,-0.80304,-0.72179,0.19515,1,0,0,MODEL,0.4007,0.100,0.9591,0,none
