time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00070,0.06546,0.11924,1,0,0,MODEL,-0.3472,0.100,0.0000,0,none
0.079,1,0.00070,0.07286,0.06401,1,0,0,MODEL,-0.3542,0.100,0.0000,0,none
0.107,2,0.00071,0.10048,0.09999,1,0,0,MODEL,-0.3805,0.100,0.0106,0,none
0.148,3,0.00067,0.09014,0.12151,1,0,0,MODEL,-0.3706,0.100,0.0124,0,none
0.199,4,0.00054,0.09124,0.15403,1,0,0,MODEL,-0.3717,0.100,0.0259,0,none
0.248,5,-0.00011,-0.03033,0.14169,1,0,0,MODEL,-0.2562,0.100,0.0441,0,none
0.299,6,-0.00088,0.06334,0.11091,1,0,0,MODEL,-0.3452,0.100,0.0535,0,none
0.349,7,-0.00163,0.05668,0.10972,1,0,0,MODEL,-0.3388,0.100,0.0648,0,none
0.400,8,-0.00310,0.05442,0.14037,1,0,0,MODEL,-0.3367,0.100,0.0771,0,none
0.449,9,-0.00494,0.09727,0.15156,1,0,0,MODEL,-0.3774,0.100,0.0897,0,none
0.501,10,-0.00681,0.05050,0.15447,1,0,0,MODEL,-0.3330,0.100,0.1017,0,none
0.547,11,-0.00913,0.08935,0.11837,1,0,0,MODEL,-0.3699,0.100,0.1136,0,none
0.598,12,-0.01167,-0.01628,0.11663,1,0,0,MODEL,-0.2695,0.100,0.1253,0,none
0.648,13,-0.01462,-0.02076,0.08977,1,0,0,MODEL,-0.2653,0.100,0.1369,0,none
0.699,14,-0.01746,0.02763,0.08886,1,0,0,MODEL,-0.3112,0.100,0.1484,0,none
0.748,15,-0.01178,-0.00786,0.11446,1,0,0,MODEL,-0.2775,0.100,0.1612,0,none
0.799,16,-0.02807,-0.06099,0.09902,1,0,0,MODEL,-0.2271,0.100,0.1713,0,none
0.851,17,-0.02930,-0.05413,0.08791,1,0,0,MODEL,-0.2336,0.100,0.1822,0,none
0.900,18,-0.03349,-0.02081,0.07206,1,0,0,MODEL,-0.2652,0.100,0.1933,0,none
0.949,19,-0.03854,-0.05732,0.09874,1,0,0,MODEL,-0.2305,0.100,0.2041,0,none
0.998,20,-0.04428,-0.13409,0.11975,1,0,0,MODEL,-0.1576,0.100,0.2149,0,none
1.048,21,-0.05009,-0.14200,0.13533,1,0,0,MODEL,-0.1501,0.100,0.2257,0,none
1.099,22,-0.05576,-0.06935,0.09176,1,0,0,MODEL,-0.2191,0.100,0.2363,0,none
1.151,23,-0.06210,-0.07052,0.09124,1,0,0,MODEL,-0.2180,0.100,0.2467,0,none
1.197,24,-0.06976,-0.14444,0.12096,1,0,0,MODEL,-0.1478,0.100,0.2571,0,none
