cte_true,mc_mean,mc_std
0.00073,0.02150,0.11442
0.00073,0.05422,0.11398
0.00069,0.11010,0.15744
0.00055,0.10821,0.13868
0.00018,-0.03287,0.13695
-0.00020,0.09316,0.10995
-0.00083,0.00676,0.10530
-0.00166,0.19629,0.14647
-0.00265,0.06277,0.08591
-0.00389,0.04841,0.12732
-0.00557,0.04010,0.09558
-0.00764,0.02787,0.11599
-0.01002,-0.07409,0.10818
-0.01274,-0.04039,0.11457
-0.01258,0.04951,0.13294
-0.01653,0.03404,0.08957
-0.02512,0.04370,0.11297
-0.02805,0.00237,0.15010
-0.03306,0.02494,0.08308
-0.03857,-0.02409,0.09929
-0.04462,-0.05527,0.10943
-0.05127,-0.06962,0.13437
-0.05853,-0.13037,0.09109
-0.06639,-0.18429,0.12942
-0.07494,-0.15454,0.11700
-0.09002,-0.09922,0.12309
-0.09381,-0.07766,0.14652
-0.10421,-0.06495,0.10014
-0.11556,-0.05290,0.11751
-0.12752,-0.15754,0.12127
-0.14009,-0.02608,0.12155
-0.14675,0.04699,0.12001
-0.16796,-0.00118,0.11289
-0.18208,0.03367,0.15519
-0.19705,-0.10696,0.11519
-0.21278,-0.23046,0.15983
-0.22903,-0.13757,0.17637
-0.25082,-0.24481,0.11714
-0.26365,-0.21852,0.12189
-0.27999,-0.12804,0.09118
-0.29759,-0.28382,0.14408
-0.31525,-0.40927,0.14526
-0.33278,-0.39212,0.15404
-0.35034,-0.33324,0.15539
-0.36775,-0.32549,0.17269
-0.38471,-0.38715,0.16931
-0.40134,-0.47190,0.14615
-0.41747,-0.43085,0.11075
-0.43285,-0.38953,0.13523
-0.44732,-0.56129,0.15399
-0.46096,-0.53954,0.15717
-0.47357,-0.61497,0.15554
-0.48487,-0.55710,0.16121
-0.49482,-0.54225,0.15998
-0.50342,-0.54224,0.14396
-0.51051,-0.50693,0.11744
-0.51590,-0.50404,0.12748
-0.51958,-0.59356,0.12598
-0.52148,-0.46742,0.14400
-0.52153,-0.48777,0.16873
-0.51968,-0.48727,0.12518
-0.51590,-0.53878,0.13686
-0.51020,-0.38442,0.15445
-0.50257,-0.41413,0.14325
-0.49309,-0.43993,0.18344
-0.48180,-0.54157,0.10911
-0.46873,-0.58610,0.13829
-0.45399,-0.53401,0.14155
-0.43779,-0.58807,0.17157
-0.42036,-0.63467,0.13752
-0.40181,-0.59832,0.16046
-0.38223,-0.52906,0.16597
-0.36180,-0.45913,0.13243
-0.34091,-0.52317,0.16322
-0.31974,-0.35939,0.18891
-0.29839,-0.37906,0.17751
-0.27715,-0.30045,0.17024
-0.25645,-0.19209,0.16422
-0.23650,-0.16047,0.16456
-0.21742,-0.10404,0.11557
-0.19949,-0.13894,0.11744
-0.18312,-0.14784,0.09731
-0.16849,-0.07606,0.11489
-0.15568,0.04188,0.13157
-0.14502,-0.12214,0.15040
-0.13665,-0.27690,0.15610
-0.13068,-0.26584,0.14451
-0.12717,-0.27499,0.15010
-0.12624,-0.14905,0.17380
-0.12791,-0.10294,0.16589
-0.13215,-0.04370,0.10769
-0.13896,-0.08751,0.10655
-0.14819,-0.16295,0.17036
-0.15968,-0.16676,0.12476
-0.17342,-0.19967,0.12619
-0.18921,-0.22148,0.14446
-0.20667,-0.35378,0.17645
-0.22543,-0.36684,0.19512
-0.24523,-0.41287,0.12984
-0.26599,-0.38030,0.14879
-0.28734,-0.31103,0.12234
-0.30861,-0.19971,0.14740
-0.32944,-0.32307,0.14439
-0.34978,-0.37423,0.13575
-0.36925,-0.26491,0.14035
-0.38730,-0.21864,0.09385
-0.40345,-0.40774,0.15667
-0.41750,-0.25970,0.14452
-0.42935,-0.17674,0.11359
-0.43876,-0.38948,0.16174
-0.44534,-0.32758,0.15523
-0.44899,-0.10457,0.07598
