replicate,p
0,0.9716868118
1,0.9715741296
2,0.9746174926
3,0.9665222184
4,0.969043705
5,0.966896781
6,0.9724220615
7,0.9627744977
8,0.9740795169
9,0.9643603613
10,0.9793998281
11,0.9756557127
12,0.9686171038
13,0.9770550299
14,0.9779422817
15,0.9701887793
16,0.9825631284
17,0.9723831261
18,0.9703759653
19,0.9680465932
20,0.9677623192
21,0.9664864082
22,0.9838462292
23,0.9677923774
24,0.9682404457
25,0.9682381717
26,0.9759451504
27,0.9666746947
28,0.9783145199
29,0.9626718906
30,0.9744140764
31,0.9721508082
32,0.9689685028
33,0.9508071052
34,0.9638662517
35,0.9699413422
36,0.9749902288
37,0.9726060437
38,0.9616674479
39,0.9751177908
40,0.9636377269
41,0.9694690678
42,0.9758498353
43,0.9620588587
44,0.9785545213
45,0.9736754356
46,0.9732450212
47,0.960915113
48,0.9756916164
49,0.9740952099
50,0.9678817785
51,0.9778970481
52,0.969049453
53,0.9771067899
54,0.9656184345
55,0.9641818191
56,0.961675421
57,0.9683209363
58,0.9694582871
59,0.966925889
60,0.9634317401
61,0.9748976215
62,0.9668983902
63,0.9784077154
64,0.9814626481
65,0.9684213122
66,0.9698749795
67,0.9631643044
68,0.9756057319
69,0.9731137066
70,0.9819032917
71,0.9644547312
72,0.9709493771
73,0.9676386168
74,0.9697173255
75,0.9746338902
76,0.9731476021
77,0.9626249865
78,0.966278002
79,0.9750745929
80,0.9696225631
81,0.9739237556
82,0.9666025451
83,0.9690718248
84,0.9618800252
85,0.9683326404
86,0.9636117195
87,0.970860569
88,0.9653724174
89,0.9674315787
90,0.9811425411
91,0.9825639932
92,0.9712746261
93,0.9716865705
94,0.9713776957
95,0.9764149504
96,0.9760876422
97,0.9688867178
98,0.9738120931
99,0.9669779438
100,0.962451275
101,0.9731720721
102,0.9667922155
103,0.9791818691
104,0.9819253304
105,0.9767684294
106,0.9718322957
107,0.9803569417
108,0.9781917174
109,0.974916929
110,0.9688551701
111,0.9650607767
112,0.9814792336
113,0.9776710779
114,0.9668964903
115,0.984522464
116,0.974690967
117,0.9686213193
118,0.9654661918
119,0.9584067868
120,0.9735812479
121,0.9768388164
122,0.9730288641
123,0.9737943801
124,0.9692352273
125,0.9795182354
126,0.9763499761
127,0.9563310733
128,0.9611042103
129,0.9667500164
130,0.9717984159
131,0.9607485116
132,0.9769990182
133,0.9610689073
134,0.9724503659
135,0.9694956913
136,0.963865306
137,0.9682713218
138,0.9565212781
139,0.9699452644
140,0.970773212
141,0.9734075803
142,0.9769663994
143,0.9699082478
144,0.9661492012
145,0.9724793364
146,0.9553298227
147,0.9684397346
148,0.9722686377
149,0.96806747
150,0.970410294
151,0.9671747509
152,0.9684622686
153,0.9676032653
154,0.9725840023
155,0.9809713129
156,0.9809752681
157,0.9609708376
158,0.968634342
159,0.966594312
160,0.9672448622
161,0.9694974827
162,0.9716760069
163,0.9700792203
164,0.9742536905
165,0.9637753964
166,0.9694239384
167,0.9754134715
168,0.9651060845
169,0.9738542311
170,0.9759099756
171,0.9654099337
172,0.9747598533
173,0.9641555351
174,0.9769305107
175,0.9640330363
176,0.9737119136
177,0.9710294401
178,0.9712038445
179,0.9744084671
180,0.9618992398
181,0.9713958934
182,0.973374252
183,0.9778963329
184,0.979000334
185,0.9739729451
186,0.969394426
187,0.9659667181
188,0.9638714285
189,0.9671573267
190,0.9737912239
191,0.9615613474
192,0.9628658233
193,0.9668975878
194,0.9701447549
195,0.9687706434
196,0.9724809134
197,0.9831496076
198,0.9665504807
199,0.977210582
