replicate,p
0,7.743351118e-08
1,7.801353969e-08
2,7.273380938e-08
3,7.634842263e-08
4,7.619127327e-08
5,7.329188853e-08
6,7.945251023e-08
7,7.859993761e-08
8,7.959666805e-08
9,7.525350755e-08
10,8.212313524e-08
11,7.711216217e-08
12,7.318100042e-08
13,7.567466456e-08
14,7.48935036e-08
15,8.00243921e-08
16,7.522801604e-08
17,7.783206073e-08
18,7.336389092e-08
19,7.690587893e-08
20,8.268445928e-08
21,7.73183934e-08
22,8.408176954e-08
23,7.531616355e-08
24,8.134689322e-08
25,8.146700775e-08
26,8.585159834e-08
27,8.458001903e-08
28,7.945459257e-08
29,7.794226596e-08
30,7.368959415e-08
31,7.879020459e-08
32,7.322915919e-08
33,7.36408171e-08
34,8.022855458e-08
35,8.175851864e-08
36,8.298980573e-08
37,8.229615601e-08
38,7.410219099e-08
39,8.193153947e-08
40,7.740365499e-08
41,7.830990505e-08
42,7.668958426e-08
43,7.39373416e-08
44,7.613295448e-08
45,8.084769287e-08
46,8.124280605e-08
47,7.689739103e-08
48,7.540053251e-08
49,7.829670887e-08
50,7.501882123e-08
51,8.22028224e-08
52,7.427059638e-08
53,7.909811913e-08
54,7.569593397e-08
55,8.062492913e-08
56,7.782886296e-08
57,7.455715907e-08
58,7.617201162e-08
59,7.841145808e-08
60,7.693295299e-08
61,7.940690434e-08
62,7.909195345e-08
63,7.755377444e-08
64,7.779852428e-08
65,8.618455846e-08
66,7.744692281e-08
67,7.815445858e-08
68,8.274520007e-08
69,7.071267523e-08
70,7.858955105e-08
71,8.298146334e-08
72,7.523240662e-08
73,7.714489731e-08
74,7.70046724e-08
75,7.993332303e-08
76,8.225728558e-08
77,7.351702602e-08
78,7.644529362e-08
79,7.709115087e-08
80,8.760015592e-08
81,7.618436488e-08
82,7.651282941e-08
83,8.281055914e-08
84,8.441025187e-08
85,7.363867811e-08
86,8.610086282e-08
87,7.408201138e-08
88,7.748325582e-08
89,8.020501218e-08
90,7.866015783e-08
91,8.127584104e-08
92,7.828311614e-08
93,8.165471999e-08
94,7.412939106e-08
95,7.30852402e-08
96,7.760811168e-08
97,8.345481509e-08
98,7.113896058e-08
99,7.887321083e-08
100,7.9764793e-08
101,7.742860841e-08
102,7.820787053e-08
103,7.749709932e-08
104,7.52176497e-08
105,8.490730937e-08
106,8.533550436e-08
107,8.183463876e-08
108,8.191792869e-08
109,7.643642992e-08
110,7.810371718e-08
111,8.328391972e-08
112,7.789065643e-08
113,7.878423061e-08
114,7.615147387e-08
115,7.61730313e-08
116,7.922923967e-08
117,7.100144247e-08
118,7.809174748e-08
119,7.324446566e-08
120,7.664194843e-08
121,7.458517437e-08
122,7.835839847e-08
123,8.004742822e-08
124,7.561668632e-08
125,7.447978938e-08
126,7.503479225e-08
127,7.342896632e-08
128,7.829280804e-08
129,7.595857678e-08
130,7.100360844e-08
131,8.378559965e-08
132,7.693694343e-08
133,7.858431704e-08
134,7.882159883e-08
135,8.107056458e-08
136,7.731312424e-08
137,7.485004192e-08
138,7.589336903e-08
139,8.197700753e-08
140,7.728798037e-08
141,7.926163227e-08
142,7.616571381e-08
143,7.624718887e-08
144,8.192043842e-08
145,7.583044593e-08
146,8.661131326e-08
147,7.618225423e-08
148,7.729158365e-08
149,8.087458355e-08
150,8.179925607e-08
151,8.235369669e-08
152,7.897754066e-08
153,8.245784323e-08
154,7.773847209e-08
155,7.877332171e-08
156,7.523348185e-08
157,7.739803368e-08
158,7.338798215e-08
159,7.928197606e-08
160,7.63103468e-08
161,7.946224558e-08
162,7.812699923e-08
163,7.848609065e-08
164,7.575313721e-08
165,7.807895239e-08
166,7.602560689e-08
167,7.401345835e-08
168,7.333617747e-08
169,6.828873543e-08
170,7.244652635e-08
171,7.124434254e-08
172,7.056001135e-08
173,7.804216364e-08
174,6.932769883e-08
175,7.75304098e-08
176,7.742442376e-08
177,8.11661639e-08
178,8.91396161e-08
179,8.737123284e-08
180,7.341273157e-08
181,7.505734749e-08
182,7.84222205e-08
183,7.995718929e-08
184,8.21832862e-08
185,7.495214555e-08
186,8.424777761e-08
187,8.324179247e-08
188,7.611894722e-08
189,7.874304323e-08
190,7.448953383e-08
191,7.855957729e-08
192,7.727358765e-08
193,7.930145079e-08
194,8.166541316e-08
195,7.534677082e-08
196,8.433652084e-08
197,7.844668311e-08
198,7.720025503e-08
199,8.690680959e-08
