time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00070,0.10318,0.14904,1,0,0,MODEL,-0.3830,0.100,0.0000,0,none
0.085,1,0.00070,0.12047,0.14529,1,0,0,MODEL,-0.3994,0.100,0.0000,0,none
0.119,2,0.00066,0.06384,0.16715,1,0,0,MODEL,-0.3457,0.100,0.0056,0,none
0.170,3,0.00066,0.06514,0.15941,1,0,0,MODEL,-0.3469,0.100,0.0158,0,none
0.220,4,0.00054,0.08581,0.10268,1,0,0,MODEL,-0.3665,0.100,0.0311,0,none
0.271,5,0.00011,-0.13428,0.36457,0,1,0,MODEL,-0.3665,0.100,0.0458,0,none
0.319,6,-0.00073,0.07558,0.15511,1,0,0,MODEL,-0.3568,0.100,0.0578,0,none
0.369,7,-0.00197,0.15562,0.18444,1,0,0,MODEL,-0.4328,0.100,0.0684,0,none
0.420,8,-0.00364,0.11309,0.14198,1,0,0,MODEL,-0.3924,0.100,0.0821,0,none
0.471,9,-0.00597,0.12498,0.16247,1,0,0,MODEL,-0.4037,0.100,0.0898,0,none
0.519,10,-0.00856,0.08615,0.11340,1,0,0,MODEL,-0.3668,0.100,0.1053,0,none
0.570,11,-0.01161,0.02818,0.10225,1,0,0,MODEL,-0.3118,0.100,0.1159,0,none
0.619,12,-0.01487,0.05674,0.13804,1,0,0,MODEL,-0.3389,0.100,0.1276,0,none
0.669,13,-0.01839,0.09804,0.14176,1,0,0,MODEL,-0.3781,0.100,0.1392,0,none
0.720,14,-0.02266,0.08930,0.13969,1,0,0,MODEL,-0.3698,0.100,0.1506,0,none
0.771,15,-0.01837,0.10009,0.09585,1,0,0,MODEL,-0.3801,0.100,0.1621,0,none
0.820,16,-0.03592,0.09549,0.17706,1,0,0,MODEL,-0.3757,0.100,0.1731,0,none
0.869,17,-0.03997,0.06377,0.11050,1,0,0,MODEL,-0.3456,0.100,0.1845,0,none
