time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00073,0.12653,0.13962,1,0,0,MODEL,-0.4052,0.100,0.0000,0,none
0.074,1,0.00073,0.08423,0.11675,1,0,0,MODEL,-0.3650,0.100,0.0000,0,none
0.112,2,0.00072,0.07185,0.13796,1,0,0,MODEL,-0.3533,0.100,0.0102,0,none
0.160,3,0.00039,0.05259,0.13279,1,0,0,MODEL,-0.3350,0.100,0.0225,0,none
0.210,4,0.00027,0.16508,0.17330,1,0,0,MODEL,-0.4418,0.100,0.0340,0,none
0.260,5,-0.00043,0.05153,0.13295,1,0,0,MODEL,-0.3340,0.100,0.0475,0,none
0.311,6,-0.00132,0.05323,0.10633,1,0,0,MODEL,-0.3356,0.100,0.0537,0,none
0.360,7,-0.00247,0.10452,0.17196,1,0,0,MODEL,-0.3843,0.100,0.0697,0,none
0.412,8,-0.00399,0.18242,0.14257,1,0,0,MODEL,-0.4583,0.100,0.0815,0,none
0.462,9,-0.00610,0.17165,0.14450,1,0,0,MODEL,-0.4481,0.100,0.0936,0,none
0.514,10,-0.00890,0.05861,0.10805,1,0,0,MODEL,-0.3407,0.100,0.1062,0,none
0.564,11,-0.01191,0.05232,0.15755,1,0,0,MODEL,-0.3347,0.100,0.1182,0,none
0.612,12,-0.01500,0.04905,0.16783,1,0,0,MODEL,-0.3316,0.100,0.1298,0,none
0.663,13,-0.01853,0.09620,0.14697,1,0,0,MODEL,-0.3764,0.100,0.1413,0,none
0.712,14,-0.01939,0.08116,0.13031,1,0,0,MODEL,-0.3621,0.100,0.1659,0,none
0.763,15,-0.02471,0.11504,0.11910,1,0,0,MODEL,-0.3943,0.100,0.1724,0,none
0.816,16,-0.03487,0.09916,0.14004,1,0,0,MODEL,-0.3792,0.100,0.1759,0,none
0.864,17,-0.03985,0.06930,0.10961,1,0,0,MODEL,-0.3508,0.100,0.1868,0,none
0.913,18,-0.04699,0.08313,0.12194,1,0,0,MODEL,-0.3640,0.100,0.1975,0,none
0.965,19,-0.05473,0.09323,0.10546,1,0,0,MODEL,-0.3736,0.100,0.2084,0,none
1.014,20,-0.06345,-0.02830,0.09554,1,0,0,MODEL,-0.2581,0.100,0.2191,0,none
1.063,21,-0.07282,0.05668,0.10180,1,0,0,MODEL,-0.3388,0.100,0.2299,0,none
1.114,22,-0.08228,0.08620,0.11481,1,0,0,MODEL,-0.3669,0.100,0.2403,0,none
1.165,23,-0.09354,0.11138,0.13569,1,0,0,MODEL,-0.3908,0.100,0.2507,0,none
