time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00074,0.13477,0.18654,1,0,0,MODEL,-0.4130,0.100,0.0000,0,none
0.031,1,0.00074,0.08960,0.13835,1,0,0,MODEL,-0.3701,0.100,0.0000,0,none
0.081,2,0.00065,0.11515,0.17046,1,0,0,MODEL,-0.3944,0.100,0.0103,0,none
0.133,3,0.00041,0.10262,0.16790,1,0,0,MODEL,-0.3825,0.100,0.0241,0,none
0.183,4,-0.00015,0.09175,0.22172,1,0,0,MODEL,-0.3722,0.100,0.0353,0,none
0.231,5,-0.00087,0.15511,0.18133,1,0,0,MODEL,-0.4324,0.100,0.0495,0,none
0.281,6,-0.00177,0.07016,0.21354,1,0,0,MODEL,-0.3516,0.100,0.0585,0,none
0.332,7,-0.00311,0.21743,0.19104,1,0,0,MODEL,-0.4916,0.100,0.0712,0,none
0.381,8,-0.00514,0.15299,0.18268,1,0,0,MODEL,-0.4303,0.100,0.0817,0,none
0.433,9,-0.00754,0.06084,0.11282,1,0,0,MODEL,-0.3428,0.100,0.0946,0,none
0.484,10,-0.01009,0.12958,0.20011,1,0,0,MODEL,-0.4081,0.100,0.1093,0,none
0.534,11,-0.01281,0.02285,0.12523,1,0,0,MODEL,-0.3067,0.100,0.1202,0,none
0.583,12,-0.01610,0.11580,0.13363,1,0,0,MODEL,-0.3950,0.100,0.1319,0,none
0.634,13,-0.01953,0.19995,0.20411,1,0,0,MODEL,-0.4750,0.100,0.1434,0,none
0.682,14,-0.01792,0.05933,0.13754,1,0,0,MODEL,-0.3414,0.100,0.1649,0,none
0.733,15,-0.02971,0.08482,0.13119,1,0,0,MODEL,-0.3656,0.100,0.1669,0,none
0.783,16,-0.03587,0.10224,0.15369,1,0,0,MODEL,-0.3821,0.100,0.1770,0,none
0.833,17,-0.04126,0.05685,0.12452,1,0,0,MODEL,-0.3390,0.100,0.1883,0,none
0.882,18,-0.04835,0.00366,0.09918,1,0,0,MODEL,-0.2885,0.100,0.1990,0,none
0.933,19,-0.05568,0.02799,0.13291,1,0,0,MODEL,-0.3116,0.100,0.2099,0,none
0.984,20,-0.06342,0.03594,0.09597,1,0,0,MODEL,-0.3191,0.100,0.2207,0,none
1.032,21,-0.07220,0.06906,0.12392,1,0,0,MODEL,-0.3506,0.100,0.2313,0,none
1.082,22,-0.08205,0.04346,0.10656,1,0,0,MODEL,-0.3263,0.100,0.2418,0,none
1.136,23,-0.09312,0.13830,0.12756,1,0,0,MODEL,-0.4164,0.100,0.2522,0,none
1.184,24,-0.10534,0.07851,0.14168,1,0,0,MODEL,-0.3596,0.100,0.2624,0,none
1.232,25,-0.12577,0.08115,0.17064,1,0,0,MODEL,-0.3621,0.100,0.2724,0,none
1.283,26,-0.13429,0.07219,0.12642,1,0,0,MODEL,-0.3536,0.100,0.2826,0,none
1.333,27,-0.15049,0.05889,0.11899,1,0,0,MODEL,-0.3409,0.100,0.2926,0,none
1.383,28,-0.16808,0.14588,0.17848,1,0,0,MODEL,-0.4236,0.100,0.3024,0,none
1.434,29,-0.18721,0.06447,0.16251,1,0,0,MODEL,-0.3462,0.100,0.3121,0,none
1.484,30,-0.20563,0.15261,0.20845,1,0,0,MODEL,-0.4300,0.100,0.3208,0,none
1.534,31,-0.22493,0.20345,0.15264,1,0,0,MODEL,-0.4783,0.100,0.3322,0,none
1.582,32,-0.25868,0.11386,0.12832,1,0,0,MODEL,-0.3932,0.100,0.3415,0,none
1.634,33,-0.28536,0.18236,0.15748,1,0,0,MODEL,-0.4582,0.100,0.3502,0,none
1.684,34,-0.31477,0.14932,0.17909,1,0,0,MODEL,-0.4269,0.100,0.3593,0,none
1.734,35,-0.34738,0.12390,0.15558,1,0,0,MODEL,-0.4027,0.100,0.3685,0,none
1.784,36,-0.38400,0.02344,0.11820,1,0,0,MODEL,-0.3073,0.100,0.3820,0,none
1.836,37,-0.42435,-0.04768,0.12242,1,0,0,MODEL,-0.2397,0.100,0.3867,0,none
1.886,38,-0.45759,0.01139,0.16467,1,0,0,MODEL,-0.2958,0.100,0.3989,0,none
1.934,39,-0.49273,-0.05038,0.17624,1,0,0,MODEL,-0.2371,0.100,0.4044,0,none
1.984,40,-0.53325,-0.06141,0.14473,1,0,0,MODEL,-0.2267,0.100,0.4135,0,none
2.037,41,-0.57479,-0.10946,0.14351,1,0,0,MODEL,-0.1810,0.100,0.4221,0,none
2.088,42,-0.61781,-0.11222,0.14592,1,0,0,MODEL,-0.1784,0.100,0.4308,0,none
2.138,43,-0.66194,-0.21884,0.22377,1,0,0,MODEL,-0.0771,0.100,0.4393,0,none
2.188,44,-0.70758,-0.05350,0.13840,1,0,0,MODEL,-0.2342,0.100,0.4477,0,none
2.236,45,-0.75323,-0.10289,0.15007,1,0,0,MODEL,-0.1873,0.100,0.4559,0,none
2.286,46,-0.80311,-0.08286,0.14655,1,0,0,MODEL,-0.2063,0.100,0.4640,0,none
2.336,47,-0.85470,-0.07441,0.16561,1,0,0,MODEL,-0.2143,0.100,0.4722,0,none
2.386,48,-0.90855,-0.12025,0.13467,1,0,0,MODEL,-0.1708,0.100,0.4803,0,none
2.439,49,-0.96474,-0.22788,0.23997,1,0,0,MODEL,-0.0685,0.100,0.4883,0,none
2.487,50,-1.02208,-0.08722,0.15840,1,0,0,MODEL,-0.2021,0.100,0.4963,0,none
2.538,51,-1.07926,-0.01928,0.18979,1,0,0,MODEL,-0.2667,0.100,0.5040,0,none
2.588,52,-1.14062,0.24265,0.37159,0,0,0,MODEL,-0.5155,0.100,0.5115,0,none
2.638,53,-1.20673,0.47393,0.35427,0,0,0,MODEL,-0.7352,0.100,0.5183,0,none
2.688,54,-1.28196,0.45839,0.43619,0,0,0,MODEL,-0.7205,0.100,0.5243,0,none
2.738,55,-1.36755,0.85336,0.41405,0,0,0,MODEL,-1.0000,0.100,0.5308,0,none
2.790,56,-1.46025,1.14968,0.40760,0,0,0,MODEL,-1.0000,0.100,0.5362,0,none
2.840,57,-1.56518,1.29694,0.25553,1,0,0,MODEL,-1.0000,0.100,0.5414,0,none
