cte_true,mc_mean,mc_std
0.00085,0.08864,0.15112
0.00085,0.09518,0.11482
0.00085,0.09917,0.14628
0.00078,0.09828,0.18774
0.00071,0.13762,0.20937
0.00024,0.09705,0.25271
-0.00031,0.10842,0.15126
-0.00114,0.17903,0.17907
-0.00223,0.18548,0.23164
-0.00338,0.06467,0.12786
-0.00488,0.13170,0.14190
-0.00683,0.14206,0.16599
-0.00906,0.10647,0.16186
-0.01164,0.11547,0.13727
-0.01460,0.05696,0.10953
-0.00894,0.05101,0.16566
-0.02388,0.08747,0.12951
-0.02642,0.07764,0.12827
-0.03107,0.05830,0.12614
-0.03638,0.07129,0.15493
-0.04220,0.03800,0.10248
-0.04862,0.09010,0.12354
-0.05564,0.01690,0.12088
-0.06325,0.01936,0.07072
-0.07149,0.02086,0.09776
-0.08428,0.08086,0.19440
-0.09108,0.05244,0.12563
-0.09997,0.03286,0.10399
-0.11106,0.07916,0.14063
-0.12270,0.07113,0.08425
-0.13505,0.05732,0.14749
-0.14233,0.15167,0.14520
-0.16118,0.09510,0.14895
-0.17636,0.25664,0.21747
-0.19095,0.13703,0.19437
-0.20646,0.07088,0.16080
-0.22239,0.13901,0.11162
-0.24080,0.02219,0.07904
-0.25859,-0.03801,0.14076
-0.27304,0.05530,0.14405
-0.29048,0.03029,0.15413
-0.30804,0.03736,0.08948
-0.32569,0.09582,0.13637
-0.34333,0.05735,0.10553
-0.36076,-0.02734,0.09097
-0.37792,-0.00732,0.09404
-0.39476,-0.02357,0.11719
-0.41106,-0.05019,0.15825
-0.42678,-0.12986,0.15254
-0.44171,-0.02165,0.09198
-0.45578,0.00209,0.07636
-0.46881,-0.05521,0.11936
-0.48067,-0.10539,0.13484
-0.49134,-0.04854,0.09319
-0.50061,-0.08123,0.12965
-0.50833,-0.08048,0.19909
-0.51444,-0.08275,0.13098
-0.51891,-0.13957,0.16344
-0.52160,-0.00054,0.13040
-0.52244,-0.10169,0.17343
-0.52139,-0.15372,0.12940
-0.51841,-0.18620,0.19972
-0.51351,-0.11776,0.17888
-0.50668,-0.11315,0.12346
-0.49790,-0.07949,0.20423
-0.48721,-0.08582,0.16618
-0.47479,-0.10331,0.10604
-0.46073,-0.05145,0.10260
-0.44510,-0.01347,0.12397
-0.42792,-0.09700,0.16545
-0.40962,0.01167,0.16956
-0.39036,-0.15720,0.19669
-0.37027,-0.02811,0.16644
-0.34932,-0.06387,0.11486
-0.32782,-0.05153,0.15167
-0.30629,-0.00628,0.10423
-0.28494,-0.03366,0.15495
-0.26395,-0.04039,0.10823
-0.24358,-0.02373,0.13380
-0.22410,-0.01386,0.13045
-0.20592,0.00927,0.07645
-0.18904,-0.04757,0.09544
-0.17377,0.05092,0.16222
-0.16048,0.02605,0.08528
-0.14925,0.04400,0.12097
-0.14024,0.04668,0.11047
-0.13352,0.00027,0.11591
-0.12931,0.04255,0.19171
-0.12761,-0.03585,0.11057
-0.12847,-0.00886,0.12712
-0.13187,0.00065,0.11447
-0.13777,-0.06280,0.14395
-0.14607,-0.04292,0.14538
-0.15677,-0.00995,0.10678
-0.16968,-0.07050,0.15730
-0.18441,-0.00755,0.10146
-0.20080,0.01107,0.09321
-0.21882,-0.05487,0.09384
-0.23811,-0.02705,0.16574
-0.25805,-0.05440,0.12782
-0.27839,-0.05451,0.12904
-0.29912,-0.01748,0.10586
-0.31948,0.05267,0.09590
-0.33918,0.03668,0.13653
-0.35821,0.01380,0.09608
-0.37609,0.00064,0.13650
-0.39220,0.01143,0.12374
-0.40635,0.07269,0.09456
-0.41854,-0.04937,0.10674
-0.42824,-0.06692,0.09002
-0.43533,-0.12597,0.13348
-0.43972,-0.02322,0.12094
-0.44139,0.02799,0.12668
-0.44023,0.12061,0.15933
-0.43630,-0.01855,0.11294
-0.42962,-0.03505,0.11948
-0.30239,-0.04117,0.09907
-0.38739,-0.14419,0.14422
-0.47264,-0.08566,0.15445
-0.55471,0.01971,0.11251
-0.63129,0.08576,0.14658
-0.69925,0.07032,0.20065
-0.62054,0.17413,0.20569
-0.76352,0.03438,0.31316
-0.90129,-0.29745,0.48709
-1.02407,-0.22781,0.33959
-1.12953,0.19009,0.26650
-1.21760,0.10930,0.54688
-1.09124,0.80440,0.51956
-1.23194,1.13500,0.45579
-1.35903,1.21831,0.44842
-1.46322,0.89096,0.47069
-1.54234,0.67927,0.54401
-1.59919,1.26756,0.36703
-1.63374,1.32297,0.41263
-1.47822,1.34451,0.40370
-1.56556,1.25231,0.41165
-1.63075,0.31253,0.69806
-1.67343,0.83466,0.31725
-1.69334,0.76493,0.54795
-1.69031,0.99822,0.42672
-1.66426,0.81376,0.60223
-1.48119,0.92239,0.56503
-1.50859,0.05911,0.73657
-1.51285,0.17275,0.58999
-1.49384,0.01627,0.23567
-1.45157,0.06229,0.22963
-1.38613,-0.05317,0.11397
-1.11627,-0.20342,0.19198
-1.10588,-0.52045,0.29589
-1.08274,-0.52614,0.23121
-1.04249,-0.19707,0.16911
-0.98541,-0.14967,0.12163
-0.91257,-0.28116,0.17061
-0.63532,-0.38279,0.14978
-0.64230,-0.29612,0.13004
-0.64686,-0.26159,0.20194
-0.64337,-0.08685,0.10443
-0.63139,-0.04888,0.11243
-0.61126,-0.08932,0.13972
-0.42804,-0.11566,0.15889
-0.49752,-0.19068,0.16614
-0.56652,-0.18477,0.13979
-0.63033,-0.10432,0.15246
-0.68619,-0.01855,0.15580
-0.73226,-0.00871,0.12122
-0.65285,-0.00304,0.18471
-0.78057,-0.00839,0.10512
-0.89953,0.04335,0.13538
-1.00427,0.01380,0.08925
-1.09143,-0.07613,0.16632
-1.15666,-0.10244,0.18120
-1.19941,-0.36198,0.29193
-1.21880,-0.41211,0.33265
-1.21384,-0.77958,0.31381
-1.18492,-0.85363,0.32394
-1.13293,-0.97569,0.23721
-1.05928,-1.02331,0.30312
-0.96694,-0.95925,0.34673
-0.85860,-0.84306,0.30126
-0.73684,-0.64416,0.26133
-0.60473,-0.32851,0.13390
-0.46674,-0.21762,0.17367
-0.32595,-0.10061,0.11532
-0.18455,-0.04303,0.13075
-0.04796,-0.05022,0.10559
0.08053,0.09142,0.12361
0.19745,0.05179,0.12939
0.30074,0.06280,0.06854
0.38579,0.08484,0.08150
0.45072,0.11342,0.12451
0.49398,0.16928,0.16312
0.51542,0.21367,0.17537
0.51407,0.17903,0.15884
0.48998,0.26078,0.13261
0.44439,0.09778,0.10890
0.37814,0.13039,0.08195
0.29376,0.20812,0.18814
0.19455,0.13677,0.11311
0.08303,0.09999,0.11178
-0.03961,0.08949,0.09569
-0.16782,-0.06219,0.11031
-0.29824,-0.01661,0.14664
-0.42974,-0.05319,0.10319
-0.55827,-0.10978,0.13233
-0.67881,-0.10341,0.15860
-0.78659,-0.17640,0.20269
-0.88108,-0.13880,0.12946
-0.95884,-0.23454,0.19588
-1.01715,-0.24964,0.21442
-1.05302,-0.62222,0.35330
-1.06612,-0.69946,0.28733
-1.05685,-0.67797,0.27228
-1.02535,-0.63197,0.21031
-0.97257,-0.70621,0.20736
-0.90110,-0.62387,0.25548
-0.81192,-0.42039,0.18280
-0.70768,-0.13242,0.11576
-0.59320,-0.05143,0.11738
-0.46960,-0.00785,0.07979
-0.34041,-0.04147,0.10418
-0.10759,0.02187,0.10979
-0.05848,0.12283,0.20653
-0.01872,0.15660,0.15144
0.01258,0.08098,0.12000
0.03380,0.07358,0.09691
0.12553,-0.01369,0.10222
0.05020,0.04705,0.07667
-0.03913,0.09781,0.11962
-0.13569,0.05098,0.12838
-0.23796,0.01316,0.14525
-0.27726,-0.05040,0.16570
-0.45363,-0.07374,0.13231
-0.62745,-0.13276,0.13639
-0.79144,0.12090,0.20737
-0.94151,0.37596,0.40867
-0.99032,0.73609,0.40857
-1.16932,0.90622,0.58691
-1.32419,0.54054,0.43262
-1.44848,0.86322,0.45773
-1.53843,1.07338,0.34713
-1.48543,1.01030,0.40142
-1.58573,0.91812,0.42656
-1.65526,0.60780,0.75805
