replicate,p
0,0.001793893947
1,0.001794281498
2,0.0017944714
3,0.001793671001
4,0.001793773654
5,0.001793792858
6,0.001793694001
7,0.001793565891
8,0.001794139117
9,0.001794030659
10,0.001794366454
11,0.001794199452
12,0.001793927281
13,0.001794400661
14,0.001794296166
15,0.001794457133
16,0.001793877445
17,0.001794172868
18,0.001793720039
19,0.00179449032
20,0.001792803339
21,0.001793903789
22,0.001794480385
23,0.001794435056
24,0.001794128111
25,0.001793730769
26,0.001794394822
27,0.001794169549
28,0.001794257598
29,0.001794027995
30,0.001794027693
31,0.001794404779
32,0.00179338209
33,0.001794465798
34,0.001794396246
35,0.001794487273
36,0.001793897827
37,0.00179439079
38,0.001794209979
39,0.001794247611
40,0.001794495353
41,0.001793463936
42,0.001794347854
43,0.001793520189
44,0.001794519201
45,0.001794330249
46,0.001794440866
47,0.001793741866
48,0.001793035252
49,0.001793890308
50,0.001794100213
51,0.001793630927
52,0.001794057099
53,0.001794283678
54,0.001794107725
55,0.001794173314
56,0.001793752493
57,0.001794514876
58,0.001793719724
59,0.001793531261
60,0.001794284198
61,0.001794523378
62,0.001793913375
63,0.001794198384
64,0.001794268859
65,0.001794528298
66,0.001793177627
67,0.001793110602
68,0.001793898403
69,0.001794477847
70,0.001793789002
71,0.001794188246
72,0.001793932265
73,0.001793842343
74,0.001794416747
75,0.001794453149
76,0.001794442758
77,0.001793669081
78,0.001794087527
79,0.001794426852
80,0.001793903905
81,0.001794148726
82,0.001793756523
83,0.001793885287
84,0.00179417393
85,0.001793909844
86,0.001794342526
87,0.001794109747
88,0.001794027999
89,0.001794534413
90,0.00179390991
91,0.001794403513
92,0.001794277969
93,0.001794426877
94,0.001794176621
95,0.001794254035
96,0.0017944465
97,0.001794400567
98,0.00179431616
99,0.001794142309
100,0.001794039134
101,0.001794246755
102,0.001794074978
103,0.001793992354
104,0.001794057914
105,0.001794242151
106,0.001794350608
107,0.001794404535
108,0.001793480105
109,0.00179382062
110,0.001794071242
111,0.00179396931
112,0.001793891799
113,0.001794509956
114,0.00179354267
115,0.00179424786
116,0.001794539746
117,0.00179416975
118,0.001794466899
119,0.001793521707
120,0.001793881753
121,0.001794333798
122,0.00179381872
123,0.001794415781
124,0.001794485662
125,0.00179371978
126,0.001794151817
127,0.001793406987
128,0.001794023656
129,0.001794214028
130,0.001793544472
131,0.001794297413
132,0.001794103332
133,0.001794233371
134,0.001794184057
135,0.001794275253
136,0.001793149585
137,0.001794369886
138,0.001793935672
139,0.001793989599
140,0.001794274606
141,0.001794335934
142,0.001793748645
143,0.001794062948
144,0.001794392744
145,0.001793942273
146,0.001793191121
147,0.001794122183
148,0.0017941455
149,0.001793313631
150,0.001794064037
151,0.001794402671
152,0.001793489528
153,0.001793975656
154,0.001794098565
155,0.001794221769
156,0.001794352158
157,0.001794402293
158,0.001794459141
159,0.001794009412
160,0.001793562312
161,0.001794360184
162,0.001794267884
163,0.001793148825
164,0.001793667763
165,0.001794477763
166,0.00179399942
167,0.001793970094
168,0.001794146238
169,0.001794335584
170,0.001794416226
171,0.001793779748
172,0.001794080539
173,0.001794314469
174,0.001794210033
175,0.001794309536
176,0.001794405654
177,0.001794247099
178,0.001794324917
179,0.00179410615
180,0.001793198305
181,0.001793968503
182,0.001793898519
183,0.001794027055
184,0.001793607518
185,0.001793715879
186,0.001794333112
187,0.001794243079
188,0.001793877238
189,0.001793379697
190,0.001794406384
191,0.001794159302
192,0.001794243139
193,0.001794184307
194,0.001794385229
195,0.001794008251
196,0.001794122623
197,0.0017942726
198,0.001794329062
199,0.001793337115
