time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00064,0.32209,0.12946,1,0,0,MODEL,-0.5910,0.100,0.0000,0,none
0.107,1,0.00064,0.31044,0.14169,1,0,0,MODEL,-0.5799,0.100,0.0000,0,none
0.130,2,0.00064,0.30529,0.16647,1,0,0,MODEL,-0.5750,0.100,0.0000,0,none
0.158,3,0.00040,0.27490,0.15852,1,0,0,MODEL,-0.5462,0.100,0.0097,0,none
0.206,4,0.00037,0.38967,0.17754,1,0,0,MODEL,-0.6552,0.100,0.0206,0,none
0.257,5,-0.00042,0.53005,0.16859,1,0,0,MODEL,-0.7885,0.100,0.0335,0,none
0.309,6,-0.00183,0.23504,0.14938,1,0,0,MODEL,-0.5083,0.100,0.0467,0,none
0.358,7,-0.00385,0.12891,0.14313,1,0,0,MODEL,-0.4075,0.100,0.0630,0,none
0.408,8,-0.00569,0.28216,0.18428,1,0,0,MODEL,-0.5531,0.100,0.0747,0,none
0.460,9,-0.00814,0.20912,0.11861,1,0,0,MODEL,-0.4837,0.100,0.0836,0,none
0.509,10,-0.01093,0.10966,0.17737,1,0,0,MODEL,-0.3892,0.100,0.0964,0,none
0.558,11,-0.01382,0.08938,0.15295,1,0,0,MODEL,-0.3699,0.100,0.1082,0,none
0.610,12,-0.01670,0.04234,0.13076,1,0,0,MODEL,-0.3252,0.100,0.1199,0,none
0.657,13,-0.01989,-0.00977,0.12912,1,0,0,MODEL,-0.2757,0.100,0.1316,0,none
0.708,14,-0.02307,0.00793,0.12721,1,0,0,MODEL,-0.2925,0.100,0.1432,0,none
0.760,15,-0.02039,0.04950,0.09593,1,0,0,MODEL,-0.3320,0.100,0.1648,0,none
0.809,16,-0.02920,-0.00804,0.17226,1,0,0,MODEL,-0.2774,0.100,0.1712,0,none
0.859,17,-0.03685,-0.08061,0.10154,1,0,0,MODEL,-0.2084,0.100,0.1772,0,none
0.911,18,-0.04081,0.10547,0.12969,1,0,0,MODEL,-0.3852,0.100,0.1886,0,none
0.960,19,-0.04633,0.07027,0.12910,1,0,0,MODEL,-0.3518,0.100,0.1991,0,none
1.010,20,-0.05383,0.18460,0.17653,1,0,0,MODEL,-0.4604,0.100,0.2100,0,none
1.059,21,-0.06223,0.22909,0.19273,1,0,0,MODEL,-0.5026,0.100,0.2205,0,none
1.111,22,-0.07271,0.03523,0.07805,1,0,0,MODEL,-0.3185,0.100,0.2310,0,none
1.160,23,-0.08420,-0.01249,0.09969,1,0,0,MODEL,-0.2731,0.100,0.2417,0,none
1.211,24,-0.09486,-0.03448,0.11275,1,0,0,MODEL,-0.2522,0.100,0.2521,0,none
1.261,25,-0.10592,-0.04591,0.13245,1,0,0,MODEL,-0.2414,0.100,0.2625,0,none
1.312,26,-0.12388,0.13154,0.20336,1,0,0,MODEL,-0.4100,0.100,0.2726,0,none
1.360,27,-0.13069,0.21001,0.18314,1,0,0,MODEL,-0.4845,0.100,0.2822,0,none
1.411,28,-0.14734,0.25524,0.19411,1,0,0,MODEL,-0.5275,0.100,0.2920,0,none
1.462,29,-0.16683,0.01894,0.12458,1,0,0,MODEL,-0.3030,0.100,0.3016,0,none
1.511,30,-0.18775,-0.05714,0.10210,1,0,0,MODEL,-0.2307,0.100,0.3116,0,none
1.560,31,-0.20421,-0.09699,0.11891,1,0,0,MODEL,-0.1929,0.100,0.3204,0,none
1.611,32,-0.22050,-0.17212,0.21392,1,0,0,MODEL,-0.1215,0.100,0.3320,0,none
1.661,33,-0.24775,-0.27219,0.18863,1,0,0,MODEL,-0.0264,0.100,0.3408,0,none
1.712,34,-0.26689,-0.20063,0.17430,1,0,0,MODEL,-0.0944,0.100,0.3498,0,none
