time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00070,0.37833,0.14503,1,0,0,MODEL,-0.6444,0.100,0.0000,0,none
0.055,1,0.00070,0.32729,0.19399,1,0,0,MODEL,-0.5959,0.100,0.0000,0,none
0.099,2,0.00061,0.39040,0.14492,1,0,0,MODEL,-0.6559,0.100,0.0097,0,none
0.148,3,0.00005,0.43081,0.17616,1,0,0,MODEL,-0.6943,0.100,0.0209,0,none
0.200,4,-0.00066,0.43045,0.19793,1,0,0,MODEL,-0.6939,0.100,0.0344,0,none
0.250,5,-0.00197,0.16740,0.17226,1,0,0,MODEL,-0.4440,0.100,0.0442,0,none
0.300,6,-0.00391,0.25054,0.16279,1,0,0,MODEL,-0.5230,0.100,0.0633,0,none
0.351,7,-0.00579,0.27523,0.15934,1,0,0,MODEL,-0.5465,0.100,0.0728,0,none
0.400,8,-0.00848,0.14541,0.17293,1,0,0,MODEL,-0.4231,0.100,0.0833,0,none
0.450,9,-0.01131,0.13726,0.17680,1,0,0,MODEL,-0.4154,0.100,0.0969,0,none
0.502,10,-0.01430,0.07048,0.15910,1,0,0,MODEL,-0.3520,0.100,0.1085,0,none
0.550,11,-0.01758,0.00715,0.09250,1,0,0,MODEL,-0.2918,0.100,0.1203,0,none
0.600,12,-0.02095,-0.07377,0.14810,1,0,0,MODEL,-0.2149,0.100,0.1319,0,none
0.650,13,-0.02431,-0.02320,0.12426,1,0,0,MODEL,-0.2630,0.100,0.1435,0,none
0.701,14,-0.02160,-0.04643,0.11943,1,0,0,MODEL,-0.2409,0.100,0.1652,0,none
0.754,15,-0.03128,-0.00707,0.16274,1,0,0,MODEL,-0.2783,0.100,0.1719,0,none
0.803,16,-0.03765,0.01045,0.08259,1,0,0,MODEL,-0.2949,0.100,0.1775,0,none
0.852,17,-0.04222,0.00522,0.07346,1,0,0,MODEL,-0.2900,0.100,0.1888,0,none
0.902,18,-0.04854,0.10260,0.16227,1,0,0,MODEL,-0.3825,0.100,0.1996,0,none
0.950,19,-0.05575,0.18357,0.16385,1,0,0,MODEL,-0.4594,0.100,0.2103,0,none
1.001,20,-0.06479,0.04707,0.09442,1,0,0,MODEL,-0.3297,0.100,0.2209,0,none
1.053,21,-0.07515,0.09158,0.14713,1,0,0,MODEL,-0.3720,0.100,0.2316,0,none
1.100,22,-0.08548,0.04516,0.11876,1,0,0,MODEL,-0.3279,0.100,0.2421,0,none
1.153,23,-0.09711,-0.03141,0.08382,1,0,0,MODEL,-0.2552,0.100,0.2525,0,none
1.202,24,-0.11114,0.05113,0.11490,1,0,0,MODEL,-0.3336,0.100,0.2629,0,none
1.250,25,-0.12800,0.05150,0.14099,1,0,0,MODEL,-0.3339,0.100,0.2732,0,none
1.302,26,-0.13596,0.17681,0.15486,1,0,0,MODEL,-0.4530,0.100,0.2831,0,none
1.353,27,-0.15228,0.16185,0.13465,1,0,0,MODEL,-0.4388,0.100,0.2929,0,none
1.404,28,-0.17152,0.03848,0.13844,1,0,0,MODEL,-0.3216,0.100,0.3027,0,none
1.454,29,-0.19181,-0.11869,0.11687,1,0,0,MODEL,-0.1722,0.100,0.3126,0,none
1.503,30,-0.20853,-0.06941,0.19278,1,0,0,MODEL,-0.2191,0.100,0.3215,0,none
1.552,31,-0.22439,-0.19659,0.22136,1,0,0,MODEL,-0.0982,0.100,0.3329,0,none
1.604,32,-0.25206,-0.30924,0.27517,1,0,0,MODEL,0.0088,0.100,0.3415,0,none
1.652,33,-0.27093,-0.33778,0.16718,1,0,0,MODEL,0.0359,0.100,0.3505,0,none
1.705,34,-0.28934,-0.27513,0.17857,1,0,0,MODEL,-0.0236,0.100,0.3597,0,none
1.752,35,-0.30813,-0.31644,0.21440,1,0,0,MODEL,0.0156,0.100,0.3690,0,none
1.803,36,-0.32806,-0.46879,0.18018,1,0,0,MODEL,0.1603,0.100,0.3781,0,none
1.856,37,-0.35359,-0.48441,0.20814,1,0,0,MODEL,0.1752,0.100,0.3868,0,none
1.906,38,-0.36523,-0.48504,0.15446,1,0,0,MODEL,0.1758,0.100,0.3963,0,none
1.954,39,-0.38072,-0.58989,0.16353,1,0,0,MODEL,0.2754,0.100,0.4046,0,none
2.006,40,-0.39610,-0.59218,0.18506,1,0,0,MODEL,0.2776,0.100,0.4133,0,none
2.054,41,-0.40891,-0.60066,0.17647,1,0,0,MODEL,0.2856,0.100,0.4219,0,none
2.106,42,-0.42044,-0.36752,0.13590,1,0,0,MODEL,0.0641,0.100,0.4305,0,none
2.156,43,-0.43177,-0.25038,0.17604,1,0,0,MODEL,-0.0471,0.100,0.4390,0,none
2.205,44,-0.44689,-0.33647,0.16633,1,0,0,MODEL,0.0346,0.100,0.4474,0,none
2.255,45,-0.46407,-0.33818,0.18501,1,0,0,MODEL,0.0363,0.100,0.4557,0,none
2.307,46,-0.48018,-0.13088,0.14790,1,0,0,MODEL,-0.1607,0.100,0.4639,0,none
2.355,47,-0.49726,-0.00386,0.20511,1,0,0,MODEL,-0.2813,0.100,0.4718,0,none
2.406,48,-0.51939,0.32654,0.27242,1,0,0,MODEL,-0.5952,0.100,0.4796,0,none
2.455,49,-0.54758,0.01561,0.21894,1,0,0,MODEL,-0.2998,0.100,0.4859,0,none
2.508,50,-0.58358,0.23909,0.52067,0,0,0,MODEL,-0.5121,0.100,0.4938,0,none
2.558,51,-0.61893,0.00590,0.46499,0,0,0,MODEL,-0.2906,0.100,0.5009,0,none
2.606,52,-0.66002,-0.56308,0.21060,1,0,0,MODEL,0.2499,0.100,0.5087,0,none
2.657,53,-0.69732,-0.90508,0.25899,1,0,0,MODEL,0.5748,0.100,0.5146,0,none
2.708,54,-0.72192,-0.82371,0.15537,1,0,0,MODEL,0.4975,0.100,0.5201,0,none
2.758,55,-0.73665,-0.93751,0.17145,1,0,0,MODEL,0.6056,0.100,0.5274,0,none
2.809,56,-0.74810,-0.88712,0.17808,1,0,0,MODEL,0.5578,0.100,0.5344,0,none
2.859,57,-0.75349,-0.78898,0.16504,1,0,0,MODEL,0.4645,0.100,0.5417,0,none
2.908,58,-0.75563,-0.77557,0.21305,1,0,0,MODEL,0.4518,0.100,0.5493,0,none
2.957,59,-0.75576,-0.75183,0.15771,1,0,0,MODEL,0.4292,0.100,0.5566,0,none
3.007,60,-0.75255,-0.65078,0.17514,1,0,0,MODEL,0.3332,0.100,0.5639,0,none
3.057,61,-0.74649,-0.57937,0.17588,1,0,0,MODEL,0.2654,0.100,0.5712,0,none
3.110,62,-0.73949,-0.54776,0.14600,1,0,0,MODEL,0.2354,0.100,0.5784,0,none
3.158,63,-0.73152,-0.37888,0.26327,1,0,0,MODEL,0.0749,0.100,0.5855,0,none
3.209,64,-0.72286,-0.40431,0.21492,1,0,0,MODEL,0.0991,0.100,0.5925,0,none
3.260,65,-0.71624,-0.24226,0.13076,1,0,0,MODEL,-0.0548,0.100,0.5994,0,none
3.311,66,-0.70882,-0.31781,0.14193,1,0,0,MODEL,0.0169,0.100,0.6061,0,none
3.360,67,-0.70436,-0.41971,0.12583,1,0,0,MODEL,0.1137,0.100,0.6128,0,none
3.409,68,-0.69888,-0.56854,0.15698,1,0,0,MODEL,0.2551,0.100,0.6194,0,none
3.460,69,-0.68972,-0.49530,0.16638,1,0,0,MODEL,0.1855,0.100,0.6256,0,none
3.510,70,-0.67455,-0.49360,0.16813,1,0,0,MODEL,0.1839,0.100,0.6318,0,none
3.559,71,-0.65828,-0.41411,0.15958,1,0,0,MODEL,0.1084,0.100,0.6385,0,none
3.611,72,-0.64017,-0.04404,0.24517,1,0,0,MODEL,-0.2432,0.100,0.6450,0,none
3.660,73,-0.62305,0.23867,0.31348,0,0,0,MODEL,-0.5117,0.100,0.6502,0,none
3.711,74,-0.61767,0.53961,0.21698,1,0,0,MODEL,-0.7976,0.100,0.6547,0,none
3.761,75,-0.62583,0.42986,0.26347,1,0,0,MODEL,-0.6934,0.100,0.6584,0,none
3.812,76,-0.65080,-0.36467,0.18095,1,0,0,MODEL,0.0614,0.100,0.6638,0,none
3.860,77,-0.68062,-0.60108,0.25558,1,0,0,MODEL,0.2860,0.100,0.6679,0,none
3.910,78,-0.69109,-0.61510,0.18807,1,0,0,MODEL,0.2993,0.100,0.6714,0,none
3.961,79,-0.69136,-0.68111,0.13774,1,0,0,MODEL,0.3621,0.100,0.6782,0,none
4.009,80,-0.68710,-0.60792,0.19618,1,0,0,MODEL,0.2925,0.100,0.6839,0,none
4.061,81,-0.67686,-0.70274,0.12585,1,0,0,MODEL,0.3826,0.100,0.6895,0,none
4.111,82,-0.66389,-0.65427,0.19182,1,0,0,MODEL,0.3366,0.100,0.6953,0,none
4.162,83,-0.64391,-0.54450,0.16862,1,0,0,MODEL,0.2323,0.100,0.7009,0,none
4.211,84,-0.62018,-0.39123,0.14472,1,0,0,MODEL,0.0867,0.100,0.7067,0,none
4.262,85,-0.59583,-0.49092,0.14619,1,0,0,MODEL,0.1814,0.100,0.7127,0,none
4.309,86,-0.57352,-0.36841,0.13929,1,0,0,MODEL,0.0650,0.100,0.7182,0,none
4.362,87,-0.54694,-0.37523,0.17659,1,0,0,MODEL,0.0715,0.100,0.7238,0,none
4.413,88,-0.52147,-0.37237,0.14935,1,0,0,MODEL,0.0688,0.100,0.7292,0,none
4.465,89,-0.49501,-0.40127,0.17873,1,0,0,MODEL,0.0962,0.100,0.7348,0,none
4.514,90,-0.46730,-0.49764,0.16461,1,0,0,MODEL,0.1878,0.100,0.7401,0,none
4.547,91,-0.43715,-0.43166,0.16782,1,0,0,MODEL,0.1251,0.100,0.7454,0,none
4.595,92,-0.40258,-0.56768,0.17321,1,0,0,MODEL,0.2543,0.100,0.7506,0,none
4.648,93,-0.36488,-0.43476,0.12980,1,0,0,MODEL,0.1280,0.100,0.7553,0,none
4.696,94,-0.32224,-0.20266,0.17048,1,0,0,MODEL,-0.0925,0.100,0.7607,0,none
4.748,95,-0.28299,-0.06339,0.10920,1,0,0,MODEL,-0.2248,0.100,0.7656,0,none
4.798,96,-0.25128,-0.18096,0.12684,1,0,0,MODEL,-0.1131,0.100,0.7701,0,none
4.846,97,-0.22404,0.04696,0.11444,1,0,0,MODEL,-0.3296,0.100,0.7752,0,none
4.897,98,-0.19962,-0.04897,0.09763,1,0,0,MODEL,-0.2385,0.100,0.7793,0,none
4.948,99,-0.18354,-0.23180,0.16184,1,0,0,MODEL,-0.0648,0.100,0.7841,0,none
4.998,100,-0.16702,-0.29644,0.19336,1,0,0,MODEL,-0.0034,0.100,0.7891,0,none
5.045,101,-0.14711,-0.30424,0.12465,1,0,0,MODEL,0.0040,0.100,0.7939,0,none
5.097,102,-0.12577,-0.10073,0.11460,1,0,0,MODEL,-0.1893,0.100,0.7987,0,none
5.148,103,-0.10702,-0.12924,0.11139,1,0,0,MODEL,-0.1622,0.100,0.8030,0,none
5.197,104,-0.09499,-0.13346,0.15124,1,0,0,MODEL,-0.1582,0.100,0.8076,0,none
5.248,105,-0.08527,-0.13497,0.14664,1,0,0,MODEL,-0.1568,0.100,0.8123,0,none
5.298,106,-0.07823,-0.05971,0.12522,1,0,0,MODEL,-0.2283,0.100,0.8169,0,none
5.346,107,-0.07508,0.03391,0.12235,1,0,0,MODEL,-0.3172,0.100,0.8212,0,none
5.396,108,-0.07898,-0.06409,0.19387,1,0,0,MODEL,-0.2241,0.100,0.8253,0,none
5.447,109,-0.08936,-0.00932,0.08308,1,0,0,MODEL,-0.2761,0.100,0.8298,0,none
5.499,110,-0.10298,0.01536,0.08192,1,0,0,MODEL,-0.2996,0.100,0.8341,0,none
5.546,111,-0.12330,-0.00778,0.07692,1,0,0,MODEL,-0.2776,0.100,0.8383,0,none
5.598,112,-0.14972,-0.01866,0.10101,1,0,0,MODEL,-0.2673,0.100,0.8426,0,none
5.650,113,-0.18112,0.08834,0.10835,1,0,0,MODEL,-0.3689,0.100,0.8469,0,none
5.698,114,-0.21928,0.02545,0.09388,1,0,0,MODEL,-0.3092,0.100,0.8506,0,none
5.748,115,-0.26613,-0.01148,0.07506,1,0,0,MODEL,-0.2741,0.100,0.8548,0,none
5.799,116,-0.14490,-0.17671,0.13568,1,0,0,MODEL,-0.1171,0.100,0.8591,0,none
5.848,117,-0.28809,-0.48287,0.11499,1,0,0,MODEL,0.1737,0.100,0.8633,0,none
5.898,118,-0.42693,-0.67093,0.12484,1,0,0,MODEL,0.3524,0.100,0.8664,0,none
5.950,119,-0.55468,-0.72259,0.14722,1,0,0,MODEL,0.4015,0.100,0.8691,0,none
5.999,120,-0.67170,-0.55151,0.16221,1,0,0,MODEL,0.2389,0.100,0.8724,0,none
6.048,121,-0.78258,-0.64279,0.16423,1,0,0,MODEL,0.3257,0.100,0.8768,0,none
6.097,122,-0.89103,-0.78802,0.20973,1,0,0,MODEL,0.4636,0.100,0.8803,0,none
6.151,123,-0.85187,-0.99921,0.27980,1,0,0,MODEL,0.6642,0.100,0.8829,0,none
6.200,124,-1.02493,-1.11851,0.33018,0,0,0,MODEL,0.7776,0.100,0.8843,0,none
6.249,125,-1.18025,-1.32228,0.27006,1,0,0,MODEL,0.9712,0.100,0.8856,0,none
6.300,126,-1.31591,-1.31380,0.22905,1,0,0,MODEL,0.9631,0.100,0.8851,0,none
6.351,127,-1.42723,-1.33598,0.34893,0,0,0,MODEL,0.9842,0.100,0.8863,0,none
6.399,128,-1.51874,-1.44733,0.37380,0,0,0,MODEL,1.0000,0.100,0.8880,0,none
6.451,129,-1.58928,-1.71980,0.26282,1,0,0,MODEL,1.0000,0.100,0.8895,0,none
6.500,130,-1.49847,-1.68427,0.65173,0,0,0,MODEL,1.0000,0.100,0.8911,0,none
6.549,131,-1.62000,-1.89077,0.28762,0,0,0,MODEL,1.0000,0.100,0.8928,0,none
6.601,132,-1.72121,-1.83057,0.32357,0,0,0,MODEL,1.0000,0.100,0.8944,0,none
6.649,133,-1.80162,-1.74155,0.30999,0,0,0,MODEL,1.0000,0.100,0.8960,0,none
