cte_true,mc_mean,mc_std
0.00076,0.27110,0.20299
0.00076,0.36646,0.16639
0.00076,0.34129,0.15078
0.00069,0.37994,0.17610
0.00051,0.38242,0.14500
-0.00002,0.38788,0.21812
-0.00058,0.31186,0.19072
-0.00125,0.25818,0.15641
-0.00205,0.25738,0.17910
-0.00319,0.15917,0.18242
-0.00469,0.17714,0.21198
-0.00654,0.14196,0.22869
-0.00871,0.10659,0.13137
-0.01121,-0.01685,0.15542
-0.01409,-0.03078,0.14926
-0.00835,0.13748,0.13363
-0.02319,-0.12084,0.16378
-0.02559,-0.05727,0.12784
-0.03013,-0.01554,0.11011
-0.03534,0.13530,0.12705
-0.04106,0.18820,0.14504
-0.04734,0.22573,0.13060
-0.05421,0.15675,0.16057
-0.06172,0.09642,0.09949
-0.06987,0.05638,0.09219
-0.08251,0.07268,0.11866
-0.08912,0.21451,0.17116
-0.09788,0.19437,0.19579
-0.10890,0.02279,0.09867
-0.12041,-0.04607,0.08936
-0.13258,0.04545,0.09965
-0.13976,0.61361,0.41640
-0.15856,0.26512,0.23589
-0.17364,0.05211,0.18927
-0.18814,-0.14194,0.23589
-0.20358,-0.38989,0.26428
-0.21943,-0.30446,0.24151
-0.23778,-0.10476,0.16163
-0.25552,-0.24241,0.18311
-0.26992,-0.27332,0.12121
-0.28740,-0.30994,0.15276
-0.30490,-0.35742,0.14145
-0.32240,-0.31861,0.17958
-0.34000,-0.20799,0.16556
-0.35751,-0.18369,0.14334
-0.37463,-0.22699,0.14820
-0.39151,-0.08642,0.15837
-0.40794,0.02862,0.08805
-0.42376,0.54792,0.21896
-0.43872,0.51103,0.18179
-0.45291,0.32511,0.19754
-0.46613,0.91048,0.37230
-0.47823,0.58498,0.52364
-0.48897,0.28649,0.29557
-0.49830,-0.32932,0.17929
-0.50624,-0.46001,0.21993
-0.51261,-0.34737,0.16551
-0.51724,-0.54507,0.14958
-0.52009,-0.25658,0.28101
-0.52116,-0.46904,0.14855
-0.52035,-0.33503,0.17595
-0.51764,-0.21867,0.15274
-0.51301,-0.06796,0.13593
-0.50643,0.15007,0.13378
-0.49793,0.00036,0.10315
-0.48760,0.02899,0.15114
-0.47557,-0.02519,0.15063
-0.46190,-0.09876,0.13714
-0.44654,-0.18138,0.17446
-0.42969,-0.16439,0.15067
-0.41180,-0.13269,0.16795
-0.39285,-0.30948,0.21191
-0.37290,-0.10064,0.17514
-0.35224,0.16024,0.22290
-0.33120,0.54161,0.19148
-0.31000,0.71686,0.28281
-0.28872,1.10819,0.20056
-0.26770,0.75507,0.28678
-0.24731,0.20189,0.15698
-0.22782,0.03917,0.16923
-0.20930,-0.05931,0.13870
-0.19205,-0.02112,0.16161
-0.17646,-0.10701,0.13478
-0.16271,-0.08676,0.12809
-0.15087,0.00702,0.14049
-0.14118,-0.03556,0.11738
-0.13387,0.11660,0.17046
-0.12904,-0.00274,0.10760
-0.12673,-0.00041,0.06849
-0.12698,-0.07815,0.13745
-0.12983,-0.15971,0.16716
-0.13524,-0.14499,0.13945
-0.14316,-0.09539,0.10987
-0.15349,-0.09091,0.12623
-0.16607,-0.10238,0.11252
-0.18065,-0.09200,0.09761
-0.19699,-0.17250,0.13277
-0.21506,-0.20343,0.13657
-0.23433,-0.41481,0.19552
-0.25447,-0.42418,0.16170
-0.27541,-0.33302,0.19399
-0.29678,-0.32897,0.10847
-0.31805,-0.28122,0.14133
-0.33868,-0.38532,0.13943
-0.35838,-0.36580,0.13327
-0.37705,-0.25673,0.13856
-0.39412,-0.29718,0.15300
-0.40919,-0.26586,0.12338
-0.42225,-0.29353,0.13273
-0.43301,-0.31422,0.13007
-0.44105,-0.49720,0.16698
-0.44622,-0.17602,0.07872
-0.44855,-0.22069,0.10754
-0.44795,0.03519,0.08054
-0.44439,-0.07977,0.09876
-0.43796,-0.24153,0.10252
-0.30892,-0.35357,0.11941
-0.39277,-0.46723,0.15302
-0.47801,-0.41463,0.11256
-0.55839,-0.41183,0.14610
-0.63302,-0.49624,0.11503
-0.70003,-0.58723,0.21237
-0.61889,-0.78430,0.15737
-0.76228,-0.90618,0.13962
-0.89903,-1.05471,0.33034
-1.02222,-1.24556,0.27299
-1.12767,-1.12174,0.23533
-1.21485,-1.17888,0.26150
-1.08715,-1.35954,0.22867
-1.23009,-1.51509,0.22752
-1.35607,-1.62119,0.34297
-1.45890,-1.53058,0.28733
-1.53727,-1.53076,0.22230
-1.59354,-1.58040,0.29575
-1.62750,-1.64960,0.35807
-1.47017,-1.71060,0.20986
-1.55693,-1.75005,0.26738
-1.62154,-1.84360,0.25222
-1.66364,-1.49553,0.32768
