time_s,cte_true,cte_pred,steer,throttle,speed,lap,hit
0.024,0.00046,-3.28125,1.0000,0.100,0.0000,0,none
0.069,0.00046,-3.26562,1.0000,0.100,0.0000,0,none
0.105,0.00067,-3.28125,1.0000,0.100,0.0069,0,none
0.155,0.00137,-3.28125,1.0000,0.100,0.0209,0,none
0.206,0.00278,-3.14062,1.0000,0.100,0.0321,0,none
0.254,0.00502,-3.25000,1.0000,0.100,0.0483,0,none
0.305,0.00805,-3.20312,1.0000,0.100,0.0528,0,none
0.355,0.01168,-3.37500,1.0000,0.100,0.0707,0,none
0.405,0.01638,-3.31250,1.0000,0.100,0.0809,0,none
0.454,0.02161,-3.29688,1.0000,0.100,0.0927,0,none
0.505,0.02755,-3.43750,1.0000,0.100,0.1045,0,none
0.554,0.03436,-3.62500,1.0000,0.100,0.1142,0,none
0.606,0.04228,-3.87500,1.0000,0.100,0.1261,0,none
0.656,0.05135,-3.81250,1.0000,0.100,0.1371,0,none
0.706,0.06167,-3.96875,1.0000,0.100,0.1480,0,none
0.755,0.07337,-3.81250,1.0000,0.100,0.1588,0,none
0.805,0.08657,-3.82812,1.0000,0.100,0.1695,0,none
0.855,0.10139,-3.70312,1.0000,0.100,0.1800,0,none
0.906,0.11797,-3.92188,1.0000,0.100,0.1904,0,none
0.957,0.14247,-3.85938,1.0000,0.100,0.2087,0,none
1.006,0.16556,-4.15625,1.0000,0.100,0.2111,0,none
1.057,0.18205,-4.62500,1.0000,0.100,0.2284,0,none
1.107,0.20365,-4.53125,1.0000,0.100,0.2310,0,none
1.157,0.23171,-4.59375,1.0000,0.100,0.2411,0,none
1.206,0.26001,-4.50000,1.0000,0.100,0.2508,0,none
1.257,0.29331,-5.03125,1.0000,0.100,0.2604,0,none
1.307,0.32960,-5.12500,1.0000,0.100,0.2699,0,none
1.358,0.36905,-5.21875,1.0000,0.100,0.2792,0,none
1.407,0.41183,-5.00000,1.0000,0.100,0.2885,0,none
1.457,0.45809,-4.90625,1.0000,0.100,0.2977,0,none
1.508,0.50802,-4.96875,1.0000,0.100,0.3068,0,none
1.559,0.56176,-4.78125,1.0000,0.100,0.3157,0,none
1.609,0.61949,-4.59375,1.0000,0.100,0.3246,0,none
1.658,0.68137,-4.56250,1.0000,0.100,0.3334,0,none
1.708,0.74754,-4.31250,1.0000,0.100,0.3420,0,none
1.758,0.81817,-4.06250,1.0000,0.100,0.3506,0,none
1.809,0.89340,-3.76562,1.0000,0.100,0.3591,0,none
1.860,0.97337,-3.67188,1.0000,0.100,0.3675,0,none
1.909,1.05823,-3.15625,1.0000,0.100,0.3758,0,none
1.961,1.14810,-2.98438,1.0000,0.100,0.3839,0,none
2.009,1.24311,-2.96875,1.0000,0.100,0.3920,0,none
2.061,1.34337,-3.03125,1.0000,0.100,0.4001,0,none
2.109,1.43638,-3.12500,1.0000,0.100,0.4080,0,none
2.160,1.54934,-3.01562,1.0000,0.100,0.4158,0,none
2.214,1.66782,-2.67188,1.0000,0.100,0.4235,0,none
2.259,1.79764,-2.10938,1.0000,0.100,0.4374,0,none
2.320,1.93033,-1.24219,0.8951,0.100,0.4386,0,none
2.357,2.06568,-0.19531,-0.0995,0.100,0.4466,0,none
2.405,2.20215,-0.17383,-0.1199,0.100,0.4512,0,none
2.457,2.32858,-0.15820,-0.1347,0.100,0.4593,0,none
2.507,2.45588,-0.17383,-0.1199,0.100,0.4675,0,none
2.556,2.58488,-0.12451,-0.1667,0.100,0.4756,0,none
