time_s,cte_true,cte_pred,steer,throttle,speed,lap,hit
0.012,0.00070,0.04199,-0.3249,0.100,0.0000,0,none
0.053,0.00070,0.04199,-0.3249,0.100,0.0000,0,none
0.068,0.00070,0.04199,-0.3249,0.100,0.0000,0,none
0.109,0.00056,0.07910,-0.3601,0.100,0.0087,0,none
0.160,0.00031,0.06689,-0.3485,0.100,0.0264,0,none
0.209,-0.00020,0.01721,-0.3014,0.100,0.0381,0,none
0.261,-0.00071,0.07275,-0.3541,0.100,0.0498,0,none
0.311,-0.00171,0.05298,-0.3353,0.100,0.0648,0,none
0.361,-0.00302,0.03589,-0.3191,0.100,0.0735,0,none
0.411,-0.00449,0.02209,-0.3060,0.100,0.0875,0,none
0.461,-0.00605,0.05640,-0.3386,0.100,0.0994,0,none
0.512,-0.00790,0.05420,-0.3365,0.100,0.1112,0,none
0.563,-0.01019,-0.01746,-0.2684,0.100,0.1230,0,none
0.613,-0.01262,0.02502,-0.3088,0.100,0.1346,0,none
0.664,-0.01525,0.04565,-0.3284,0.100,0.1461,0,none
0.714,-0.01048,0.03564,-0.3189,0.100,0.1624,0,none
0.765,-0.02463,-0.02087,-0.2652,0.100,0.1695,0,none
0.816,-0.02726,0.00061,-0.2856,0.100,0.1799,0,none
0.865,-0.03149,-0.00436,-0.2809,0.100,0.1912,0,none
0.916,-0.03671,0.01227,-0.2967,0.100,0.2020,0,none
0.965,-0.04259,-0.02539,-0.2609,0.100,0.2128,0,none
1.016,-0.04907,-0.02747,-0.2589,0.100,0.2236,0,none
1.066,-0.05600,-0.02356,-0.2626,0.100,0.2342,0,none
1.117,-0.06363,-0.07617,-0.2126,0.100,0.2447,0,none
1.167,-0.07203,-0.07715,-0.2117,0.100,0.2551,0,none
1.217,-0.08264,-0.06689,-0.2215,0.100,0.2653,0,none
1.268,-0.09228,-0.06396,-0.2242,0.100,0.2748,0,none
1.318,-0.09991,-0.04663,-0.2407,0.100,0.2860,0,none
1.368,-0.11131,-0.09473,-0.1950,0.100,0.2956,0,none
1.419,-0.12342,-0.07471,-0.2140,0.100,0.3055,0,none
1.468,-0.13614,-0.06055,-0.2275,0.100,0.3153,0,none
1.502,-0.14702,0.05151,-0.3339,0.100,0.3240,0,none
1.551,-0.16277,0.02698,-0.3106,0.100,0.3329,0,none
1.602,-0.18503,-0.06592,-0.2224,0.100,0.3441,0,none
1.653,-0.20349,-0.17480,-0.1189,0.100,0.3530,0,none
1.703,-0.22156,-0.17676,-0.1171,0.100,0.3624,0,none
1.755,-0.23979,-0.16895,-0.1245,0.100,0.3716,0,none
1.805,-0.26105,-0.21191,-0.0837,0.100,0.3850,0,none
1.856,-0.28535,-0.27148,-0.0271,0.100,0.3896,0,none
1.909,-0.29898,-0.21094,-0.0846,0.100,0.3988,0,none
1.957,-0.31890,-0.20410,-0.0911,0.100,0.4076,0,none
2.007,-0.34071,-0.21387,-0.0818,0.100,0.4164,0,none
2.058,-0.36329,-0.35938,0.0564,0.100,0.4251,0,none
2.109,-0.38473,-0.33594,0.0341,0.100,0.4335,0,none
2.159,-0.40516,-0.34961,0.0471,0.100,0.4420,0,none
2.210,-0.42609,-0.45703,0.1492,0.100,0.4504,0,none
2.260,-0.44550,-0.52734,0.2160,0.100,0.4586,0,none
2.310,-0.46304,-0.54297,0.2308,0.100,0.4667,0,none
2.361,-0.47845,-0.50000,0.1900,0.100,0.4748,0,none
2.410,-0.49258,-0.50781,0.1974,0.100,0.4829,0,none
2.460,-0.50625,-0.49023,0.1807,0.100,0.4909,0,none
2.511,-0.51907,-0.53906,0.2271,0.100,0.4988,0,none
2.563,-0.53075,-0.58984,0.2754,0.100,0.5066,0,none
