replicate,p
0,0.9986247548
1,0.9998121182
2,0.9999128468
3,0.9977523604
4,0.9924204925
5,0.9999679316
6,0.9974871109
7,0.9978221883
8,0.9988334452
9,0.9993162372
10,0.9966459363
11,0.9985299594
12,0.9987594244
13,0.9999893381
14,0.9995350786
15,0.9994597257
16,0.9997955975
17,0.9997182576
18,0.9989415538
19,0.9994761467
20,0.9997342733
21,0.9983247596
22,0.9996979044
23,0.9991109288
24,0.9999326615
25,0.9985298055
26,0.9974829182
27,0.9982037824
28,0.9939559212
29,0.9987939986
30,0.9998612777
31,0.9997498558
32,0.9952762312
33,0.9979095928
34,0.9990653444
35,0.998816988
36,0.9997350755
37,0.9993752578
38,0.9999471713
39,0.9967113877
40,0.9998212716
41,0.9998788566
42,0.9998661732
43,0.9993279894
44,0.9983199919
45,0.9951913502
46,0.9991401573
47,0.9995174861
48,0.9964914416
49,0.9995350816
50,0.9994679151
51,0.9999532176
52,0.998790265
53,0.9979683798
54,0.9992493013
55,0.9991238652
56,0.9993586082
57,0.9988815417
58,0.9996367474
59,0.9989048992
60,0.9941578843
61,0.9992144171
62,0.9993718825
63,0.9988298906
64,0.9978877431
65,0.998823051
66,0.9964066069
67,0.999681053
68,0.9876193609
69,0.9959873489
70,0.9919034801
71,0.9992464278
72,0.9981115586
73,0.9989009225
74,0.9985428472
75,0.9997439537
76,0.996171748
77,0.9997318774
78,0.9934241763
79,0.9996142855
80,0.9969779928
81,0.999709774
82,0.9979127912
83,0.9993263994
84,0.9984840894
85,0.9973668475
86,0.9948482986
87,0.9960881476
88,0.9997120017
89,0.998489711
90,0.9999268341
91,0.999826599
92,0.99700218
93,0.9990488633
94,0.9975151907
95,0.9976353029
96,0.9945662679
97,0.9980037348
98,0.9999118749
99,0.9998807118
100,0.9977950242
101,0.9998547883
102,0.9956395746
103,0.9936655729
104,0.9989940271
105,0.9996261679
106,0.9928401472
107,0.9995158205
108,0.9996357002
109,0.9992915876
110,0.9971718041
111,0.9980555662
112,0.9978734578
113,0.9981672215
114,0.9923890858
115,0.9969054271
116,0.9999798397
117,0.9999212397
118,0.9993260998
119,0.9999502277
120,0.9998735086
121,0.9988957646
122,0.9993515439
123,0.9999544535
124,0.9980164486
125,0.9994827327
126,0.9973533001
127,0.9998848526
128,0.9993525875
129,0.9993686861
130,0.9993020052
131,0.9952707746
132,0.9993476743
133,0.9999697861
134,0.9896998859
135,0.9983673842
136,0.9988095322
137,0.9990406164
138,0.9992311232
139,0.9978675
140,0.9942542357
141,0.9989275704
142,0.9976002944
143,0.9978664564
144,0.9972695594
145,0.9960257376
146,0.998402735
147,0.9990612375
148,0.9997551668
149,0.9964212186
150,0.9998946386
151,0.9981722658
152,0.9987503853
153,0.9998597736
154,0.9988351416
155,0.9995724411
156,0.999513151
157,0.9998682821
158,0.9984042542
159,0.9970653145
160,0.9999462731
161,0.9987921359
162,0.9990924848
163,0.9999192505
164,0.999014151
165,0.999126762
166,0.999892058
167,0.9991636537
168,0.9996152785
169,0.9944625089
170,0.9979237955
171,0.9934263829
172,0.9990035506
173,0.9982793373
174,0.9992057135
175,0.9988411573
176,0.9967656489
177,0.9988478797
178,0.9997818358
179,0.9999240757
180,0.9998779546
181,0.9982049875
182,0.997839126
183,0.9959689052
184,0.999897935
185,0.995966074
186,0.998978413
187,0.9999363107
188,0.9998863691
189,0.999734181
190,0.9994932579
191,0.9994948991
192,0.9994032821
193,0.999401297
194,0.9976920812
195,0.9999049321
196,0.9986115213
197,0.9999059453
198,0.9996097851
199,0.998960542
