time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00049,-3.16249,0.39217,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.147,1,0.00049,-3.14422,0.43503,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.216,2,0.00052,-3.15553,0.48011,0,3,0,MODEL,0.0000,0.100,0.0059,0,none
0.239,3,0.00060,-3.13900,0.53199,0,4,0,MODEL,0.0000,0.100,0.0219,0,none
0.290,4,0.00088,-3.11190,0.43762,0,5,0,MODEL,0.0000,0.100,0.0358,0,none
0.340,5,0.00076,-3.22666,0.50295,0,6,0,MODEL,0.0000,0.100,0.0465,0,none
0.391,6,0.00073,-3.21368,0.50260,0,7,0,MODEL,0.0000,0.100,0.0607,0,none
0.440,7,0.00054,-3.36493,0.44436,0,8,0,MODEL,0.0000,0.100,0.0727,0,none
0.491,8,0.00033,-3.11766,0.65977,0,9,0,MODEL,0.0000,0.100,0.0850,0,none
0.541,9,-0.00017,-3.21015,0.54518,0,10,0,FALLBACK,-1.0000,0.100,0.0973,0,none
0.592,10,-0.00250,-3.21093,0.35847,0,10,0,FALLBACK,-1.0000,0.100,0.1070,0,none
0.641,11,-0.00944,-2.99740,0.43508,0,10,0,FALLBACK,-1.0000,0.100,0.1177,0,none
0.691,12,-0.01744,-3.08253,0.49723,0,10,0,FALLBACK,-1.0000,0.100,0.1290,0,none
0.741,13,-0.02659,-3.46912,0.49193,0,10,0,FALLBACK,-1.0000,0.100,0.1400,0,none
0.792,14,-0.03705,-3.60137,0.55489,0,10,0,FALLBACK,-1.0000,0.100,0.1509,0,none
0.841,15,-0.04892,-3.63672,0.43959,0,10,0,FALLBACK,-1.0000,0.100,0.1616,0,none
0.894,16,-0.06232,-3.40250,0.46417,0,10,0,FALLBACK,-1.0000,0.100,0.1722,0,none
0.944,17,-0.07739,-3.22590,0.48115,0,10,0,FALLBACK,-1.0000,0.100,0.1827,0,none
0.993,18,-0.09426,-3.19569,0.37622,0,10,0,FALLBACK,-0.9444,0.100,0.1930,0,none
1.041,19,-0.12055,-3.15693,0.50175,0,10,0,FALLBACK,-0.7658,0.100,0.2072,0,none
1.092,20,-0.14111,-2.59678,0.56079,0,10,0,FALLBACK,-0.6917,0.100,0.2142,0,none
1.142,21,-0.15311,-2.88400,0.47166,0,10,0,FALLBACK,-0.6745,0.100,0.2285,0,none
1.191,22,-0.17285,-3.23284,0.55145,0,10,0,FALLBACK,-0.5370,0.100,0.2355,0,none
1.243,23,-0.19964,-3.45953,0.59332,0,10,0,FALLBACK,-0.3679,0.100,0.2462,0,none
1.293,24,-0.22187,-2.58974,0.67125,0,10,0,FALLBACK,-0.2795,0.100,0.2567,0,none
1.344,25,-0.24375,-0.34234,0.35301,0,10,0,FALLBACK,-0.1719,0.100,0.2671,0,none
1.392,26,-0.26576,-0.39353,0.47349,0,10,0,FALLBACK,-0.0611,0.100,0.2773,0,none
1.443,27,-0.28714,-0.83228,0.58226,0,10,0,FALLBACK,0.0426,0.100,0.2874,0,none
1.496,28,-0.30808,-1.00989,0.74468,0,10,0,FALLBACK,0.1451,0.100,0.2973,0,none
1.543,29,-0.32810,-1.19066,0.77124,0,10,0,FALLBACK,0.2407,0.100,0.3071,0,none
1.593,30,-0.34684,-0.64689,0.52416,0,10,0,FALLBACK,0.3278,0.100,0.3167,0,none
1.644,31,-0.36369,-1.31234,0.69895,0,10,0,FALLBACK,0.4027,0.100,0.3262,0,none
1.693,32,-0.37889,-1.56191,0.80772,0,10,0,FALLBACK,0.4704,0.100,0.3356,0,none
1.745,33,-0.39181,-0.49071,0.47531,0,10,0,FALLBACK,0.5237,0.100,0.3449,0,none
1.794,34,-0.40257,-0.75848,0.57682,0,10,0,FALLBACK,0.5666,0.100,0.3540,0,none
1.844,35,-0.41091,-2.12859,0.75341,0,10,0,FALLBACK,0.5962,0.100,0.3631,0,none
1.895,36,-0.41664,-2.75423,0.67326,0,10,0,FALLBACK,0.6119,0.100,0.3720,0,none
1.944,37,-0.41972,-3.05898,0.49391,0,10,0,FALLBACK,0.6141,0.100,0.3809,0,none
1.994,38,-0.42018,-2.95971,0.71470,0,10,0,FALLBACK,0.6032,0.100,0.3898,0,none
2.045,39,-0.43068,-2.71217,0.65518,0,10,0,FALLBACK,0.7059,0.100,0.3986,0,none
2.095,40,-0.42311,-2.98608,0.55847,0,10,0,FALLBACK,0.5777,0.100,0.4068,0,none
2.146,41,-0.41128,-3.27279,0.53592,0,10,0,FALLBACK,0.4973,0.100,0.4157,0,none
2.196,42,-0.39868,-3.44517,0.65138,0,10,0,FALLBACK,0.4304,0.100,0.4245,0,none
2.246,43,-0.38503,-3.58390,0.42576,0,10,0,FALLBACK,0.3569,0.100,0.4332,0,none
2.295,44,-0.37031,-3.89412,0.50249,0,10,0,FALLBACK,0.2780,0.100,0.4418,0,none
2.346,45,-0.35496,-3.73816,0.63870,0,10,0,FALLBACK,0.1980,0.100,0.4504,0,none
2.397,46,-0.33944,-3.40535,0.49575,0,10,0,FALLBACK,0.1197,0.100,0.4588,0,none
2.444,47,-0.32423,-3.50048,0.53089,0,10,0,FALLBACK,0.0451,0.100,0.4671,0,none
2.495,48,-0.30973,-3.53762,0.44877,0,10,0,FALLBACK,-0.0239,0.100,0.4753,0,none
2.548,49,-0.29633,-3.91723,0.61128,0,10,0,FALLBACK,-0.0853,0.100,0.4833,0,none
2.594,50,-0.28439,-3.55976,0.59319,0,10,0,FALLBACK,-0.1377,0.100,0.4913,0,none
2.648,51,-0.28907,-3.90693,0.72434,0,10,0,FALLBACK,-0.0313,0.100,0.4991,0,none
2.699,52,-0.27555,-3.55586,0.55062,0,10,0,FALLBACK,-0.1898,0.100,0.5069,0,none
2.747,53,-0.26127,-3.69369,0.58934,0,10,0,FALLBACK,-0.2651,0.100,0.5144,0,none
2.796,54,-0.25105,-3.44130,0.51989,0,10,0,FALLBACK,-0.2959,0.100,0.5218,0,none
2.849,55,-0.24441,-3.69229,0.76769,0,10,0,FALLBACK,-0.3112,0.100,0.5293,0,none
2.898,56,-0.24069,-3.33401,0.56439,0,10,0,FALLBACK,-0.3151,0.100,0.5367,0,none
2.949,57,-0.23974,-3.64050,0.47074,0,10,0,FALLBACK,-0.3061,0.100,0.5441,0,none
2.996,58,-0.24140,-3.67671,0.51790,0,10,0,FALLBACK,-0.2846,0.100,0.5514,0,none
3.048,59,-0.24539,-3.57604,0.59265,0,10,0,FALLBACK,-0.2531,0.100,0.5587,0,none
3.097,60,-0.28022,-3.32503,0.52967,0,10,0,FALLBACK,0.0753,0.100,0.5659,0,none
3.148,61,-0.27696,-3.53306,0.44416,0,10,0,FALLBACK,-0.1315,0.100,0.5725,0,none
3.199,62,-0.26835,-3.32482,0.47660,0,10,0,FALLBACK,-0.2013,0.100,0.5792,0,none
3.248,63,-0.26429,-3.43731,0.74686,0,10,0,FALLBACK,-0.1989,0.100,0.5860,0,none
3.298,64,-0.26383,-3.75287,0.62499,0,10,0,FALLBACK,-0.1831,0.100,0.5929,0,none
3.348,65,-0.26537,-3.89194,0.55540,0,10,0,FALLBACK,-0.1654,0.100,0.5998,0,none
3.400,66,-0.26841,-3.63065,0.44312,0,10,0,FALLBACK,-0.1428,0.100,0.6066,0,none
3.451,67,-0.27274,-3.74107,0.58754,0,10,0,FALLBACK,-0.1147,0.100,0.6133,0,none
3.498,68,-0.27806,-4.16735,0.53300,0,10,0,FALLBACK,-0.0831,0.100,0.6200,0,none
3.551,69,-0.30718,-3.87021,0.69688,0,10,0,FALLBACK,0.1815,0.100,0.6277,0,none
3.599,70,-0.30273,-3.90214,0.54711,0,10,0,FALLBACK,-0.0086,0.100,0.6330,0,none
3.650,71,-0.29023,-3.86714,0.60334,0,10,0,FALLBACK,-0.1113,0.100,0.6385,0,none
3.700,72,-0.28247,-3.33115,0.50528,0,10,0,FALLBACK,-0.1265,0.100,0.6424,0,none
3.750,73,-0.27827,-3.25145,0.41813,0,10,0,FALLBACK,-0.1296,0.100,0.6490,0,none
3.801,74,-0.27689,-3.62344,0.69512,0,10,0,FALLBACK,-0.1225,0.100,0.6540,0,none
3.850,75,-0.27549,-3.65625,0.59782,0,10,0,FALLBACK,-0.1296,0.100,0.6613,0,none
3.899,76,-0.27694,-3.61366,0.60815,0,10,0,FALLBACK,-0.1081,0.100,0.6666,0,none
3.950,77,-0.30097,-3.57986,0.50108,0,10,0,FALLBACK,0.1251,0.100,0.6742,0,none
4.000,78,-0.29233,-3.22522,0.43379,0,10,0,FALLBACK,-0.0815,0.100,0.6773,0,none
4.050,79,-0.27582,-3.49713,0.54770,0,10,0,FALLBACK,-0.2035,0.100,0.6836,0,none
4.100,80,-0.26578,-3.07326,0.35970,0,10,0,FALLBACK,-0.2213,0.100,0.6898,0,none
4.150,81,-0.26041,-3.16921,0.59431,0,10,0,FALLBACK,-0.2248,0.100,0.6962,0,none
4.202,82,-0.25991,-3.43686,0.43978,0,10,0,FALLBACK,-0.2029,0.100,0.7016,0,none
4.250,83,-0.26125,-3.24060,0.51450,0,10,0,FALLBACK,-0.1870,0.100,0.7074,0,none
4.302,84,-0.29307,-3.34422,0.43992,0,10,0,FALLBACK,0.1244,0.100,0.7138,0,none
4.354,85,-0.28395,-3.15822,0.44022,0,10,0,FALLBACK,-0.1259,0.100,0.7191,0,none
4.401,86,-0.26666,-3.30128,0.44586,0,10,0,FALLBACK,-0.2531,0.100,0.7230,0,none
4.452,87,-0.25628,-3.02762,0.45423,0,10,0,FALLBACK,-0.2705,0.100,0.7299,0,none
4.500,88,-0.25457,-3.32003,0.51330,0,10,0,FALLBACK,-0.2357,0.100,0.7345,0,none
4.551,89,-0.25609,-3.34380,0.60070,0,10,0,FALLBACK,-0.2119,0.100,0.7385,0,none
4.586,90,-0.26106,-3.52407,0.48068,0,10,0,FALLBACK,-0.1698,0.100,0.7457,0,none
4.635,91,-0.28924,-3.44920,0.38094,0,10,0,FALLBACK,0.0871,0.100,0.7493,0,none
4.684,92,-0.27931,-3.32454,0.58168,0,10,0,FALLBACK,-0.1532,0.100,0.7556,0,none
4.735,93,-0.26588,-3.35736,0.51510,0,10,0,FALLBACK,-0.2378,0.100,0.7606,0,none
4.787,94,-0.26191,-3.27586,0.44150,0,10,0,FALLBACK,-0.2102,0.100,0.7627,0,none
4.837,95,-0.26251,-3.68398,0.48968,0,10,0,FALLBACK,-0.1845,0.100,0.7690,0,none
4.886,96,-0.26554,-3.50883,0.58371,0,10,0,FALLBACK,-0.1571,0.100,0.7739,0,none
4.937,97,-0.29692,-3.52593,0.54757,0,10,0,FALLBACK,0.1415,0.100,0.7790,0,none
4.986,98,-0.28638,-3.56806,0.58092,0,10,0,FALLBACK,-0.1208,0.100,0.7832,0,none
5.036,99,-0.27148,-3.27162,0.50343,0,10,0,FALLBACK,-0.2171,0.100,0.7875,0,none
5.088,100,-0.26517,-3.61740,0.41159,0,10,0,FALLBACK,-0.2057,0.100,0.7918,0,none
5.137,101,-0.26442,-3.56990,0.56107,0,10,0,FALLBACK,-0.1817,0.100,0.7966,0,none
5.188,102,-0.26669,-3.63702,0.71262,0,10,0,FALLBACK,-0.1552,0.100,0.8014,0,none
5.237,103,-0.27132,-3.53994,0.50547,0,10,0,FALLBACK,-0.1203,0.100,0.8062,0,none
5.288,104,-0.28836,-3.36163,0.49245,0,10,0,FALLBACK,0.0270,0.100,0.8109,0,none
5.339,105,-0.28516,-3.58536,0.60071,0,10,0,FALLBACK,-0.0902,0.100,0.8154,0,none
5.389,106,-0.28025,-3.46049,0.48562,0,10,0,FALLBACK,-0.1233,0.100,0.8198,0,none
5.438,107,-0.27971,-3.52337,0.63856,0,10,0,FALLBACK,-0.1041,0.100,0.8243,0,none
5.487,108,-0.28195,-3.70764,0.47974,0,10,0,FALLBACK,-0.0790,0.100,0.8288,0,none
5.540,109,-0.28545,-3.53383,0.53197,0,10,0,FALLBACK,-0.0552,0.100,0.8333,0,none
5.589,110,-0.29997,-3.61657,0.47920,0,10,0,FALLBACK,0.0724,0.100,0.8377,0,none
5.640,111,-0.29534,-3.53246,0.58075,0,10,0,FALLBACK,-0.0464,0.100,0.8419,0,none
5.691,112,-0.28737,-2.95194,0.44804,0,10,0,FALLBACK,-0.1030,0.100,0.8460,0,none
5.742,113,-0.28298,-3.11875,0.51436,0,10,0,FALLBACK,-0.1070,0.100,0.8503,0,none
5.790,114,-0.28218,-3.28946,0.40700,0,10,0,FALLBACK,-0.0932,0.100,0.8545,0,none
5.842,115,-0.28363,-2.85573,0.47164,0,10,0,FALLBACK,-0.0746,0.100,0.8587,0,none
5.892,116,-0.29343,-3.45995,0.57949,0,10,0,FALLBACK,0.0161,0.100,0.8629,0,none
5.942,117,-0.29002,-3.10957,0.47531,0,10,0,FALLBACK,-0.0670,0.100,0.8669,0,none
5.990,118,-0.28491,-3.48517,0.54896,0,10,0,FALLBACK,-0.1010,0.100,0.8709,0,none
6.041,119,-0.28298,-3.51675,0.46433,0,10,0,FALLBACK,-0.0948,0.100,0.8749,0,none
6.090,120,-0.28407,-3.41617,0.46770,0,10,0,FALLBACK,-0.0741,0.100,0.8789,0,none
6.140,121,-0.30015,-3.50859,0.45089,0,10,0,FALLBACK,0.0812,0.100,0.8829,0,none
6.191,122,-0.29521,-3.40351,0.40565,0,10,0,FALLBACK,-0.0487,0.100,0.8865,0,none
6.239,123,-0.28611,-3.57046,0.56530,0,10,0,FALLBACK,-0.1150,0.100,0.8902,0,none
6.291,124,-0.28094,-3.55344,0.53051,0,10,0,FALLBACK,-0.1211,0.100,0.8939,0,none
6.344,125,-0.28015,-3.53062,0.51884,0,10,0,FALLBACK,-0.1032,0.100,0.8977,0,none
6.391,126,-0.28219,-3.51849,0.59446,0,10,0,FALLBACK,-0.0788,0.100,0.9015,0,none
6.442,127,-0.29114,-3.75192,0.48979,0,10,0,FALLBACK,0.0004,0.100,0.9052,0,none
6.493,128,-0.29141,-3.67259,0.54972,0,10,0,FALLBACK,-0.0416,0.100,0.9089,0,none
6.543,129,-0.29027,-3.84984,0.52802,0,10,0,FALLBACK,-0.0543,0.100,0.9125,0,none
6.593,130,-0.29082,-3.77335,0.59936,0,10,0,FALLBACK,-0.0431,0.100,0.9161,0,none
6.642,131,-0.29294,-3.71576,0.62053,0,10,0,FALLBACK,-0.0247,0.100,0.9197,0,none
