time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,-4.49680,4.17002,0.55102,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.114,1,-4.49680,4.36473,0.68287,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.176,2,-4.49678,4.25525,0.74859,0,3,0,MODEL,0.0000,0.100,0.0075,0,none
0.239,3,-4.49661,4.30867,0.73276,0,4,0,MODEL,0.0000,0.100,0.0223,0,none
0.266,4,-4.49642,4.03780,0.58664,0,5,0,MODEL,0.0000,0.100,0.0326,0,none
0.316,5,-4.49660,4.15314,0.69367,0,6,0,MODEL,0.0000,0.100,0.0479,0,none
0.364,6,-4.49692,3.83096,0.69810,0,7,0,MODEL,0.0000,0.100,0.0642,0,none
0.415,7,-4.49748,4.43175,0.83735,0,8,0,MODEL,0.0000,0.100,0.0702,0,none
0.468,8,-4.49773,4.08070,0.66723,0,9,0,MODEL,0.0000,0.100,0.0847,0,none
0.516,9,-4.49821,4.03749,0.57779,0,10,0,FALLBACK,1.0000,0.100,0.0969,0,none
0.566,10,-4.49709,4.05843,0.76860,0,10,0,FALLBACK,1.0000,0.100,0.1071,0,none
0.615,11,-4.49152,3.65704,0.60108,0,10,0,FALLBACK,1.0000,0.100,0.1172,0,none
0.666,12,-4.48504,3.49964,0.42815,0,10,0,FALLBACK,1.0000,0.100,0.1289,0,none
0.718,13,-4.47758,3.26734,0.71436,0,10,0,FALLBACK,1.0000,0.100,0.1399,0,none
0.766,14,-4.46898,3.42133,0.56929,0,10,0,FALLBACK,1.0000,0.100,0.1508,0,none
0.817,15,-4.45912,3.91306,0.85975,0,10,0,FALLBACK,1.0000,0.100,0.1616,0,none
0.867,16,-4.44788,3.86493,0.65225,0,10,0,FALLBACK,1.0000,0.100,0.1722,0,none
0.919,17,-4.43512,4.02317,0.59611,0,10,0,FALLBACK,1.0000,0.100,0.1827,0,none
0.967,18,-4.42070,4.33810,0.81156,0,10,0,FALLBACK,1.0000,0.100,0.1931,0,none
1.018,19,-4.40450,4.08139,0.51390,0,10,0,FALLBACK,1.0000,0.100,0.2034,0,none
1.067,20,-4.37877,4.15452,0.77522,0,10,0,FALLBACK,1.0000,0.100,0.2173,0,none
1.117,21,-4.35771,3.62791,0.70101,0,10,0,FALLBACK,1.0000,0.100,0.2238,0,none
