time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00251,-3.17536,0.42599,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.065,1,0.00251,-3.24239,0.42492,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.103,2,0.00272,-3.11323,0.36943,0,0,0,MODEL,1.0000,0.100,0.0069,0,none
0.152,3,0.00322,-3.33201,0.35061,0,0,0,MODEL,1.0000,0.100,0.0160,0,none
0.203,4,0.00464,-3.27617,0.41221,0,0,0,MODEL,1.0000,0.100,0.0324,0,none
0.252,5,0.00678,-3.57931,0.45616,0,0,0,MODEL,1.0000,0.100,0.0441,0,none
0.304,6,0.00972,-3.45452,0.57148,0,0,0,MODEL,1.0000,0.100,0.0563,0,none
0.352,7,0.01336,-3.41023,0.47475,0,0,0,MODEL,1.0000,0.100,0.0709,0,none
0.405,8,0.01797,-3.31046,0.36591,0,0,0,MODEL,1.0000,0.100,0.0805,0,none
0.452,9,0.02300,-3.38226,0.32869,0,0,0,MODEL,1.0000,0.100,0.0905,0,none
0.502,10,0.02903,-3.88349,0.60284,0,0,0,MODEL,1.0000,0.100,0.1043,0,none
0.554,11,0.03621,-3.93407,0.56823,0,0,0,MODEL,1.0000,0.100,0.1143,0,none
0.612,12,0.04455,-3.93751,0.83814,0,0,0,MODEL,1.0000,0.100,0.1262,0,none
0.659,13,0.05408,-4.09023,0.78524,0,0,0,MODEL,1.0000,0.100,0.1372,0,none
0.712,14,0.06490,-3.75018,0.62950,0,0,0,MODEL,1.0000,0.100,0.1481,0,none
0.760,15,0.07714,-3.90057,0.49700,0,0,0,MODEL,1.0000,0.100,0.1589,0,none
0.811,16,0.09090,-3.82668,0.69695,0,0,0,MODEL,1.0000,0.100,0.1696,0,none
0.861,17,0.10633,-4.09814,0.70794,0,0,0,MODEL,1.0000,0.100,0.1801,0,none
0.911,18,0.12354,-4.16330,0.59103,0,0,0,MODEL,1.0000,0.100,0.1905,0,none
0.961,19,0.14872,-4.06583,0.63775,0,0,0,MODEL,1.0000,0.100,0.2088,0,none
1.012,20,0.17251,-4.49556,0.75394,0,0,0,MODEL,1.0000,0.100,0.2112,0,none
1.062,21,0.19245,-4.50585,0.79930,0,0,0,MODEL,1.0000,0.100,0.2314,0,none
1.111,22,0.21205,-4.76531,0.78026,0,0,0,MODEL,1.0000,0.100,0.2310,0,none
1.164,23,0.24091,-5.02235,0.86579,0,0,0,MODEL,1.0000,0.100,0.2412,0,none
1.212,24,0.26842,-4.58411,0.62418,0,0,0,MODEL,1.0000,0.100,0.2509,0,none
1.263,25,0.30274,-5.39730,1.00322,0,0,0,MODEL,1.0000,0.100,0.2605,0,none
1.312,26,0.34011,-5.06854,1.16923,0,0,0,MODEL,1.0000,0.100,0.2700,0,none
1.361,27,0.38065,-5.44517,0.95222,0,0,0,MODEL,1.0000,0.100,0.2793,0,none
1.413,28,0.42456,-5.28644,1.10298,0,0,0,MODEL,1.0000,0.100,0.2886,0,none
1.463,29,0.47198,-5.11294,1.03002,0,0,0,MODEL,1.0000,0.100,0.2978,0,none
1.512,30,0.52308,-5.18728,0.77192,0,0,0,MODEL,1.0000,0.100,0.3069,0,none
1.564,31,0.57802,-5.32263,1.07428,0,0,0,MODEL,1.0000,0.100,0.3158,0,none
1.614,32,0.63698,-4.99411,1.13386,0,0,0,MODEL,1.0000,0.100,0.3247,0,none
1.664,33,0.70010,-5.02773,0.89826,0,0,0,MODEL,1.0000,0.100,0.3335,0,none
1.715,34,0.76753,-4.57904,0.81796,0,0,0,MODEL,1.0000,0.100,0.3421,0,none
1.766,35,0.83945,-4.26886,0.77118,0,0,0,MODEL,1.0000,0.100,0.3507,0,none
1.814,36,0.91596,-4.24582,0.80200,0,0,0,MODEL,1.0000,0.100,0.3592,0,none
1.864,37,0.99725,-3.56238,0.78337,0,0,0,MODEL,1.0000,0.100,0.3676,0,none
1.915,38,1.08343,-3.34981,0.86300,0,0,0,MODEL,1.0000,0.100,0.3758,0,none
1.949,39,1.17462,-3.45167,0.76155,0,0,0,MODEL,1.0000,0.100,0.3840,0,none
1.999,40,1.27095,-3.45248,0.89911,0,0,0,MODEL,1.0000,0.100,0.3921,0,none
2.050,41,1.37253,-3.35207,0.92649,0,0,0,MODEL,1.0000,0.100,0.4001,0,none
2.101,42,1.46722,-2.98012,0.99792,0,0,0,MODEL,1.0000,0.100,0.4080,0,none
2.151,43,1.58139,-3.03396,0.82602,0,0,0,MODEL,1.0000,0.100,0.4159,0,none
2.202,44,1.70107,-2.69746,0.95468,0,0,0,MODEL,1.0000,0.100,0.4236,0,none
2.251,45,1.83372,-2.03849,0.72430,0,0,0,MODEL,1.0000,0.100,0.4349,0,none
2.301,46,1.96586,-0.94487,0.24475,1,0,0,MODEL,0.6126,0.100,0.4386,0,none
2.352,47,2.10038,-0.19436,0.18639,1,0,0,MODEL,-0.1004,0.100,0.4479,0,none
2.402,48,2.23154,-0.27863,0.23497,1,0,0,MODEL,-0.0203,0.100,0.4542,0,none
2.451,49,2.35824,-0.17578,0.14657,1,0,0,MODEL,-0.1180,0.100,0.4625,0,none
2.502,50,2.48712,-0.15032,0.14687,1,0,0,MODEL,-0.1422,0.100,0.4706,0,none
2.553,51,2.61668,-0.13153,0.12578,1,0,0,MODEL,-0.1600,0.100,0.4786,0,none
2.600,52,2.74735,-0.11247,0.14095,1,0,0,MODEL,-0.1782,0.100,0.4866,0,none
2.652,53,2.87617,-0.12103,0.15096,1,0,0,MODEL,-0.1700,0.100,0.4950,0,none
2.702,54,3.01150,-0.00557,0.09816,1,0,0,MODEL,-0.2797,0.100,0.5027,0,none
2.751,55,3.14481,0.00162,0.12271,1,0,0,MODEL,-0.2865,0.100,0.5100,0,none
2.802,56,3.27703,0.07283,0.13717,1,0,0,MODEL,-0.3542,0.100,0.5176,0,none
2.850,57,3.39015,0.14440,0.17155,1,0,0,MODEL,-0.4222,0.100,0.5250,0,none
2.903,58,3.52400,0.04356,0.15591,1,0,0,MODEL,-0.3264,0.100,0.5322,0,none
2.952,59,3.65705,0.05196,0.10281,1,0,0,MODEL,-0.3344,0.100,0.5398,0,none
3.002,60,3.79095,0.05044,0.10615,1,0,0,MODEL,-0.3329,0.100,0.5471,0,none
3.054,61,3.91673,0.01872,0.11557,1,0,0,MODEL,-0.3028,0.100,0.5534,0,none
3.102,62,4.04831,0.08298,0.09705,1,0,0,MODEL,-0.3638,0.100,0.5621,0,none
3.152,63,4.18136,0.10640,0.19301,1,0,0,MODEL,-0.3861,0.100,0.5688,0,none
3.205,64,4.31223,0.09238,0.18655,1,0,0,MODEL,-0.3728,0.100,0.5757,0,none
3.254,65,4.44138,0.04759,0.08281,1,0,0,MODEL,-0.3302,0.100,0.5827,0,none
3.304,66,4.56957,0.06712,0.12948,1,0,0,MODEL,-0.3488,0.100,0.5897,0,none
3.356,67,4.69720,0.06242,0.10171,1,0,0,MODEL,-0.3443,0.100,0.5965,0,none
3.404,68,4.82318,0.11951,0.19405,1,0,0,MODEL,-0.3985,0.100,0.6033,0,none
3.454,69,4.91849,0.11852,0.18764,1,0,0,MODEL,-0.3976,0.100,0.6098,0,none
3.504,70,5.04780,0.04454,0.14493,1,0,0,MODEL,-0.3273,0.100,0.6163,0,none
3.554,71,5.17519,0.03160,0.09146,1,0,0,MODEL,-0.3150,0.100,0.6230,0,none
3.605,72,5.30211,0.08738,0.15730,1,0,0,MODEL,-0.3680,0.100,0.6291,0,none
3.655,73,5.42721,0.06984,0.17338,1,0,0,MODEL,-0.3513,0.100,0.6361,0,none
3.705,74,5.54895,0.04602,0.13346,1,0,0,MODEL,-0.3287,0.100,0.6422,0,none
3.755,75,5.66884,0.08255,0.12695,1,0,0,MODEL,-0.3634,0.100,0.6487,0,none
3.807,76,5.78672,0.08649,0.14088,1,0,0,MODEL,-0.3672,0.100,0.6547,0,none
3.855,77,5.90114,0.14134,0.15235,1,0,0,MODEL,-0.4193,0.100,0.6610,0,none
3.906,78,6.01216,0.08045,0.16292,1,0,0,MODEL,-0.3614,0.100,0.6667,0,none
3.955,79,6.09104,0.07450,0.16120,1,0,0,MODEL,-0.3558,0.100,0.6729,0,none
4.005,80,6.20560,0.08431,0.11249,1,0,0,MODEL,-0.3651,0.100,0.6789,0,none
4.056,81,6.31717,0.12619,0.16800,1,0,0,MODEL,-0.4049,0.100,0.6848,0,none
4.107,82,6.42487,0.08207,0.15309,1,0,0,MODEL,-0.3630,0.100,0.6905,0,none
4.155,83,6.52798,0.08598,0.15057,1,0,0,MODEL,-0.3667,0.100,0.6963,0,none
4.207,84,6.62823,0.08325,0.13693,1,0,0,MODEL,-0.3641,0.100,0.7021,0,none
4.255,85,6.72462,0.11426,0.15116,1,0,0,MODEL,-0.3935,0.100,0.7077,0,none
4.307,86,6.81685,0.09315,0.13435,1,0,0,MODEL,-0.3735,0.100,0.7132,0,none
4.358,87,6.90405,0.07109,0.10942,1,0,0,MODEL,-0.3525,0.100,0.7187,0,none
4.406,88,6.95892,0.08756,0.10843,1,0,0,MODEL,-0.3682,0.100,0.7243,0,none
4.455,89,7.05108,0.05396,0.11347,1,0,0,MODEL,-0.3363,0.100,0.7297,0,none
4.505,90,7.13867,0.07580,0.15361,1,0,0,MODEL,-0.3570,0.100,0.7352,0,none
4.555,91,7.22261,0.09363,0.18094,1,0,0,MODEL,-0.3740,0.100,0.7405,0,none
4.607,92,7.30141,0.08137,0.14972,1,0,0,MODEL,-0.3623,0.100,0.7456,0,none
4.657,93,7.37489,0.08922,0.21913,1,0,0,MODEL,-0.3698,0.100,0.7508,0,none
4.708,94,7.44357,0.09315,0.15921,1,0,0,MODEL,-0.3735,0.100,0.7560,0,none
4.757,95,7.50685,0.05772,0.10032,1,0,0,MODEL,-0.3398,0.100,0.7610,0,none
4.807,96,7.53137,0.04574,0.21034,1,0,0,MODEL,-0.3284,0.100,0.7662,0,none
4.858,97,7.60040,0.10331,0.16229,1,0,0,MODEL,-0.3831,0.100,0.7713,0,none
4.908,98,7.66447,0.10635,0.12909,1,0,0,MODEL,-0.3860,0.100,0.7760,0,none
4.959,99,7.72143,-0.00365,0.12540,1,0,0,MODEL,-0.2815,0.100,0.7808,0,none
5.007,100,7.77296,0.05927,0.11975,1,0,0,MODEL,-0.3413,0.100,0.7858,0,none
5.057,101,7.82101,0.09147,0.17125,1,0,0,MODEL,-0.3719,0.100,0.7905,0,none
5.109,102,7.86257,0.00830,0.08941,1,0,0,MODEL,-0.2929,0.100,0.7951,0,none
5.161,103,7.89781,0.02297,0.12493,1,0,0,MODEL,-0.3068,0.100,0.7999,0,none
5.211,104,7.90320,0.02678,0.18549,1,0,0,MODEL,-0.3104,0.100,0.8047,0,none
5.260,105,7.94483,0.02122,0.08162,1,0,0,MODEL,-0.3052,0.100,0.8092,0,none
5.310,106,7.98102,0.05056,0.11695,1,0,0,MODEL,-0.3330,0.100,0.8138,0,none
