time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00237,-3.19635,0.51013,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.069,1,0.00237,-3.31068,0.50847,0,0,0,MODEL,1.0000,0.100,0.0000,0,none
0.102,2,0.00261,-3.37531,0.51378,0,0,0,MODEL,1.0000,0.100,0.0069,0,none
0.151,3,0.00319,-3.33660,0.41183,0,0,0,MODEL,1.0000,0.100,0.0209,0,none
0.201,4,0.00484,-3.38060,0.39896,0,0,0,MODEL,1.0000,0.100,0.0313,0,none
0.251,5,0.00691,-3.34795,0.41170,0,0,0,MODEL,1.0000,0.100,0.0416,0,none
0.304,6,0.00998,-3.73313,0.54425,0,0,0,MODEL,1.0000,0.100,0.0592,0,none
0.353,7,0.01401,-3.56454,0.55138,0,0,0,MODEL,1.0000,0.100,0.0682,0,none
0.404,8,0.01888,-3.64833,0.58104,0,0,0,MODEL,1.0000,0.100,0.0807,0,none
0.454,9,0.02455,-3.64602,0.51782,0,0,0,MODEL,1.0000,0.100,0.0930,0,none
0.504,10,0.03092,-3.99636,0.62961,0,0,0,MODEL,1.0000,0.100,0.1033,0,none
0.554,11,0.03835,-3.99219,0.63294,0,0,0,MODEL,1.0000,0.100,0.1157,0,none
0.603,12,0.04687,-4.26571,0.75779,0,0,0,MODEL,1.0000,0.100,0.1261,0,none
0.654,13,0.05661,-4.12465,0.81738,0,0,0,MODEL,1.0000,0.100,0.1372,0,none
0.706,14,0.06768,-4.24259,0.79956,0,0,0,MODEL,1.0000,0.100,0.1481,0,none
0.754,15,0.08016,-4.02427,0.69228,0,0,0,MODEL,1.0000,0.100,0.1589,0,none
0.804,16,0.09420,-3.86850,0.47588,0,0,0,MODEL,1.0000,0.100,0.1696,0,none
0.855,17,0.10991,-4.11112,0.85296,0,0,0,MODEL,1.0000,0.100,0.1801,0,none
0.907,18,0.12743,-4.38478,0.62649,0,0,0,MODEL,1.0000,0.100,0.1905,0,none
0.955,19,0.15293,-4.02866,0.79247,0,0,0,MODEL,1.0000,0.100,0.2088,0,none
1.004,20,0.17706,-4.51941,0.84415,0,0,0,MODEL,1.0000,0.100,0.2111,0,none
1.057,21,0.19736,-4.74026,0.78293,0,0,0,MODEL,1.0000,0.100,0.2313,0,none
1.105,22,0.21734,-4.73998,0.67709,0,0,0,MODEL,1.0000,0.100,0.2310,0,none
1.157,23,0.24658,-4.81996,1.25990,0,0,0,MODEL,1.0000,0.100,0.2412,0,none
1.207,24,0.27141,-4.37883,0.76604,0,0,0,MODEL,1.0000,0.100,0.2508,0,none
1.257,25,0.30648,-5.06611,0.67642,0,0,0,MODEL,1.0000,0.100,0.2604,0,none
1.305,26,0.34462,-5.49507,0.82109,0,0,0,MODEL,1.0000,0.100,0.2699,0,none
1.355,27,0.38597,-5.24644,1.06857,0,0,0,MODEL,1.0000,0.100,0.2793,0,none
1.404,28,0.43069,-5.14352,0.84043,0,0,0,MODEL,1.0000,0.100,0.2886,0,none
1.455,29,0.47895,-5.48353,0.70921,0,0,0,MODEL,1.0000,0.100,0.2978,0,none
1.505,30,0.53091,-4.94819,1.16330,0,0,0,MODEL,1.0000,0.100,0.3068,0,none
1.555,31,0.58674,-4.67667,1.02999,0,0,0,MODEL,1.0000,0.100,0.3158,0,none
1.603,32,0.64657,-4.73873,0.84552,0,0,0,MODEL,1.0000,0.100,0.3247,0,none
1.656,33,0.71059,-4.79196,0.82047,0,0,0,MODEL,1.0000,0.100,0.3335,0,none
1.705,34,0.77894,-4.49755,0.85614,0,0,0,MODEL,1.0000,0.100,0.3421,0,none
1.758,35,0.85177,-3.73589,0.91558,0,0,0,MODEL,1.0000,0.100,0.3507,0,none
1.804,36,0.92923,-3.88211,0.84917,0,0,0,MODEL,1.0000,0.100,0.3592,0,none
1.857,37,1.01145,-3.69266,0.93353,0,0,0,MODEL,1.0000,0.100,0.3675,0,none
1.905,38,1.09857,-3.49764,0.87098,0,0,0,MODEL,1.0000,0.100,0.3758,0,none
1.957,39,1.19071,-3.33258,0.62123,0,0,0,MODEL,1.0000,0.100,0.3840,0,none
