cte_true,mc_mean,mc_std
0.00058,-3.34560,0.43181
0.00058,-3.05625,0.48410
0.00062,-3.35179,0.51301
0.00059,-3.17185,0.42903
0.00038,-3.15526,0.50030
0.00005,-3.16344,0.40997
-0.00078,-2.86613,0.38899
-0.00184,-2.94327,0.36814
-0.00315,-2.90877,0.40515
-0.00475,-2.86870,0.29162
-0.00662,-3.20476,0.56238
-0.00880,-2.88593,0.48468
-0.01128,-3.41774,0.57428
-0.01408,-3.17393,0.45427
-0.02310,-3.48201,0.53400
-0.02117,-3.66518,0.49716
-0.02445,-3.63293,0.55938
-0.02137,-3.51514,0.56434
-0.02724,-3.80162,0.62746
-0.03364,-3.37083,0.59999
-0.04047,-3.38482,0.59802
-0.04765,-3.69541,0.56602
-0.05518,-3.29496,0.47511
-0.06303,-3.33614,0.56867
-0.07122,-3.43307,0.43640
-0.07959,-3.38012,0.45280
-0.08808,-3.40486,0.62841
-0.09672,-3.49936,0.48727
-0.10565,-3.34161,0.51844
-0.11411,-3.44440,0.45455
-0.12234,-3.62153,0.59588
-0.13028,-3.65856,0.63475
-0.13776,-3.58459,0.44341
-0.14473,-3.64731,0.55151
-0.15100,-3.41941,0.52184
-0.15637,-3.46125,0.55311
-0.16101,-3.45496,0.46385
-0.16424,-3.57957,0.66914
-0.16623,-3.52671,0.42936
-0.16693,-3.63618,0.61424
-0.16625,-3.85939,0.56442
-0.16410,-3.43043,0.66199
-0.16781,-3.40775,0.49913
-0.15761,-3.29739,0.52296
-0.14560,-3.62511,0.45965
-0.13209,-3.31642,0.60510
-0.11738,-3.48744,0.45888
-0.10169,-3.40307,0.47808
-0.08457,-3.46891,0.65204
-0.06802,-3.53130,0.54969
-0.05128,-3.63629,0.57009
-0.03487,-3.56033,0.66279
-0.01919,-3.72883,0.56367
-0.00158,-3.52537,0.51101
0.00829,-3.45138,0.56017
0.01621,-3.70141,0.44518
0.02192,-3.11339,0.43841
0.02521,-2.91197,0.46393
0.02816,-3.39207,0.51136
0.02070,-3.03768,0.40899
0.01029,-3.31615,0.41560
-0.00269,-3.10084,0.37584
-0.01769,-3.30880,0.42723
-0.03564,-3.44077,0.48842
-0.05507,-3.78503,0.56019
-0.07537,-3.53559,0.58131
-0.10201,-3.43663,0.47228
-0.11569,-4.04498,0.62962
-0.12832,-3.69199,0.55557
-0.13930,-3.43945,0.57360
-0.16150,-3.78826,0.63737
-0.15164,-3.67100,0.53427
-0.13839,-3.70150,0.49183
-0.12248,-3.82361,0.50300
-0.11869,-4.25292,0.75938
-0.07728,-4.16560,0.87782
-0.03423,-3.86599,0.61067
0.00813,-3.65393,0.70317
0.03696,-4.14101,0.60179
0.10375,-4.50009,0.74416
0.16546,-5.03192,0.91004
0.21822,-4.41088,0.74571
0.26006,-4.81882,0.82882
0.31670,-4.39878,0.66414
0.35783,-4.60823,0.85848
0.36454,-4.62655,0.82961
0.39798,-4.77856,0.74261
0.41083,-4.97004,0.91919
0.40112,-4.75686,0.71382
0.37051,-4.33965,1.03683
0.35238,-3.87395,0.64100
0.31298,-3.94906,0.51981
0.23818,-4.05149,0.64226
0.20728,-3.79206,0.71163
0.16152,-3.67153,0.61370
0.07540,-3.83555,0.65419
0.04802,-3.55424,0.39151
0.01284,-3.57852,0.53621
-0.02844,-4.19516,0.63998
-0.06464,-3.71342,0.63577
-0.06059,-3.92090,0.66508
-0.05756,-4.18321,0.62843
-0.05194,-4.16537,0.80697
0.00794,-4.42081,0.61507
0.06656,-4.56576,0.62869
0.11814,-4.73545,0.96298
0.21275,-4.62073,0.72079
0.29646,-5.20142,0.92534
0.35777,-5.19387,1.26141
0.45341,-5.14565,1.20142
0.52119,-5.02874,1.19843
0.54743,-4.87301,1.04879
0.59918,-4.83492,0.76343
0.61159,-4.35640,0.63301
0.57260,-4.59807,0.83852
0.54588,-4.17142,0.69919
0.47912,-4.17959,0.57033
0.36611,-3.51265,0.54833
0.27131,-3.44164,0.45640
0.14885,-3.80555,0.65124
-0.00360,-3.44747,0.44271
-0.12456,-3.01681,0.52915
-0.25087,-3.36758,0.64781
-0.38106,-3.20454,0.55069
-0.44661,-3.30135,0.51991
-0.49371,-3.22265,0.49496
-0.51100,-3.62840,0.70342
-0.44845,-3.89863,0.57103
-0.35756,-4.46940,0.77886
-0.22346,-4.84808,0.95231
-0.02903,-5.47033,1.03344
0.17730,-5.60930,0.87730
0.40618,-5.26540,1.13623
0.65575,-5.83580,1.29485
0.87655,-5.06848,0.85745
1.07822,-4.93673,0.89248
1.25629,-4.52632,0.94577
1.35494,-4.25314,0.85248
1.39796,-4.26556,0.78380
1.40400,-4.47924,0.94546
1.32654,-4.70920,1.00395
1.19135,-4.70738,0.96126
1.02828,-4.33366,0.67168
0.78904,-3.17434,0.43832
0.49431,-2.22990,0.79909
0.20574,-0.62859,0.65529
-0.11453,-0.58125,0.50649
-0.45925,0.55502,0.63283
-0.72575,-0.28304,0.58466
-0.96945,0.49333,1.19189
-1.17191,-2.13764,1.04333
-1.24350,-2.77982,0.77936
-1.24269,-2.93142,0.50511
-1.14430,-3.80195,0.73646
-0.93044,-4.39753,0.73702
-0.65341,-4.46677,0.80142
-0.30848,-5.98131,0.82922
0.10359,-5.12006,0.91087
0.53166,-4.07610,1.00319
0.94666,-3.43653,0.74836
1.39716,-3.03499,0.71742
1.79522,-2.56061,0.96035
2.12872,-2.33876,0.66350
2.38981,-2.37729,0.55488
2.61872,-2.22960,0.54097
2.76149,-2.08694,0.66576
2.82192,-2.86036,0.78520
2.86226,-2.72998,0.68650
2.82476,-2.95055,0.59825
2.68518,-2.71084,0.61675
2.55326,-3.68812,0.85176
2.34806,-4.39055,0.71758
2.06508,-4.40430,0.72216
1.71633,-3.21935,0.56266
1.35580,-0.50859,1.20699
0.93700,0.62707,0.60753
0.41865,0.36994,0.31943
-0.04779,-0.10047,0.25491
-0.52846,-0.13200,0.73486
-1.00807,1.28267,0.93041
-1.46459,2.85779,0.67045
-1.87802,3.41118,0.74993
-2.17350,3.42677,0.59572
-2.40108,2.70891,0.64887
-2.55977,1.20822,1.73602
-2.59106,1.32938,1.70884
-2.54933,-1.63450,1.12710
-2.42402,-2.73326,0.52984
-2.18896,-2.10553,0.54735
-1.88889,-4.52480,0.74313
-1.52400,-3.85912,0.97144
-1.06170,-4.75660,0.81242
-0.55631,-5.81867,1.28889
-0.02009,-3.21271,0.69013
0.51489,-3.28732,0.85939
1.06930,-2.09248,0.62683
1.59567,-0.56079,0.21836
2.08398,-0.53138,0.24744
2.51037,-0.41548,0.24888
2.88789,-0.38795,0.24777
3.17047,-0.38370,0.18775
3.38635,-0.56660,0.24169
3.53817,-0.55213,0.20336
3.60030,-0.61384,0.21377
3.58661,-0.89343,0.28409
3.51874,-1.40969,0.32518
3.35675,-1.98486,0.40320
3.12419,-2.08119,0.50485
2.83591,-3.07087,0.58078
2.46216,-2.51412,0.35808
2.03690,1.72697,0.29290
1.55758,0.90491,0.17737
1.05127,1.06055,0.28387
0.49468,0.51826,0.34153
-0.08481,-0.33487,0.16739
-0.67756,-1.58813,0.50096
-1.27107,3.08198,1.03542
-1.84034,4.71687,0.93949
-2.36274,4.33635,0.79175
-2.85602,4.34953,0.78305
-3.30299,5.75790,0.91067
-3.69840,5.71145,0.89669
-4.03782,5.27773,0.85930
-4.31438,5.08374,0.83907
-4.54325,4.51816,0.72220
-4.70765,4.30130,0.82559
-4.80593,3.80811,0.51254
-4.84161,4.68536,0.94194
-4.81987,3.92687,0.63191
-4.73146,3.86354,0.67615
-4.57500,3.71239,1.10948
-4.37809,2.95387,1.07887
-4.11938,-0.23868,2.24829
-3.78446,-3.47766,0.76753
-3.42946,-2.82833,0.52330
-3.02232,-1.69626,0.42696
-2.56769,-4.02042,0.76624
-2.07075,-3.39106,0.40283
-1.52097,-3.34736,0.71475
-0.96590,-5.27746,1.02495
-0.38467,-2.82756,0.76211
0.21406,-1.85764,0.69971
0.81877,-0.21135,0.22605
1.41670,0.03708,0.09726
1.99898,0.05899,0.14816
2.54312,0.09446,0.11852
3.05408,0.10056,0.14380
3.50925,0.09602,0.15361
3.91513,0.11553,0.16815
4.26312,0.04840,0.15182
4.56970,-0.00783,0.12227
4.80328,0.00888,0.08845
4.97415,0.03402,0.15022
5.08079,-0.06005,0.11775
5.12047,-0.03654,0.18671
5.08561,-0.06317,0.13645
4.98556,-0.10926,0.11859
4.82055,-0.09191,0.14311
4.57921,-0.22360,0.11706
4.27921,-0.37416,0.19057
3.93011,-0.75942,0.23472
3.51525,-1.76949,0.37127
3.05179,-1.90668,0.45772
2.54310,1.73567,0.27688
2.01435,0.94820,0.29544
1.43219,0.79930,0.22728
0.83668,0.77229,0.39574
0.22528,-0.19126,0.15202
-0.39579,-0.22930,0.16837
-1.02209,-2.93962,0.93853
-1.64485,-4.18465,1.84661
-2.25385,3.36286,0.99260
-2.84095,3.44883,0.50589
-3.40197,4.85035,1.13348
-3.93110,4.22322,0.86648
-4.41182,4.37799,0.91438
-4.86883,4.77910,0.93664
-5.27878,4.30925,0.76279
