time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00070,0.04445,0.13096,1,0,0,MODEL,-0.3272,0.100,0.0000,0,none
0.109,0.00070,0.02978,0.09810,1,0,0,MODEL,-0.3133,0.100,0.0000,0,none
0.147,0.00070,0.01860,0.07722,1,0,0,MODEL,-0.3027,0.100,0.0000,0,none
0.177,0.00053,0.05538,0.05524,1,0,0,MODEL,-0.3376,0.100,0.0149,0,none
0.227,0.00037,0.10140,0.13804,1,0,0,MODEL,-0.3813,0.100,0.0231,0,none
0.276,-0.00011,-0.03424,0.13276,1,0,0,MODEL,-0.2525,0.100,0.0398,0,none
0.326,-0.00080,0.10601,0.09377,1,0,0,MODEL,-0.3857,0.100,0.0536,0,none
0.377,-0.00139,0.01638,0.11328,1,0,0,MODEL,-0.3006,0.100,0.0631,0,none
0.426,-0.00278,0.05548,0.12932,1,0,0,MODEL,-0.3377,0.100,0.0742,0,none
0.477,-0.00397,0.04738,0.12680,1,0,0,MODEL,-0.3300,0.100,0.0873,0,none
0.527,-0.00562,0.04482,0.06405,1,0,0,MODEL,-0.3276,0.100,0.0992,0,none
0.578,-0.00751,0.04112,0.18232,1,0,0,MODEL,-0.3241,0.100,0.1112,0,none
0.626,-0.00978,-0.06218,0.11783,1,0,0,MODEL,-0.2259,0.100,0.1230,0,none
0.677,-0.01231,0.00999,0.12840,1,0,0,MODEL,-0.2945,0.100,0.1347,0,none
0.729,-0.01467,0.03361,0.09075,1,0,0,MODEL,-0.3169,0.100,0.1461,0,none
0.778,-0.01162,0.06541,0.10197,1,0,0,MODEL,-0.3471,0.100,0.1676,0,none
0.828,-0.02375,0.05482,0.11147,1,0,0,MODEL,-0.3371,0.100,0.1695,0,none
0.879,-0.02687,-0.03035,0.11145,1,0,0,MODEL,-0.2562,0.100,0.1800,0,none
0.928,-0.03177,-0.04510,0.10164,1,0,0,MODEL,-0.2422,0.100,0.1913,0,none
0.976,-0.03682,0.01425,0.12291,1,0,0,MODEL,-0.2985,0.100,0.2021,0,none
1.030,-0.04231,-0.04960,0.11012,1,0,0,MODEL,-0.2379,0.100,0.2129,0,none
1.077,-0.04900,-0.10639,0.11604,1,0,0,MODEL,-0.1839,0.100,0.2236,0,none
1.128,-0.05576,-0.08507,0.11340,1,0,0,MODEL,-0.2042,0.100,0.2343,0,none
1.178,-0.06245,-0.10588,0.10396,1,0,0,MODEL,-0.1844,0.100,0.2448,0,none
1.228,-0.06995,-0.14859,0.13131,1,0,0,MODEL,-0.1438,0.100,0.2552,0,none
1.279,-0.07989,-0.03688,0.11997,1,0,0,MODEL,-0.2500,0.100,0.2654,0,none
1.329,-0.08706,-0.10039,0.11311,1,0,0,MODEL,-0.1896,0.100,0.2748,0,none
1.379,-0.09581,-0.05533,0.10483,1,0,0,MODEL,-0.2324,0.100,0.2859,0,none
1.429,-0.10634,-0.13626,0.11203,1,0,0,MODEL,-0.1556,0.100,0.2954,0,none
1.480,-0.11799,-0.04824,0.08815,1,0,0,MODEL,-0.2392,0.100,0.3054,0,none
1.529,-0.12951,-0.05851,0.11826,1,0,0,MODEL,-0.2294,0.100,0.3152,0,none
1.581,-0.13991,0.00497,0.09251,1,0,0,MODEL,-0.2897,0.100,0.3238,0,none
1.613,-0.15442,0.04140,0.13226,1,0,0,MODEL,-0.3243,0.100,0.3329,0,none
1.664,-0.17546,0.06202,0.13510,1,0,0,MODEL,-0.3439,0.100,0.3442,0,none
1.717,-0.19421,-0.10153,0.13182,1,0,0,MODEL,-0.1885,0.100,0.3529,0,none
1.765,-0.21410,-0.30547,0.14876,1,0,0,MODEL,0.0052,0.100,0.3624,0,none
1.813,-0.23199,-0.13308,0.15105,1,0,0,MODEL,-0.1586,0.100,0.3715,0,none
1.867,-0.25165,-0.27252,0.13891,1,0,0,MODEL,-0.0261,0.100,0.3846,0,none
1.914,-0.27625,-0.32849,0.13954,1,0,0,MODEL,0.0271,0.100,0.3892,0,none
1.965,-0.28875,-0.26894,0.12565,1,0,0,MODEL,-0.0295,0.100,0.3984,0,none
2.017,-0.30687,-0.19103,0.09927,1,0,0,MODEL,-0.1035,0.100,0.4072,0,none
2.066,-0.32664,-0.29268,0.14611,1,0,0,MODEL,-0.0070,0.100,0.4160,0,none
2.114,-0.34821,-0.43030,0.19133,1,0,0,MODEL,0.1238,0.100,0.4246,0,none
2.167,-0.36772,-0.37042,0.13771,1,0,0,MODEL,0.0669,0.100,0.4330,0,none
2.214,-0.38561,-0.34102,0.12190,1,0,0,MODEL,0.0390,0.100,0.4415,0,none
2.267,-0.40444,-0.44047,0.13399,1,0,0,MODEL,0.1334,0.100,0.4499,0,none
2.316,-0.42292,-0.43687,0.14417,1,0,0,MODEL,0.1300,0.100,0.4581,0,none
2.366,-0.43976,-0.56395,0.12600,1,0,0,MODEL,0.2508,0.100,0.4663,0,none
2.417,-0.45492,-0.50395,0.16471,1,0,0,MODEL,0.1938,0.100,0.4742,0,none
2.466,-0.46770,-0.64103,0.12404,1,0,0,MODEL,0.3240,0.100,0.4823,0,none
