time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00073,0.01481,0.10977,1,0,0,MODEL,-0.2991,0.100,0.0000,0,none
0.092,0.00073,0.07870,0.17220,1,0,0,MODEL,-0.3598,0.100,0.0000,0,none
0.110,0.00074,0.07092,0.14516,1,0,0,MODEL,-0.3524,0.100,0.0106,0,none
0.158,0.00065,0.07603,0.11482,1,0,0,MODEL,-0.3572,0.100,0.0139,0,none
0.211,0.00024,0.07052,0.10295,1,0,0,MODEL,-0.3520,0.100,0.0237,0,none
0.261,-0.00021,-0.00536,0.13786,1,0,0,MODEL,-0.2799,0.100,0.0381,0,none
0.309,-0.00110,0.07597,0.13736,1,0,0,MODEL,-0.3572,0.100,0.0525,0,none
0.362,-0.00193,0.06567,0.11083,1,0,0,MODEL,-0.3474,0.100,0.0675,0,none
0.411,-0.00334,0.07018,0.13873,1,0,0,MODEL,-0.3517,0.100,0.0771,0,none
0.460,-0.00518,0.09049,0.12570,1,0,0,MODEL,-0.3710,0.100,0.0887,0,none
0.511,-0.00698,0.09698,0.10059,1,0,0,MODEL,-0.3771,0.100,0.1016,0,none
0.560,-0.00934,0.04418,0.10598,1,0,0,MODEL,-0.3270,0.100,0.1135,0,none
0.609,-0.01202,0.00021,0.08179,1,0,0,MODEL,-0.2852,0.100,0.1253,0,none
0.661,-0.01479,-0.05199,0.10871,1,0,0,MODEL,-0.2356,0.100,0.1369,0,none
0.711,-0.01764,0.03259,0.10137,1,0,0,MODEL,-0.3160,0.100,0.1484,0,none
0.761,-0.01181,0.04812,0.09395,1,0,0,MODEL,-0.3307,0.100,0.1610,0,none
0.811,-0.02827,-0.05184,0.09321,1,0,0,MODEL,-0.2358,0.100,0.1712,0,none
0.863,-0.02995,-0.12218,0.11977,1,0,0,MODEL,-0.1689,0.100,0.1821,0,none
0.912,-0.03407,-0.02462,0.10041,1,0,0,MODEL,-0.2616,0.100,0.1933,0,none
0.960,-0.03859,-0.00055,0.09638,1,0,0,MODEL,-0.2845,0.100,0.2041,0,none
1.014,-0.04445,-0.09545,0.14147,1,0,0,MODEL,-0.1943,0.100,0.2149,0,none
1.061,-0.05106,-0.01189,0.12201,1,0,0,MODEL,-0.2737,0.100,0.2256,0,none
1.113,-0.05765,-0.09200,0.10286,1,0,0,MODEL,-0.1976,0.100,0.2361,0,none
1.161,-0.06552,-0.11180,0.12104,1,0,0,MODEL,-0.1788,0.100,0.2466,0,none
1.213,-0.07323,-0.12434,0.12014,1,0,0,MODEL,-0.1669,0.100,0.2570,0,none
1.262,-0.08512,-0.09878,0.10802,1,0,0,MODEL,-0.1912,0.100,0.2672,0,none
1.312,-0.09099,-0.03668,0.08566,1,0,0,MODEL,-0.2501,0.100,0.2768,0,none
1.365,-0.09954,-0.12262,0.11235,1,0,0,MODEL,-0.1685,0.100,0.2876,0,none
1.414,-0.11119,-0.12666,0.09800,1,0,0,MODEL,-0.1647,0.100,0.2973,0,none
1.463,-0.12256,-0.06584,0.12966,1,0,0,MODEL,-0.2225,0.100,0.3072,0,none
1.513,-0.13464,-0.02985,0.07679,1,0,0,MODEL,-0.2566,0.100,0.3169,0,none
1.564,-0.14287,0.06317,0.10494,1,0,0,MODEL,-0.3450,0.100,0.3258,0,none
1.614,-0.16405,0.00600,0.12076,1,0,0,MODEL,-0.2907,0.100,0.3350,0,none
1.666,-0.18327,-0.07376,0.12094,1,0,0,MODEL,-0.2149,0.100,0.3457,0,none
1.717,-0.20172,-0.09536,0.10371,1,0,0,MODEL,-0.1944,0.100,0.3548,0,none
1.766,-0.22068,-0.14889,0.14195,1,0,0,MODEL,-0.1436,0.100,0.3641,0,none
1.815,-0.24054,-0.04591,0.11447,1,0,0,MODEL,-0.2414,0.100,0.3733,0,none
1.865,-0.26512,-0.33804,0.12535,1,0,0,MODEL,0.0361,0.100,0.3855,0,none
1.917,-0.28783,-0.17135,0.13257,1,0,0,MODEL,-0.1222,0.100,0.3945,0,none
1.966,-0.30202,-0.27090,0.13268,1,0,0,MODEL,-0.0276,0.100,0.3998,0,none
2.018,-0.32307,-0.31204,0.17513,1,0,0,MODEL,0.0114,0.100,0.4085,0,none
2.069,-0.34394,-0.32835,0.12761,1,0,0,MODEL,0.0269,0.100,0.4173,0,none
2.117,-0.36445,-0.39412,0.10843,1,0,0,MODEL,0.0894,0.100,0.4259,0,none
2.168,-0.38468,-0.31604,0.11269,1,0,0,MODEL,0.0152,0.100,0.4344,0,none
2.219,-0.40421,-0.47294,0.13639,1,0,0,MODEL,0.1643,0.100,0.4429,0,none
2.268,-0.42430,-0.55151,0.11319,1,0,0,MODEL,0.2389,0.100,0.4511,0,none
2.319,-0.44128,-0.51194,0.14398,1,0,0,MODEL,0.2013,0.100,0.4592,0,none
2.370,-0.45579,-0.62036,0.13137,1,0,0,MODEL,0.3043,0.100,0.4674,0,none
2.416,-0.46960,-0.61971,0.15263,1,0,0,MODEL,0.3037,0.100,0.4754,0,none
2.466,-0.48027,-0.57906,0.14169,1,0,0,MODEL,0.2651,0.100,0.4833,0,none
2.518,-0.48902,-0.62349,0.17919,1,0,0,MODEL,0.3073,0.100,0.4914,0,none
2.568,-0.49657,-0.54574,0.12694,1,0,0,MODEL,0.2335,0.100,0.4992,0,none
2.619,-0.50186,-0.70718,0.14996,1,0,0,MODEL,0.3868,0.100,0.5071,0,none
2.668,-0.50585,-0.46834,0.11170,1,0,0,MODEL,0.1599,0.100,0.5143,0,none
2.720,-0.50589,-0.68472,0.18845,1,0,0,MODEL,0.3655,0.100,0.5220,0,none
2.768,-0.50711,-0.60316,0.16766,1,0,0,MODEL,0.2880,0.100,0.5290,0,none
2.818,-0.50283,-0.47212,0.14138,1,0,0,MODEL,0.1635,0.100,0.5364,0,none
2.868,-0.49784,-0.48260,0.13877,1,0,0,MODEL,0.1735,0.100,0.5440,0,none
2.919,-0.49371,-0.44589,0.13740,1,0,0,MODEL,0.1386,0.100,0.5514,0,none
2.971,-0.48833,-0.45232,0.17018,1,0,0,MODEL,0.1447,0.100,0.5587,0,none
3.021,-0.48219,-0.36834,0.13826,1,0,0,MODEL,0.0649,0.100,0.5659,0,none
3.072,-0.47511,-0.32522,0.13237,1,0,0,MODEL,0.0240,0.100,0.5731,0,none
3.119,-0.46873,-0.40835,0.14928,1,0,0,MODEL,0.1029,0.100,0.5802,0,none
3.169,-0.46265,-0.47378,0.13109,1,0,0,MODEL,0.1651,0.100,0.5872,0,none
3.222,-0.45428,-0.52978,0.13971,1,0,0,MODEL,0.2183,0.100,0.5940,0,none
3.271,-0.44264,-0.39269,0.14671,1,0,0,MODEL,0.0881,0.100,0.6007,0,none
3.318,-0.42773,-0.47588,0.14908,1,0,0,MODEL,0.1671,0.100,0.6074,0,none
3.371,-0.41367,-0.53402,0.22041,1,0,0,MODEL,0.2223,0.100,0.6141,0,none
3.422,-0.39679,-0.54067,0.19134,1,0,0,MODEL,0.2286,0.100,0.6206,0,none
3.472,-0.37588,-0.50992,0.13104,1,0,0,MODEL,0.1994,0.100,0.6281,0,none
3.520,-0.35217,-0.56915,0.16598,1,0,0,MODEL,0.2557,0.100,0.6339,0,none
3.571,-0.32645,-0.39738,0.12881,1,0,0,MODEL,0.0925,0.100,0.6397,0,none
3.621,-0.29671,-0.47095,0.15954,1,0,0,MODEL,0.1624,0.100,0.6466,0,none
3.671,-0.26912,-0.28261,0.16006,1,0,0,MODEL,-0.0165,0.100,0.6516,0,none
3.724,-0.23825,-0.29027,0.15011,1,0,0,MODEL,-0.0092,0.100,0.6606,0,none
3.772,-0.21207,-0.20536,0.17516,1,0,0,MODEL,-0.0899,0.100,0.6596,0,none
3.823,-0.18536,-0.21052,0.13482,1,0,0,MODEL,-0.0850,0.100,0.6685,0,none
3.872,-0.16222,-0.29497,0.14708,1,0,0,MODEL,-0.0048,0.100,0.6741,0,none
3.904,-0.13832,-0.10081,0.09379,1,0,0,MODEL,-0.1892,0.100,0.6817,0,none
3.957,-0.11639,-0.21352,0.14442,1,0,0,MODEL,-0.0822,0.100,0.6878,0,none
4.008,-0.09694,-0.13128,0.12865,1,0,0,MODEL,-0.1603,0.100,0.6941,0,none
4.057,-0.07895,-0.10392,0.12110,1,0,0,MODEL,-0.1863,0.100,0.6991,0,none
4.107,-0.06369,-0.02939,0.12650,1,0,0,MODEL,-0.2571,0.100,0.7053,0,none
4.156,-0.05384,0.01641,0.12905,1,0,0,MODEL,-0.3006,0.100,0.7112,0,none
4.207,-0.04824,-0.01667,0.13604,1,0,0,MODEL,-0.2692,0.100,0.7154,0,none
4.256,-0.04837,-0.03459,0.10675,1,0,0,MODEL,-0.2521,0.100,0.7228,0,none
4.308,-0.05011,-0.08644,0.10706,1,0,0,MODEL,-0.2029,0.100,0.7264,0,none
4.357,-0.05556,-0.09566,0.13491,1,0,0,MODEL,-0.1941,0.100,0.7335,0,none
4.409,-0.06181,0.05469,0.17859,1,0,0,MODEL,-0.3370,0.100,0.7376,0,none
4.457,-0.07413,-0.11057,0.13349,1,0,0,MODEL,-0.1800,0.100,0.7430,0,none
4.508,-0.09131,-0.05917,0.14705,1,0,0,MODEL,-0.2288,0.100,0.7467,0,none
4.557,-0.10929,-0.06599,0.15616,1,0,0,MODEL,-0.2223,0.100,0.7544,0,none
4.607,-0.13146,-0.20893,0.13051,1,0,0,MODEL,-0.0865,0.100,0.7581,0,none
4.656,-0.15535,-0.25901,0.12233,1,0,0,MODEL,-0.0389,0.100,0.7645,0,none
4.709,-0.17714,-0.21390,0.12323,1,0,0,MODEL,-0.0818,0.100,0.7689,0,none
4.759,-0.19940,-0.28229,0.12795,1,0,0,MODEL,-0.0168,0.100,0.7740,0,none
4.808,-0.22306,-0.35287,0.13400,1,0,0,MODEL,0.0502,0.100,0.7790,0,none
4.862,-0.24495,-0.34864,0.17008,1,0,0,MODEL,0.0462,0.100,0.7839,0,none
4.908,-0.26476,-0.35445,0.16519,1,0,0,MODEL,0.0517,0.100,0.7888,0,none
4.959,-0.28387,-0.36067,0.12984,1,0,0,MODEL,0.0576,0.100,0.7937,0,none
5.010,-0.30203,-0.43072,0.15275,1,0,0,MODEL,0.1242,0.100,0.7985,0,none
5.061,-0.31818,-0.36303,0.16090,1,0,0,MODEL,0.0599,0.100,0.8031,0,none
5.109,-0.33099,-0.26941,0.12259,1,0,0,MODEL,-0.0291,0.100,0.8079,0,none
5.159,-0.34543,-0.37832,0.13771,1,0,0,MODEL,0.0744,0.100,0.8125,0,none
5.208,-0.36100,-0.21929,0.17224,1,0,0,MODEL,-0.0767,0.100,0.8170,0,none
5.259,-0.37553,-0.24375,0.13535,1,0,0,MODEL,-0.0534,0.100,0.8214,0,none
5.310,-0.39416,-0.36865,0.11450,1,0,0,MODEL,0.0652,0.100,0.8259,0,none
5.359,-0.41174,-0.31524,0.13296,1,0,0,MODEL,0.0145,0.100,0.8302,0,none
5.409,-0.42650,-0.32359,0.15868,1,0,0,MODEL,0.0224,0.100,0.8347,0,none
5.462,-0.44193,-0.36140,0.14826,1,0,0,MODEL,0.0583,0.100,0.8391,0,none
5.510,-0.45682,-0.31390,0.14822,1,0,0,MODEL,0.0132,0.100,0.8434,0,none
5.558,-0.46994,-0.27742,0.15051,1,0,0,MODEL,-0.0215,0.100,0.8477,0,none
5.611,-0.48386,-0.24354,0.11340,1,0,0,MODEL,-0.0536,0.100,0.8520,0,none
5.660,-0.49948,-0.19520,0.14267,1,0,0,MODEL,-0.0996,0.100,0.8562,0,none
5.712,-0.51737,-0.04351,0.13518,1,0,0,MODEL,-0.2437,0.100,0.8603,0,none
5.762,-0.53962,-0.23572,0.15173,1,0,0,MODEL,-0.0611,0.100,0.8639,0,none
5.811,-0.41087,-0.38180,0.12628,1,0,0,MODEL,0.0777,0.100,0.8678,0,none
5.859,-0.52854,-0.58770,0.14841,1,0,0,MODEL,0.2733,0.100,0.8717,0,none
5.911,-0.64030,-0.74756,0.18036,1,0,0,MODEL,0.4252,0.100,0.8747,0,none
5.962,-0.74121,-0.75149,0.12769,1,0,0,MODEL,0.4289,0.100,0.8774,0,none
6.011,-0.82994,-0.59614,0.17473,1,0,0,MODEL,0.2813,0.100,0.8808,0,none
6.063,-0.91091,-0.69258,0.26583,1,0,0,MODEL,0.3729,0.100,0.8848,0,none
6.114,-0.78706,-0.85468,0.18532,1,0,0,MODEL,0.5269,0.100,0.8886,0,none
6.163,-0.94580,-1.17043,0.30838,0,1,0,MODEL,0.5269,0.100,0.8907,0,none
6.212,-1.09079,-1.19448,0.20116,1,0,0,MODEL,0.8498,0.100,0.8937,0,none
6.263,-1.22241,-1.19881,0.22737,1,0,0,MODEL,0.8539,0.100,0.8926,0,none
6.312,-1.32870,-1.27258,0.20805,1,0,0,MODEL,0.9240,0.100,0.8940,0,none
6.362,-1.41597,-1.36787,0.20068,1,0,0,MODEL,1.0000,0.100,0.8954,0,none
6.413,-1.48125,-1.62657,0.30905,0,1,0,MODEL,1.0000,0.100,0.8960,0,none
6.465,-1.33575,-1.71447,0.21623,1,0,0,MODEL,1.0000,0.100,0.8972,0,none
6.514,-1.45046,-1.73212,0.40235,0,1,0,MODEL,1.0000,0.100,0.8988,0,none
