time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00064,0.08476,0.12320,1,0,0,MODEL,-0.3655,0.100,0.0000,0,none
0.103,0.00064,0.03191,0.13900,1,0,0,MODEL,-0.3153,0.100,0.0000,0,none
0.146,0.00068,0.06625,0.09036,1,0,0,MODEL,-0.3479,0.100,0.0081,0,none
0.197,0.00037,0.07229,0.13844,1,0,0,MODEL,-0.3537,0.100,0.0246,0,none
0.247,-0.00023,-0.02367,0.09304,1,0,0,MODEL,-0.2625,0.100,0.0359,0,none
0.296,-0.00085,0.04076,0.09039,1,0,0,MODEL,-0.3237,0.100,0.0450,0,none
0.347,-0.00149,-0.03712,0.11797,1,0,0,MODEL,-0.2497,0.100,0.0599,0,none
0.397,-0.00262,0.05527,0.15909,1,0,0,MODEL,-0.3375,0.100,0.0754,0,none
0.447,-0.00371,-0.00422,0.09672,1,0,0,MODEL,-0.2810,0.100,0.0825,0,none
0.496,-0.00538,0.05097,0.12770,1,0,0,MODEL,-0.3334,0.100,0.0971,0,none
0.547,-0.00718,-0.00842,0.08133,1,0,0,MODEL,-0.2770,0.100,0.1087,0,none
0.598,-0.00948,-0.02797,0.13828,1,0,0,MODEL,-0.2584,0.100,0.1206,0,none
0.646,-0.01182,-0.02463,0.14444,1,0,0,MODEL,-0.2616,0.100,0.1322,0,none
0.697,-0.01444,0.03665,0.14789,1,0,0,MODEL,-0.3198,0.100,0.1438,0,none
0.749,-0.01135,0.03749,0.10296,1,0,0,MODEL,-0.3206,0.100,0.1654,0,none
0.797,-0.02172,-0.02184,0.09849,1,0,0,MODEL,-0.2643,0.100,0.1681,0,none
0.848,-0.02666,0.01152,0.08005,1,0,0,MODEL,-0.2959,0.100,0.1777,0,none
0.898,-0.03078,-0.00914,0.11529,1,0,0,MODEL,-0.2763,0.100,0.1891,0,none
0.946,-0.03622,0.01758,0.10802,1,0,0,MODEL,-0.3017,0.100,0.1998,0,none
0.998,-0.04219,-0.02684,0.07147,1,0,0,MODEL,-0.2595,0.100,0.2107,0,none
1.047,-0.04892,-0.05841,0.11942,1,0,0,MODEL,-0.2295,0.100,0.2215,0,none
1.099,-0.05589,-0.09227,0.09060,1,0,0,MODEL,-0.1973,0.100,0.2321,0,none
1.149,-0.06316,-0.17923,0.13845,1,0,0,MODEL,-0.1147,0.100,0.2427,0,none
1.197,-0.07050,-0.18690,0.10252,1,0,0,MODEL,-0.1074,0.100,0.2531,0,none
1.250,-0.07754,-0.12140,0.15943,1,0,0,MODEL,-0.1697,0.100,0.2635,0,none
1.298,-0.08713,-0.08310,0.11171,1,0,0,MODEL,-0.2061,0.100,0.2730,0,none
1.348,-0.09354,-0.06408,0.09174,1,0,0,MODEL,-0.2241,0.100,0.2840,0,none
1.399,-0.10401,-0.12424,0.13089,1,0,0,MODEL,-0.1670,0.100,0.2935,0,none
1.448,-0.11525,-0.10258,0.11875,1,0,0,MODEL,-0.1875,0.100,0.3034,0,none
1.499,-0.12670,-0.06803,0.10506,1,0,0,MODEL,-0.2204,0.100,0.3132,0,none
