time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00285,0.02565,0.11389,1,0,0,MODEL,-0.3094,0.100,0.0000,0,none
0.082,0.00285,0.06228,0.16565,1,0,0,MODEL,-0.3442,0.100,0.0000,0,none
0.130,0.00275,0.02824,0.07874,1,0,0,MODEL,-0.3118,0.100,0.0125,0,none
0.177,0.00248,0.04497,0.13364,1,0,0,MODEL,-0.3277,0.100,0.0239,0,none
0.228,0.00217,0.00181,0.08005,1,0,0,MODEL,-0.2867,0.100,0.0343,0,none
0.281,0.00170,0.08877,0.08112,1,0,0,MODEL,-0.3693,0.100,0.0495,0,none
0.329,0.00098,0.00209,0.11309,1,0,0,MODEL,-0.2870,0.100,0.0613,0,none
0.382,0.00002,0.09865,0.13829,1,0,0,MODEL,-0.3787,0.100,0.0721,0,none
0.432,-0.00134,-0.00506,0.07218,1,0,0,MODEL,-0.2802,0.100,0.0829,0,none
0.482,-0.00301,0.05063,0.10571,1,0,0,MODEL,-0.3331,0.100,0.0969,0,none
0.532,-0.00502,0.04371,0.08562,1,0,0,MODEL,-0.3265,0.100,0.1088,0,none
0.582,-0.00758,-0.05892,0.09666,1,0,0,MODEL,-0.2290,0.100,0.1206,0,none
0.632,-0.01033,0.04174,0.10257,1,0,0,MODEL,-0.3246,0.100,0.1323,0,none
0.681,-0.01318,0.07558,0.13296,1,0,0,MODEL,-0.3568,0.100,0.1438,0,none
0.734,-0.01084,-0.00691,0.09687,1,0,0,MODEL,-0.2784,0.100,0.1654,0,none
0.780,-0.02166,0.00703,0.11484,1,0,0,MODEL,-0.2917,0.100,0.1678,0,none
0.832,-0.02702,-0.05780,0.12933,1,0,0,MODEL,-0.2301,0.100,0.1776,0,none
0.882,-0.03116,0.01829,0.11654,1,0,0,MODEL,-0.3024,0.100,0.1890,0,none
0.931,-0.03656,0.01136,0.09046,1,0,0,MODEL,-0.2958,0.100,0.1996,0,none
0.982,-0.04309,-0.02131,0.08089,1,0,0,MODEL,-0.2648,0.100,0.2105,0,none
1.034,-0.05017,-0.19062,0.23344,1,0,0,MODEL,-0.1039,0.100,0.2213,0,none
1.082,-0.05719,-0.07004,0.08323,1,0,0,MODEL,-0.2185,0.100,0.2319,0,none
1.132,-0.06365,-0.12696,0.07185,1,0,0,MODEL,-0.1644,0.100,0.2424,0,none
1.183,-0.07174,-0.11025,0.11322,1,0,0,MODEL,-0.1803,0.100,0.2528,0,none
1.232,-0.07994,-0.08971,0.10573,1,0,0,MODEL,-0.1998,0.100,0.2631,0,none
1.282,-0.09311,-0.06214,0.11916,1,0,0,MODEL,-0.2260,0.100,0.2727,0,none
1.331,-0.09886,-0.15453,0.15116,1,0,0,MODEL,-0.1382,0.100,0.2837,0,none
1.385,-0.11014,-0.16332,0.12759,1,0,0,MODEL,-0.1298,0.100,0.2934,0,none
1.432,-0.12104,-0.08139,0.08755,1,0,0,MODEL,-0.2077,0.100,0.3033,0,none
