time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00069,-0.00767,0.05980,1,0,0,MODEL,-0.2777,0.100,0.0000,0,none
0.087,0.00069,0.02444,0.06074,1,0,0,MODEL,-0.3082,0.100,0.0000,0,none
0.106,0.00071,0.08593,0.14368,1,0,0,MODEL,-0.3666,0.100,0.0106,0,none
0.155,0.00069,0.08542,0.12618,1,0,0,MODEL,-0.3661,0.100,0.0142,0,none
0.210,0.00040,0.06906,0.12164,1,0,0,MODEL,-0.3506,0.100,0.0289,0,none
0.256,-0.00004,0.03279,0.08542,1,0,0,MODEL,-0.3162,0.100,0.0383,0,none
0.309,-0.00082,0.11797,0.13150,1,0,0,MODEL,-0.3971,0.100,0.0534,0,none
0.359,-0.00195,-0.02077,0.12569,1,0,0,MODEL,-0.2653,0.100,0.0644,0,none
0.406,-0.00354,0.05506,0.16628,1,0,0,MODEL,-0.3373,0.100,0.0771,0,none
0.458,-0.00506,0.09801,0.15270,1,0,0,MODEL,-0.3781,0.100,0.0888,0,none
0.508,-0.00682,0.07637,0.06934,1,0,0,MODEL,-0.3576,0.100,0.1017,0,none
0.557,-0.00901,0.16783,0.10702,1,0,0,MODEL,-0.4444,0.100,0.1135,0,none
0.610,-0.01167,-0.05361,0.12521,1,0,0,MODEL,-0.2341,0.100,0.1251,0,none
0.659,-0.01479,-0.01020,0.09640,1,0,0,MODEL,-0.2753,0.100,0.1368,0,none
0.710,-0.01730,0.05403,0.17946,1,0,0,MODEL,-0.3363,0.100,0.1483,0,none
0.758,-0.01249,-0.02079,0.07271,1,0,0,MODEL,-0.2653,0.100,0.1643,0,none
0.808,-0.02647,-0.07125,0.08065,1,0,0,MODEL,-0.2173,0.100,0.1718,0,none
0.859,-0.02878,-0.10668,0.11905,1,0,0,MODEL,-0.1837,0.100,0.1819,0,none
0.908,-0.03263,-0.01803,0.14176,1,0,0,MODEL,-0.2679,0.100,0.1929,0,none
0.958,-0.03739,-0.08463,0.10417,1,0,0,MODEL,-0.2046,0.100,0.2037,0,none
1.008,-0.04286,-0.00115,0.05075,1,0,0,MODEL,-0.2839,0.100,0.2146,0,none
1.059,-0.04859,0.00125,0.09877,1,0,0,MODEL,-0.2862,0.100,0.2252,0,none
1.108,-0.05570,-0.11025,0.09458,1,0,0,MODEL,-0.1803,0.100,0.2358,0,none
1.158,-0.06270,-0.06604,0.12268,1,0,0,MODEL,-0.2223,0.100,0.2463,0,none
1.209,-0.06993,-0.11684,0.12701,1,0,0,MODEL,-0.1740,0.100,0.2567,0,none
1.260,-0.08199,-0.10247,0.14773,1,0,0,MODEL,-0.1877,0.100,0.2669,0,none
1.309,-0.08773,-0.11074,0.11953,1,0,0,MODEL,-0.1798,0.100,0.2765,0,none
1.361,-0.09562,-0.04007,0.10060,1,0,0,MODEL,-0.2469,0.100,0.2875,0,none
1.410,-0.10601,-0.05561,0.14275,1,0,0,MODEL,-0.2322,0.100,0.2971,0,none
1.459,-0.11790,-0.10432,0.13600,1,0,0,MODEL,-0.1859,0.100,0.3069,0,none
1.510,-0.13043,-0.12551,0.09569,1,0,0,MODEL,-0.1658,0.100,0.3168,0,none
1.560,-0.13751,0.02267,0.06023,1,0,0,MODEL,-0.3065,0.100,0.3258,0,none
1.612,-0.15665,0.00406,0.14359,1,0,0,MODEL,-0.2889,0.100,0.3349,0,none
1.660,-0.17482,0.03058,0.11540,1,0,0,MODEL,-0.3141,0.100,0.3455,0,none
1.713,-0.19286,0.00295,0.13598,1,0,0,MODEL,-0.2878,0.100,0.3545,0,none
1.762,-0.21303,-0.08353,0.11409,1,0,0,MODEL,-0.2056,0.100,0.3638,0,none
1.813,-0.23409,-0.02712,0.09388,1,0,0,MODEL,-0.2592,0.100,0.3731,0,none
1.863,-0.25947,-0.32851,0.15089,1,0,0,MODEL,0.0271,0.100,0.3853,0,none
1.914,-0.28259,-0.17898,0.13795,1,0,0,MODEL,-0.1150,0.100,0.3942,0,none
1.964,-0.29779,-0.13759,0.13559,1,0,0,MODEL,-0.1543,0.100,0.3993,0,none
2.014,-0.32012,-0.32801,0.14832,1,0,0,MODEL,0.0266,0.100,0.4082,0,none
2.063,-0.34345,-0.27200,0.12446,1,0,0,MODEL,-0.0266,0.100,0.4168,0,none
2.113,-0.36490,-0.37975,0.10550,1,0,0,MODEL,0.0758,0.100,0.4255,0,none
2.163,-0.38700,-0.51956,0.10014,1,0,0,MODEL,0.2086,0.100,0.4340,0,none
2.215,-0.40703,-0.46851,0.15308,1,0,0,MODEL,0.1601,0.100,0.4422,0,none
2.269,-0.42441,-0.52542,0.10917,1,0,0,MODEL,0.2141,0.100,0.4506,0,none
2.315,-0.44155,-0.51822,0.15270,1,0,0,MODEL,0.2073,0.100,0.4588,0,none
2.366,-0.45702,-0.62664,0.11464,1,0,0,MODEL,0.3103,0.100,0.4671,0,none
2.414,-0.47099,-0.60449,0.14651,1,0,0,MODEL,0.2893,0.100,0.4750,0,none
2.465,-0.48172,-0.56631,0.10427,1,0,0,MODEL,0.2530,0.100,0.4830,0,none
2.519,-0.49115,-0.66997,0.14933,1,0,0,MODEL,0.3515,0.100,0.4910,0,none
2.569,-0.49949,-0.56153,0.13372,1,0,0,MODEL,0.2485,0.100,0.4987,0,none
2.618,-0.50409,-0.76099,0.14242,1,0,0,MODEL,0.4379,0.100,0.5065,0,none
2.670,-0.50803,-0.52155,0.13157,1,0,0,MODEL,0.2105,0.100,0.5138,0,none
2.717,-0.50634,-0.52970,0.14954,1,0,0,MODEL,0.2182,0.100,0.5212,0,none
2.768,-0.50633,-0.59036,0.20802,1,0,0,MODEL,0.2758,0.100,0.5289,0,none
2.819,-0.50521,-0.54176,0.14668,1,0,0,MODEL,0.2297,0.100,0.5364,0,none
2.872,-0.50090,-0.46579,0.14918,1,0,0,MODEL,0.1575,0.100,0.5437,0,none
2.922,-0.49535,-0.44901,0.14952,1,0,0,MODEL,0.1416,0.100,0.5512,0,none
2.967,-0.48987,-0.55589,0.17333,1,0,0,MODEL,0.2431,0.100,0.5586,0,none
3.020,-0.48345,-0.43177,0.14965,1,0,0,MODEL,0.1252,0.100,0.5656,0,none
3.068,-0.47329,-0.33060,0.08870,1,0,0,MODEL,0.0291,0.100,0.5727,0,none
3.119,-0.46370,-0.54506,0.16113,1,0,0,MODEL,0.2328,0.100,0.5798,0,none
3.170,-0.45549,-0.49461,0.13776,1,0,0,MODEL,0.1849,0.100,0.5865,0,none
3.219,-0.44180,-0.46644,0.14366,1,0,0,MODEL,0.1581,0.100,0.5932,0,none
