time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00070,0.09382,0.13138,1,0,0,MODEL,-0.3741,0.100,0.0000,0,none
0.096,0.00070,0.08260,0.14227,1,0,0,MODEL,-0.3635,0.100,0.0000,0,none
0.130,0.00070,0.08800,0.15454,1,0,0,MODEL,-0.3686,0.100,0.0000,0,none
0.161,0.00066,0.15166,0.18828,1,0,0,MODEL,-0.4291,0.100,0.0118,0,none
0.210,0.00036,0.10026,0.13617,1,0,0,MODEL,-0.3803,0.100,0.0257,0,none
0.260,-0.00002,0.00340,0.23796,1,0,0,MODEL,-0.2882,0.100,0.0384,0,none
0.310,-0.00075,0.08892,0.13749,1,0,0,MODEL,-0.3695,0.100,0.0524,0,none
0.359,-0.00162,0.11011,0.13184,1,0,0,MODEL,-0.3896,0.100,0.0628,0,none
0.409,-0.00300,0.13083,0.13657,1,0,0,MODEL,-0.4093,0.100,0.0763,0,none
0.459,-0.00478,0.12732,0.18564,1,0,0,MODEL,-0.4060,0.100,0.0844,0,none
0.512,-0.00693,0.10893,0.12069,1,0,0,MODEL,-0.3885,0.100,0.0990,0,none
0.559,-0.00959,0.08386,0.10597,1,0,0,MODEL,-0.3647,0.100,0.1110,0,none
0.609,-0.01253,0.01292,0.10075,1,0,0,MODEL,-0.2973,0.100,0.1228,0,none
0.662,-0.01569,0.06242,0.11147,1,0,0,MODEL,-0.3443,0.100,0.1345,0,none
0.712,-0.01905,0.05254,0.11830,1,0,0,MODEL,-0.3349,0.100,0.1459,0,none
0.762,-0.01508,0.08414,0.08834,1,0,0,MODEL,-0.3649,0.100,0.1623,0,none
0.811,-0.02994,0.05282,0.10080,1,0,0,MODEL,-0.3352,0.100,0.1695,0,none
0.861,-0.03375,0.08720,0.14476,1,0,0,MODEL,-0.3678,0.100,0.1799,0,none
0.911,-0.03934,0.06889,0.13574,1,0,0,MODEL,-0.3505,0.100,0.1912,0,none
0.961,-0.04634,0.06770,0.15813,1,0,0,MODEL,-0.3493,0.100,0.2020,0,none
1.012,-0.05394,0.03065,0.15639,1,0,0,MODEL,-0.3141,0.100,0.2128,0,none
1.061,-0.06226,0.08321,0.12039,1,0,0,MODEL,-0.3641,0.100,0.2235,0,none
1.110,-0.07130,0.14799,0.16768,1,0,0,MODEL,-0.4256,0.100,0.2341,0,none
1.164,-0.08197,0.05582,0.12554,1,0,0,MODEL,-0.3380,0.100,0.2445,0,none
1.212,-0.09441,0.10904,0.20297,1,0,0,MODEL,-0.3886,0.100,0.2548,0,none
1.262,-0.11109,0.08109,0.14563,1,0,0,MODEL,-0.3620,0.100,0.2651,0,none
1.312,-0.12571,0.07836,0.18153,1,0,0,MODEL,-0.3594,0.100,0.2742,0,none
1.363,-0.13655,0.10875,0.16240,1,0,0,MODEL,-0.3883,0.100,0.2855,0,none
1.411,-0.15340,0.05918,0.10733,1,0,0,MODEL,-0.3412,0.100,0.2953,0,none
1.464,-0.17176,0.07055,0.12187,1,0,0,MODEL,-0.3520,0.100,0.3051,0,none
1.512,-0.19116,0.07715,0.08050,1,0,0,MODEL,-0.3583,0.100,0.3149,0,none
1.562,-0.20650,0.17544,0.17241,1,0,0,MODEL,-0.4517,0.100,0.3237,0,none
1.614,-0.22952,0.23171,0.19162,1,0,0,MODEL,-0.5051,0.100,0.3344,0,none
1.661,-0.26263,0.13813,0.18053,1,0,0,MODEL,-0.4162,0.100,0.3438,0,none
1.714,-0.29107,0.12660,0.14160,1,0,0,MODEL,-0.4053,0.100,0.3526,0,none
1.763,-0.32132,0.23593,0.24651,1,0,0,MODEL,-0.5091,0.100,0.3619,0,none
1.814,-0.35414,0.15410,0.16002,1,0,0,MODEL,-0.4314,0.100,0.3708,0,none
1.864,-0.39486,-0.04199,0.12751,1,0,0,MODEL,-0.2451,0.100,0.3831,0,none
1.915,-0.43486,0.04700,0.07810,1,0,0,MODEL,-0.3297,0.100,0.3888,0,none
1.964,-0.46734,-0.03017,0.13115,1,0,0,MODEL,-0.2563,0.100,0.3993,0,none
2.014,-0.50589,-0.05162,0.08965,1,0,0,MODEL,-0.2360,0.100,0.4064,0,none
2.064,-0.54703,-0.04428,0.13337,1,0,0,MODEL,-0.2429,0.100,0.4153,0,none
2.113,-0.58966,-0.13855,0.14370,1,0,0,MODEL,-0.1534,0.100,0.4240,0,none
2.166,-0.63399,-0.11941,0.15461,1,0,0,MODEL,-0.1716,0.100,0.4326,0,none
2.215,-0.67870,-0.12318,0.12251,1,0,0,MODEL,-0.1680,0.100,0.4411,0,none
2.266,-0.72530,-0.12414,0.16293,1,0,0,MODEL,-0.1671,0.100,0.4495,0,none
2.314,-0.77373,-0.07840,0.12600,1,0,0,MODEL,-0.2105,0.100,0.4578,0,none
2.364,-0.82418,-0.11871,0.20853,1,0,0,MODEL,-0.1722,0.100,0.4660,0,none
2.413,-0.87720,-0.11242,0.15123,1,0,0,MODEL,-0.1782,0.100,0.4742,0,none
2.465,-0.93168,-0.11082,0.16460,1,0,0,MODEL,-0.1797,0.100,0.4822,0,none
