time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00076,0.04120,0.08863,1,0,0,MODEL,-0.3241,0.100,0.0000,0,none
0.139,0.00076,0.09537,0.19446,1,0,0,MODEL,-0.3756,0.100,0.0000,0,none
0.168,0.00068,0.08684,0.15993,1,0,0,MODEL,-0.3675,0.100,0.0102,0,none
0.219,0.00042,0.06528,0.14854,1,0,0,MODEL,-0.3470,0.100,0.0222,0,none
0.268,-0.00014,0.02973,0.16682,1,0,0,MODEL,-0.3132,0.100,0.0345,0,none
0.318,-0.00061,0.10107,0.18080,1,0,0,MODEL,-0.3810,0.100,0.0445,0,none
0.368,-0.00144,0.08555,0.15937,1,0,0,MODEL,-0.3663,0.100,0.0582,0,none
0.419,-0.00256,0.14068,0.14153,1,0,0,MODEL,-0.4186,0.100,0.0709,0,none
0.468,-0.00400,0.17968,0.14555,1,0,0,MODEL,-0.4557,0.100,0.0814,0,none
0.521,-0.00601,0.15282,0.22431,1,0,0,MODEL,-0.4302,0.100,0.0931,0,none
0.568,-0.00863,0.07558,0.14788,1,0,0,MODEL,-0.3568,0.100,0.1062,0,none
0.620,-0.01141,0.06967,0.07377,1,0,0,MODEL,-0.3512,0.100,0.1183,0,none
0.668,-0.01435,0.06886,0.11439,1,0,0,MODEL,-0.3504,0.100,0.1299,0,none
0.720,-0.01774,0.08228,0.19760,1,0,0,MODEL,-0.3632,0.100,0.1414,0,none
0.768,-0.01836,0.03762,0.11160,1,0,0,MODEL,-0.3207,0.100,0.1660,0,none
0.820,-0.02311,0.10432,0.15570,1,0,0,MODEL,-0.3841,0.100,0.1725,0,none
0.868,-0.03275,0.14687,0.19657,1,0,0,MODEL,-0.4245,0.100,0.1762,0,none
0.921,-0.03748,0.05833,0.20251,1,0,0,MODEL,-0.3404,0.100,0.1870,0,none
0.970,-0.04439,0.12348,0.16083,1,0,0,MODEL,-0.4023,0.100,0.1977,0,none
1.021,-0.05163,0.09935,0.13379,1,0,0,MODEL,-0.3794,0.100,0.2085,0,none
1.071,-0.06019,0.03975,0.12850,1,0,0,MODEL,-0.3228,0.100,0.2193,0,none
1.121,-0.06927,0.08092,0.14359,1,0,0,MODEL,-0.3619,0.100,0.2300,0,none
1.171,-0.07892,0.05062,0.18341,1,0,0,MODEL,-0.3331,0.100,0.2405,0,none
1.222,-0.08998,0.08879,0.14788,1,0,0,MODEL,-0.3694,0.100,0.2509,0,none
1.270,-0.10195,0.08699,0.13355,1,0,0,MODEL,-0.3676,0.100,0.2612,0,none
1.323,-0.12166,0.09249,0.12744,1,0,0,MODEL,-0.3729,0.100,0.2713,0,none
1.371,-0.13034,0.04696,0.08057,1,0,0,MODEL,-0.3296,0.100,0.2811,0,none
1.421,-0.14596,0.07387,0.12102,1,0,0,MODEL,-0.3552,0.100,0.2916,0,none
1.471,-0.16307,0.04794,0.11915,1,0,0,MODEL,-0.3305,0.100,0.3013,0,none
1.522,-0.18168,0.03987,0.06508,1,0,0,MODEL,-0.3229,0.100,0.3112,0,none
1.571,-0.20147,0.05407,0.08833,1,0,0,MODEL,-0.3364,0.100,0.3209,0,none
1.623,-0.21578,0.18835,0.16402,1,0,0,MODEL,-0.4639,0.100,0.3317,0,none
1.671,-0.24685,0.19327,0.15762,1,0,0,MODEL,-0.4686,0.100,0.3399,0,none
1.722,-0.27384,0.16716,0.21365,1,0,0,MODEL,-0.4438,0.100,0.3494,0,none
1.772,-0.30325,0.13707,0.17318,1,0,0,MODEL,-0.4152,0.100,0.3585,0,none
1.822,-0.33477,0.16368,0.19790,1,0,0,MODEL,-0.4405,0.100,0.3678,0,none
1.872,-0.36834,0.17460,0.15146,1,0,0,MODEL,-0.4509,0.100,0.3769,0,none
1.922,-0.41094,-0.04923,0.12738,1,0,0,MODEL,-0.2382,0.100,0.3859,0,none
1.973,-0.44752,0.01506,0.10065,1,0,0,MODEL,-0.2993,0.100,0.3989,0,none
2.022,-0.48091,-0.02480,0.14844,1,0,0,MODEL,-0.2614,0.100,0.4036,0,none
2.072,-0.52118,-0.16349,0.16399,1,0,0,MODEL,-0.1297,0.100,0.4126,0,none
2.123,-0.56244,-0.09256,0.13986,1,0,0,MODEL,-0.1971,0.100,0.4213,0,none
2.177,-0.60352,-0.16944,0.19671,1,0,0,MODEL,-0.1240,0.100,0.4299,0,none
2.224,-0.64690,-0.12390,0.16203,1,0,0,MODEL,-0.1673,0.100,0.4384,0,none
2.274,-0.69101,-0.16865,0.16453,1,0,0,MODEL,-0.1248,0.100,0.4468,0,none
2.325,-0.73732,-0.09296,0.15841,1,0,0,MODEL,-0.1967,0.100,0.4552,0,none
2.375,-0.78471,-0.04743,0.14043,1,0,0,MODEL,-0.2399,0.100,0.4634,0,none
2.423,-0.83529,-0.04391,0.11171,1,0,0,MODEL,-0.2433,0.100,0.4714,0,none
2.473,-0.88906,-0.10011,0.13179,1,0,0,MODEL,-0.1899,0.100,0.4795,0,none
2.524,-0.94505,-0.04526,0.15649,1,0,0,MODEL,-0.2420,0.100,0.4875,0,none
2.575,-1.00261,-0.07908,0.15522,1,0,0,MODEL,-0.2099,0.100,0.4954,0,none
2.625,-1.06322,0.06105,0.22683,1,0,0,MODEL,-0.3430,0.100,0.5033,0,none
2.675,-1.12647,0.21609,0.31282,0,1,0,MODEL,-0.3430,0.100,0.5107,0,none
2.726,-1.19503,0.22704,0.31761,0,2,0,MODEL,-0.3430,0.100,0.5182,0,none
2.776,-1.26722,0.52686,0.47495,0,3,0,MODEL,-0.3430,0.100,0.5258,0,none
2.826,-1.34288,0.81279,0.47192,0,4,0,MODEL,-0.3430,0.100,0.5333,0,none
2.876,-1.42213,1.05989,0.40839,0,5,0,MODEL,-0.3430,0.100,0.5407,0,none
2.927,-1.50505,1.18151,0.34664,0,6,0,MODEL,-0.3430,0.100,0.5481,0,none
2.977,-1.59171,1.39923,0.28860,0,7,0,MODEL,-0.3430,0.100,0.5553,0,none
3.028,-1.68220,1.36574,0.24507,1,0,0,MODEL,-1.0000,0.100,0.5625,0,none
3.079,-1.77988,1.22331,0.24682,1,0,0,MODEL,-1.0000,0.100,0.5628,0,none
3.128,-1.89597,1.31486,0.20140,1,0,0,MODEL,-1.0000,0.100,0.5674,0,none
3.179,-2.02163,1.36851,0.22898,1,0,0,MODEL,-1.0000,0.100,0.5733,0,none
3.227,-2.15583,1.23459,0.26922,1,0,0,MODEL,-1.0000,0.100,0.5792,0,none
