time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00073,0.10071,0.10891,1,0,0,MODEL,-0.3807,0.100,0.0000,0,none
0.108,0.00073,0.11084,0.17063,1,0,0,MODEL,-0.3903,0.100,0.0000,0,none
0.135,0.00073,0.16275,0.18018,1,0,0,MODEL,-0.4396,0.100,0.0000,0,none
0.167,0.00074,0.13763,0.12534,1,0,0,MODEL,-0.4158,0.100,0.0137,0,none
0.210,0.00044,0.07709,0.11607,1,0,0,MODEL,-0.3582,0.100,0.0213,0,none
0.260,0.00004,0.07059,0.20011,1,0,0,MODEL,-0.3521,0.100,0.0391,0,none
0.310,-0.00055,0.10873,0.16206,1,0,0,MODEL,-0.3883,0.100,0.0504,0,none
0.359,-0.00159,0.08911,0.17843,1,0,0,MODEL,-0.3697,0.100,0.0595,0,none
0.412,-0.00275,0.13253,0.16180,1,0,0,MODEL,-0.4109,0.100,0.0754,0,none
0.460,-0.00441,0.15845,0.16962,1,0,0,MODEL,-0.4355,0.100,0.0824,0,none
0.510,-0.00673,0.13479,0.17364,1,0,0,MODEL,-0.4130,0.100,0.0969,0,none
0.559,-0.00947,0.05741,0.11896,1,0,0,MODEL,-0.3395,0.100,0.1084,0,none
0.610,-0.01242,0.02740,0.11597,1,0,0,MODEL,-0.3110,0.100,0.1203,0,none
0.660,-0.01546,0.02070,0.08140,1,0,0,MODEL,-0.3047,0.100,0.1320,0,none
0.712,-0.01884,0.13726,0.15367,1,0,0,MODEL,-0.4154,0.100,0.1435,0,none
0.760,-0.01688,0.04597,0.12396,1,0,0,MODEL,-0.3287,0.100,0.1651,0,none
0.809,-0.02929,0.08690,0.12243,1,0,0,MODEL,-0.3676,0.100,0.1681,0,none
0.862,-0.03448,0.09776,0.13214,1,0,0,MODEL,-0.3779,0.100,0.1775,0,none
0.911,-0.04000,0.04205,0.09397,1,0,0,MODEL,-0.3249,0.100,0.1889,0,none
0.961,-0.04701,0.01761,0.10102,1,0,0,MODEL,-0.3017,0.100,0.1996,0,none
1.012,-0.05428,0.06976,0.11555,1,0,0,MODEL,-0.3513,0.100,0.2105,0,none
1.062,-0.06243,0.01408,0.12215,1,0,0,MODEL,-0.2984,0.100,0.2212,0,none
1.111,-0.07151,0.08296,0.17047,1,0,0,MODEL,-0.3638,0.100,0.2319,0,none
1.161,-0.08149,0.07338,0.12659,1,0,0,MODEL,-0.3547,0.100,0.2423,0,none
1.209,-0.09293,0.13369,0.18449,1,0,0,MODEL,-0.4120,0.100,0.2527,0,none
1.261,-0.10779,0.13463,0.16177,1,0,0,MODEL,-0.4129,0.100,0.2629,0,none
1.311,-0.12675,0.11523,0.11691,1,0,0,MODEL,-0.3945,0.100,0.2732,0,none
1.361,-0.13614,0.12448,0.13276,1,0,0,MODEL,-0.4033,0.100,0.2831,0,none
1.413,-0.15339,0.09004,0.15120,1,0,0,MODEL,-0.3705,0.100,0.2932,0,none
1.460,-0.17223,0.00584,0.13785,1,0,0,MODEL,-0.2906,0.100,0.3030,0,none
1.510,-0.19186,0.04117,0.06509,1,0,0,MODEL,-0.3241,0.100,0.3129,0,none
