time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00285,0.15144,0.21131,1,0,0,MODEL,-0.4289,0.100,0.0000,0,none
0.125,0.00285,0.14061,0.18049,1,0,0,MODEL,-0.4186,0.100,0.0000,0,none
0.175,0.00283,0.14109,0.17066,1,0,0,MODEL,-0.4190,0.100,0.0115,0,none
0.229,0.00263,0.09670,0.14830,1,0,0,MODEL,-0.3769,0.100,0.0177,0,none
0.278,0.00235,0.12244,0.15765,1,0,0,MODEL,-0.4013,0.100,0.0295,0,none
0.327,0.00172,0.06578,0.10478,1,0,0,MODEL,-0.3475,0.100,0.0444,0,none
0.377,0.00066,0.07664,0.15385,1,0,0,MODEL,-0.3578,0.100,0.0584,0,none
0.427,-0.00065,0.14043,0.16621,1,0,0,MODEL,-0.4184,0.100,0.0687,0,none
0.478,-0.00231,0.16640,0.18711,1,0,0,MODEL,-0.4431,0.100,0.0828,0,none
0.526,-0.00436,0.14593,0.14927,1,0,0,MODEL,-0.4236,0.100,0.0943,0,none
0.580,-0.00693,0.09806,0.13396,1,0,0,MODEL,-0.3782,0.100,0.1064,0,none
0.628,-0.00976,0.03984,0.06746,1,0,0,MODEL,-0.3228,0.100,0.1182,0,none
0.680,-0.01277,0.07415,0.10074,1,0,0,MODEL,-0.3554,0.100,0.1299,0,none
0.729,-0.01595,0.06076,0.11331,1,0,0,MODEL,-0.3427,0.100,0.1415,0,none
0.778,-0.01654,0.14620,0.18956,1,0,0,MODEL,-0.4239,0.100,0.1660,0,none
0.831,-0.02134,0.10104,0.10537,1,0,0,MODEL,-0.3810,0.100,0.1725,0,none
0.882,-0.03166,0.09313,0.11543,1,0,0,MODEL,-0.3735,0.100,0.1761,0,none
0.930,-0.03628,0.05666,0.09135,1,0,0,MODEL,-0.3388,0.100,0.1871,0,none
0.979,-0.04305,0.13809,0.17669,1,0,0,MODEL,-0.4162,0.100,0.1978,0,none
1.030,-0.05034,0.04470,0.08791,1,0,0,MODEL,-0.3275,0.100,0.2086,0,none
1.081,-0.05910,0.09089,0.14075,1,0,0,MODEL,-0.3713,0.100,0.2194,0,none
1.131,-0.06800,0.02503,0.08658,1,0,0,MODEL,-0.3088,0.100,0.2300,0,none
1.182,-0.07817,0.06729,0.14358,1,0,0,MODEL,-0.3489,0.100,0.2405,0,none
1.232,-0.08876,0.03713,0.13923,1,0,0,MODEL,-0.3203,0.100,0.2509,0,none
1.266,-0.10073,0.09404,0.20048,1,0,0,MODEL,-0.3743,0.100,0.2613,0,none
1.317,-0.12010,0.06752,0.16637,1,0,0,MODEL,-0.3491,0.100,0.2714,0,none
1.367,-0.12870,0.01667,0.10045,1,0,0,MODEL,-0.3008,0.100,0.2813,0,none
1.418,-0.14374,0.03900,0.11886,1,0,0,MODEL,-0.3220,0.100,0.2919,0,none
1.466,-0.16018,-0.01358,0.10573,1,0,0,MODEL,-0.2721,0.100,0.3016,0,none
1.518,-0.17775,0.00445,0.09319,1,0,0,MODEL,-0.2892,0.100,0.3114,0,none
1.567,-0.19627,0.05899,0.09294,1,0,0,MODEL,-0.3410,0.100,0.3211,0,none
1.617,-0.20982,0.23322,0.22425,1,0,0,MODEL,-0.5066,0.100,0.3318,0,none
1.665,-0.24117,0.17457,0.17439,1,0,0,MODEL,-0.4508,0.100,0.3395,0,none
1.719,-0.26815,0.15697,0.22063,1,0,0,MODEL,-0.4341,0.100,0.3492,0,none
1.767,-0.29679,0.16292,0.17459,1,0,0,MODEL,-0.4398,0.100,0.3583,0,none
1.818,-0.32780,0.19359,0.20528,1,0,0,MODEL,-0.4689,0.100,0.3675,0,none
1.867,-0.36150,0.13329,0.15214,1,0,0,MODEL,-0.4116,0.100,0.3765,0,none
1.918,-0.40381,-0.02805,0.11308,1,0,0,MODEL,-0.2584,0.100,0.3856,0,none
1.967,-0.43890,0.03041,0.16714,1,0,0,MODEL,-0.3139,0.100,0.3987,0,none
2.015,-0.47218,-0.01750,0.11063,1,0,0,MODEL,-0.2684,0.100,0.4033,0,none
2.067,-0.51213,-0.05438,0.17731,1,0,0,MODEL,-0.2333,0.100,0.4123,0,none
2.118,-0.55336,-0.12560,0.15810,1,0,0,MODEL,-0.1657,0.100,0.4210,0,none
2.169,-0.59547,-0.14615,0.13862,1,0,0,MODEL,-0.1462,0.100,0.4297,0,none
2.219,-0.63826,-0.14581,0.14571,1,0,0,MODEL,-0.1465,0.100,0.4382,0,none
2.268,-0.68240,-0.13226,0.17393,1,0,0,MODEL,-0.1594,0.100,0.4467,0,none
2.322,-0.72828,-0.05557,0.14557,1,0,0,MODEL,-0.2322,0.100,0.4550,0,none
2.369,-0.77672,-0.05564,0.11266,1,0,0,MODEL,-0.2321,0.100,0.4631,0,none
2.419,-0.82829,-0.08156,0.16975,1,0,0,MODEL,-0.2075,0.100,0.4713,0,none
2.469,-0.88194,-0.15396,0.13077,1,0,0,MODEL,-0.1387,0.100,0.4794,0,none
2.520,-0.93708,-0.05473,0.15663,1,0,0,MODEL,-0.2330,0.100,0.4875,0,none
2.570,-0.99343,-0.05938,0.13506,1,0,0,MODEL,-0.2286,0.100,0.4953,0,none
2.620,-1.05353,0.12231,0.22714,1,0,0,MODEL,-0.4012,0.100,0.5031,0,none
2.672,-1.11710,0.20966,0.25279,1,0,0,MODEL,-0.4842,0.100,0.5103,0,none
2.719,-1.18744,0.23070,0.45858,0,1,0,MODEL,-0.4842,0.100,0.5175,0,none
2.772,-1.26369,0.49160,0.51652,0,2,0,MODEL,-0.4842,0.100,0.5249,0,none
