time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00285,0.37969,0.19804,1,0,0,MODEL,-0.6457,0.100,0.0000,0,none
0.159,0.00285,0.32983,0.19903,1,0,0,MODEL,-0.5983,0.100,0.0000,0,none
0.191,0.00285,0.33453,0.13452,1,0,0,MODEL,-0.6028,0.100,0.0000,0,none
0.222,0.00273,0.43448,0.16647,1,0,0,MODEL,-0.6978,0.100,0.0109,0,none
0.263,0.00239,0.37192,0.17669,1,0,0,MODEL,-0.6383,0.100,0.0265,0,none
0.313,0.00150,0.48092,0.17741,1,0,0,MODEL,-0.7419,0.100,0.0377,0,none
0.365,0.00010,0.26006,0.15623,1,0,0,MODEL,-0.5321,0.100,0.0485,0,none
0.415,-0.00163,0.18038,0.15092,1,0,0,MODEL,-0.4564,0.100,0.0598,0,none
0.463,-0.00331,0.25342,0.19649,1,0,0,MODEL,-0.5257,0.100,0.0744,0,none
0.515,-0.00550,0.13354,0.13604,1,0,0,MODEL,-0.4119,0.100,0.0835,0,none
0.564,-0.00817,0.08917,0.14528,1,0,0,MODEL,-0.3697,0.100,0.0966,0,none
0.616,-0.01086,0.12418,0.16205,1,0,0,MODEL,-0.4030,0.100,0.1085,0,none
0.665,-0.01405,-0.02107,0.18600,1,0,0,MODEL,-0.2650,0.100,0.1203,0,none
0.716,-0.01737,-0.03719,0.11710,1,0,0,MODEL,-0.2497,0.100,0.1320,0,none
0.764,-0.02057,-0.09852,0.14076,1,0,0,MODEL,-0.1914,0.100,0.1435,0,none
0.817,-0.01774,0.05283,0.11898,1,0,0,MODEL,-0.3352,0.100,0.1652,0,none
0.866,-0.02734,-0.10338,0.16237,1,0,0,MODEL,-0.1868,0.100,0.1717,0,none
0.916,-0.03370,0.01157,0.18877,1,0,0,MODEL,-0.2960,0.100,0.1770,0,none
0.967,-0.03765,0.07954,0.14200,1,0,0,MODEL,-0.3606,0.100,0.1882,0,none
1.015,-0.04417,0.08545,0.13759,1,0,0,MODEL,-0.3662,0.100,0.1990,0,none
1.066,-0.05182,0.21061,0.13859,1,0,0,MODEL,-0.4851,0.100,0.2098,0,none
1.118,-0.06098,0.07597,0.16724,1,0,0,MODEL,-0.3572,0.100,0.2203,0,none
1.168,-0.07161,0.06891,0.15339,1,0,0,MODEL,-0.3505,0.100,0.2310,0,none
1.215,-0.08209,0.01379,0.08761,1,0,0,MODEL,-0.2981,0.100,0.2416,0,none
1.266,-0.09322,-0.03514,0.09335,1,0,0,MODEL,-0.2516,0.100,0.2520,0,none
1.317,-0.10670,0.01580,0.09908,1,0,0,MODEL,-0.3000,0.100,0.2624,0,none
1.370,-0.12339,0.18419,0.19819,1,0,0,MODEL,-0.4600,0.100,0.2728,0,none
1.416,-0.13173,0.15725,0.13783,1,0,0,MODEL,-0.4344,0.100,0.2820,0,none
1.466,-0.14937,0.16401,0.17088,1,0,0,MODEL,-0.4408,0.100,0.2921,0,none
1.517,-0.16850,0.05148,0.13928,1,0,0,MODEL,-0.3339,0.100,0.3018,0,none
1.566,-0.18858,-0.11513,0.13873,1,0,0,MODEL,-0.1756,0.100,0.3118,0,none
1.618,-0.20497,-0.13802,0.11249,1,0,0,MODEL,-0.1539,0.100,0.3207,0,none
1.667,-0.22043,-0.21070,0.17512,1,0,0,MODEL,-0.0848,0.100,0.3322,0,none
1.717,-0.24680,-0.30099,0.20363,1,0,0,MODEL,0.0009,0.100,0.3410,0,none
1.767,-0.26487,-0.45919,0.21459,1,0,0,MODEL,0.1512,0.100,0.3500,0,none
1.816,-0.28194,-0.33250,0.20679,1,0,0,MODEL,0.0309,0.100,0.3591,0,none
1.867,-0.29846,-0.26632,0.18453,1,0,0,MODEL,-0.0320,0.100,0.3683,0,none
1.917,-0.31707,-0.39069,0.19948,1,0,0,MODEL,0.0862,0.100,0.3775,0,none
1.967,-0.34270,-0.45126,0.13344,1,0,0,MODEL,0.1437,0.100,0.3869,0,none
2.015,-0.35545,-0.48290,0.16453,1,0,0,MODEL,0.1738,0.100,0.3957,0,none
2.067,-0.37088,-0.59594,0.15446,1,0,0,MODEL,0.2811,0.100,0.4041,0,none
2.117,-0.38544,-0.62144,0.15046,1,0,0,MODEL,0.3054,0.100,0.4127,0,none
2.167,-0.39735,-0.55007,0.18751,1,0,0,MODEL,0.2376,0.100,0.4214,0,none
2.218,-0.40828,-0.34008,0.16693,1,0,0,MODEL,0.0381,0.100,0.4301,0,none
2.266,-0.42094,-0.19617,0.14531,1,0,0,MODEL,-0.0986,0.100,0.4385,0,none
2.317,-0.43687,-0.26965,0.16837,1,0,0,MODEL,-0.0288,0.100,0.4469,0,none
2.369,-0.45543,-0.27518,0.21748,1,0,0,MODEL,-0.0236,0.100,0.4552,0,none
2.419,-0.47352,-0.18858,0.17285,1,0,0,MODEL,-0.1058,0.100,0.4635,0,none
2.468,-0.49231,-0.02534,0.17349,1,0,0,MODEL,-0.2609,0.100,0.4716,0,none
2.518,-0.51421,0.45567,0.30784,0,1,0,MODEL,-0.2609,0.100,0.4793,0,none
2.570,-0.54070,-0.06360,0.19868,1,0,0,MODEL,-0.2246,0.100,0.4873,0,none
2.621,-0.56945,-0.06839,0.34507,0,1,0,MODEL,-0.2246,0.100,0.4952,0,none
2.668,-0.59956,0.05428,0.40219,0,2,0,MODEL,-0.2246,0.100,0.5031,0,none
2.717,-0.63157,-0.27843,0.24793,1,0,0,MODEL,-0.0205,0.100,0.5109,0,none
2.769,-0.66453,-0.85138,0.23044,1,0,0,MODEL,0.5238,0.100,0.5184,0,none
2.818,-0.69356,-0.94014,0.19399,1,0,0,MODEL,0.6081,0.100,0.5238,0,none
2.871,-0.70839,-0.76707,0.15669,1,0,0,MODEL,0.4437,0.100,0.5294,0,none
2.920,-0.71645,-0.82679,0.17802,1,0,0,MODEL,0.5005,0.100,0.5370,0,none
2.970,-0.72364,-0.75562,0.18193,1,0,0,MODEL,0.4328,0.100,0.5443,0,none
3.022,-0.72656,-0.74838,0.12823,1,0,0,MODEL,0.4260,0.100,0.5517,0,none
3.068,-0.72694,-0.65233,0.11903,1,0,0,MODEL,0.3347,0.100,0.5590,0,none
3.121,-0.72442,-0.59734,0.12184,1,0,0,MODEL,0.2825,0.100,0.5663,0,none
3.171,-0.72084,-0.59959,0.18560,1,0,0,MODEL,0.2846,0.100,0.5736,0,none
