time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00023,-3.13392,0.43624,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.105,0.00023,-3.19666,0.41245,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.136,0.00027,-3.28862,0.35734,0,3,0,MODEL,0.0000,0.100,0.0104,0,none
0.168,0.00040,-3.24564,0.41907,0,4,0,MODEL,0.0000,0.100,0.0167,0,none
0.217,0.00059,-3.34748,0.44626,0,5,0,MODEL,0.0000,0.100,0.0310,0,none
0.266,0.00074,-3.28901,0.39424,0,6,0,MODEL,0.0000,0.100,0.0400,0,none
0.318,0.00098,-3.42320,0.45104,0,7,0,MODEL,0.0000,0.100,0.0534,0,none
0.369,0.00151,-3.15657,0.54679,0,8,0,MODEL,0.0000,0.100,0.0647,0,none
0.418,0.00216,-3.31249,0.38451,0,9,0,MODEL,0.0000,0.100,0.0775,0,none
0.470,0.00276,-3.18629,0.40283,0,10,0,FALLBACK,-1.0000,0.100,0.0888,0,none
0.518,0.00142,-3.20700,0.36521,0,10,0,FALLBACK,-1.0000,0.100,0.0995,0,none
0.569,-0.00416,-2.95036,0.35604,0,10,0,FALLBACK,-1.0000,0.100,0.1103,0,none
0.619,-0.01070,-3.06962,0.37383,0,10,0,FALLBACK,-1.0000,0.100,0.1220,0,none
0.670,-0.01825,-3.17008,0.47648,0,10,0,FALLBACK,-1.0000,0.100,0.1330,0,none
0.718,-0.02696,-3.36700,0.41908,0,10,0,FALLBACK,-1.0000,0.100,0.1439,0,none
0.769,-0.03694,-3.68427,0.56174,0,10,0,FALLBACK,-1.0000,0.100,0.1548,0,none
0.819,-0.04830,-3.61270,0.56023,0,10,0,FALLBACK,-1.0000,0.100,0.1654,0,none
0.871,-0.06119,-3.54705,0.50146,0,10,0,FALLBACK,-1.0000,0.100,0.1760,0,none
0.919,-0.07572,-3.19442,0.43557,0,10,0,FALLBACK,-1.0000,0.100,0.1864,0,none
0.969,-0.09203,-2.97278,0.42904,0,10,0,FALLBACK,-0.9583,0.100,0.1967,0,none
1.018,-0.11888,-2.97261,0.37475,0,10,0,FALLBACK,-0.7713,0.100,0.2072,0,none
1.069,-0.13452,-2.90711,0.51199,0,10,0,FALLBACK,-0.7492,0.100,0.2272,0,none
1.120,-0.14776,-3.47831,0.55175,0,10,0,FALLBACK,-0.6950,0.100,0.2282,0,none
1.171,-0.16939,-2.31416,0.80060,0,10,0,FALLBACK,-0.5449,0.100,0.2389,0,none
