time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00064,0.31541,0.15148,1,0,0,MODEL,-0.5846,0.100,0.0000,0,none
0.118,0.00064,0.29564,0.16299,1,0,0,MODEL,-0.5659,0.100,0.0000,0,none
0.158,0.00037,0.37818,0.14883,1,0,0,MODEL,-0.6443,0.100,0.0112,0,none
0.209,-0.00020,0.38288,0.12602,1,0,0,MODEL,-0.6487,0.100,0.0229,0,none
0.258,-0.00089,0.52599,0.22830,1,0,0,MODEL,-0.7847,0.100,0.0397,0,none
0.310,-0.00218,0.22262,0.16223,1,0,0,MODEL,-0.4965,0.100,0.0462,0,none
0.369,-0.00413,0.13422,0.12863,1,0,0,MODEL,-0.4125,0.100,0.0633,0,none
0.408,-0.00594,0.25581,0.16576,1,0,0,MODEL,-0.5280,0.100,0.0738,0,none
0.459,-0.00802,0.11762,0.12789,1,0,0,MODEL,-0.3967,0.100,0.0823,0,none
0.510,-0.01088,0.17309,0.17819,1,0,0,MODEL,-0.4494,0.100,0.0965,0,none
0.558,-0.01377,0.02970,0.11259,1,0,0,MODEL,-0.3132,0.100,0.1083,0,none
0.610,-0.01717,0.03913,0.15346,1,0,0,MODEL,-0.3222,0.100,0.1203,0,none
0.658,-0.02042,-0.10289,0.14140,1,0,0,MODEL,-0.1873,0.100,0.1319,0,none
0.708,-0.02391,-0.06764,0.12188,1,0,0,MODEL,-0.2207,0.100,0.1435,0,none
0.760,-0.02095,-0.01395,0.10126,1,0,0,MODEL,-0.2717,0.100,0.1651,0,none
0.809,-0.03043,-0.01478,0.10095,1,0,0,MODEL,-0.2710,0.100,0.1718,0,none
0.859,-0.03699,-0.03211,0.15390,1,0,0,MODEL,-0.2545,0.100,0.1774,0,none
0.909,-0.04138,-0.01278,0.10371,1,0,0,MODEL,-0.2729,0.100,0.1888,0,none
0.960,-0.04730,0.14158,0.17236,1,0,0,MODEL,-0.4195,0.100,0.1995,0,none
1.010,-0.05442,0.18565,0.19542,1,0,0,MODEL,-0.4614,0.100,0.2102,0,none
1.060,-0.06374,0.05591,0.11443,1,0,0,MODEL,-0.3381,0.100,0.2208,0,none
1.110,-0.07451,0.03732,0.09998,1,0,0,MODEL,-0.3205,0.100,0.2314,0,none
1.159,-0.08502,-0.04062,0.13060,1,0,0,MODEL,-0.2464,0.100,0.2421,0,none
1.210,-0.09583,-0.02481,0.11507,1,0,0,MODEL,-0.2614,0.100,0.2525,0,none
1.261,-0.10892,0.00145,0.11714,1,0,0,MODEL,-0.2864,0.100,0.2628,0,none
1.310,-0.12541,0.14376,0.15069,1,0,0,MODEL,-0.4216,0.100,0.2732,0,none
1.360,-0.13286,0.23917,0.18333,1,0,0,MODEL,-0.5122,0.100,0.2826,0,none
1.411,-0.15018,0.06576,0.09320,1,0,0,MODEL,-0.3475,0.100,0.2924,0,none
1.461,-0.16973,-0.01528,0.11975,1,0,0,MODEL,-0.2705,0.100,0.3023,0,none
1.512,-0.18888,-0.02794,0.12180,1,0,0,MODEL,-0.2585,0.100,0.3121,0,none
1.560,-0.20526,-0.05815,0.16521,1,0,0,MODEL,-0.2298,0.100,0.3210,0,none
1.611,-0.22217,-0.22493,0.17947,1,0,0,MODEL,-0.0713,0.100,0.3326,0,none
1.662,-0.24986,-0.28593,0.14256,1,0,0,MODEL,-0.0134,0.100,0.3410,0,none
1.713,-0.26837,-0.33094,0.14359,1,0,0,MODEL,0.0294,0.100,0.3500,0,none
1.763,-0.28704,-0.32219,0.26185,1,0,0,MODEL,0.0211,0.100,0.3593,0,none
1.811,-0.30567,-0.27244,0.19172,1,0,0,MODEL,-0.0262,0.100,0.3686,0,none
