time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00067,0.27959,0.16243,1,0,0,MODEL,-0.5506,0.100,0.0000,0,none
0.109,0.00067,0.35578,0.16478,1,0,0,MODEL,-0.6230,0.100,0.0000,0,none
0.139,0.00067,0.34916,0.19496,1,0,0,MODEL,-0.6167,0.100,0.0000,0,none
0.170,0.00049,0.41650,0.18275,1,0,0,MODEL,-0.6807,0.100,0.0104,0,none
0.217,0.00017,0.42080,0.15718,1,0,0,MODEL,-0.6848,0.100,0.0192,0,none
0.261,-0.00087,0.57873,0.17203,1,0,0,MODEL,-0.8348,0.100,0.0350,0,none
0.314,-0.00233,0.16039,0.14677,1,0,0,MODEL,-0.4374,0.100,0.0439,0,none
0.364,-0.00448,0.15009,0.15584,1,0,0,MODEL,-0.4276,0.100,0.0555,0,none
0.413,-0.00626,0.22257,0.18677,1,0,0,MODEL,-0.4964,0.100,0.0734,0,none
0.464,-0.00834,0.10288,0.12444,1,0,0,MODEL,-0.3827,0.100,0.0815,0,none
0.513,-0.01117,0.12279,0.14682,1,0,0,MODEL,-0.4016,0.100,0.0930,0,none
0.566,-0.01369,0.10079,0.18170,1,0,0,MODEL,-0.3807,0.100,0.1059,0,none
0.614,-0.01676,0.00441,0.11354,1,0,0,MODEL,-0.2892,0.100,0.1179,0,none
0.648,-0.02011,-0.01766,0.15186,1,0,0,MODEL,-0.2682,0.100,0.1295,0,none
0.699,-0.02332,-0.07905,0.12280,1,0,0,MODEL,-0.2099,0.100,0.1411,0,none
0.751,-0.02356,0.02449,0.10092,1,0,0,MODEL,-0.3083,0.100,0.1656,0,none
0.797,-0.02794,0.04810,0.09455,1,0,0,MODEL,-0.3307,0.100,0.1718,0,none
0.850,-0.03753,-0.01559,0.11362,1,0,0,MODEL,-0.2702,0.100,0.1755,0,none
0.900,-0.04169,-0.00398,0.11389,1,0,0,MODEL,-0.2812,0.100,0.1864,0,none
0.950,-0.04756,0.10324,0.15774,1,0,0,MODEL,-0.3831,0.100,0.1971,0,none
0.999,-0.05424,0.20768,0.14643,1,0,0,MODEL,-0.4823,0.100,0.2079,0,none
1.048,-0.06321,0.15919,0.12129,1,0,0,MODEL,-0.4362,0.100,0.2184,0,none
1.099,-0.07374,0.04679,0.18234,1,0,0,MODEL,-0.3294,0.100,0.2291,0,none
1.148,-0.08491,-0.00457,0.07892,1,0,0,MODEL,-0.2807,0.100,0.2397,0,none
1.199,-0.09573,0.00951,0.08291,1,0,0,MODEL,-0.2940,0.100,0.2502,0,none
1.250,-0.10714,0.03238,0.07590,1,0,0,MODEL,-0.3158,0.100,0.2605,0,none
1.301,-0.12593,0.08085,0.16118,1,0,0,MODEL,-0.3618,0.100,0.2707,0,none
1.349,-0.13411,0.19892,0.18207,1,0,0,MODEL,-0.4740,0.100,0.2803,0,none
1.401,-0.15047,0.29192,0.19854,1,0,0,MODEL,-0.5623,0.100,0.2905,0,none
1.450,-0.17011,-0.00192,0.11824,1,0,0,MODEL,-0.2832,0.100,0.3000,0,none
1.502,-0.19228,-0.15012,0.14905,1,0,0,MODEL,-0.1424,0.100,0.3098,0,none
1.551,-0.21147,-0.18976,0.13902,1,0,0,MODEL,-0.1047,0.100,0.3197,0,none
1.602,-0.22257,-0.21719,0.16339,1,0,0,MODEL,-0.0787,0.100,0.3307,0,none
1.651,-0.24873,-0.27706,0.18970,1,0,0,MODEL,-0.0218,0.100,0.3389,0,none
1.703,-0.26712,-0.32286,0.21675,1,0,0,MODEL,0.0217,0.100,0.3484,0,none
1.753,-0.28531,-0.22792,0.19677,1,0,0,MODEL,-0.0685,0.100,0.3576,0,none
1.804,-0.30409,-0.26477,0.18557,1,0,0,MODEL,-0.0335,0.100,0.3668,0,none
1.851,-0.32471,-0.49766,0.20640,1,0,0,MODEL,0.1878,0.100,0.3760,0,none
1.902,-0.35041,-0.54647,0.14993,1,0,0,MODEL,0.2341,0.100,0.3849,0,none
1.952,-0.36247,-0.46067,0.14499,1,0,0,MODEL,0.1526,0.100,0.3948,0,none
2.003,-0.37606,-0.57067,0.16485,1,0,0,MODEL,0.2571,0.100,0.4021,0,none
2.054,-0.39159,-0.47478,0.16611,1,0,0,MODEL,0.1660,0.100,0.4109,0,none
2.106,-0.40484,-0.58927,0.11494,1,0,0,MODEL,0.2748,0.100,0.4196,0,none
2.152,-0.41828,-0.42849,0.16069,1,0,0,MODEL,0.1221,0.100,0.4281,0,none
2.204,-0.43000,-0.27046,0.17084,1,0,0,MODEL,-0.0281,0.100,0.4366,0,none
2.253,-0.44423,-0.27850,0.17317,1,0,0,MODEL,-0.0204,0.100,0.4450,0,none
2.306,-0.46134,-0.23588,0.13383,1,0,0,MODEL,-0.0609,0.100,0.4534,0,none
2.354,-0.47912,-0.17327,0.11328,1,0,0,MODEL,-0.1204,0.100,0.4617,0,none
2.406,-0.49826,-0.04952,0.15675,1,0,0,MODEL,-0.2380,0.100,0.4699,0,none
2.453,-0.51971,0.44384,0.28883,0,1,0,MODEL,-0.2380,0.100,0.4778,0,none
2.504,-0.54514,-0.08303,0.23253,1,0,0,MODEL,-0.2061,0.100,0.4857,0,none
2.557,-0.57271,-0.06409,0.20681,1,0,0,MODEL,-0.2241,0.100,0.4937,0,none
2.604,-0.60158,0.31162,0.50748,0,1,0,MODEL,-0.2241,0.100,0.5016,0,none
2.656,-0.63263,-0.12562,0.29191,0,2,0,MODEL,-0.2241,0.100,0.5093,0,none
2.707,-0.66589,-0.96299,0.15982,1,0,0,MODEL,0.6298,0.100,0.5170,0,none
2.753,-0.69619,-0.93475,0.14558,1,0,0,MODEL,0.6030,0.100,0.5184,0,none
2.805,-0.70749,-0.79059,0.16915,1,0,0,MODEL,0.4661,0.100,0.5248,0,none
2.857,-0.71444,-0.85950,0.20399,1,0,0,MODEL,0.5315,0.100,0.5326,0,none
