time_s,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0.00070,0.33230,0.16479,1,0,0,MODEL,-0.6007,0.100,0.0000,0,none
0.100,0.00070,0.32274,0.15716,1,0,0,MODEL,-0.5916,0.100,0.0000,0,none
0.131,0.00063,0.32721,0.18944,1,0,0,MODEL,-0.5958,0.100,0.0049,0,none
0.173,0.00034,0.40317,0.17684,1,0,0,MODEL,-0.6680,0.100,0.0184,0,none
0.225,-0.00008,0.38648,0.17992,1,0,0,MODEL,-0.6522,0.100,0.0263,0,none
0.276,-0.00113,0.10258,0.08978,1,0,0,MODEL,-0.3824,0.100,0.0384,0,none
0.326,-0.00269,0.11180,0.15758,1,0,0,MODEL,-0.3912,0.100,0.0582,0,none
0.373,-0.00403,0.14144,0.12882,1,0,0,MODEL,-0.4194,0.100,0.0705,0,none
0.424,-0.00589,0.10452,0.15164,1,0,0,MODEL,-0.3843,0.100,0.0824,0,none
0.474,-0.00799,0.07894,0.12879,1,0,0,MODEL,-0.3600,0.100,0.0899,0,none
0.526,-0.01041,0.28698,0.22936,1,0,0,MODEL,-0.5576,0.100,0.1048,0,none
0.574,-0.01359,-0.01706,0.10415,1,0,0,MODEL,-0.2688,0.100,0.1151,0,none
0.626,-0.01764,0.00792,0.13579,1,0,0,MODEL,-0.2925,0.100,0.1269,0,none
0.676,-0.02079,-0.01383,0.13493,1,0,0,MODEL,-0.2719,0.100,0.1385,0,none
0.728,-0.02454,-0.11750,0.14182,1,0,0,MODEL,-0.1734,0.100,0.1500,0,none
0.774,-0.01913,0.01528,0.12513,1,0,0,MODEL,-0.2995,0.100,0.1617,0,none
0.827,-0.03507,-0.14333,0.18927,1,0,0,MODEL,-0.1488,0.100,0.1729,0,none
0.874,-0.03804,-0.08127,0.08582,1,0,0,MODEL,-0.2078,0.100,0.1843,0,none
0.925,-0.04287,0.02762,0.11908,1,0,0,MODEL,-0.3112,0.100,0.1954,0,none
0.975,-0.04876,0.15149,0.17573,1,0,0,MODEL,-0.4289,0.100,0.2061,0,none
1.024,-0.05655,0.21070,0.20704,1,0,0,MODEL,-0.4852,0.100,0.2167,0,none
1.077,-0.06646,0.13058,0.12564,1,0,0,MODEL,-0.4091,0.100,0.2273,0,none
1.125,-0.07778,0.09048,0.10627,1,0,0,MODEL,-0.3710,0.100,0.2379,0,none
1.175,-0.08943,-0.03566,0.06922,1,0,0,MODEL,-0.2511,0.100,0.2484,0,none
1.225,-0.10143,-0.03522,0.12592,1,0,0,MODEL,-0.2515,0.100,0.2588,0,none
1.277,-0.11903,0.07297,0.16023,1,0,0,MODEL,-0.3543,0.100,0.2687,0,none
1.328,-0.12717,0.10273,0.12760,1,0,0,MODEL,-0.3826,0.100,0.2783,0,none
1.375,-0.14153,0.23154,0.14513,1,0,0,MODEL,-0.5050,0.100,0.2890,0,none
1.427,-0.15951,0.00322,0.16024,1,0,0,MODEL,-0.2881,0.100,0.2984,0,none
1.474,-0.18050,-0.01899,0.11787,1,0,0,MODEL,-0.2670,0.100,0.3081,0,none
1.526,-0.20029,-0.13000,0.09955,1,0,0,MODEL,-0.1615,0.100,0.3181,0,none
1.576,-0.21255,-0.02013,0.23462,1,0,0,MODEL,-0.2659,0.100,0.3291,0,none
1.626,-0.23968,-0.25858,0.19418,1,0,0,MODEL,-0.0394,0.100,0.3365,0,none
1.679,-0.26210,-0.29969,0.23481,1,0,0,MODEL,-0.0003,0.100,0.3471,0,none
1.727,-0.28149,-0.10718,0.12872,1,0,0,MODEL,-0.1832,0.100,0.3561,0,none
1.777,-0.30197,-0.33436,0.22115,1,0,0,MODEL,0.0326,0.100,0.3652,0,none
1.829,-0.32487,-0.36843,0.18401,1,0,0,MODEL,0.0650,0.100,0.3742,0,none
1.879,-0.35070,-0.38616,0.18160,1,0,0,MODEL,0.0818,0.100,0.3849,0,none
1.927,-0.37044,-0.56051,0.17427,1,0,0,MODEL,0.2475,0.100,0.3959,0,none
1.979,-0.38611,-0.65836,0.18778,1,0,0,MODEL,0.3404,0.100,0.4010,0,none
2.030,-0.40273,-0.63534,0.11789,1,0,0,MODEL,0.3186,0.100,0.4095,0,none
2.078,-0.41600,-0.55252,0.18789,1,0,0,MODEL,0.2399,0.100,0.4181,0,none
2.130,-0.42860,-0.48118,0.13571,1,0,0,MODEL,0.1721,0.100,0.4269,0,none
2.178,-0.44155,-0.35282,0.16999,1,0,0,MODEL,0.0502,0.100,0.4355,0,none
2.229,-0.45549,-0.32663,0.17802,1,0,0,MODEL,0.0253,0.100,0.4440,0,none
2.279,-0.47174,-0.33730,0.14303,1,0,0,MODEL,0.0354,0.100,0.4524,0,none
2.329,-0.48862,-0.20919,0.14886,1,0,0,MODEL,-0.0863,0.100,0.4607,0,none
2.380,-0.50544,-0.04254,0.16277,1,0,0,MODEL,-0.2446,0.100,0.4689,0,none
2.430,-0.52564,0.46005,0.27617,1,0,0,MODEL,-0.7221,0.100,0.4766,0,none
2.481,-0.55092,0.08696,0.25491,1,0,0,MODEL,-0.3676,0.100,0.4846,0,none
2.529,-0.58649,-0.18870,0.34881,0,1,0,MODEL,-0.3676,0.100,0.4896,0,none
2.580,-0.62193,0.42051,0.59404,0,2,0,MODEL,-0.3676,0.100,0.4976,0,none
2.632,-0.65978,-0.44764,0.18429,1,0,0,MODEL,0.1403,0.100,0.5054,0,none
2.680,-0.70082,-0.83404,0.21564,1,0,0,MODEL,0.5073,0.100,0.5131,0,none
2.730,-0.73154,-0.86327,0.18548,1,0,0,MODEL,0.5351,0.100,0.5171,0,none
2.780,-0.74941,-0.85025,0.16291,1,0,0,MODEL,0.5227,0.100,0.5241,0,none
2.831,-0.76258,-0.78216,0.15627,1,0,0,MODEL,0.4580,0.100,0.5315,0,none
2.881,-0.77226,-0.86385,0.18837,1,0,0,MODEL,0.5357,0.100,0.5390,0,none
2.933,-0.77959,-0.80511,0.15687,1,0,0,MODEL,0.4799,0.100,0.5465,0,none
2.981,-0.78178,-0.81830,0.17129,1,0,0,MODEL,0.4924,0.100,0.5534,0,none
3.034,-0.78034,-0.72774,0.15240,1,0,0,MODEL,0.4064,0.100,0.5606,0,none
3.082,-0.77460,-0.64660,0.17115,1,0,0,MODEL,0.3293,0.100,0.5677,0,none
3.132,-0.76653,-0.44866,0.21066,1,0,0,MODEL,0.1412,0.100,0.5752,0,none
3.184,-0.75736,-0.36070,0.20210,1,0,0,MODEL,0.0577,0.100,0.5823,0,none
3.233,-0.75004,-0.50539,0.16677,1,0,0,MODEL,0.1951,0.100,0.5894,0,none
3.283,-0.74465,-0.48005,0.18538,1,0,0,MODEL,0.1710,0.100,0.5962,0,none
3.332,-0.73523,-0.30443,0.19645,1,0,0,MODEL,0.0042,0.100,0.6029,0,none
3.384,-0.72414,-0.35145,0.18415,1,0,0,MODEL,0.0489,0.100,0.6096,0,none
3.437,-0.71590,-0.55403,0.12277,1,0,0,MODEL,0.2413,0.100,0.6163,0,none
3.483,-0.70702,-0.60270,0.13068,1,0,0,MODEL,0.2876,0.100,0.6229,0,none
3.533,-0.69215,-0.50664,0.18165,1,0,0,MODEL,0.1963,0.100,0.6292,0,none
3.567,-0.67162,-0.36550,0.15776,1,0,0,MODEL,0.0622,0.100,0.6351,0,none
3.616,-0.65128,-0.34328,0.16507,1,0,0,MODEL,0.0411,0.100,0.6416,0,none
3.665,-0.63388,-0.09916,0.24081,1,0,0,MODEL,-0.1908,0.100,0.6480,0,none
3.718,-0.61937,0.28574,0.26781,1,0,0,MODEL,-0.5565,0.100,0.6540,0,none
3.767,-0.61653,0.31612,0.26675,1,0,0,MODEL,-0.5853,0.100,0.6575,0,none
3.817,-0.62734,0.36377,0.20312,1,0,0,MODEL,-0.6306,0.100,0.6627,0,none
3.869,-0.64617,-0.28582,0.18248,1,0,0,MODEL,-0.0135,0.100,0.6683,0,none
3.918,-0.67247,-0.69413,0.13381,1,0,0,MODEL,0.3744,0.100,0.6739,0,none
3.968,-0.67831,-0.77956,0.11515,1,0,0,MODEL,0.4556,0.100,0.6728,0,none
4.017,-0.66998,-0.65335,0.16849,1,0,0,MODEL,0.3357,0.100,0.6818,0,none
4.066,-0.65585,-0.63647,0.20088,1,0,0,MODEL,0.3196,0.100,0.6921,0,none
4.116,-0.64172,-0.55735,0.12879,1,0,0,MODEL,0.2445,0.100,0.6901,0,none
4.168,-0.62320,-0.63870,0.20702,1,0,0,MODEL,0.3218,0.100,0.7007,0,none
4.218,-0.60264,-0.54383,0.15656,1,0,0,MODEL,0.2316,0.100,0.7016,0,none
4.270,-0.57575,-0.52667,0.09703,1,0,0,MODEL,0.2153,0.100,0.7122,0,none
4.317,-0.54875,-0.51889,0.15435,1,0,0,MODEL,0.2079,0.100,0.7128,0,none
4.369,-0.51738,-0.46518,0.13346,1,0,0,MODEL,0.1569,0.100,0.7239,0,none
4.418,-0.48498,-0.31780,0.17323,1,0,0,MODEL,0.0169,0.100,0.7240,0,none
4.466,-0.45225,-0.15936,0.14241,1,0,0,MODEL,-0.1336,0.100,0.7344,0,none
4.520,-0.42523,-0.32753,0.17576,1,0,0,MODEL,0.0262,0.100,0.7356,0,none
4.569,-0.40154,-0.34059,0.16797,1,0,0,MODEL,0.0386,0.100,0.7432,0,none
4.619,-0.37354,-0.40704,0.14053,1,0,0,MODEL,0.1017,0.100,0.7472,0,none
4.670,-0.34242,-0.45079,0.17352,1,0,0,MODEL,0.1433,0.100,0.7545,0,none
4.717,-0.30880,-0.18129,0.15193,1,0,0,MODEL,-0.1128,0.100,0.7563,0,none
4.770,-0.27538,-0.18722,0.14924,1,0,0,MODEL,-0.1071,0.100,0.7649,0,none
4.820,-0.24886,-0.14678,0.14736,1,0,0,MODEL,-0.1456,0.100,0.7670,0,none
4.870,-0.22400,-0.01279,0.09537,1,0,0,MODEL,-0.2728,0.100,0.7728,0,none
4.917,-0.20399,-0.07259,0.11946,1,0,0,MODEL,-0.2160,0.100,0.7772,0,none
4.968,-0.19016,-0.13259,0.18018,1,0,0,MODEL,-0.1590,0.100,0.7822,0,none
5.020,-0.17876,-0.22035,0.14436,1,0,0,MODEL,-0.0757,0.100,0.7871,0,none
5.074,-0.16844,-0.10706,0.12028,1,0,0,MODEL,-0.1833,0.100,0.7921,0,none
5.121,-0.15707,-0.23958,0.13937,1,0,0,MODEL,-0.0574,0.100,0.7968,0,none
5.171,-0.15097,-0.08090,0.09834,1,0,0,MODEL,-0.2081,0.100,0.8014,0,none
5.229,-0.14351,-0.14639,0.16569,1,0,0,MODEL,-0.1459,0.100,0.8062,0,none
5.272,-0.14004,-0.21458,0.14879,1,0,0,MODEL,-0.0811,0.100,0.8104,0,none
5.319,-0.13999,-0.07373,0.11168,1,0,0,MODEL,-0.2150,0.100,0.8151,0,none
5.373,-0.14004,-0.10848,0.12059,1,0,0,MODEL,-0.1819,0.100,0.8195,0,none
5.421,-0.14679,-0.08767,0.15753,1,0,0,MODEL,-0.2017,0.100,0.8238,0,none
5.472,-0.15742,-0.04701,0.08684,1,0,0,MODEL,-0.2403,0.100,0.8283,0,none
5.521,-0.17189,-0.12307,0.14943,1,0,0,MODEL,-0.1681,0.100,0.8326,0,none
5.571,-0.19196,-0.23402,0.17079,1,0,0,MODEL,-0.0627,0.100,0.8369,0,none
5.623,-0.21505,-0.02263,0.07924,1,0,0,MODEL,-0.2635,0.100,0.8415,0,none
5.671,-0.23651,0.00353,0.08147,1,0,0,MODEL,-0.2884,0.100,0.8453,0,none
5.721,-0.26733,0.07871,0.10278,1,0,0,MODEL,-0.3598,0.100,0.8490,0,none
5.769,-0.30550,-0.09484,0.09618,1,0,0,MODEL,-0.1949,0.100,0.8529,0,none
5.822,-0.35022,-0.21018,0.10457,1,0,0,MODEL,-0.0853,0.100,0.8572,0,none
5.872,-0.27464,-0.41770,0.11768,1,0,0,MODEL,0.1118,0.100,0.8614,0,none
5.920,-0.40816,-0.59831,0.15864,1,0,0,MODEL,0.2834,0.100,0.8650,0,none
5.972,-0.53427,-0.60767,0.19301,1,0,0,MODEL,0.2923,0.100,0.8682,0,none
6.022,-0.65125,-0.58104,0.15332,1,0,0,MODEL,0.2670,0.100,0.8719,0,none
6.074,-0.76250,-0.62738,0.12880,1,0,0,MODEL,0.3110,0.100,0.8759,0,none
6.122,-0.86904,-0.75472,0.25154,1,0,0,MODEL,0.4320,0.100,0.8797,0,none
6.175,-0.79454,-0.86872,0.18999,1,0,0,MODEL,0.5403,0.100,0.8827,0,none
6.224,-0.96941,-1.10947,0.31020,0,1,0,MODEL,0.5403,0.100,0.8852,0,none
6.275,-1.13205,-1.31409,0.30779,0,2,0,MODEL,0.5403,0.100,0.8883,0,none
6.323,-1.28458,-1.34179,0.25871,1,0,0,MODEL,0.9897,0.100,0.8917,0,none
6.374,-1.42287,-1.33419,0.28093,1,0,0,MODEL,0.9825,0.100,0.8874,0,none
6.424,-1.52976,-1.55463,0.32164,0,1,0,MODEL,0.9825,0.100,0.8880,0,none
6.474,-1.61590,-1.73248,0.41108,0,2,0,MODEL,0.9825,0.100,0.8898,0,none
6.524,-1.49951,-1.84971,0.24778,1,0,0,MODEL,1.0000,0.100,0.8916,0,none
6.573,-1.63717,-1.90919,0.43044,0,1,0,MODEL,1.0000,0.100,0.8931,0,none
6.625,-1.75441,-1.89747,0.26280,1,0,0,MODEL,1.0000,0.100,0.8947,0,none
6.673,-1.85110,-1.98497,0.32638,0,1,0,MODEL,1.0000,0.100,0.8963,0,none
6.726,-1.92680,-1.86142,0.42420,0,2,0,MODEL,1.0000,0.100,0.8979,0,none
6.773,-1.98113,-1.67492,0.39918,0,3,0,MODEL,1.0000,0.100,0.8994,0,none
6.825,-2.01377,-1.94698,0.27000,1,0,0,MODEL,1.0000,0.100,0.9010,0,none
6.875,-1.82963,-1.85304,0.54115,0,1,0,MODEL,1.0000,0.100,0.9025,0,none
6.926,-1.91499,-1.59194,0.97505,0,2,0,MODEL,1.0000,0.100,0.9040,0,none
6.976,-1.97880,-1.82055,0.61998,0,3,0,MODEL,1.0000,0.100,0.9055,0,none
7.026,-2.02070,-1.81077,0.34699,0,4,0,MODEL,1.0000,0.100,0.9069,0,none
7.075,-2.04044,-1.87532,0.30906,0,5,0,MODEL,1.0000,0.100,0.9084,0,none
7.127,-2.03785,-1.92960,0.28979,0,6,0,MODEL,1.0000,0.100,0.9098,0,none
7.176,-2.01281,-1.69836,0.40233,0,7,0,MODEL,1.0000,0.100,0.9111,0,none
7.224,-1.76966,-1.89358,0.22961,1,0,0,MODEL,1.0000,0.100,0.9125,0,none
7.278,-1.79798,-1.86128,0.32804,0,1,0,MODEL,1.0000,0.100,0.9138,0,none
7.326,-1.80370,-1.77352,0.28432,1,0,0,MODEL,1.0000,0.100,0.9152,0,none
7.378,-1.78673,-1.60703,0.29429,0,1,0,MODEL,1.0000,0.100,0.9165,0,none
