cte_true,mc_mean,mc_std
0.00058,-3.36900,0.40562
0.00058,-3.07811,0.45671
0.00062,-3.40351,0.52174
0.00059,-3.24505,0.38406
0.00038,-3.19164,0.35677
0.00005,-3.03907,0.40263
-0.00078,-3.00904,0.33609
-0.00184,-3.09698,0.44209
-0.00315,-3.14438,0.54531
-0.00475,-3.03221,0.39682
-0.00662,-3.19106,0.36755
-0.00880,-3.00987,0.37709
-0.01128,-3.39711,0.54434
-0.01408,-3.20716,0.47070
-0.02310,-3.39924,0.60834
-0.02117,-3.63068,0.63506
-0.02445,-3.69505,0.61015
-0.02137,-3.61351,0.55971
-0.02724,-3.75648,0.58760
-0.03364,-3.48373,0.50041
-0.04047,-3.68978,0.50660
-0.04765,-3.56515,0.47970
-0.05518,-3.36379,0.51752
-0.06303,-3.51756,0.46372
-0.07122,-3.44385,0.46040
-0.07959,-3.43440,0.50080
-0.08808,-3.55489,0.53951
-0.09672,-3.39082,0.53822
-0.10565,-3.53845,0.50687
-0.11411,-3.51862,0.61128
-0.12234,-3.71200,0.62833
-0.13028,-3.45695,0.44694
-0.13776,-3.65535,0.46930
-0.14473,-3.67296,0.52685
-0.15100,-3.52730,0.49294
-0.15637,-3.61872,0.46733
-0.16101,-3.83837,0.60112
-0.16424,-3.54357,0.58285
-0.16623,-3.59445,0.55221
-0.16693,-3.62034,0.64352
-0.16625,-3.72509,0.56961
-0.16410,-3.38050,0.57953
-0.16781,-3.36748,0.48310
-0.15761,-3.42904,0.46197
-0.14560,-3.60937,0.57324
-0.13209,-3.76521,0.52314
-0.11738,-3.53639,0.42975
-0.10169,-3.39696,0.50260
-0.08457,-3.80584,0.42217
-0.06802,-3.71593,0.49517
-0.05128,-3.57209,0.46602
-0.03487,-3.74414,0.57680
-0.01919,-3.78806,0.61168
-0.00158,-3.50223,0.58915
0.00829,-3.59536,0.53766
0.01621,-3.67683,0.48982
0.02192,-3.35091,0.46915
0.02521,-2.93002,0.34633
0.02816,-3.08130,0.41524
0.02070,-3.23228,0.45735
0.01029,-3.16590,0.42627
-0.00269,-3.08205,0.50530
-0.01769,-3.24897,0.41789
-0.03564,-3.55843,0.50972
-0.05507,-3.75718,0.60604
-0.07537,-3.71650,0.57144
-0.10201,-3.57086,0.43456
-0.11569,-4.24003,0.69351
-0.12832,-3.79000,0.62893
-0.13930,-3.47887,0.50128
-0.16150,-3.94691,0.60641
-0.15164,-3.54234,0.49370
-0.13839,-3.62990,0.55021
-0.12248,-4.06075,0.68580
-0.11869,-4.27594,0.69631
-0.07728,-4.33033,0.68737
-0.03423,-3.78329,0.51078
0.00813,-3.86415,0.53835
0.03696,-3.89540,0.71014
0.10375,-4.33971,0.64437
0.16546,-4.97808,0.68572
0.21822,-4.50750,0.82742
0.26006,-4.57104,0.74701
0.31670,-4.70559,0.81504
0.35783,-4.99031,0.78453
0.36454,-4.92681,0.90504
0.39798,-4.90558,0.92968
0.41083,-4.54754,0.73714
0.40112,-4.61825,0.75085
0.37051,-4.09824,0.67160
0.35238,-3.77406,0.55676
0.31298,-3.82929,0.59836
0.23818,-4.15517,0.64091
0.20728,-3.83577,0.62150
0.16152,-3.67295,0.57492
0.07540,-3.79267,0.60457
0.04802,-3.58761,0.49052
0.01284,-3.55468,0.57669
-0.02844,-4.13689,0.66930
-0.06464,-3.94548,0.67547
-0.06059,-4.11244,0.81290
-0.05756,-4.16846,0.60828
-0.05194,-4.40641,0.77951
0.00794,-4.29289,0.74015
0.06656,-4.66439,0.89979
0.11814,-4.66251,0.64575
0.21275,-4.70991,0.81464
0.29646,-5.41389,0.99985
0.35777,-5.71447,1.31106
0.45341,-5.31279,0.78449
0.52119,-5.56229,0.92791
0.54743,-5.00118,0.98777
0.59918,-4.78812,0.73154
0.61159,-4.12471,0.78622
0.57260,-5.19274,0.73980
0.54588,-4.34471,0.76120
0.47912,-3.92712,0.61871
0.36611,-3.39697,0.67682
0.27131,-3.39773,0.56487
0.14885,-3.83488,0.40228
-0.00360,-3.49755,0.45110
-0.12456,-3.13600,0.69254
-0.25087,-3.47489,0.54377
-0.38106,-3.15446,0.57835
-0.44661,-3.34984,0.54526
-0.49371,-3.42013,0.46488
-0.51100,-3.60316,0.59126
-0.44845,-4.08408,0.64151
-0.35756,-4.34997,0.82459
-0.22346,-4.89651,0.87090
-0.02903,-5.55154,0.91431
0.17730,-5.48705,1.26099
0.40618,-5.10521,0.98050
0.65575,-6.12155,1.27250
0.87655,-4.84205,0.93065
1.07822,-4.57571,1.03664
1.25629,-4.11061,1.03472
1.35494,-4.31272,0.84546
1.39796,-4.27464,0.83717
1.40400,-4.40608,0.63799
1.32654,-4.91548,0.89624
1.19135,-4.86366,0.85127
1.02828,-4.14791,0.64666
0.78904,-3.15957,0.45641
0.49431,-2.51772,0.94397
0.20574,-0.53084,0.78265
-0.11453,-0.49722,0.31723
-0.45925,0.52595,0.76563
-0.72575,-0.06516,0.70209
-0.96945,0.64661,1.25737
-1.17191,-2.39141,0.80497
-1.24350,-2.76123,0.64442
-1.24269,-2.96589,0.50645
-1.14430,-4.03692,0.60505
-0.93044,-4.25415,0.66397
-0.65341,-4.45004,0.81541
-0.30848,-5.48038,1.09005
0.10359,-5.39921,1.29597
0.53166,-4.01617,0.88170
0.94666,-3.08508,0.75384
1.39716,-2.71092,0.73580
1.79522,-2.88098,0.94435
2.12872,-2.28120,0.65281
2.38981,-2.08136,0.60165
2.61872,-2.06065,0.50467
2.76149,-2.09648,0.64981
2.82192,-2.59424,0.66125
2.86226,-2.76835,0.69045
2.82476,-3.18265,0.68721
2.68518,-2.75379,0.63847
2.55326,-3.25327,0.69551
2.34806,-4.57796,0.84249
2.06508,-4.17180,0.69889
1.71633,-3.22339,0.52962
1.35580,-0.41581,1.26449
0.93700,0.87602,0.56052
0.41865,0.33352,0.20550
-0.04779,-0.11416,0.32803
-0.52846,-0.10876,0.65501
-1.00807,1.56932,0.89118
-1.46459,3.03973,0.67663
-1.87802,3.43726,0.72837
-2.17350,3.14763,0.55872
-2.40108,2.87815,0.50144
-2.55977,1.38670,1.64844
-2.59106,1.15216,1.89363
-2.54933,-1.82371,0.96432
-2.42402,-2.79776,0.58239
-2.18896,-2.21402,0.58587
-1.88889,-4.60400,0.74615
-1.52400,-3.97893,0.73377
-1.06170,-4.84387,0.83304
-0.55631,-5.96924,1.06001
-0.02009,-3.03362,0.76823
0.51489,-3.03756,0.83210
1.06930,-2.16696,0.69051
1.59567,-0.59096,0.40077
2.08398,-0.48850,0.28709
2.51037,-0.29834,0.17594
2.88789,-0.32824,0.23441
3.17047,-0.42018,0.23395
3.38635,-0.59201,0.22319
3.53817,-0.68891,0.23092
3.60030,-0.65044,0.23455
3.58661,-0.85624,0.30812
3.51874,-1.47883,0.41364
3.35675,-1.91345,0.42666
3.12419,-2.03027,0.45490
2.83591,-3.19744,0.54592
2.46216,-2.56784,0.36606
2.03690,1.76487,0.26080
1.55758,0.86477,0.30321
1.05127,1.09613,0.29015
0.49468,0.56368,0.27674
-0.08481,-0.37492,0.16560
-0.67756,-1.46734,0.31993
-1.27107,3.11285,0.84496
-1.84034,5.05672,0.95540
-2.36274,4.36769,1.08924
-2.85602,4.29955,0.53157
-3.30299,5.93328,0.91775
-3.69840,5.20559,1.01267
-4.03782,5.06932,1.13238
-4.31438,5.14252,0.79902
-4.54325,4.60627,0.75544
-4.70765,4.42981,0.69494
-4.80593,4.02697,0.73385
-4.84161,4.65310,0.87539
-4.81987,4.00177,0.75108
-4.73146,3.80977,0.98049
-4.57500,3.45990,1.53686
-4.37809,3.00805,1.36062
-4.11938,-0.27362,2.70761
-3.78446,-3.31447,1.05292
-3.42946,-2.70786,0.73354
-3.02232,-1.79830,0.44077
-2.56769,-4.34693,0.85572
-2.07075,-3.35572,0.67804
-1.52097,-3.00587,0.58873
-0.96590,-5.60827,1.39768
-0.38467,-2.92056,0.66860
