replicate,p
0,0.9939476367
1,0.993768512
2,0.9963236448
3,0.9943550394
4,0.9813034513
5,0.9949830305
6,0.9986960373
7,0.995416446
8,0.9973323293
9,0.9991723167
10,0.996020392
11,0.987376046
12,0.990731047
13,0.9844868407
14,0.9948837265
15,0.9962935573
16,0.9985942689
17,0.981097779
18,0.9965457999
19,0.9962451984
20,0.9943516361
21,0.9972731153
22,0.99624834
23,0.9974590349
24,0.994695362
25,0.9956314605
26,0.9977629809
27,0.9979073293
28,0.9965837465
29,0.9990234656
30,0.9953080173
31,0.9966722025
32,0.9955570302
33,0.9974551465
34,0.9972459448
35,0.9977785429
36,0.99349228
37,0.9909087914
38,0.9966847464
39,0.9986801913
40,0.9962866987
41,0.9894453478
42,0.9961051865
43,0.9966264875
44,0.9966637814
45,0.9961838871
46,0.9983796862
47,0.9965504097
48,0.9964248499
49,0.9989293458
50,0.9970915206
51,0.9938311955
52,0.9908510047
53,0.9922868012
54,0.9990620472
55,0.9975065269
56,0.9940765905
57,0.9901325891
58,0.9974105126
59,0.9977946592
60,0.9982160846
61,0.994066987
62,0.9989007108
63,0.9977917269
64,0.9979639643
65,0.9964166348
66,0.9959716437
67,0.9975222318
68,0.9919090098
69,0.9987047862
70,0.9960730165
71,0.9935965624
72,0.9972438509
73,0.9946356369
74,0.9978035956
75,0.9976349567
76,0.998987888
77,0.9972436527
78,0.9989606676
79,0.991365515
80,0.9977647651
81,0.9984722515
82,0.9963503436
83,0.9924558495
84,0.9933689938
85,0.9908359077
86,0.9964295172
87,0.9931022243
88,0.9942368585
89,0.9945651385
90,0.9923394873
91,0.9959441874
92,0.998137229
93,0.9959582937
94,0.9980175882
95,0.9974618722
96,0.9956480403
97,0.9946804077
98,0.996626176
99,0.9977991487
100,0.9970732974
101,0.9983412673
102,0.9985524042
103,0.9966166817
104,0.99610862
105,0.995477071
106,0.9943644613
107,0.9946003055
108,0.9906788018
109,0.9978037317
110,0.9940785485
111,0.9888079965
112,0.9983093327
113,0.9983267173
114,0.9976017424
115,0.9909902979
116,0.9877651589
117,0.9955097689
118,0.9904835423
119,0.9942316474
120,0.9960037268
121,0.9953118096
122,0.9912708377
123,0.9988243853
124,0.9981313192
125,0.9950465385
126,0.9971460382
127,0.9974388977
128,0.9967855789
129,0.997403944
130,0.99826524
131,0.9950284057
132,0.9857068112
133,0.9948615804
134,0.9986397205
135,0.994955624
136,0.9885186091
137,0.9980238879
138,0.9961033965
139,0.9945331515
140,0.9931559164
141,0.9968509655
142,0.997550896
143,0.9982195464
144,0.9940111519
145,0.9951131518
146,0.9991506728
147,0.9912624539
148,0.9910425293
149,0.9979513936
150,0.9935591674
151,0.9713890215
152,0.9950795416
153,0.9938020056
154,0.9959353423
155,0.9955879184
156,0.9938191429
157,0.9967209679
158,0.9963285242
159,0.9977028003
160,0.9968107099
161,0.9906604193
162,0.9907809269
163,0.9964626338
164,0.9952287961
165,0.9951068644
166,0.9980556287
167,0.9974554644
168,0.9901608538
169,0.9979695666
170,0.9942377909
171,0.9979558638
172,0.9914998849
173,0.9968066245
174,0.9993455996
175,0.9979662145
176,0.9966137518
177,0.9959341073
178,0.9882091645
179,0.9990827435
180,0.9961240322
181,0.9982810191
182,0.9994597955
183,0.9941908831
184,0.9990056461
185,0.9909406195
186,0.9985662049
187,0.9984245837
188,0.9987990929
189,0.9992316746
190,0.9943779548
191,0.9967444444
192,0.9991328977
193,0.9879507519
194,0.997858916
195,0.9957829367
196,0.9979314743
197,0.9979322395
198,0.9948340933
199,0.9964639244
