replicate,p
0,0.9999996331
1,0.9999996949
2,0.9999997219
3,0.9999996177
4,0.9999997153
5,0.9999995761
6,0.9999997399
7,0.9999997256
8,0.9999994944
9,0.9999996784
10,0.9999996605
11,0.9999997953
12,0.9999995906
13,0.9999994774
14,0.999999584
15,0.9999993852
16,0.9999994663
17,0.99999948
18,0.9999994875
19,0.9999996474
20,0.9999997904
21,0.9999995317
22,0.9999996696
23,0.9999995368
24,0.9999996771
25,0.9999993227
26,0.9999995562
27,0.9999997352
28,0.9999998011
29,0.9999995569
30,0.9999995951
31,0.9999994684
32,0.9999996385
33,0.9999996779
34,0.9999997432
35,0.9999995707
36,0.999999671
37,0.9999996981
38,0.999999496
39,0.9999994749
40,0.9999993514
41,0.9999995912
42,0.9999997341
43,0.9999997202
44,0.9999996994
45,0.9999996867
46,0.9999996399
47,0.999999775
48,0.9999996616
49,0.9999996451
50,0.999999491
51,0.9999996773
52,0.9999994437
53,0.9999996264
54,0.999999535
55,0.9999997357
56,0.9999996766
57,0.9999995455
58,0.9999995134
59,0.9999997894
60,0.999999707
61,0.9999997113
62,0.9999995154
63,0.9999996005
64,0.9999996118
65,0.999999638
66,0.9999997951
67,0.9999997053
68,0.9999995406
69,0.9999995357
70,0.9999997097
71,0.9999996199
72,0.9999995764
73,0.9999997016
74,0.9999997129
75,0.9999995564
76,0.9999996522
77,0.9999997972
78,0.9999996781
79,0.9999994255
80,0.9999995894
81,0.9999994546
82,0.9999995922
83,0.9999997093
84,0.9999996446
85,0.9999995916
86,0.9999996004
87,0.9999994327
88,0.9999995031
89,0.999999693
90,0.9999994298
91,0.9999994716
92,0.9999994167
93,0.9999996898
94,0.9999994956
95,0.9999997034
96,0.9999996173
97,0.999999673
98,0.9999994414
99,0.9999994725
100,0.9999996775
101,0.9999995956
102,0.9999995301
103,0.9999996162
104,0.9999996327
105,0.9999992284
106,0.9999997075
107,0.9999998087
108,0.9999996819
109,0.999999625
110,0.9999997383
111,0.9999997305
112,0.999999517
113,0.9999994901
114,0.9999995296
115,0.9999994689
116,0.9999995658
117,0.9999995563
118,0.9999995946
119,0.9999995871
120,0.9999996805
121,0.9999996043
122,0.9999997406
123,0.9999997616
124,0.9999995726
125,0.9999997031
126,0.9999995878
127,0.9999995268
128,0.9999995939
129,0.9999994437
130,0.9999996424
131,0.9999992448
132,0.999999603
133,0.9999995998
134,0.9999996884
135,0.9999995788
136,0.999999418
137,0.9999995514
138,0.999999317
139,0.9999994174
140,0.9999996752
141,0.9999997919
142,0.9999996934
143,0.999999641
144,0.9999997833
145,0.9999996816
146,0.999999359
147,0.9999997804
148,0.9999995655
149,0.9999993989
150,0.9999995403
151,0.9999994495
152,0.9999994259
153,0.9999997222
154,0.9999995674
155,0.9999995552
156,0.9999996323
157,0.9999996595
158,0.999999711
159,0.9999997123
160,0.9999998015
161,0.9999995629
162,0.9999997447
163,0.9999994043
164,0.9999996025
165,0.9999996186
166,0.9999996132
167,0.999999768
168,0.9999994784
169,0.9999993359
170,0.999999657
171,0.9999993216
172,0.9999997905
173,0.9999994799
174,0.9999995462
175,0.9999996192
176,0.9999997832
177,0.9999994623
178,0.999999631
179,0.9999997792
180,0.9999996434
181,0.9999994702
182,0.9999995538
183,0.9999993735
184,0.9999995865
185,0.9999997022
186,0.9999994404
187,0.9999995705
188,0.9999996551
189,0.9999995617
190,0.9999994148
191,0.9999997101
192,0.9999996486
193,0.9999995516
194,0.999999609
195,0.9999995983
196,0.9999994755
197,0.9999997354
198,0.9999997059
199,0.9999995864
