time_s,frame,cte_true,cte_pred,mc_std,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,1.93833,0.92032,0.65317,0,0,0,MODEL,-1.0000,0.100,0.0000,0,none
0.088,1,1.93832,0.60787,0.45144,0,0,0,MODEL,-0.8625,0.100,0.0000,0,none
0.154,2,1.93827,0.94631,0.63676,0,0,0,MODEL,-1.0000,0.100,0.0101,0,none
0.208,3,1.93751,0.74810,0.58614,0,0,0,MODEL,-0.9957,0.100,0.0136,0,none
0.223,4,1.93650,1.13483,0.53734,0,0,0,MODEL,-1.0000,0.100,0.0248,0,none
0.275,5,1.93480,1.07904,0.49773,0,0,0,MODEL,-1.0000,0.100,0.0434,0,none
0.327,6,1.93258,1.27821,0.55247,0,0,0,MODEL,-1.0000,0.100,0.0510,0,none
0.374,7,1.92925,1.04304,0.65060,0,0,0,MODEL,-1.0000,0.100,0.0674,0,none
0.425,8,1.92509,1.20649,0.43687,0,0,0,MODEL,-1.0000,0.100,0.0749,0,none
0.475,9,1.91982,0.75552,0.76429,0,0,0,MODEL,-1.0000,0.100,0.0852,0,none
0.526,10,1.91360,0.77366,0.75678,0,0,0,MODEL,-1.0000,0.100,0.1000,0,none
0.574,11,1.90638,1.03035,0.65597,0,0,0,MODEL,-1.0000,0.100,0.1095,0,none
0.625,12,1.89800,1.39189,0.75409,0,0,0,MODEL,-1.0000,0.100,0.1213,0,none
0.676,13,1.88841,0.65558,0.75322,0,0,0,MODEL,-0.9078,0.100,0.1324,0,none
0.726,14,1.88213,0.19518,0.62678,0,0,0,MODEL,-0.4704,0.100,0.1435,0,none
0.775,15,1.87061,-0.16472,0.57518,0,0,0,MODEL,-0.1285,0.100,0.1548,0,none
0.825,16,1.86135,-0.77077,0.76262,0,0,0,MODEL,0.4472,0.100,0.1661,0,none
0.875,17,1.85466,-0.64513,0.69236,0,0,0,MODEL,0.3279,0.100,0.1763,0,none
0.928,18,1.85243,-0.55521,0.70965,0,0,0,MODEL,0.2425,0.100,0.1873,0,none
