cte_true,mc_mean,mc_std
1.93833,0.98175,0.72702
1.93832,0.83670,0.57786
1.93832,0.70362,0.60695
1.93767,1.22342,0.48660
1.93668,1.25272,0.50759
1.93508,1.28875,0.56295
1.93278,1.32780,0.48025
1.92970,0.87114,0.67934
1.92575,1.17340,0.57674
1.92048,0.19963,0.83420
1.91466,0.80696,0.68916
1.90773,1.19012,0.63351
1.89970,0.51476,1.00972
1.89043,1.03132,1.07874
1.88449,0.47551,0.73910
1.87218,0.31414,0.52559
1.85833,-0.65712,0.53876
1.84281,-0.54488,0.87036
1.82551,-0.71008,0.90578
1.80628,-1.75426,0.78889
1.78499,-0.81657,0.69048
1.76150,-0.73515,0.83736
1.73567,-0.39473,0.82091
1.70733,-1.16543,1.09421
1.67635,-0.87606,1.04726
1.64257,-0.60848,1.44239
1.60582,-1.22216,1.13213
1.56595,-1.80929,0.65079
1.52279,-1.56927,0.57502
1.47619,-2.63653,0.63695
1.42599,-2.13766,0.40889
1.37202,-2.02147,0.46033
1.31414,-2.46945,0.55375
1.25218,-1.27593,0.38001
1.18600,-1.99364,0.58461
1.12159,-2.29097,0.33140
1.04547,-1.85691,0.42117
0.96468,-1.58130,0.30470
0.87909,-2.32331,0.37179
0.78858,-2.37968,0.59328
0.69302,-1.53813,0.36816
0.59250,-0.88237,1.17607
0.48828,-1.67404,0.64663
0.37999,-1.65320,0.75679
0.26822,-1.99883,0.49746
0.15365,0.96611,1.22150
0.03644,1.67069,1.03158
-0.08335,-0.38922,1.70746
-0.20547,-2.68978,0.37354
-0.32901,-2.84794,0.55703
-0.45056,-3.11019,0.56117
-0.57473,-3.16383,0.52067
-0.69831,-3.28765,0.50733
-0.81992,-3.58069,0.43150
-0.93890,-3.75135,0.64660
-1.05487,-3.63253,0.65711
-1.16661,-3.70684,0.63424
-1.27246,-3.89951,0.76419
-1.37162,-3.93664,0.65359
-1.46376,-3.61872,0.62639
-1.54850,-3.70410,0.53114
-1.62252,-3.61075,0.54923
-1.69569,-3.62041,0.48666
-1.76178,-3.84265,0.43983
-1.82044,-4.07046,0.68139
-1.87130,-3.65088,0.58023
-1.91400,-4.07084,0.63002
-1.94821,-4.09577,0.84507
-1.97360,-4.19584,0.92374
-1.98672,-4.25042,0.67388
-1.99480,-4.37358,0.64715
-1.99319,-4.86809,0.95109
-1.98158,-4.26080,0.79699
-1.95974,-4.12923,0.81837
-1.92744,-4.48797,0.63198
-1.88447,-4.14562,0.55215
-1.83051,-4.19747,0.66300
-1.76358,-3.84987,0.58860
-1.68844,-4.03699,0.66367
-1.60210,-4.09973,1.30355
-1.50442,-4.38688,1.79035
-1.39531,-4.50878,1.47019
-1.27484,-5.16800,1.09133
-1.14301,-4.22788,0.67849
-0.99831,-3.96434,0.84026
-0.85468,-4.22532,0.87452
-0.70544,-3.77602,0.65352
-0.55131,-2.87128,0.48380
-0.39800,-1.90914,1.04973
-0.24224,-1.66300,1.22728
-0.08861,-1.70578,1.07535
0.06170,-0.87253,1.51130
0.20679,0.96207,1.02960
0.34262,0.12960,1.26007
0.46962,-0.86056,1.08373
0.58551,-0.10863,1.41702
0.68599,-1.23586,1.37797
0.77254,-0.88409,0.97724
0.84354,1.11407,1.18542
0.90307,1.05051,1.40370
0.94226,1.66824,1.22631
0.96708,2.07771,0.93361
0.97657,2.13146,0.58986
0.97095,1.58707,1.10369
0.94967,0.88965,1.19290
0.91500,-2.33600,1.14860
0.86033,-2.46224,0.64656
0.78963,-2.49994,0.63205
0.70287,-2.91112,0.61545
0.60115,-2.41649,0.67233
0.48616,-2.15783,0.42297
0.36252,-2.08068,0.49753
0.22785,-1.63397,1.04187
0.08684,-2.14455,0.25968
-0.05947,-2.25118,0.56424
-0.20831,-2.37939,0.53271
-0.35622,-2.86474,0.39335
-0.49676,-2.91444,0.55989
-0.63974,-3.33184,0.57527
-0.77643,-3.35363,0.51715
-0.90360,-3.32721,0.70637
-1.01763,-3.63071,0.56364
-1.11705,-3.89961,0.54826
-1.19911,-3.80924,0.60375
-1.26839,-3.97328,0.72031
-1.31767,-3.91857,0.70071
-1.34767,-3.92624,0.64121
-1.35751,-3.99469,0.60939
-1.34703,-3.68800,0.66468
-1.31538,-3.89710,0.88283
-1.26859,-3.26686,0.73117
-1.20359,-2.80282,1.18824
