replicate,p
0,0.0001032672504
1,1.103674389e-05
2,7.335233335e-05
3,3.08768224e-05
4,0.0001356556744
5,3.794892689e-05
6,1.49485944e-05
7,0.0002300199407
8,2.490641673e-05
9,6.845163814e-05
10,5.609449411e-05
11,4.028826024e-05
12,7.950808019e-05
13,1.424724622e-05
14,9.845893481e-05
15,6.466908706e-06
16,7.770424605e-05
17,8.107149356e-05
18,3.017909441e-05
19,6.523845911e-05
20,0.0003076821403
21,4.09201051e-05
22,6.857319972e-05
23,3.903405445e-05
24,5.02711154e-05
25,3.55539178e-05
26,1.519620672e-05
27,8.798431057e-05
28,0.0001774094317
29,4.554568352e-06
30,3.032100092e-05
31,8.477986415e-06
32,5.313260138e-05
33,0.0002316198247
34,1.027763772e-05
35,6.216719855e-06
36,0.0001538919436
37,7.319850761e-05
38,1.132571106e-05
39,0.000398665311
40,5.066399891e-06
41,1.245040872e-05
42,4.979167555e-05
43,0.0001476550595
44,1.678829569e-05
45,7.227109228e-05
46,0.0001062189092
47,2.024727237e-05
48,3.986650407e-05
49,4.937661508e-05
50,0.0001189181954
51,0.0001968262185
52,0.0002071864728
53,3.008129158e-05
54,0.0001629264418
55,0.0004729358295
56,8.856897662e-05
57,7.498417816e-06
58,2.385695425e-05
59,0.0001066126406
60,1.108840848e-05
61,1.425136566e-05
62,3.514707028e-05
63,3.975299582e-05
64,2.934129535e-05
65,4.408341958e-05
66,9.208490359e-05
67,0.0001136372922
68,0.0002334377596
69,2.95924305e-05
70,1.58222092e-05
71,7.474608536e-05
72,6.2462184e-05
73,3.096070415e-05
74,0.0001721029021
75,5.109912571e-06
76,4.531494418e-05
77,0.0001006290307
78,0.0001964294254
79,9.512565449e-05
80,1.301674907e-05
81,8.374096845e-06
82,0.0001410341239
83,3.231150543e-05
84,5.533760946e-05
85,5.713785763e-05
86,0.0001143487203
87,0.000106807896
88,1.961518783e-05
89,9.714843596e-05
90,1.457655532e-05
91,3.434864268e-05
92,7.558343136e-05
93,4.257674987e-05
94,6.709381323e-05
95,2.752324841e-05
96,4.879882287e-05
97,0.0001189909751
98,6.352864665e-05
99,0.0001145885812
100,5.923402739e-05
101,1.993787547e-05
102,0.0001465700918
103,1.104078013e-05
104,0.0003658782336
105,1.684887003e-05
106,5.035385903e-05
107,3.42438116e-06
108,5.405461803e-05
109,5.76348105e-05
110,0.000170755953
111,1.663415859e-05
112,5.032293178e-05
113,2.646264668e-05
114,0.0001704422481
115,5.530292837e-05
116,0.0001383374556
117,4.200324821e-05
118,2.90847923e-05
119,0.0001371064888
120,0.0001737169785
121,7.358357145e-05
122,1.50813183e-05
123,0.0003069133348
124,4.088327093e-05
125,4.904769101e-05
126,1.00736472e-05
127,7.501629673e-05
128,9.403617905e-06
129,8.860220573e-05
130,0.0001259311172
131,3.875470301e-05
132,0.0001514964563
133,0.000156117614
134,6.825040668e-05
135,4.478537754e-05
136,5.776432475e-05
137,5.173890867e-06
138,2.792244953e-05
139,0.0003135643446
140,0.0001653598951
141,3.040368297e-05
142,2.598254545e-05
143,0.000218477145
144,1.056432918e-05
145,0.0001770731326
146,0.0001801297124
147,3.053902735e-05
148,0.000466167812
149,5.643816412e-05
150,9.945454563e-05
151,0.0001160544285
152,7.048931324e-05
153,1.926515058e-05
154,1.967392708e-05
155,0.0001186788002
156,6.896220807e-05
157,9.276216276e-05
158,0.0004129576428
159,8.749475616e-06
160,5.135178806e-05
161,8.704546682e-05
162,0.000102214161
163,6.553063445e-05
164,0.0001469257319
165,1.127249378e-05
166,3.530776e-06
167,4.926420966e-05
168,0.0001446790191
169,1.424619099e-05
170,6.550129649e-05
171,2.581025327e-05
172,2.248868375e-05
173,6.021404574e-05
174,0.0003385707979
175,1.24831845e-05
176,0.0001078771112
177,0.0001601709618
178,4.424754696e-05
179,0.0001339358671
180,0.0001523654189
181,0.0001376257289
182,0.0001329102766
183,8.256990947e-05
184,0.0001707776564
185,7.272052115e-05
186,7.831557305e-05
187,1.905028699e-05
188,8.785221742e-05
189,7.486472123e-05
190,5.373741752e-05
191,9.774344503e-05
192,4.521768648e-05
193,2.116120153e-05
194,0.0002195531361
195,2.67705705e-05
196,0.0001323007249
197,8.495632004e-05
198,0.0002344247807
199,3.864647669e-05
