replicate,p
0,9.655594485e-09
1,9.655637167e-09
2,9.655524137e-09
3,9.655667121e-09
4,9.655616538e-09
5,9.655640415e-09
6,9.655677264e-09
7,9.65570257e-09
8,9.655692543e-09
9,9.655631064e-09
10,9.655660315e-09
11,9.65562648e-09
12,9.655678265e-09
13,9.655634865e-09
14,9.655521377e-09
15,9.655549337e-09
16,9.655684849e-09
17,9.655553316e-09
18,9.655585752e-09
19,9.655683974e-09
20,9.655701148e-09
21,9.655672788e-09
22,9.655604239e-09
23,9.655640797e-09
24,9.653790835e-09
25,9.655429343e-09
26,9.655685032e-09
27,9.655634689e-09
28,9.655546076e-09
29,9.655638885e-09
30,9.654985077e-09
31,9.655664116e-09
32,9.655658831e-09
33,9.655554808e-09
34,9.655620167e-09
35,9.65538462e-09
36,9.655665284e-09
37,9.655697217e-09
38,9.655702144e-09
39,9.655613389e-09
40,9.655642766e-09
41,9.655374459e-09
42,9.65562576e-09
43,9.655403921e-09
44,9.655499847e-09
45,9.655583674e-09
46,9.655645972e-09
47,9.655664542e-09
48,9.655272836e-09
49,9.6555541e-09
50,9.65505819e-09
51,9.654814676e-09
52,9.655709336e-09
53,9.655688366e-09
54,9.655650814e-09
55,9.655653895e-09
56,9.655582726e-09
57,9.655699924e-09
58,9.655269903e-09
59,9.655686406e-09
60,9.655646978e-09
61,9.655651349e-09
62,9.655703727e-09
63,9.655442712e-09
64,9.655685927e-09
65,9.65559591e-09
66,9.655668041e-09
67,9.65563509e-09
68,9.655161207e-09
69,9.655651303e-09
70,9.655598173e-09
71,9.65565319e-09
72,9.655688501e-09
73,9.655700864e-09
74,9.655542139e-09
75,9.655424023e-09
76,9.655634284e-09
77,9.655709469e-09
78,9.655563536e-09
79,9.654787875e-09
80,9.655670207e-09
81,9.655671909e-09
82,9.655238206e-09
83,9.655639511e-09
84,9.655595875e-09
85,9.655707607e-09
86,9.655708068e-09
87,9.655532648e-09
88,9.655336537e-09
89,9.655385917e-09
90,9.655043041e-09
91,9.655577e-09
92,9.655665015e-09
93,9.655615443e-09
94,9.655684406e-09
95,9.65568625e-09
96,9.655696185e-09
97,9.655635041e-09
98,9.655573486e-09
99,9.655638943e-09
100,9.655624815e-09
101,9.655532019e-09
102,9.655440298e-09
103,9.655682669e-09
104,9.655703861e-09
105,9.655686504e-09
106,9.655179565e-09
107,9.655700446e-09
108,9.655687927e-09
109,9.655659536e-09
110,9.654990932e-09
111,9.655706904e-09
112,9.655575473e-09
113,9.65569906e-09
114,9.65567534e-09
115,9.655708141e-09
116,9.655627368e-09
117,9.655666623e-09
118,9.655368763e-09
119,9.655479713e-09
120,9.655684725e-09
121,9.655613976e-09
122,9.655649267e-09
123,9.655616991e-09
124,9.655684266e-09
125,9.655684491e-09
126,9.655653089e-09
127,9.655651362e-09
128,9.655706289e-09
129,9.655613101e-09
130,9.655548251e-09
131,9.655614168e-09
132,9.655623355e-09
133,9.655480714e-09
134,9.655620209e-09
135,9.655592587e-09
136,9.655676794e-09
137,9.655695463e-09
138,9.655671024e-09
139,9.655700378e-09
140,9.655165354e-09
141,9.655476305e-09
142,9.655650252e-09
143,9.655239748e-09
144,9.655682119e-09
145,9.655615314e-09
146,9.655665835e-09
147,9.655101276e-09
148,9.655438533e-09
149,9.6555633e-09
150,9.655658594e-09
151,9.655700496e-09
152,9.655702794e-09
153,9.655652437e-09
154,9.655660906e-09
155,9.655572251e-09
156,9.655384953e-09
157,9.655674413e-09
158,9.655648085e-09
159,9.655702947e-09
160,9.655704791e-09
161,9.655609811e-09
162,9.655634916e-09
163,9.65564749e-09
164,9.654747444e-09
165,9.655629484e-09
166,9.655554546e-09
167,9.655686341e-09
168,9.655267447e-09
169,9.6556736e-09
170,9.655565524e-09
171,9.655698677e-09
172,9.655669108e-09
173,9.65563888e-09
174,9.655518311e-09
175,9.655667722e-09
176,9.655708391e-09
177,9.655667067e-09
178,9.655489989e-09
179,9.655644499e-09
180,9.655694563e-09
181,9.655605358e-09
182,9.655701972e-09
183,9.655382438e-09
184,9.655687104e-09
185,9.655366925e-09
186,9.655633707e-09
187,9.655509058e-09
188,9.65565918e-09
189,9.655432072e-09
190,9.655675914e-09
191,9.655559725e-09
192,9.655514963e-09
193,9.655567699e-09
194,9.655538514e-09
195,9.655681028e-09
196,9.65562741e-09
197,9.655344731e-09
198,9.655697323e-09
199,9.655130964e-09
