time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00285,0.04226,0.11311,1,0,0,MODEL,-0.3252,0.100,0.0000,0,none
0.032,1,0.00285,0.04305,0.11239,1,0,0,MODEL,-0.3259,0.100,0.0000,0,none
0.084,2,0.00272,0.04347,0.10314,1,0,0,MODEL,-0.3263,0.100,0.0076,0,none
0.135,3,0.00256,0.02952,0.09945,1,0,0,MODEL,-0.3130,0.100,0.0240,0,none
0.183,4,0.00250,0.05035,0.08933,1,0,0,MODEL,-0.3328,0.100,0.0401,0,none
0.236,5,0.00189,0.09994,0.14834,1,0,0,MODEL,-0.3799,0.100,0.0469,0,none
0.284,6,0.00093,-0.06183,0.12680,1,0,0,MODEL,-0.2263,0.100,0.0634,0,none
0.333,7,-0.00034,0.02852,0.05958,1,0,0,MODEL,-0.3121,0.100,0.0773,0,none
0.388,8,-0.00147,0.17185,0.25810,0,1,0,MODEL,-0.3121,0.100,0.0870,0,none
0.434,9,-0.00340,0.01372,0.09169,1,0,0,MODEL,-0.2980,0.100,0.0991,0,none
0.485,10,-0.00572,-0.01440,0.10831,1,0,0,MODEL,-0.2713,0.100,0.1112,0,none
0.533,11,-0.00834,-0.02919,0.07452,1,0,0,MODEL,-0.2573,0.100,0.1230,0,none
0.584,12,-0.01120,-0.12720,0.11762,1,0,0,MODEL,-0.1642,0.100,0.1346,0,none
0.634,13,-0.01406,0.03135,0.05313,1,0,0,MODEL,-0.3148,0.100,0.1462,0,none
0.686,14,-0.00942,0.00034,0.04825,1,0,0,MODEL,-0.2853,0.100,0.1624,0,none
0.737,15,-0.02420,0.02363,0.05943,1,0,0,MODEL,-0.3075,0.100,0.1695,0,none
0.787,16,-0.02756,-0.03339,0.05019,1,0,0,MODEL,-0.2533,0.100,0.1798,0,none
0.836,17,-0.03272,0.03359,0.03621,1,0,0,MODEL,-0.3169,0.100,0.1912,0,none
0.885,18,-0.03855,-0.01273,0.04998,1,0,0,MODEL,-0.2729,0.100,0.2019,0,none
0.937,19,-0.04559,-0.02596,0.06488,1,0,0,MODEL,-0.2603,0.100,0.2127,0,none
0.986,20,-0.05304,-0.09461,0.06496,1,0,0,MODEL,-0.1951,0.100,0.2235,0,none
1.038,21,-0.06093,-0.08423,0.07266,1,0,0,MODEL,-0.2050,0.100,0.2341,0,none
1.087,22,-0.06888,-0.02384,0.06685,1,0,0,MODEL,-0.2624,0.100,0.2447,0,none
1.138,23,-0.07790,-0.02794,0.07881,1,0,0,MODEL,-0.2585,0.100,0.2550,0,none
1.188,24,-0.09021,-0.02268,0.07080,1,0,0,MODEL,-0.2635,0.100,0.2652,0,none
1.238,25,-0.10170,-0.07857,0.05878,1,0,0,MODEL,-0.2104,0.100,0.2747,0,none
1.288,26,-0.11095,-0.10061,0.06466,1,0,0,MODEL,-0.1894,0.100,0.2859,0,none
1.340,27,-0.12333,-0.06753,0.06069,1,0,0,MODEL,-0.2208,0.100,0.2956,0,none
1.388,28,-0.13649,-0.08630,0.06607,1,0,0,MODEL,-0.2030,0.100,0.3054,0,none
1.439,29,-0.15079,-0.09241,0.07527,1,0,0,MODEL,-0.1972,0.100,0.3152,0,none
1.490,30,-0.16284,-0.09773,0.11583,1,0,0,MODEL,-0.1922,0.100,0.3240,0,none
1.538,31,-0.17856,-0.16822,0.11208,1,0,0,MODEL,-0.1252,0.100,0.3331,0,none
1.587,32,-0.19894,-0.29248,0.10586,1,0,0,MODEL,-0.0071,0.100,0.3444,0,none
1.638,33,-0.21428,-0.21576,0.10334,1,0,0,MODEL,-0.0800,0.100,0.3532,0,none
1.694,34,-0.22990,-0.22016,0.10230,1,0,0,MODEL,-0.0758,0.100,0.3625,0,none
1.725,35,-0.24698,-0.20339,0.07982,1,0,0,MODEL,-0.0918,0.100,0.3717,0,none
1.772,36,-0.26700,-0.21155,0.08332,1,0,0,MODEL,-0.0840,0.100,0.3850,0,none
1.823,37,-0.29018,-0.26233,0.07490,1,0,0,MODEL,-0.0358,0.100,0.3897,0,none
1.875,38,-0.30316,-0.26034,0.09630,1,0,0,MODEL,-0.0377,0.100,0.3989,0,none
1.925,39,-0.32206,-0.24147,0.09393,1,0,0,MODEL,-0.0556,0.100,0.4078,0,none
1.976,40,-0.34204,-0.28685,0.11101,1,0,0,MODEL,-0.0125,0.100,0.4165,0,none
2.025,41,-0.36226,-0.37564,0.09693,1,0,0,MODEL,0.0719,0.100,0.4252,0,none
2.076,42,-0.38139,-0.35141,0.10779,1,0,0,MODEL,0.0488,0.100,0.4337,0,none
2.125,43,-0.40009,-0.34405,0.10286,1,0,0,MODEL,0.0418,0.100,0.4422,0,none
2.175,44,-0.41920,-0.40631,0.10136,1,0,0,MODEL,0.1010,0.100,0.4506,0,none
2.226,45,-0.43767,-0.45127,0.09912,1,0,0,MODEL,0.1437,0.100,0.4589,0,none
2.276,46,-0.45467,-0.42009,0.09480,1,0,0,MODEL,0.1141,0.100,0.4670,0,none
2.326,47,-0.47112,-0.44807,0.09786,1,0,0,MODEL,0.1407,0.100,0.4752,0,none
2.375,48,-0.48703,-0.47377,0.09902,1,0,0,MODEL,0.1651,0.100,0.4832,0,none
2.426,49,-0.50167,-0.45109,0.10138,1,0,0,MODEL,0.1435,0.100,0.4912,0,none
2.478,50,-0.51550,-0.49773,0.09188,1,0,0,MODEL,0.1878,0.100,0.4991,0,none
2.527,51,-0.52810,-0.54131,0.08419,1,0,0,MODEL,0.2292,0.100,0.5069,0,none
2.576,52,-0.53843,-0.54383,0.09365,1,0,0,MODEL,0.2316,0.100,0.5145,0,none
2.628,53,-0.54673,-0.55586,0.09335,1,0,0,MODEL,0.2431,0.100,0.5221,0,none
