time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00282,0.04456,0.11509,1,0,0,MODEL,-0.3273,0.100,0.0000,0,none
0.030,1,0.00282,0.04593,0.11523,1,0,0,MODEL,-0.3286,0.100,0.0000,0,none
0.066,2,0.00279,0.02715,0.12375,1,0,0,MODEL,-0.3108,0.100,0.0057,0,none
0.115,3,0.00257,0.02436,0.10439,1,0,0,MODEL,-0.3081,0.100,0.0149,0,none
0.166,4,0.00241,0.05217,0.07106,1,0,0,MODEL,-0.3346,0.100,0.0312,0,none
0.217,5,0.00213,-0.01431,0.09450,1,0,0,MODEL,-0.2714,0.100,0.0434,0,none
0.268,6,0.00145,-0.05204,0.10915,1,0,0,MODEL,-0.2356,0.100,0.0583,0,none
0.318,7,0.00068,0.05441,0.14031,1,0,0,MODEL,-0.3367,0.100,0.0669,0,none
0.375,8,-0.00081,-0.04834,0.15428,1,0,0,MODEL,-0.2391,0.100,0.0772,0,none
0.418,9,-0.00228,0.05564,0.20819,0,0,0,MODEL,-0.3379,0.100,0.0903,0,none
0.470,10,-0.00422,0.00706,0.12208,1,0,0,MODEL,-0.2917,0.100,0.1054,0,none
0.520,11,-0.00654,0.01248,0.10181,1,0,0,MODEL,-0.2969,0.100,0.1160,0,none
0.570,12,-0.00916,-0.03899,0.06134,1,0,0,MODEL,-0.2480,0.100,0.1277,0,none
0.619,13,-0.01195,-0.01338,0.04478,1,0,0,MODEL,-0.2723,0.100,0.1393,0,none
0.669,14,-0.01514,0.01166,0.05003,1,0,0,MODEL,-0.2961,0.100,0.1508,0,none
0.721,15,-0.01317,0.01001,0.06560,1,0,0,MODEL,-0.2945,0.100,0.1743,0,none
0.770,16,-0.02601,0.01604,0.05071,1,0,0,MODEL,-0.3002,0.100,0.1743,0,none
0.820,17,-0.02869,-0.01431,0.05126,1,0,0,MODEL,-0.2714,0.100,0.1847,0,none
0.869,18,-0.03413,0.00005,0.04292,1,0,0,MODEL,-0.2850,0.100,0.1956,0,none
0.920,19,-0.04014,-0.00364,0.04654,1,0,0,MODEL,-0.2815,0.100,0.2064,0,none
0.969,20,-0.04691,0.00293,0.04563,1,0,0,MODEL,-0.2878,0.100,0.2172,0,none
1.022,21,-0.05441,-0.05047,0.06063,1,0,0,MODEL,-0.2371,0.100,0.2279,0,none
1.070,22,-0.06258,-0.09435,0.06685,1,0,0,MODEL,-0.1954,0.100,0.2385,0,none
1.119,23,-0.07068,-0.05788,0.06593,1,0,0,MODEL,-0.2300,0.100,0.2490,0,none
1.172,24,-0.07958,-0.06824,0.09035,1,0,0,MODEL,-0.2202,0.100,0.2593,0,none
1.222,25,-0.09448,-0.02902,0.05658,1,0,0,MODEL,-0.2574,0.100,0.2692,0,none
1.271,26,-0.10059,-0.07831,0.05637,1,0,0,MODEL,-0.2106,0.100,0.2794,0,none
1.324,27,-0.11171,-0.10333,0.06968,1,0,0,MODEL,-0.1868,0.100,0.2899,0,none
1.372,28,-0.12387,-0.04736,0.05584,1,0,0,MODEL,-0.2400,0.100,0.2997,0,none
1.422,29,-0.13721,-0.07869,0.06236,1,0,0,MODEL,-0.2102,0.100,0.3095,0,none
1.472,30,-0.15165,-0.03206,0.05516,1,0,0,MODEL,-0.2545,0.100,0.3193,0,none
1.523,31,-0.16097,-0.14525,0.10996,1,0,0,MODEL,-0.1470,0.100,0.3290,0,none
1.573,32,-0.18390,-0.13234,0.11543,1,0,0,MODEL,-0.1593,0.100,0.3386,0,none
1.624,33,-0.20010,-0.27567,0.12081,1,0,0,MODEL,-0.0231,0.100,0.3479,0,none
1.676,34,-0.21578,-0.21507,0.09835,1,0,0,MODEL,-0.0807,0.100,0.3571,0,none
1.723,35,-0.23188,-0.25544,0.07678,1,0,0,MODEL,-0.0423,0.100,0.3664,0,none
1.774,36,-0.24870,-0.21881,0.08639,1,0,0,MODEL,-0.0771,0.100,0.3756,0,none
1.824,37,-0.27134,-0.21275,0.09413,1,0,0,MODEL,-0.0829,0.100,0.3863,0,none
1.873,38,-0.28665,-0.22483,0.08868,1,0,0,MODEL,-0.0714,0.100,0.3950,0,none
1.923,39,-0.30438,-0.21171,0.07373,1,0,0,MODEL,-0.0839,0.100,0.4025,0,none
1.973,40,-0.32462,-0.22891,0.07838,1,0,0,MODEL,-0.0675,0.100,0.4115,0,none
2.026,41,-0.34546,-0.29147,0.08841,1,0,0,MODEL,-0.0081,0.100,0.4202,0,none
2.075,42,-0.36637,-0.33919,0.11653,1,0,0,MODEL,0.0372,0.100,0.4288,0,none
2.126,43,-0.38659,-0.28290,0.09781,1,0,0,MODEL,-0.0162,0.100,0.4373,0,none
2.174,44,-0.40691,-0.38443,0.10980,1,0,0,MODEL,0.0802,0.100,0.4457,0,none
2.228,45,-0.42748,-0.45369,0.09294,1,0,0,MODEL,0.1460,0.100,0.4540,0,none
2.275,46,-0.44611,-0.41573,0.10467,1,0,0,MODEL,0.1099,0.100,0.4622,0,none
2.328,47,-0.46364,-0.46933,0.11159,1,0,0,MODEL,0.1609,0.100,0.4704,0,none
2.378,48,-0.48078,-0.45534,0.11299,1,0,0,MODEL,0.1476,0.100,0.4785,0,none
2.428,49,-0.49664,-0.43002,0.11994,1,0,0,MODEL,0.1235,0.100,0.4865,0,none
2.476,50,-0.51218,-0.49203,0.11299,1,0,0,MODEL,0.1824,0.100,0.4945,0,none
2.527,51,-0.52690,-0.53043,0.10424,1,0,0,MODEL,0.2189,0.100,0.5023,0,none
2.578,52,-0.53937,-0.52572,0.08793,1,0,0,MODEL,0.2144,0.100,0.5100,0,none
2.627,53,-0.54992,-0.55951,0.08902,1,0,0,MODEL,0.2465,0.100,0.5177,0,none
2.678,54,-0.55875,-0.58803,0.11363,1,0,0,MODEL,0.2736,0.100,0.5252,0,none
2.726,55,-0.56507,-0.56906,0.08909,1,0,0,MODEL,0.2556,0.100,0.5327,0,none
2.779,56,-0.56908,-0.59715,0.08557,1,0,0,MODEL,0.2823,0.100,0.5402,0,none
2.828,57,-0.57104,-0.59278,0.10302,1,0,0,MODEL,0.2781,0.100,0.5475,0,none
2.879,58,-0.57033,-0.53845,0.09061,1,0,0,MODEL,0.2265,0.100,0.5548,0,none
2.930,59,-0.56782,-0.54978,0.07606,1,0,0,MODEL,0.2373,0.100,0.5621,0,none
2.981,60,-0.56396,-0.44659,0.07603,1,0,0,MODEL,0.1393,0.100,0.5693,0,none
3.030,61,-0.55888,-0.50158,0.07605,1,0,0,MODEL,0.1915,0.100,0.5765,0,none
3.078,62,-0.55337,-0.52152,0.09166,1,0,0,MODEL,0.2104,0.100,0.5834,0,none
3.128,63,-0.54507,-0.51015,0.11390,1,0,0,MODEL,0.1996,0.100,0.5903,0,none
3.178,64,-0.53437,-0.48522,0.08770,1,0,0,MODEL,0.1760,0.100,0.5972,0,none
3.231,65,-0.52198,-0.52196,0.11780,1,0,0,MODEL,0.2109,0.100,0.6041,0,none
