cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0.00100,0.06285,0.11557,-0.01280,0.12084,0.07068,0.05411,-0.06155,0.11736,-0.13966,0.27536,0.14260,0.06159
0.00100,0.05992,0.11623,-0.01198,0.11520,0.07279,0.05423,-0.06080,0.11591,-0.15200,0.27350,0.13011,0.06230
0.00100,0.06002,0.11548,-0.01219,0.10939,0.07211,0.05579,-0.06033,0.11622,-0.14914,0.27366,0.13185,0.06283
0.00084,0.07636,0.11190,-0.01462,0.14128,0.08197,0.03450,-0.09530,0.11135,-0.01219,0.31210,0.14081,0.06369
0.00036,0.00534,0.09031,0.02784,0.08739,0.14406,-0.01681,-0.17278,-0.00791,-0.10094,0.04626,0.00156,0.04473
-0.00014,0.06123,0.14868,0.01966,-0.02406,0.11763,0.03756,-0.09036,0.14491,-0.18076,0.19483,0.34350,0.04943
-0.00113,0.00777,0.13650,-0.06824,-0.08989,0.09303,0.04335,-0.14640,0.03626,-0.14852,0.04079,0.31391,0.00342
-0.00255,0.08438,0.19305,-0.01305,-0.06111,0.17884,-0.00227,-0.06495,0.12352,0.03622,0.09002,0.58403,-0.02743
-0.00440,0.02187,0.12608,0.01071,-0.11153,0.18368,0.01378,-0.05763,0.08812,-0.18656,0.17497,0.15042,-0.04724
-0.00674,-0.05286,0.11743,-0.01928,-0.08205,0.10075,-0.08635,-0.10481,-0.08250,-0.29142,-0.07103,0.13689,-0.02879
-0.00966,0.04736,0.05696,0.00744,-0.01276,0.08571,0.00732,0.00345,0.13750,0.09663,-0.00646,0.12064,0.03418
-0.01003,0.01979,0.05751,-0.01708,-0.04571,0.03677,0.00689,-0.00584,0.13253,0.09738,-0.03364,-0.01259,0.03914
-0.01815,-0.01791,0.06271,-0.02706,-0.05387,0.09949,-0.05834,-0.01575,0.01901,0.03424,-0.10523,-0.09167,0.02010
-0.02311,-0.06009,0.05077,-0.03411,-0.09975,-0.00395,-0.08396,-0.04936,0.00588,-0.14954,-0.09976,-0.07933,-0.00705
-0.02893,0.04273,0.05525,-0.02866,-0.02119,0.13100,-0.00756,0.04907,0.12850,0.04464,0.02567,0.04693,0.05890
-0.03589,0.07988,0.06965,-0.00530,0.00479,0.15406,0.02258,0.10439,0.17067,0.06662,0.03235,0.18243,0.06624
-0.04391,-0.02629,0.05012,-0.03450,-0.06402,0.05919,-0.08621,-0.02546,-0.00092,-0.03989,-0.10160,0.00363,0.02689
-0.05302,-0.04285,0.05719,-0.03212,-0.05694,0.04967,-0.07528,-0.00614,-0.01144,-0.13780,-0.12519,-0.01571,-0.01751
-0.06335,-0.08455,0.05703,-0.03982,-0.05375,0.01204,-0.09703,-0.09722,-0.15323,-0.12024,-0.17879,-0.07415,-0.04336
-0.07607,-0.07930,0.05090,-0.05101,-0.11823,-0.00758,-0.04077,-0.12207,-0.11031,-0.12536,-0.13052,-0.08983,0.00269
-0.08774,-0.04123,0.04719,-0.04480,-0.05492,0.03407,-0.03282,-0.06139,-0.05821,0.01028,-0.12926,-0.07621,0.00092
-0.10205,-0.11061,0.06717,-0.04672,-0.08814,0.01281,-0.11309,-0.14965,-0.19758,-0.16802,-0.17028,-0.13852,-0.04695
-0.11779,-0.10200,0.05516,-0.04963,-0.09491,-0.01814,-0.09940,-0.12882,-0.16972,-0.17352,-0.13045,-0.12838,-0.02703
-0.13434,-0.08584,0.07204,-0.04931,-0.03777,0.02893,-0.02188,-0.14723,-0.07385,-0.21805,-0.12990,-0.13434,-0.07502
-0.15367,-0.11594,0.09116,-0.06623,0.04722,-0.00117,-0.09551,-0.14823,-0.22337,-0.23871,-0.17403,-0.11108,-0.14832
