replicate,p
0,6.141029596e-06
1,3.089915492e-06
2,6.713914831e-05
3,2.424293942e-06
4,9.386127495e-06
5,1.060906893e-05
6,1.113777374e-05
7,9.61377888e-06
8,2.264033526e-06
9,1.690594438e-05
10,8.421553594e-06
11,4.861584436e-06
12,3.96546352e-06
13,9.247518198e-06
14,3.264981256e-06
15,6.881638868e-07
16,5.811924798e-06
17,5.483600897e-06
18,9.667587363e-07
19,7.724069832e-06
20,4.541471391e-06
21,2.624477658e-06
22,1.344296855e-05
23,4.552443471e-05
24,3.851483859e-05
25,5.979249918e-06
26,7.786528743e-06
27,1.850429558e-05
28,8.248023141e-06
29,3.939724703e-06
30,1.53572088e-05
31,2.657544382e-06
32,3.198338361e-06
33,8.810297478e-06
34,1.313041656e-06
35,3.462453813e-05
36,6.543832767e-06
37,4.38400975e-07
38,3.929483752e-05
39,0
40,2.205292616e-05
41,5.268193837e-06
42,7.015387694e-07
43,1.972444911e-06
44,1.016003962e-05
45,9.114051044e-06
46,3.452912017e-05
47,1.050747057e-06
48,6.070122909e-05
49,1.470166356e-06
50,8.854604218e-06
51,2.08885309e-05
52,9.87171178e-07
53,2.484856261e-06
54,1.179082239e-05
55,4.003999891e-08
56,6.53455049e-06
57,6.76042498e-07
58,7.842270842e-07
59,3.086736282e-05
60,2.729572227e-06
61,0
62,4.779006592e-06
63,4.224688255e-07
64,2.097449742e-05
65,2.217359994e-06
66,8.605869355e-06
67,2.929789961e-06
68,7.620867408e-06
69,2.735213225e-05
70,1.444754208e-06
71,3.705837734e-05
72,1.51835291e-05
73,4.036352016e-06
74,3.799899098e-07
75,2.113317053e-05
76,1.767209837e-05
77,4.027448854e-06
78,6.409501072e-06
79,1.146480649e-05
80,8.677059733e-05
81,4.235106424e-06
82,3.374600186e-06
83,4.540327417e-05
84,5.065785192e-06
85,1.584688238e-05
86,1.569922285e-06
87,2.21816732e-06
88,1.009129957e-05
89,2.784654047e-05
90,2.341771458e-05
91,5.434356867e-06
92,4.844738243e-06
93,6.727925536e-06
94,2.553499065e-06
95,3.12552726e-06
96,2.216969293e-06
97,9.078254912e-07
98,9.31630783e-06
99,1.114407107e-05
100,5.857259193e-06
101,6.837405475e-06
102,9.203818277e-07
103,1.798111846e-05
104,4.059577048e-06
105,1.609583798e-06
106,3.661798425e-06
107,3.344883577e-05
108,1.501630915e-05
109,0
110,6.535916393e-06
111,6.614730962e-06
112,9.368142928e-06
113,1.102065567e-05
114,9.329774681e-07
115,8.560174032e-07
116,2.459841697e-05
117,3.091658438e-06
118,3.973549024e-06
119,1.054536785e-05
120,8.861648394e-06
121,1.186758527e-05
122,1.726278507e-05
123,8.687269358e-07
124,1.983761365e-05
125,8.820854047e-07
126,3.293492894e-06
127,1.447670813e-05
128,5.632635178e-06
129,2.588304699e-06
130,3.073961455e-05
131,6.420669931e-06
132,4.460579912e-06
133,1.632381011e-06
134,1.517223307e-06
135,1.412720193e-05
136,5.021435081e-05
137,1.277286918e-05
138,9.400785451e-07
139,6.46893767e-06
140,1.920436229e-06
141,1.519247599e-05
142,1.51708474e-05
143,5.297882832e-06
144,4.159359426e-06
145,8.118779025e-06
146,5.25545275e-07
147,7.850611094e-06
148,3.1141025e-05
149,1.434439757e-05
150,4.602195606e-06
151,3.196998092e-05
152,2.632052975e-06
153,1.828899861e-05
154,3.815312533e-06
155,6.765289896e-06
156,7.960358325e-06
157,9.274868308e-06
158,3.271475143e-05
159,1.727041575e-05
160,1.421947304e-06
161,1.229509691e-07
162,2.88508882e-06
163,9.51619124e-06
164,2.833114824e-06
165,7.535585959e-07
166,1.886110967e-05
167,8.14127342e-07
168,4.097895462e-06
169,5.928272123e-06
170,5.52555736e-06
171,1.5579064e-05
172,4.644062801e-05
173,9.460715121e-07
174,6.864902301e-06
175,1.066575231e-05
176,8.394128287e-06
177,0
178,0
179,8.978821052e-06
180,2.217961074e-06
181,2.264005236e-05
182,6.584171817e-07
183,3.477805905e-06
184,4.644568683e-06
185,2.241314859e-06
186,1.373044146e-06
187,2.074546645e-05
188,3.37054347e-06
189,1.111970492e-06
190,1.299924486e-05
191,3.818941122e-06
192,4.568645771e-06
193,7.392770638e-06
194,8.878762495e-06
195,2.16369638e-05
196,9.318914276e-06
197,3.108981802e-05
198,3.998481359e-06
199,5.390556204e-06
