replicate,p
0,8.253359727e-08
1,8.253374175e-08
2,8.253298897e-08
3,8.253353562e-08
4,8.253333769e-08
5,8.253334163e-08
6,8.253324939e-08
7,8.253339217e-08
8,8.253379481e-08
9,8.253285835e-08
10,8.253329235e-08
11,8.253365591e-08
12,8.253369238e-08
13,8.253376136e-08
14,8.253360861e-08
15,8.253343234e-08
16,8.253360531e-08
17,8.253366798e-08
18,8.253384287e-08
19,8.253352691e-08
20,8.253355517e-08
21,8.253374583e-08
22,8.253324482e-08
23,8.25323312e-08
24,8.252874381e-08
25,8.253362785e-08
26,8.253317668e-08
27,8.253376347e-08
28,8.253331089e-08
29,8.253188791e-08
30,8.253369839e-08
31,8.253360474e-08
32,8.253167204e-08
33,8.253374126e-08
34,8.253358289e-08
35,8.253241593e-08
36,8.253215843e-08
37,8.253376351e-08
38,8.253378519e-08
39,8.253369329e-08
40,8.253362077e-08
41,8.253367931e-08
42,8.253384507e-08
43,8.253365155e-08
44,8.253360487e-08
45,8.253259036e-08
46,8.253382393e-08
47,8.253344709e-08
48,8.253373323e-08
49,8.253267597e-08
50,8.253385798e-08
51,8.253354993e-08
52,8.253373404e-08
53,8.25333317e-08
54,8.253385937e-08
55,8.253382058e-08
56,8.253384361e-08
57,8.253360508e-08
58,8.253270782e-08
59,8.253379229e-08
60,8.253387856e-08
61,8.252842091e-08
62,8.253386818e-08
63,8.253377619e-08
64,8.253221111e-08
65,8.25328273e-08
66,8.2533637e-08
67,8.253261513e-08
68,8.253302832e-08
69,8.252877004e-08
70,8.253278692e-08
71,8.253218211e-08
72,8.253330477e-08
73,8.253341421e-08
74,8.253382708e-08
75,8.253210307e-08
76,8.253331663e-08
77,8.253344689e-08
78,8.25338272e-08
79,8.253377252e-08
80,8.253366804e-08
81,8.253185239e-08
82,8.253386151e-08
83,8.253370058e-08
84,8.253386133e-08
85,8.253376614e-08
86,8.253360063e-08
87,8.253384599e-08
88,8.253381989e-08
89,8.253294146e-08
90,8.25337672e-08
91,8.253348619e-08
92,8.253374329e-08
93,8.253363232e-08
94,8.253387714e-08
95,8.253350866e-08
96,8.253383918e-08
97,8.253385027e-08
98,8.253357357e-08
99,8.253387962e-08
100,8.253318605e-08
101,8.253357681e-08
102,8.253227691e-08
103,8.253366997e-08
104,8.253364085e-08
105,8.253352738e-08
106,8.253335484e-08
107,8.253070059e-08
108,8.253319088e-08
109,8.253385938e-08
110,8.253302447e-08
111,8.253363198e-08
112,8.25338713e-08
113,8.253351291e-08
114,8.25335285e-08
115,8.253379135e-08
116,8.253253746e-08
117,8.253375079e-08
118,8.253369814e-08
119,8.253338987e-08
120,8.253335865e-08
121,8.253336304e-08
122,8.253306231e-08
123,8.253384554e-08
124,8.253291788e-08
125,8.253384442e-08
126,8.253373469e-08
127,8.253306815e-08
128,8.253362272e-08
129,8.253376669e-08
130,8.253250514e-08
131,8.253358555e-08
132,8.253368717e-08
133,8.25338211e-08
134,8.253382989e-08
135,8.253251713e-08
136,8.253349832e-08
137,8.253381812e-08
138,8.253265836e-08
139,8.253285014e-08
140,8.253361337e-08
141,8.253253547e-08
142,8.253353399e-08
143,8.253331609e-08
144,8.253232897e-08
145,8.25334041e-08
146,8.253384819e-08
147,8.253346307e-08
148,8.253215086e-08
149,8.253321078e-08
150,8.253350946e-08
151,8.253341814e-08
152,8.253337086e-08
153,8.253208557e-08
154,8.253349133e-08
155,8.253374962e-08
156,8.253070094e-08
157,8.253341282e-08
158,8.253225096e-08
159,8.25310229e-08
160,8.253276319e-08
161,8.253345801e-08
162,8.253388382e-08
163,8.253377274e-08
164,8.253375357e-08
165,8.253324136e-08
166,8.253186732e-08
167,8.253377747e-08
168,8.253327764e-08
169,8.253371862e-08
170,8.253387304e-08
171,8.253386661e-08
172,8.253051446e-08
173,8.253309654e-08
174,8.25338342e-08
175,8.25331307e-08
176,8.253215783e-08
177,8.25338858e-08
178,8.253368134e-08
179,8.253347674e-08
180,8.253371204e-08
181,8.253360622e-08
182,8.2533819e-08
183,8.253387442e-08
184,8.253381335e-08
185,8.253375492e-08
186,8.25332332e-08
187,8.253303396e-08
188,8.253385198e-08
189,8.253173689e-08
190,8.253375392e-08
191,8.253357455e-08
192,8.253164579e-08
193,8.253234258e-08
194,8.253375925e-08
195,8.253241105e-08
196,8.253284178e-08
197,8.253336429e-08
198,8.25337068e-08
199,8.253222346e-08
