time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00285,0.04226,0.11311,1,0,0,MODEL,-0.3252,0.100,0.0000,0,none
0.022,1,0.00285,0.04305,0.11239,1,0,0,MODEL,-0.3259,0.100,0.0000,0,none
0.065,2,0.00277,0.01431,0.11038,1,0,0,MODEL,-0.2986,0.100,0.0103,0,none
0.117,3,0.00267,0.06762,0.10291,1,0,0,MODEL,-0.3492,0.100,0.0174,0,none
0.167,4,0.00260,0.05055,0.07704,1,0,0,MODEL,-0.3330,0.100,0.0299,0,none
0.218,5,0.00211,0.00113,0.09448,1,0,0,MODEL,-0.2861,0.100,0.0440,0,none
0.268,6,0.00133,-0.06247,0.12031,1,0,0,MODEL,-0.2257,0.100,0.0572,0,none
0.318,7,0.00020,0.02889,0.09534,1,0,0,MODEL,-0.3124,0.100,0.0713,0,none
0.368,8,-0.00097,0.01020,0.13448,1,0,0,MODEL,-0.2947,0.100,0.0823,0,none
0.418,9,-0.00258,0.06047,0.09593,1,0,0,MODEL,-0.3424,0.100,0.0948,0,none
0.469,10,-0.00466,0.03107,0.12913,1,0,0,MODEL,-0.3145,0.100,0.1065,0,none
0.516,11,-0.00710,0.02185,0.11011,1,0,0,MODEL,-0.3058,0.100,0.1184,0,none
0.568,12,-0.00982,-0.06188,0.05703,1,0,0,MODEL,-0.2262,0.100,0.1300,0,none
0.619,13,-0.01264,-0.04699,0.04413,1,0,0,MODEL,-0.2404,0.100,0.1416,0,none
0.668,14,-0.01225,-0.00691,0.04309,1,0,0,MODEL,-0.2784,0.100,0.1661,0,none
0.719,15,-0.01608,0.04594,0.07138,1,0,0,MODEL,-0.3286,0.100,0.1724,0,none
0.767,16,-0.02491,0.02492,0.05726,1,0,0,MODEL,-0.3087,0.100,0.1762,0,none
0.817,17,-0.02864,-0.00237,0.04544,1,0,0,MODEL,-0.2827,0.100,0.1871,0,none
0.869,18,-0.03432,0.00336,0.04617,1,0,0,MODEL,-0.2882,0.100,0.1978,0,none
0.919,19,-0.04044,-0.00688,0.04886,1,0,0,MODEL,-0.2785,0.100,0.2087,0,none
0.970,20,-0.04723,-0.00991,0.04669,1,0,0,MODEL,-0.2756,0.100,0.2195,0,none
1.017,21,-0.05466,-0.03548,0.06183,1,0,0,MODEL,-0.2513,0.100,0.2301,0,none
1.071,22,-0.06271,-0.07098,0.06711,1,0,0,MODEL,-0.2176,0.100,0.2407,0,none
1.120,23,-0.07115,-0.06866,0.07011,1,0,0,MODEL,-0.2198,0.100,0.2512,0,none
1.170,24,-0.08009,-0.04163,0.08935,1,0,0,MODEL,-0.2455,0.100,0.2615,0,none
1.219,25,-0.09587,-0.02678,0.05509,1,0,0,MODEL,-0.2596,0.100,0.2714,0,none
1.270,26,-0.10101,-0.06080,0.04827,1,0,0,MODEL,-0.2272,0.100,0.2819,0,none
1.318,27,-0.11292,-0.06758,0.06130,1,0,0,MODEL,-0.2208,0.100,0.2919,0,none
1.371,28,-0.12564,-0.04543,0.05536,1,0,0,MODEL,-0.2418,0.100,0.3017,0,none
1.418,29,-0.13936,-0.09487,0.07062,1,0,0,MODEL,-0.1949,0.100,0.3115,0,none
1.471,30,-0.15403,-0.09005,0.05679,1,0,0,MODEL,-0.1995,0.100,0.3213,0,none
1.520,31,-0.16275,-0.14454,0.12059,1,0,0,MODEL,-0.1477,0.100,0.3314,0,none
1.569,32,-0.18593,-0.18178,0.11274,1,0,0,MODEL,-0.1123,0.100,0.3408,0,none
1.603,33,-0.20149,-0.24745,0.08980,1,0,0,MODEL,-0.0499,0.100,0.3497,0,none
1.654,34,-0.21722,-0.20737,0.10487,1,0,0,MODEL,-0.0880,0.100,0.3590,0,none
1.704,35,-0.23367,-0.29012,0.10944,1,0,0,MODEL,-0.0094,0.100,0.3683,0,none
1.756,36,-0.25021,-0.22611,0.09019,1,0,0,MODEL,-0.0702,0.100,0.3774,0,none
1.806,37,-0.27324,-0.21949,0.08599,1,0,0,MODEL,-0.0765,0.100,0.3870,0,none
1.855,38,-0.28680,-0.26156,0.09535,1,0,0,MODEL,-0.0365,0.100,0.3959,0,none
1.905,39,-0.30475,-0.24374,0.08295,1,0,0,MODEL,-0.0534,0.100,0.4044,0,none
1.954,40,-0.32402,-0.23635,0.07418,1,0,0,MODEL,-0.0605,0.100,0.4132,0,none
2.006,41,-0.34408,-0.27078,0.08698,1,0,0,MODEL,-0.0278,0.100,0.4219,0,none
2.059,42,-0.36446,-0.28778,0.11046,1,0,0,MODEL,-0.0116,0.100,0.4305,0,none
2.105,43,-0.38487,-0.29512,0.10158,1,0,0,MODEL,-0.0046,0.100,0.4390,0,none
2.156,44,-0.40549,-0.38635,0.10270,1,0,0,MODEL,0.0820,0.100,0.4475,0,none
2.205,45,-0.42523,-0.43323,0.10248,1,0,0,MODEL,0.1266,0.100,0.4557,0,none
2.256,46,-0.44339,-0.45599,0.09071,1,0,0,MODEL,0.1482,0.100,0.4639,0,none
2.304,47,-0.46036,-0.49667,0.09536,1,0,0,MODEL,0.1868,0.100,0.4721,0,none
2.357,48,-0.47593,-0.46360,0.09972,1,0,0,MODEL,0.1554,0.100,0.4801,0,none
2.406,49,-0.49063,-0.47483,0.10044,1,0,0,MODEL,0.1661,0.100,0.4882,0,none
2.459,50,-0.50471,-0.50716,0.09871,1,0,0,MODEL,0.1968,0.100,0.4961,0,none
2.508,51,-0.51730,-0.54165,0.09758,1,0,0,MODEL,0.2296,0.100,0.5039,0,none
2.559,52,-0.52785,-0.56930,0.10497,1,0,0,MODEL,0.2558,0.100,0.5116,0,none
2.606,53,-0.53613,-0.49403,0.06939,1,0,0,MODEL,0.1843,0.100,0.5192,0,none
2.658,54,-0.54343,-0.51077,0.09587,1,0,0,MODEL,0.2002,0.100,0.5269,0,none
2.710,55,-0.54997,-0.56889,0.08903,1,0,0,MODEL,0.2554,0.100,0.5344,0,none
2.757,56,-0.55395,-0.54978,0.08887,1,0,0,MODEL,0.2373,0.100,0.5417,0,none
2.809,57,-0.55554,-0.55939,0.08408,1,0,0,MODEL,0.2464,0.100,0.5491,0,none
2.858,58,-0.55531,-0.51723,0.07687,1,0,0,MODEL,0.2064,0.100,0.5564,0,none
2.908,59,-0.55346,-0.46133,0.07833,1,0,0,MODEL,0.1533,0.100,0.5637,0,none
2.958,60,-0.55111,-0.47207,0.08083,1,0,0,MODEL,0.1635,0.100,0.5709,0,none
3.008,61,-0.54782,-0.50205,0.08646,1,0,0,MODEL,0.1919,0.100,0.5780,0,none
3.059,62,-0.54237,-0.50574,0.08952,1,0,0,MODEL,0.1955,0.100,0.5850,0,none
3.111,63,-0.53461,-0.52982,0.10057,1,0,0,MODEL,0.2183,0.100,0.5919,0,none
3.159,64,-0.52441,-0.49469,0.08938,1,0,0,MODEL,0.1850,0.100,0.5987,0,none
3.207,65,-0.51183,-0.55362,0.13036,1,0,0,MODEL,0.2409,0.100,0.6055,0,none
3.260,66,-0.49683,-0.55506,0.12695,1,0,0,MODEL,0.2423,0.100,0.6121,0,none
3.309,67,-0.47853,-0.57878,0.12667,1,0,0,MODEL,0.2648,0.100,0.6188,0,none
3.360,68,-0.45715,-0.51926,0.11688,1,0,0,MODEL,0.2083,0.100,0.6253,0,none
3.409,69,-0.43352,-0.50178,0.12914,1,0,0,MODEL,0.1917,0.100,0.6318,0,none
3.462,70,-0.40836,-0.54315,0.11948,1,0,0,MODEL,0.2310,0.100,0.6384,0,none
3.511,71,-0.38076,-0.38465,0.11783,1,0,0,MODEL,0.0804,0.100,0.6447,0,none
