time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00070,0.05161,0.11874,1,0,0,MODEL,-0.3340,0.100,0.0000,0,none
0.063,1,0.00070,0.05161,0.11874,1,0,0,MODEL,-0.3340,0.100,0.0000,0,none
0.085,2,0.00070,0.05161,0.11874,1,0,0,MODEL,-0.3340,0.100,0.0000,0,none
0.119,3,0.00064,0.02857,0.10707,1,0,0,MODEL,-0.3121,0.100,0.0133,0,none
0.170,4,0.00055,0.03670,0.09734,1,0,0,MODEL,-0.3199,0.100,0.0232,0,none
0.219,5,0.00024,0.04779,0.07583,1,0,0,MODEL,-0.3304,0.100,0.0350,0,none
0.271,6,-0.00033,0.08314,0.12857,1,0,0,MODEL,-0.3640,0.100,0.0467,0,none
0.321,7,-0.00130,-0.01182,0.09712,1,0,0,MODEL,-0.2738,0.100,0.0640,0,none
0.370,8,-0.00250,0.04825,0.07520,1,0,0,MODEL,-0.3308,0.100,0.0757,0,none
0.421,9,-0.00387,-0.07411,0.17972,1,0,0,MODEL,-0.2146,0.100,0.0843,0,none
0.468,10,-0.00544,-0.01406,0.11593,1,0,0,MODEL,-0.2716,0.100,0.0950,0,none
0.520,11,-0.00683,-0.00687,0.10629,1,0,0,MODEL,-0.2785,0.100,0.1093,0,none
0.570,12,-0.00876,-0.05232,0.12729,1,0,0,MODEL,-0.2353,0.100,0.1204,0,none
0.620,13,-0.01097,-0.05291,0.06148,1,0,0,MODEL,-0.2347,0.100,0.1320,0,none
0.669,14,-0.01329,0.01066,0.03798,1,0,0,MODEL,-0.2951,0.100,0.1436,0,none
0.721,15,-0.00985,-0.02748,0.05071,1,0,0,MODEL,-0.2589,0.100,0.1652,0,none
0.771,16,-0.01976,-0.00361,0.07323,1,0,0,MODEL,-0.2816,0.100,0.1679,0,none
0.820,17,-0.02408,0.00398,0.05274,1,0,0,MODEL,-0.2888,0.100,0.1774,0,none
