time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00282,0.04456,0.11509,1,0,0,MODEL,-0.3273,0.100,0.0000,0,none
0.019,1,0.00282,0.04593,0.11523,1,0,0,MODEL,-0.3286,0.100,0.0000,0,none
0.062,2,0.00270,0.03030,0.10407,1,0,0,MODEL,-0.3138,0.100,0.0088,0,none
0.113,3,0.00241,0.03102,0.09788,1,0,0,MODEL,-0.3145,0.100,0.0219,0,none
0.165,4,0.00212,0.00708,0.08854,1,0,0,MODEL,-0.2917,0.100,0.0363,0,none
0.217,5,0.00164,0.08025,0.12079,1,0,0,MODEL,-0.3612,0.100,0.0463,0,none
0.265,6,0.00077,0.07752,0.11118,1,0,0,MODEL,-0.3586,0.100,0.0586,0,none
0.315,7,-0.00045,-0.01633,0.10922,1,0,0,MODEL,-0.2695,0.100,0.0757,0,none
0.367,8,-0.00174,-0.18910,0.21096,0,0,0,MODEL,-0.1054,0.100,0.0844,0,none
0.414,9,-0.00265,0.04509,0.12875,1,0,0,MODEL,-0.3278,0.100,0.0949,0,none
0.466,10,-0.00402,0.06293,0.13926,1,0,0,MODEL,-0.3448,0.100,0.1094,0,none
0.516,11,-0.00621,-0.05436,0.12605,1,0,0,MODEL,-0.2334,0.100,0.1204,0,none
0.564,12,-0.00825,-0.05385,0.05130,1,0,0,MODEL,-0.2338,0.100,0.1321,0,none
0.616,13,-0.01035,-0.00790,0.04082,1,0,0,MODEL,-0.2775,0.100,0.1437,0,none
0.667,14,-0.00975,-0.01594,0.06048,1,0,0,MODEL,-0.2699,0.100,0.1680,0,none
0.715,15,-0.01712,-0.02864,0.06719,1,0,0,MODEL,-0.2578,0.100,0.1671,0,none
0.766,16,-0.02036,-0.02243,0.05257,1,0,0,MODEL,-0.2637,0.100,0.1776,0,none
0.816,17,-0.02398,-0.04858,0.04443,1,0,0,MODEL,-0.2388,0.100,0.1890,0,none
0.865,18,-0.02851,0.02783,0.05348,1,0,0,MODEL,-0.3114,0.100,0.1997,0,none
0.916,19,-0.03356,-0.00400,0.05247,1,0,0,MODEL,-0.2812,0.100,0.2105,0,none
0.966,20,-0.03962,0.01689,0.06354,1,0,0,MODEL,-0.3010,0.100,0.2213,0,none
1.016,21,-0.04641,-0.04124,0.05948,1,0,0,MODEL,-0.2458,0.100,0.2319,0,none
1.067,22,-0.05360,-0.02194,0.06378,1,0,0,MODEL,-0.2642,0.100,0.2425,0,none
1.117,23,-0.06142,-0.06143,0.06792,1,0,0,MODEL,-0.2266,0.100,0.2529,0,none
1.166,24,-0.06981,-0.06142,0.06386,1,0,0,MODEL,-0.2266,0.100,0.2633,0,none
1.217,25,-0.08098,-0.08746,0.06196,1,0,0,MODEL,-0.2019,0.100,0.2728,0,none
1.267,26,-0.08807,-0.05933,0.05228,1,0,0,MODEL,-0.2286,0.100,0.2840,0,none
1.319,27,-0.09868,-0.09318,0.06414,1,0,0,MODEL,-0.1965,0.100,0.2935,0,none
1.366,28,-0.10997,-0.09156,0.06153,1,0,0,MODEL,-0.1980,0.100,0.3034,0,none
1.417,29,-0.12190,-0.06050,0.06428,1,0,0,MODEL,-0.2275,0.100,0.3133,0,none
1.468,30,-0.13509,-0.05521,0.06036,1,0,0,MODEL,-0.2326,0.100,0.3229,0,none
1.517,31,-0.14325,-0.09622,0.14950,1,0,0,MODEL,-0.1936,0.100,0.3331,0,none
1.568,32,-0.16555,-0.14321,0.10484,1,0,0,MODEL,-0.1490,0.100,0.3425,0,none
1.620,33,-0.18045,-0.15144,0.08932,1,0,0,MODEL,-0.1411,0.100,0.3513,0,none
1.670,34,-0.19642,-0.16703,0.10979,1,0,0,MODEL,-0.1263,0.100,0.3606,0,none
1.719,35,-0.21316,-0.22206,0.10015,1,0,0,MODEL,-0.0740,0.100,0.3699,0,none
1.769,36,-0.23005,-0.20590,0.10487,1,0,0,MODEL,-0.0894,0.100,0.3790,0,none
1.820,37,-0.25331,-0.20910,0.08160,1,0,0,MODEL,-0.0864,0.100,0.3886,0,none
1.868,38,-0.26630,-0.25332,0.08299,1,0,0,MODEL,-0.0443,0.100,0.3971,0,none
1.920,39,-0.28450,-0.21640,0.08248,1,0,0,MODEL,-0.0794,0.100,0.4060,0,none
1.968,40,-0.30378,-0.23937,0.07590,1,0,0,MODEL,-0.0576,0.100,0.4148,0,none
2.022,41,-0.32378,-0.26113,0.09683,1,0,0,MODEL,-0.0369,0.100,0.4234,0,none
2.071,42,-0.34399,-0.28207,0.08695,1,0,0,MODEL,-0.0170,0.100,0.4320,0,none
2.118,43,-0.36433,-0.29544,0.09455,1,0,0,MODEL,-0.0043,0.100,0.4405,0,none
2.171,44,-0.38481,-0.34386,0.09894,1,0,0,MODEL,0.0417,0.100,0.4490,0,none
2.221,45,-0.40492,-0.38775,0.10383,1,0,0,MODEL,0.0834,0.100,0.4573,0,none
