cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0.00073,0.06383,0.11779,-0.01185,0.13634,0.07528,0.04988,-0.06903,0.11652,-0.14139,0.27541,0.14293,0.06424
0.00073,0.06171,0.11783,-0.01133,0.12702,0.07577,0.05169,-0.06741,0.11630,-0.14837,0.27667,0.13281,0.06398
0.00069,0.02247,0.10962,-0.01850,0.06983,0.04518,0.02114,-0.11724,0.05466,-0.13542,0.26224,0.00234,0.04047
0.00055,0.05119,0.10445,-0.02025,0.04588,0.07190,0.01515,-0.10514,0.08859,-0.01807,0.29484,0.08753,0.05148
0.00018,0.01905,0.14357,-0.02112,0.13192,0.10575,0.01455,-0.16954,0.09204,-0.25741,0.11464,0.20630,-0.02666
-0.00020,0.07498,0.11196,0.02527,0.01593,0.15992,0.02075,-0.08245,0.14899,-0.05409,0.24496,0.21780,0.05273
-0.00083,-0.02623,0.05701,-0.07257,-0.04747,0.05701,0.01332,-0.11018,-0.01231,-0.06633,0.05810,-0.07065,-0.01123
-0.00166,0.13414,0.22625,0.06847,-0.01680,0.17012,0.12804,-0.08341,0.19318,-0.01201,0.09368,0.72947,0.07063
-0.00265,-0.04507,0.14011,-0.00148,-0.21116,0.11563,-0.01608,-0.13826,0.02785,-0.23212,-0.06621,0.20598,-0.13483
-0.00389,0.01399,0.11777,-0.12518,0.00390,0.17984,0.01156,-0.06161,0.07791,-0.11541,0.10379,0.17841,-0.11327
-0.00557,0.02208,0.14140,0.00845,-0.05977,0.15161,-0.01204,-0.11828,0.03829,-0.18585,0.08737,0.31685,-0.00584
-0.00764,0.05749,0.13773,-0.01001,0.03273,0.15182,0.00117,-0.00278,0.02755,-0.03531,-0.00795,0.42128,-0.00362
-0.01002,-0.07894,0.08672,-0.20574,-0.09945,0.08891,-0.04913,-0.04297,-0.21400,-0.09843,-0.07706,-0.04772,-0.04382
-0.01274,-0.02472,0.05346,-0.05608,-0.06379,0.06572,-0.03325,-0.04532,0.02467,-0.09106,-0.08629,0.02478,0.01342
-0.01258,0.03175,0.06132,0.00363,-0.01936,0.06525,0.03348,0.05961,0.12464,0.11649,-0.03470,-0.05934,0.02782
-0.01653,0.03447,0.06931,0.02590,-0.00587,0.13381,-0.00719,0.01164,0.12680,0.12079,-0.05024,-0.04464,0.03373
-0.02512,0.01497,0.04801,-0.02329,-0.04007,0.08822,-0.01799,0.04658,0.08805,0.01149,-0.02539,-0.01886,0.04098
-0.02805,-0.03677,0.04913,-0.02830,-0.08579,0.04157,-0.08346,-0.01474,-0.01442,-0.09312,-0.08539,-0.03355,0.02952
-0.03306,-0.00001,0.04400,-0.02786,-0.02952,0.09186,-0.05758,0.02120,-0.02955,-0.01125,0.01579,-0.01800,0.04476
-0.03857,-0.00445,0.05490,-0.03165,-0.02497,0.08353,-0.02612,-0.01335,0.07738,-0.05595,-0.08303,-0.01169,0.04137
-0.04462,-0.01636,0.04645,-0.02979,-0.02968,0.07337,-0.04867,-0.01834,0.01709,-0.04321,-0.09380,-0.02020,0.02960
-0.05127,-0.05643,0.06347,-0.03116,-0.05779,0.05441,-0.05258,-0.07209,-0.08170,-0.06167,-0.19434,-0.06798,0.00059
-0.05853,-0.06544,0.06615,-0.04121,-0.04800,0.02129,-0.06936,-0.08890,-0.13694,-0.06092,-0.18881,-0.07579,0.03425
-0.06639,-0.08577,0.07286,-0.03725,-0.06966,0.03913,-0.09257,-0.13603,-0.17170,-0.11865,-0.17946,-0.10294,0.01145
-0.07494,-0.05309,0.06937,-0.03065,-0.03840,0.06710,-0.05567,-0.04616,-0.16286,-0.01136,-0.16592,-0.06972,-0.01723
