replicate,p
0,0.8121013897
1,0.8180443528
2,0.8187410487
3,0.7708063036
4,0.7639914793
5,0.8007374729
6,0.793799358
7,0.7924119918
8,0.7947734108
9,0.8122284355
10,0.8180091565
11,0.8035202654
12,0.8168251273
13,0.7330945994
14,0.8150138856
15,0.7279075235
16,0.8075951981
17,0.8163548206
18,0.8137983181
19,0.7775407248
20,0.7895697668
21,0.7720074085
22,0.7838691297
23,0.7979845952
24,0.798619575
25,0.8173995607
26,0.7993663829
27,0.8021382141
28,0.7965266197
29,0.8176765234
30,0.7409116084
31,0.7576518369
32,0.8113823622
33,0.8108720222
34,0.8010046458
35,0.8058523581
36,0.7860029353
37,0.8150735931
38,0.8167348917
39,0.8183091655
40,0.7018706091
41,0.8139280442
42,0.7915845484
43,0.744940284
44,0.7723705901
45,0.7968783182
46,0.8102501421
47,0.8153031374
48,0.8165346148
49,0.7845619014
50,0.7936473076
51,0.7904970884
52,0.8183597021
53,0.7695280423
54,0.8156702177
55,0.8156814326
56,0.7948089853
57,0.6976403521
58,0.8093430584
59,0.7477642341
60,0.8131452662
61,0.8091620905
62,0.8093618028
63,0.7777767963
64,0.744515249
65,0.8177849888
66,0.7240086333
67,0.7568697408
68,0.7871407555
69,0.8149629508
70,0.799376734
71,0.8125714512
72,0.8148327121
73,0.8163617516
74,0.7758814103
75,0.7653337346
76,0.7224073977
77,0.8115897758
78,0.8169513749
79,0.7982814009
80,0.792818165
81,0.8177063648
82,0.8184601481
83,0.779976019
84,0.7876351032
85,0.7776351091
86,0.8025332472
87,0.8153020676
88,0.7989505912
89,0.8154105107
90,0.8108848681
91,0.8108784992
92,0.7938915926
93,0.7875175507
94,0.8055335566
95,0.8143622448
96,0.745666727
97,0.8163471774
98,0.8055234408
99,0.8051020309
100,0.8187480621
101,0.8181999094
102,0.8141401487
103,0.8166334247
104,0.7354292603
105,0.7282081327
106,0.800799581
107,0.8075479347
108,0.6911973387
109,0.818625559
110,0.8185203753
111,0.8160726182
112,0.7919530281
113,0.7792529794
114,0.8178706329
115,0.7995068517
116,0.807642352
117,0.7829527542
118,0.7996480514
119,0.7840552597
120,0.8068792234
121,0.8035119478
122,0.7895679066
123,0.816928163
124,0.8090071952
125,0.8166631994
126,0.7951268169
127,0.7931746467
128,0.8135029547
129,0.8182278628
130,0.8128969295
131,0.8114978983
132,0.8182599783
133,0.8002427508
134,0.7872132538
135,0.7691458936
136,0.7341123903
137,0.7147173939
138,0.7707098044
139,0.7051684865
140,0.7741667229
141,0.7504056057
142,0.8156659367
143,0.8151041212
144,0.8185187506
145,0.7958451838
146,0.7182483206
147,0.7971693589
148,0.7489205288
149,0.7983796941
150,0.8157196146
151,0.8164705331
152,0.7827450786
153,0.7501090143
154,0.7785642396
155,0.7928594472
156,0.8032719917
157,0.7822608178
158,0.8178844154
159,0.7842603548
160,0.812479942
161,0.8145024137
162,0.7824224853
163,0.8146543967
164,0.7968088646
165,0.7053131922
166,0.7911370309
167,0.8182547606
168,0.8079820163
169,0.7924024383
170,0.7212551197
171,0.7862196718
172,0.8106238357
173,0.8163481023
174,0.8186814457
175,0.7915058925
176,0.7845562198
177,0.8093818333
178,0.8180420429
179,0.818734403
180,0.8183742115
181,0.8077422151
182,0.8096815344
183,0.8035209968
184,0.8134995424
185,0.8142331234
186,0.7669357715
187,0.78116264
188,0.7708621814
189,0.715317681
190,0.8029571423
191,0.8093733376
192,0.7719296817
193,0.8004828352
194,0.7341128362
195,0.8149766071
196,0.6988982271
197,0.8149936688
198,0.8174260622
199,0.7525513638
