time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00074,0.15986,0.62969,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.052,1,0.00074,0.15956,0.62969,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.086,2,0.00075,0.10611,0.63690,0,3,0,MODEL,0.0000,0.100,0.0058,0,none
0.281,3,0.00128,0.05217,0.64347,0,4,0,MODEL,0.0000,0.100,0.0436,0,none
0.288,4,0.00140,0.23776,0.72483,0,5,0,MODEL,0.0000,0.100,0.0542,0,none
0.335,5,0.00168,0.35901,0.58288,0,6,0,MODEL,0.0000,0.100,0.0699,0,none
0.388,6,0.00188,0.31332,0.68091,0,7,0,MODEL,0.0000,0.100,0.0820,0,none
0.436,7,0.00208,0.20903,0.59139,0,8,0,MODEL,0.0000,0.100,0.0924,0,none
0.486,8,0.00219,0.07783,0.62958,0,9,0,MODEL,0.0000,0.100,0.1038,0,none
0.538,9,0.00233,0.08072,0.41876,0,10,0,FALLBACK,-1.0000,0.100,0.1162,0,none
0.587,10,0.00041,0.01654,0.34325,0,10,0,FALLBACK,-1.0000,0.100,0.1247,0,none
0.637,11,-0.00701,0.04229,0.30243,0,10,0,FALLBACK,-1.0000,0.100,0.1357,0,none
0.689,12,-0.01551,-0.00954,0.33181,0,10,0,FALLBACK,-1.0000,0.100,0.1466,0,none
0.736,13,-0.01558,-0.00988,0.27237,0,10,0,FALLBACK,-1.0000,0.100,0.1576,0,none
0.787,14,-0.03927,-0.11138,0.31356,0,10,0,FALLBACK,-1.0000,0.100,0.1683,0,none
0.837,15,-0.04861,-0.04953,0.23227,0,10,0,FALLBACK,-1.0000,0.100,0.1787,0,none
0.887,16,-0.06281,-0.03156,0.28063,0,10,0,FALLBACK,-1.0000,0.100,0.1892,0,none
0.939,17,-0.07893,-0.01895,0.24969,0,10,0,FALLBACK,-1.0000,0.100,0.1994,0,none
0.989,18,-0.09693,-0.05363,0.27719,0,10,0,FALLBACK,-0.9254,0.100,0.2096,0,none
