time_s,frame,cte_true,cte_pred,u_de,certified,fail_count,pass_count,mode,steer,throttle,speed,lap,hit
0.000,0,0.00285,0.16407,0.65671,0,1,0,MODEL,0.0000,0.100,0.0000,0,none
0.030,1,0.00285,0.16416,0.65621,0,2,0,MODEL,0.0000,0.100,0.0000,0,none
0.076,2,0.00290,0.11250,0.65340,0,3,0,MODEL,0.0000,0.100,0.0059,0,none
0.129,3,0.00283,0.10709,0.63871,0,4,0,MODEL,0.0000,0.100,0.0183,0,none
0.177,4,0.00302,0.12784,0.81387,0,5,0,MODEL,0.0000,0.100,0.0379,0,none
0.210,5,0.00311,0.21786,0.69619,0,6,0,MODEL,0.0000,0.100,0.0487,0,none
0.261,6,0.00337,0.24191,0.67359,0,7,0,MODEL,0.0000,0.100,0.0563,0,none
0.310,7,0.00370,0.20667,0.66508,0,8,0,MODEL,0.0000,0.100,0.0711,0,none
0.363,8,0.00391,0.19944,0.78046,0,9,0,MODEL,0.0000,0.100,0.0820,0,none
0.415,9,0.00407,0.23497,0.62541,0,10,0,FALLBACK,-1.0000,0.100,0.0945,0,none
0.462,10,0.00057,0.09054,0.52205,0,10,0,FALLBACK,-1.0000,0.100,0.1039,0,none
0.511,11,-0.00549,0.03879,0.43099,0,10,0,FALLBACK,-1.0000,0.100,0.1159,0,none
0.564,12,-0.01241,0.04320,0.36119,0,10,0,FALLBACK,-1.0000,0.100,0.1266,0,none
0.612,13,-0.02041,-0.01610,0.34420,0,10,0,FALLBACK,-1.0000,0.100,0.1376,0,none
0.664,14,-0.02633,-0.09659,0.35653,0,10,0,FALLBACK,-1.0000,0.100,0.1619,0,none
0.714,15,-0.03053,-0.11956,0.32728,0,10,0,FALLBACK,-1.0000,0.100,0.1592,0,none
0.764,16,-0.05519,-0.10504,0.30324,0,10,0,FALLBACK,-1.0000,0.100,0.1702,0,none
0.813,17,-0.06523,-0.01349,0.23430,0,10,0,FALLBACK,-1.0000,0.100,0.1805,0,none
0.864,18,-0.08049,-0.01070,0.25204,0,10,0,FALLBACK,-1.0000,0.100,0.1910,0,none
0.914,19,-0.09767,-0.03551,0.28418,0,10,0,FALLBACK,-0.9258,0.100,0.2012,0,none
0.964,20,-0.11624,-0.06353,0.30226,0,10,0,FALLBACK,-0.8260,0.100,0.2116,0,none
1.014,21,-0.13577,-0.09683,0.29202,0,10,0,FALLBACK,-0.7235,0.100,0.2222,0,none
1.064,22,-0.15611,-0.07241,0.24699,0,10,0,FALLBACK,-0.6178,0.100,0.2328,0,none
1.113,23,-0.17710,-0.08316,0.23628,0,10,0,FALLBACK,-0.5095,0.100,0.2434,0,none
1.164,24,-0.19860,-0.05733,0.23798,0,10,0,FALLBACK,-0.3995,0.100,0.2539,0,none
1.212,25,-0.22599,-0.10454,0.23611,0,10,0,FALLBACK,-0.2332,0.100,0.2640,0,none
1.263,26,-0.24821,-0.09785,0.27856,0,10,0,FALLBACK,-0.1478,0.100,0.2748,0,none
1.314,27,-0.26280,-0.17046,0.26775,0,10,0,FALLBACK,-0.1131,0.100,0.2843,0,none
1.364,28,-0.28381,-0.14624,0.24589,0,10,0,FALLBACK,0.0241,0.100,0.2949,0,none
1.415,29,-0.30464,-0.20157,0.26229,0,10,0,FALLBACK,0.1273,0.100,0.3045,0,none
1.464,30,-0.32404,-0.19849,0.26607,0,10,0,FALLBACK,0.2172,0.100,0.3142,0,none
1.514,31,-0.33422,-0.21306,0.26650,0,10,0,FALLBACK,0.2220,0.100,0.3248,0,none
1.564,32,-0.35347,-0.18404,0.25790,0,10,0,FALLBACK,0.3637,0.100,0.3334,0,none
1.615,33,-0.37500,-0.27379,0.34736,0,10,0,FALLBACK,0.4826,0.100,0.3430,0,none
1.668,34,-0.38672,-0.28589,0.33811,0,10,0,FALLBACK,0.4922,0.100,0.3514,0,none
1.720,35,-0.39673,-0.28586,0.33730,0,10,0,FALLBACK,0.5337,0.100,0.3606,0,none
1.767,36,-0.40479,-0.30456,0.32445,0,10,0,FALLBACK,0.5642,0.100,0.3696,0,none
1.816,37,-0.41031,-0.31589,0.32157,0,10,0,FALLBACK,0.5792,0.100,0.3786,0,none
1.867,38,-0.41780,-0.25023,0.22861,0,10,0,FALLBACK,0.6265,0.100,0.3915,0,none
1.918,39,-0.41372,-0.27096,0.23712,0,10,0,FALLBACK,0.5482,0.100,0.3960,0,none
1.968,40,-0.41146,-0.21128,0.21879,0,10,0,FALLBACK,0.5460,0.100,0.4052,0,none
2.018,41,-0.40744,-0.19824,0.21436,0,10,0,FALLBACK,0.5171,0.100,0.4138,0,none
2.072,42,-0.40108,-0.26094,0.26278,0,10,0,FALLBACK,0.4737,0.100,0.4225,0,none
2.119,43,-0.39252,-0.21426,0.28594,0,10,0,FALLBACK,0.4198,0.100,0.4311,0,none
2.170,44,-0.38275,-0.16909,0.23640,0,10,0,FALLBACK,0.3649,0.100,0.4398,0,none
2.221,45,-0.37187,-0.13537,0.21616,0,10,0,FALLBACK,0.3050,0.100,0.4483,0,none
2.271,46,-0.36012,-0.11810,0.21818,0,10,0,FALLBACK,0.2419,0.100,0.4567,0,none
2.319,47,-0.34787,-0.10480,0.20073,0,10,0,FALLBACK,0.1781,0.100,0.4651,0,none
2.370,48,-0.33551,-0.07252,0.18290,1,10,0,FALLBACK,0.1157,0.100,0.4733,0,none
2.422,49,-0.32337,-0.10013,0.20618,0,10,0,FALLBACK,0.0562,0.100,0.4815,0,none
2.472,50,-0.31150,-0.09023,0.21355,0,10,0,FALLBACK,-0.0019,0.100,0.4895,0,none
2.520,51,-0.30020,-0.15678,0.22632,0,10,0,FALLBACK,-0.0555,0.100,0.4974,0,none
2.570,52,-0.29000,-0.13628,0.23544,0,10,0,FALLBACK,-0.1010,0.100,0.5052,0,none
2.622,53,-0.28099,-0.12929,0.21118,0,10,0,FALLBACK,-0.1400,0.100,0.5130,0,none
2.670,54,-0.27341,-0.22118,0.23843,0,10,0,FALLBACK,-0.1709,0.100,0.5206,0,none
2.722,55,-0.26804,-0.14264,0.21418,0,10,0,FALLBACK,-0.1866,0.100,0.5281,0,none
2.774,56,-0.26468,-0.17262,0.22589,0,10,0,FALLBACK,-0.1934,0.100,0.5356,0,none
2.822,57,-0.26307,-0.10559,0.21338,0,10,0,FALLBACK,-0.1927,0.100,0.5431,0,none
2.872,58,-0.26313,-0.08953,0.19492,0,10,0,FALLBACK,-0.1841,0.100,0.5504,0,none
2.923,59,-0.26471,-0.09938,0.20220,0,10,0,FALLBACK,-0.1685,0.100,0.5577,0,none
2.974,60,-0.26760,-0.06059,0.18863,1,10,0,FALLBACK,-0.1475,0.100,0.5650,0,none
3.021,61,-0.27155,-0.09416,0.19964,0,10,0,FALLBACK,-0.1225,0.100,0.5721,0,none
3.071,62,-0.27628,-0.06295,0.20568,0,10,0,FALLBACK,-0.0950,0.100,0.5792,0,none
3.124,63,-0.28149,-0.12458,0.22378,0,10,0,FALLBACK,-0.0665,0.100,0.5862,0,none
3.174,64,-0.28690,-0.10153,0.20300,0,10,0,FALLBACK,-0.0385,0.100,0.5932,0,none
3.223,65,-0.29223,-0.15853,0.23034,0,10,0,FALLBACK,-0.0122,0.100,0.6001,0,none
3.273,66,-0.29725,-0.12079,0.21841,0,10,0,FALLBACK,0.0113,0.100,0.6069,0,none
3.322,67,-0.30172,-0.11355,0.23275,0,10,0,FALLBACK,0.0310,0.100,0.6136,0,none
3.372,68,-0.30550,-0.10732,0.24261,0,10,0,FALLBACK,0.0464,0.100,0.6202,0,none
3.424,69,-0.30838,-0.11721,0.23714,0,10,0,FALLBACK,0.0563,0.100,0.6279,0,none
3.476,70,-0.31064,-0.13193,0.23871,0,10,0,FALLBACK,0.0645,0.100,0.6336,0,none
3.525,71,-0.31195,-0.15009,0.23151,0,10,0,FALLBACK,0.0663,0.100,0.6397,0,none
3.574,72,-0.31239,-0.10990,0.22236,0,10,0,FALLBACK,0.0641,0.100,0.6463,0,none
3.622,73,-0.31205,-0.09050,0.22006,0,10,0,FALLBACK,0.0586,0.100,0.6525,0,none
3.675,74,-0.31105,-0.09745,0.20941,0,10,0,FALLBACK,0.0503,0.100,0.6588,0,none
3.724,75,-0.30954,-0.11180,0.20689,0,10,0,FALLBACK,0.0401,0.100,0.6649,0,none
3.776,76,-0.30767,-0.08071,0.20306,0,10,0,FALLBACK,0.0290,0.100,0.6711,0,none
3.824,77,-0.30561,-0.06170,0.19728,0,10,0,FALLBACK,0.0178,0.100,0.6772,0,none
3.875,78,-0.30351,-0.05320,0.20403,0,10,0,FALLBACK,0.0071,0.100,0.6832,0,none
3.924,79,-0.30151,-0.03870,0.20091,0,10,0,FALLBACK,-0.0025,0.100,0.6891,0,none
3.975,80,-0.29971,-0.01883,0.19384,0,10,0,FALLBACK,-0.0105,0.100,0.6950,0,none
4.026,81,-0.29821,-0.03891,0.19164,1,10,0,FALLBACK,-0.0165,0.100,0.7009,0,none
4.075,82,-0.29706,-0.04390,0.18383,1,10,0,FALLBACK,-0.0204,0.100,0.7066,0,none
4.126,83,-0.29630,-0.05276,0.17864,1,10,0,FALLBACK,-0.0224,0.100,0.7123,0,none
4.175,84,-0.29590,-0.03393,0.16304,1,10,0,FALLBACK,-0.0225,0.100,0.7180,0,none
4.226,85,-0.29586,-0.06086,0.18183,1,10,0,FALLBACK,-0.0209,0.100,0.7236,0,none
4.274,86,-0.29611,-0.05370,0.16121,1,10,0,FALLBACK,-0.0182,0.100,0.7291,0,none
4.326,87,-0.29660,-0.04316,0.17059,1,10,0,FALLBACK,-0.0146,0.100,0.7346,0,none
4.375,88,-0.29725,-0.06725,0.17417,1,10,0,FALLBACK,-0.0105,0.100,0.7400,0,none
4.424,89,-0.29800,-0.06237,0.18770,1,10,0,FALLBACK,-0.0062,0.100,0.7454,0,none
4.478,90,-0.29878,-0.05249,0.17507,1,10,0,FALLBACK,-0.0022,0.100,0.7507,0,none
4.525,91,-0.29951,-0.12220,0.20922,0,10,0,FALLBACK,0.0012,0.100,0.7560,0,none
4.575,92,-0.30014,-0.11426,0.19765,0,10,0,FALLBACK,0.0039,0.100,0.7612,0,none
4.626,93,-0.30065,-0.09620,0.17162,1,10,0,FALLBACK,0.0058,0.100,0.7663,0,none
4.675,94,-0.30101,-0.08887,0.18864,1,10,0,FALLBACK,0.0068,0.100,0.7714,0,none
4.728,95,-0.30122,-0.08336,0.19006,1,10,0,FALLBACK,0.0071,0.100,0.7765,0,none
4.778,96,-0.30127,-0.06857,0.19066,1,10,0,FALLBACK,0.0067,0.100,0.7815,0,none
4.827,97,-0.30120,-0.02868,0.18908,1,10,0,FALLBACK,0.0057,0.100,0.7864,0,none
4.877,98,-0.30103,-0.04974,0.20633,0,10,0,FALLBACK,0.0043,0.100,0.7913,0,none
4.927,99,-0.30079,-0.09162,0.22877,0,10,0,FALLBACK,0.0028,0.100,0.7962,0,none
4.976,100,-0.30052,-0.04270,0.21176,0,10,0,FALLBACK,0.0012,0.100,0.8010,0,none
